,DLG
2010-10-25,17488.099609375
2010-10-26,18327.599609375
2010-10-27,17558.099609375
2010-10-28,17558.099609375
2010-10-29,17348.19921875
2010-11-01,16858.599609375
2010-11-02,16928.5
2010-11-03,16998.5
2010-11-04,17837.900390625
2010-11-05,18187.69921875
2010-11-08,18467.5
2010-11-09,18327.599609375
2010-11-10,18887.19921875
2010-11-11,18887.19921875
2010-11-12,19027.099609375
2010-11-15,19097.0
2010-11-16,19236.900390625
2010-11-17,19376.80078125
2010-11-18,19167.0
2010-11-19,18537.400390625
2010-11-22,18537.400390625
2010-11-23,19236.900390625
2010-11-24,19236.900390625
2010-11-26,19376.80078125
2010-11-29,20286.19921875
2010-11-30,20985.80078125
2010-12-01,21335.5
2010-12-02,20915.80078125
2010-12-03,20636.0
2010-12-06,19656.69921875
2010-12-07,18677.30078125
2010-12-08,18537.400390625
2010-12-09,19376.80078125
2010-12-10,19726.599609375
2010-12-13,19726.599609375
2010-12-14,19586.69921875
2010-12-15,19586.69921875
2010-12-16,19516.80078125
2010-12-17,19656.69921875
2010-12-20,19586.69921875
2010-12-21,19586.69921875
2010-12-22,19586.69921875
2010-12-23,
2010-12-27,18887.19921875
2010-12-28,19586.69921875
2010-12-29,20286.19921875
2010-12-30,20286.19921875
2010-12-31,20286.19921875
2011-01-03,
2011-01-04,20286.19921875
2011-01-05,19936.5
2011-01-06,19306.900390625
2011-01-07,20006.400390625
2011-01-10,
2011-01-11,19027.099609375
2011-01-12,18957.099609375
2011-01-13,19866.5
2011-01-14,18887.19921875
2011-01-18,19306.900390625
2011-01-19,18887.19921875
2011-01-20,19097.0
2011-01-21,20006.400390625
2011-01-24,20985.80078125
2011-01-25,20985.80078125
2011-01-26,20985.80078125
2011-01-27,21685.30078125
2011-01-28,22384.80078125
2011-01-31,
2011-02-01,
2011-02-02,
2011-02-03,
2011-02-04,
2011-02-07,
2011-02-08,22734.599609375
2011-02-09,22734.599609375
2011-02-10,21615.30078125
2011-02-11,21193.0
2011-02-14,21409.900390625
2011-02-15,20976.0
2011-02-16,20831.30078125
2011-02-17,19818.69921875
2011-02-18,18878.400390625
2011-02-22,17938.099609375
2011-02-23,17938.099609375
2011-02-24,18082.69921875
2011-02-25,18950.69921875
2011-02-28,19384.69921875
2011-03-01,19384.69921875
2011-03-02,18444.400390625
2011-03-03,18372.0
2011-03-04,18299.69921875
2011-03-07,19023.0
2011-03-08,19023.0
2011-03-09,18806.0
2011-03-10,19384.69921875
2011-03-11,19312.30078125
2011-03-14,18372.0
2011-03-15,19240.0
2011-03-16,18589.0
2011-03-17,20759.0
2011-03-18,21554.599609375
2011-03-21,21554.599609375
2011-03-22,20976.0
2011-03-23,19963.30078125
2011-03-24,19095.400390625
2011-03-25,18299.69921875
2011-03-28,18661.400390625
2011-03-29,18227.400390625
2011-03-30,18806.0
2011-03-31,18372.0
2011-04-01,18444.400390625
2011-04-04,18516.69921875
2011-04-05,17793.400390625
2011-04-06,18661.400390625
2011-04-07,18444.400390625
2011-04-08,19312.30078125
2011-04-11,
2011-04-12,
2011-04-13,20108.0
2011-04-14,20108.0
2011-04-15,20180.30078125
2011-04-18,20325.0
2011-04-19,20903.599609375
2011-04-20,19891.0
2011-04-21,20831.30078125
2011-04-25,21699.30078125
2011-04-26,21626.900390625
2011-04-27,21843.900390625
2011-04-28,21988.599609375
2011-04-29,22567.19921875
2011-05-02,
2011-05-03,
2011-05-04,23507.5
2011-05-05,23579.900390625
2011-05-06,22422.599609375
2011-05-09,23073.599609375
2011-05-10,23073.599609375
2011-05-11,21988.599609375
2011-05-12,23001.19921875
2011-05-13,22928.900390625
2011-05-16,22422.599609375
2011-05-17,21409.900390625
2011-05-18,20397.30078125
2011-05-19,20252.69921875
2011-05-20,20180.30078125
2011-05-23,20469.599609375
2011-05-24,20035.69921875
2011-05-25,19746.30078125
2011-05-26,19818.69921875
2011-05-27,20759.0
2011-05-31,21120.599609375
2011-06-01,21699.30078125
2011-06-02,21626.900390625
2011-06-03,21626.900390625
2011-06-06,21120.599609375
2011-06-07,21193.0
2011-06-08,20180.30078125
2011-06-09,20180.30078125
2011-06-10,20831.30078125
2011-06-13,19818.69921875
2011-06-14,20108.0
2011-06-15,20397.30078125
2011-06-16,20252.69921875
2011-06-17,20108.0
2011-06-20,19167.69921875
2011-06-21,19529.30078125
2011-06-22,19529.30078125
2011-06-23,19529.30078125
2011-06-24,19457.0
2011-06-27,19674.0
2011-06-28,19529.30078125
2011-06-29,19529.30078125
2011-06-30,19529.30078125
2011-07-01,19457.0
2011-07-05,20397.30078125
2011-07-06,20108.0
2011-07-07,19818.69921875
2011-07-08,19746.30078125
2011-07-11,19746.30078125
2011-07-12,18806.0
2011-07-13,18444.400390625
2011-07-14,
2011-07-15,17721.099609375
2011-07-18,18444.400390625
2011-07-19,19167.69921875
2011-07-20,19818.69921875
2011-07-21,19601.69921875
2011-07-22,18806.0
2011-07-25,19240.0
2011-07-26,19384.69921875
2011-07-27,18444.400390625
2011-07-28,17576.400390625
2011-07-29,16708.400390625
2011-08-01,15912.7998046875
2011-08-02,15189.5
2011-08-03,15551.099609375
2011-08-04,15551.099609375
2011-08-05,15551.099609375
2011-08-08,15478.7998046875
2011-08-09,16202.099609375
2011-08-10,16202.099609375
2011-08-11,15840.5
2011-08-12,15912.7998046875
2011-08-15,16419.099609375
2011-08-16,16491.400390625
2011-08-17,17287.099609375
2011-08-18,16636.099609375
2011-08-19,16925.400390625
2011-08-22,16925.400390625
2011-08-23,17214.80078125
2011-08-24,18010.400390625
2011-08-25,18733.69921875
2011-08-26,18936.19921875
2011-08-29,18777.099609375
2011-08-30,18936.19921875
2011-08-31,18936.19921875
2011-09-01,18936.19921875
2011-09-02,
2011-09-06,17583.599609375
2011-09-07,18299.69921875
2011-09-08,18618.0
2011-09-09,18379.30078125
2011-09-12,17663.19921875
2011-09-13,18140.599609375
2011-09-14,17344.900390625
2011-09-15,18061.0
2011-09-16,18061.0
2011-09-19,17981.5
2011-09-20,17106.30078125
2011-09-21,17583.599609375
2011-09-22,18299.69921875
2011-09-23,18618.0
2011-09-26,19095.400390625
2011-09-27,19015.80078125
2011-09-28,18140.599609375
2011-09-29,18140.599609375
2011-09-30,18220.19921875
2011-10-03,17424.5
2011-10-04,16947.099609375
2011-10-05,16947.099609375
2011-10-06,17265.400390625
2011-10-07,17265.400390625
2011-10-10,17344.900390625
2011-10-11,17424.5
2011-10-12,16628.900390625
2011-10-13,15833.2001953125
2011-10-14,16231.099609375
2011-10-17,15753.7001953125
2011-10-18,16071.900390625
2011-10-19,15276.2998046875
2011-10-20,15833.2001953125
2011-10-21,16071.900390625
2011-10-24,15912.7998046875
2011-10-25,16071.900390625
2011-10-26,16071.900390625
2011-10-27,16867.599609375
2011-10-28,16549.30078125
2011-10-31,17344.900390625
2011-11-01,17901.900390625
2011-11-02,17981.5
2011-11-03,17981.5
2011-11-04,17981.5
2011-11-07,17981.5
2011-11-08,17822.30078125
2011-11-09,17981.5
2011-11-10,17822.30078125
2011-11-11,17822.30078125
2011-11-14,17504.099609375
2011-11-15,16628.900390625
2011-11-16,15833.2001953125
2011-11-17,16469.69921875
2011-11-18,15674.099609375
2011-11-21,16390.19921875
2011-11-22,15674.099609375
2011-11-23,16867.599609375
2011-11-25,16947.099609375
2011-11-28,16947.099609375
2011-11-29,16151.5
2011-11-30,15355.7998046875
2011-12-01,14639.7998046875
2011-12-02,13923.7001953125
2011-12-05,14560.2001953125
2011-12-06,15117.2001953125
2011-12-07,15515.0
2011-12-08,14798.900390625
2011-12-09,14719.2998046875
2011-12-12,14798.900390625
2011-12-13,15117.2001953125
2011-12-14,15435.400390625
2011-12-15,15753.7001953125
2011-12-16,15753.7001953125
2011-12-19,15753.7001953125
2011-12-20,15674.099609375
2011-12-21,15594.5
2011-12-22,15355.7998046875
2011-12-23,15355.7998046875
2011-12-27,14321.5
2011-12-28,14958.0
2011-12-29,15037.599609375
2011-12-30,15117.2001953125
2012-01-03,15355.7998046875
2012-01-04,15515.0
2012-01-05,15515.0
2012-01-06,15594.5
2012-01-09,15833.2001953125
2012-01-10,15753.7001953125
2012-01-11,15515.0
2012-01-12,15037.599609375
2012-01-13,15515.0
2012-01-17,15753.7001953125
2012-01-18,15753.7001953125
2012-01-19,16469.69921875
2012-01-20,17265.400390625
2012-01-23,
2012-01-24,
2012-01-25,
2012-01-26,
2012-01-27,
2012-01-30,17981.5
2012-01-31,18777.099609375
2012-02-01,17901.900390625
2012-02-02,18299.69921875
2012-02-03,19095.400390625
2012-02-06,19095.400390625
2012-02-07,18220.19921875
2012-02-08,17344.900390625
2012-02-09,17901.900390625
2012-02-10,18140.599609375
2012-02-13,17265.400390625
2012-02-14,16469.69921875
2012-02-15,15674.099609375
2012-02-16,14958.0
2012-02-17,15674.099609375
2012-02-21,14242.0
2012-02-22,14878.5
2012-02-23,15594.5
2012-02-24,15912.7998046875
2012-02-27,15117.2001953125
2012-02-28,15037.599609375
2012-02-29,15753.7001953125
2012-03-01,16310.599609375
2012-03-02,16390.19921875
2012-03-05,17185.80078125
2012-03-06,17185.80078125
2012-03-07,16390.19921875
2012-03-08,16390.19921875
2012-03-09,16708.400390625
2012-03-12,16708.400390625
2012-03-13,17106.30078125
2012-03-14,16390.19921875
2012-03-15,16867.599609375
2012-03-16,17185.80078125
2012-03-19,16628.900390625
2012-03-20,17344.900390625
2012-03-21,17981.5
2012-03-22,18299.69921875
2012-03-23,18777.099609375
2012-03-26,18777.099609375
2012-03-27,18299.69921875
2012-03-28,18299.69921875
2012-03-29,18299.69921875
2012-03-30,18061.0
2012-04-02,
2012-04-03,17901.900390625
2012-04-04,17026.69921875
2012-04-05,17424.5
2012-04-09,17344.900390625
2012-04-10,17663.19921875
2012-04-11,18458.80078125
2012-04-12,17583.599609375
2012-04-13,16708.400390625
2012-04-16,17026.69921875
2012-04-17,17424.5
2012-04-18,17504.099609375
2012-04-19,16628.900390625
2012-04-20,16628.900390625
2012-04-23,16628.900390625
2012-04-24,15833.2001953125
2012-04-25,15117.2001953125
2012-04-26,15833.2001953125
2012-04-27,16549.30078125
2012-04-30,
2012-05-01,
2012-05-02,15833.2001953125
2012-05-03,15117.2001953125
2012-05-04,14401.099609375
2012-05-07,14958.0
2012-05-08,15037.599609375
2012-05-09,15435.400390625
2012-05-10,15276.2998046875
2012-05-11,15117.2001953125
2012-05-14,15117.2001953125
2012-05-15,15037.599609375
2012-05-16,14798.900390625
2012-05-17,14798.900390625
2012-05-18,14401.099609375
2012-05-21,14401.099609375
2012-05-22,13685.0
2012-05-23,13048.5
2012-05-24,12730.2001953125
2012-05-25,12173.2998046875
2012-05-29,11059.400390625
2012-05-30,10582.0
2012-05-31,10104.599609375
2012-06-01,10422.900390625
2012-06-04,10343.2998046875
2012-06-05,10661.599609375
2012-06-06,10900.2998046875
2012-06-07,10422.900390625
2012-06-08,9945.5
2012-06-11,10184.2001953125
2012-06-12,10184.2001953125
2012-06-13,9706.8095703125
2012-06-14,9229.419921875
2012-06-15,8831.599609375
2012-06-18,8433.7802734375
2012-06-19,8035.9599609375
2012-06-20,7638.14013671875
2012-06-21,7319.89013671875
2012-06-22,7001.6298828125
2012-06-25,7319.89013671875
2012-06-26,7638.14013671875
2012-06-27,7319.89013671875
2012-06-28,7001.6298828125
2012-06-29,6683.3798828125
2012-07-02,6365.1201171875
2012-07-03,6046.85986328125
2012-07-05,5569.47998046875
2012-07-06,5728.60986328125
2012-07-09,5489.919921875
2012-07-10,5251.22021484375
2012-07-11,5092.10009765625
2012-07-12,5330.7900390625
2012-07-13,5569.47998046875
2012-07-16,5728.60986328125
2012-07-17,5887.740234375
2012-07-18,5728.60986328125
2012-07-19,5967.2998046875
2012-07-20,5808.169921875
2012-07-23,5569.47998046875
2012-07-24,5330.7900390625
2012-07-25,5251.22021484375
2012-07-26,5330.7900390625
2012-07-27,4932.97021484375
2012-07-30,4932.97021484375
2012-07-31,4932.97021484375
2012-08-01,4932.97021484375
2012-08-02,5171.66015625
2012-08-03,5410.35009765625
2012-08-06,5410.35009765625
2012-08-07,5171.66015625
2012-08-08,5171.66015625
2012-08-09,5171.66015625
2012-08-10,5092.10009765625
2012-08-13,5012.52978515625
2012-08-14,5171.66015625
2012-08-15,5092.10009765625
2012-08-16,5092.10009765625
2012-08-17,5092.10009765625
2012-08-20,5251.22021484375
2012-08-21,5012.52978515625
2012-08-22,4773.83984375
2012-08-23,4535.14990234375
2012-08-24,4376.02001953125
2012-08-27,4216.89013671875
2012-08-28,4057.760009765625
2012-08-29,3978.199951171875
2012-08-30,3898.639892578125
2012-08-31,3819.070068359375
2012-09-04,3978.199951171875
2012-09-05,3819.070068359375
2012-09-06,3659.93994140625
2012-09-07,3500.820068359375
2012-09-10,3341.68994140625
2012-09-11,3182.56005859375
2012-09-12,3023.429931640625
2012-09-13,3103.0
2012-09-14,3182.56005859375
2012-09-17,3341.68994140625
2012-09-18,3182.56005859375
2012-09-19,3103.0
2012-09-20,3103.0
2012-09-21,3103.0
2012-09-24,3023.429931640625
2012-09-25,2943.8701171875
2012-09-26,2943.8701171875
2012-09-27,2864.300048828125
2012-09-28,2784.739990234375
2012-10-01,2705.179931640625
2012-10-02,2625.610107421875
2012-10-03,2705.179931640625
2012-10-04,2705.179931640625
2012-10-05,2784.739990234375
2012-10-08,2784.739990234375
2012-10-09,2864.300048828125
2012-10-10,2943.8701171875
2012-10-11,3023.429931640625
2012-10-12,3103.0
2012-10-15,3023.429931640625
2012-10-16,3103.0
2012-10-17,3023.429931640625
2012-10-18,3103.0
2012-10-19,3023.429931640625
2012-10-22,2943.8701171875
2012-10-23,2864.300048828125
2012-10-24,2943.8701171875
2012-10-25,2864.300048828125
2012-10-26,2784.739990234375
2012-10-31,2943.8701171875
2012-11-01,2864.300048828125
2012-11-02,2784.739990234375
2012-11-05,2705.179931640625
2012-11-06,2625.610107421875
2012-11-07,2705.179931640625
2012-11-08,2705.179931640625
2012-11-09,2705.179931640625
2012-11-12,2784.739990234375
2012-11-13,2784.739990234375
2012-11-14,2784.739990234375
2012-11-15,2705.179931640625
2012-11-16,2705.179931640625
2012-11-19,2705.179931640625
2012-11-20,2625.610107421875
2012-11-21,2625.610107421875
2012-11-23,2784.739990234375
2012-11-26,2784.739990234375
2012-11-27,2864.300048828125
2012-11-28,2784.739990234375
2012-11-29,2784.739990234375
2012-11-30,2705.179931640625
2012-12-03,2705.179931640625
2012-12-04,2705.179931640625
2012-12-05,2784.739990234375
2012-12-06,2784.739990234375
2012-12-07,2784.739990234375
2012-12-10,2864.300048828125
2012-12-11,2943.8701171875
2012-12-12,3023.429931640625
2012-12-13,3103.0
2012-12-14,3182.56005859375
2012-12-17,3341.68994140625
2012-12-18,3341.68994140625
2012-12-19,3500.820068359375
2012-12-20,3659.93994140625
2012-12-21,3819.070068359375
2012-12-24,3978.199951171875
2012-12-26,3978.199951171875
2012-12-27,4137.330078125
2012-12-28,4296.4599609375
2012-12-31,4296.4599609375
2013-01-02,4455.580078125
2013-01-03,4296.4599609375
2013-01-04,4455.580078125
2013-01-07,4614.7099609375
2013-01-08,4455.580078125
2013-01-09,4296.4599609375
2013-01-10,4455.580078125
2013-01-11,4296.4599609375
2013-01-14,4137.330078125
2013-01-15,4376.02001953125
2013-01-16,4614.7099609375
2013-01-17,4694.27978515625
2013-01-18,4455.580078125
2013-01-22,4296.4599609375
2013-01-23,4057.760009765625
2013-01-24,4296.4599609375
2013-01-25,4216.89013671875
2013-01-28,4057.760009765625
2013-01-29,4057.760009765625
2013-01-30,4296.4599609375
2013-01-31,4137.330078125
2013-02-01,4137.330078125
2013-02-04,4057.760009765625
2013-02-05,3978.199951171875
2013-02-06,4137.330078125
2013-02-07,4137.330078125
2013-02-08,4296.4599609375
2013-02-11,4296.4599609375
2013-02-12,4296.4599609375
2013-02-13,4296.4599609375
2013-02-14,4296.4599609375
2013-02-15,4296.4599609375
2013-02-19,4614.7099609375
2013-02-20,4614.7099609375
2013-02-21,4455.580078125
2013-02-22,4535.14990234375
2013-02-25,4773.83984375
2013-02-26,4694.27978515625
2013-02-27,4694.27978515625
2013-02-28,4535.14990234375
2013-03-01,4376.02001953125
2013-03-04,4137.330078125
2013-03-05,3898.639892578125
2013-03-06,3898.639892578125
2013-03-07,4057.760009765625
2013-03-08,3978.199951171875
2013-03-11,4216.89013671875
2013-03-12,4137.330078125
2013-03-13,3978.199951171875
2013-03-14,4057.760009765625
2013-03-15,3978.199951171875
2013-03-18,4057.760009765625
2013-03-19,4057.760009765625
2013-03-20,3978.199951171875
2013-03-21,3978.199951171875
2013-03-22,3819.070068359375
2013-03-25,3819.070068359375
2013-03-26,3739.510009765625
2013-03-27,3580.3798828125
2013-03-28,3341.68994140625
2013-04-01,3580.3798828125
2013-04-02,3580.3798828125
2013-04-03,3500.820068359375
2013-04-04,3341.68994140625
2013-04-05,3341.68994140625
2013-04-08,3421.25
2013-04-09,3421.25
2013-04-10,3341.68994140625
2013-04-11,3262.1201171875
2013-04-12,3182.56005859375
2013-04-15,3023.429931640625
2013-04-16,3023.429931640625
2013-04-17,2943.8701171875
2013-04-18,2784.739990234375
2013-04-19,2784.739990234375
2013-04-22,2705.179931640625
2013-04-23,2784.739990234375
2013-04-24,2784.739990234375
2013-04-25,2943.8701171875
2013-04-26,3103.0
2013-04-29,3103.0
2013-04-30,3103.0
2013-05-01,3103.0
2013-05-02,3023.429931640625
2013-05-03,3103.0
2013-05-06,3262.1201171875
2013-05-07,3182.56005859375
2013-05-08,3103.0
2013-05-09,3262.1201171875
2013-05-10,3262.1201171875
2013-05-13,3341.68994140625
2013-05-14,3182.56005859375
2013-05-15,3182.56005859375
2013-05-16,3182.56005859375
2013-05-17,3182.56005859375
2013-05-20,3262.1201171875
2013-05-21,3262.1201171875
2013-05-22,3182.56005859375
2013-05-23,3262.1201171875
2013-05-24,3262.1201171875
2013-05-28,3659.93994140625
2013-05-29,3819.070068359375
2013-05-30,3739.510009765625
2013-05-31,3659.93994140625
2013-06-03,3659.93994140625
2013-06-04,3500.820068359375
2013-06-05,3580.3798828125
2013-06-06,3819.070068359375
2013-06-07,3659.93994140625
2013-06-10,3898.639892578125
2013-06-11,4137.330078125
2013-06-12,4137.330078125
2013-06-13,4057.760009765625
2013-06-14,4137.330078125
2013-06-17,4296.4599609375
2013-06-18,4137.330078125
2013-06-19,4137.330078125
2013-06-20,3898.639892578125
2013-06-21,3898.639892578125
2013-06-24,3739.510009765625
2013-06-25,3500.820068359375
2013-06-26,3659.93994140625
2013-06-27,3659.93994140625
2013-06-28,3580.3798828125
2013-07-01,3580.3798828125
2013-07-02,3659.93994140625
2013-07-03,3580.3798828125
2013-07-05,3421.25
2013-07-08,3341.68994140625
2013-07-09,3500.820068359375
2013-07-10,3341.68994140625
2013-07-11,3421.25
2013-07-12,3500.820068359375
2013-07-15,3500.820068359375
2013-07-16,3500.820068359375
2013-07-17,3421.25
2013-07-18,3421.25
2013-07-19,3421.25
2013-07-22,3341.68994140625
2013-07-23,3262.1201171875
2013-07-24,3103.0
2013-07-25,3103.0
2013-07-26,3103.0
2013-07-29,3023.429931640625
2013-07-30,3103.0
2013-07-31,3023.429931640625
2013-08-01,3103.0
2013-08-02,3103.0
2013-08-05,3023.429931640625
2013-08-06,3023.429931640625
2013-08-07,3103.0
2013-08-08,3103.0
2013-08-09,3023.429931640625
2013-08-12,2943.8701171875
2013-08-13,2864.300048828125
2013-08-14,3023.429931640625
2013-08-15,3103.0
2013-08-16,3182.56005859375
2013-08-19,3341.68994140625
2013-08-20,3341.68994140625
2013-08-21,3341.68994140625
2013-08-22,3182.56005859375
2013-08-23,3103.0
2013-08-26,3103.0
2013-08-27,3103.0
2013-08-28,2943.8701171875
2013-08-29,3023.429931640625
2013-08-30,3023.429931640625
2013-09-03,3023.429931640625
2013-09-04,3023.429931640625
2013-09-05,3023.429931640625
2013-09-06,3023.429931640625
2013-09-09,2943.8701171875
2013-09-10,2943.8701171875
2013-09-11,2943.8701171875
2013-09-12,2943.8701171875
2013-09-13,2943.8701171875
2013-09-16,2864.300048828125
2013-09-17,2864.300048828125
2013-09-18,2784.739990234375
2013-09-19,2784.739990234375
2013-09-20,2784.739990234375
2013-09-23,2943.8701171875
2013-09-24,3023.429931640625
2013-09-25,3023.429931640625
2013-09-26,3103.0
2013-09-27,3103.0
2013-09-30,3023.429931640625
2013-10-01,3103.0
2013-10-02,3182.56005859375
2013-10-03,3103.0
2013-10-04,3023.429931640625
2013-10-07,3103.0
2013-10-08,3103.0
2013-10-09,3103.0
2013-10-10,3023.429931640625
2013-10-11,2943.8701171875
2013-10-14,2864.300048828125
2013-10-15,2943.8701171875
2013-10-16,3023.429931640625
2013-10-17,3023.429931640625
2013-10-18,3103.0
2013-10-21,3182.56005859375
2013-10-22,3103.0
2013-10-23,3103.0
2013-10-24,3023.429931640625
2013-10-25,3023.429931640625
2013-10-28,3023.429931640625
2013-10-29,2943.8701171875
2013-10-30,3023.429931640625
2013-10-31,3023.429931640625
2013-11-01,3023.429931640625
2013-11-04,3023.429931640625
2013-11-05,3182.56005859375
2013-11-06,3262.1201171875
2013-11-07,3262.1201171875
2013-11-08,3182.56005859375
2013-11-11,3341.68994140625
2013-11-12,3500.820068359375
2013-11-13,3500.820068359375
2013-11-14,3421.25
2013-11-15,3580.3798828125
2013-11-18,3580.3798828125
2013-11-19,3739.510009765625
2013-11-20,3978.199951171875
2013-11-21,3739.510009765625
2013-11-22,3739.510009765625
2013-11-25,3659.93994140625
2013-11-26,3739.510009765625
2013-11-27,3819.070068359375
2013-11-29,3739.510009765625
2013-12-02,3659.93994140625
2013-12-03,3739.510009765625
2013-12-04,3739.510009765625
2013-12-05,3819.070068359375
2013-12-06,3978.199951171875
2013-12-09,3819.070068359375
2013-12-10,3739.510009765625
2013-12-11,3500.820068359375
2013-12-12,3500.820068359375
2013-12-13,3500.820068359375
2013-12-16,3580.3798828125
2013-12-17,3580.3798828125
2013-12-18,3659.93994140625
2013-12-19,3739.510009765625
2013-12-20,3739.510009765625
2013-12-23,3898.639892578125
2013-12-24,4137.330078125
2013-12-26,4057.760009765625
2013-12-27,3898.639892578125
2013-12-30,3659.93994140625
2013-12-31,3898.639892578125
2014-01-02,3978.199951171875
2014-01-03,4057.760009765625
2014-01-06,4296.4599609375
2014-01-07,4296.4599609375
2014-01-08,4376.02001953125
2014-01-09,4296.4599609375
2014-01-10,4057.760009765625
2014-01-13,4137.330078125
2014-01-14,4057.760009765625
2014-01-15,4216.89013671875
2014-01-16,4137.330078125
2014-01-17,3978.199951171875
2014-01-21,4137.330078125
2014-01-22,4137.330078125
2014-01-23,4137.330078125
2014-01-24,4137.330078125
2014-01-27,4216.89013671875
2014-01-28,4216.89013671875
2014-01-29,4216.89013671875
2014-01-30,4216.89013671875
2014-01-31,4216.89013671875
2014-02-03,4216.89013671875
2014-02-04,4216.89013671875
2014-02-05,4216.89013671875
2014-02-06,4455.580078125
2014-02-07,4614.7099609375
2014-02-10,4614.7099609375
2014-02-11,4376.02001953125
2014-02-12,4535.14990234375
2014-02-13,4614.7099609375
2014-02-14,4455.580078125
2014-02-18,4694.27978515625
2014-02-19,4694.27978515625
2014-02-20,4535.14990234375
2014-02-21,4376.02001953125
2014-02-24,4614.7099609375
2014-02-25,4535.14990234375
2014-02-26,4614.7099609375
2014-02-27,4535.14990234375
2014-02-28,4614.7099609375
2014-03-03,4376.02001953125
2014-03-04,4455.580078125
2014-03-05,4535.14990234375
2014-03-06,4694.27978515625
2014-03-07,5012.52978515625
2014-03-10,5330.7900390625
2014-03-11,5330.7900390625
2014-03-12,5251.22021484375
2014-03-13,5569.47998046875
2014-03-14,5887.740234375
2014-03-17,6285.56005859375
2014-03-18,6603.81005859375
2014-03-19,7001.6298828125
2014-03-20,7399.4501953125
2014-03-21,7319.89013671875
2014-03-24,7797.27001953125
2014-03-25,8195.08984375
2014-03-26,7717.7099609375
2014-03-27,7717.7099609375
2014-03-28,7717.7099609375
2014-03-31,7479.02001953125
2014-04-01,7001.6298828125
2014-04-02,6762.93994140625
2014-04-03,7160.759765625
2014-04-04,7638.14013671875
2014-04-07,8035.9599609375
2014-04-08,8195.08984375
2014-04-09,8195.08984375
2014-04-10,8035.9599609375
2014-04-11,8592.91015625
2014-04-14,8831.599609375
2014-04-15,8274.66015625
2014-04-16,7717.7099609375
2014-04-17,7797.27001953125
2014-04-21,6922.06982421875
2014-04-22,6922.06982421875
2014-04-23,7558.580078125
2014-04-24,7638.14013671875
2014-04-25,7558.580078125
2014-04-28,7081.18994140625
2014-04-29,7081.18994140625
2014-04-30,7081.18994140625
2014-05-01,7081.18994140625
2014-05-02,7081.18994140625
2014-05-05,6603.81005859375
2014-05-06,6444.68017578125
2014-05-07,6046.85986328125
2014-05-08,5649.0400390625
2014-05-09,5489.919921875
2014-05-12,5171.66015625
2014-05-13,4853.39990234375
2014-05-14,5171.66015625
2014-05-15,5012.52978515625
2014-05-16,5330.7900390625
2014-05-19,5649.0400390625
2014-05-20,5967.2998046875
2014-05-21,6205.990234375
2014-05-22,5887.740234375
2014-05-23,5808.169921875
2014-05-27,6603.81005859375
2014-05-28,6683.3798828125
2014-05-29,6365.1201171875
2014-05-30,6205.990234375
2014-06-02,6285.56005859375
2014-06-03,6285.56005859375
2014-06-04,5967.2998046875
2014-06-05,6126.43017578125
2014-06-06,6365.1201171875
2014-06-09,6365.1201171875
