,FMBIO
2020-10-21,27.6200008392334
2020-10-22,27.68000030517578
2020-10-23,27.700000762939453
2020-10-26,27.639999389648438
2020-10-27,27.739999771118164
2020-10-28,27.469999313354492
2020-10-29,27.420000076293945
2020-10-30,27.969999313354492
2020-11-02,27.899999618530273
2020-11-03,28.0
2020-11-04,27.549999237060547
2020-11-05,27.3700008392334
2020-11-06,27.614999771118164
2020-11-09,27.790000915527344
2020-11-10,27.729999542236328
2020-11-11,27.700000762939453
2020-11-12,27.950000762939453
2020-11-13,27.959999084472656
2020-11-16,27.75
2020-11-17,27.479999542236328
2020-11-18,27.520000457763672
2020-11-19,27.350000381469727
2020-11-20,27.299999237060547
2020-11-23,27.479999542236328
2020-11-24,27.100000381469727
2020-11-25,26.860000610351562
2020-11-27,27.270000457763672
2020-11-30,27.260000228881836
2020-12-01,27.020000457763672
2020-12-02,27.43000030517578
2020-12-03,27.079999923706055
2020-12-04,27.40999984741211
2020-12-07,27.549999237060547
2020-12-08,27.81999969482422
2020-12-09,27.959999084472656
2020-12-10,27.799999237060547
2020-12-11,27.90999984741211
2020-12-14,28.110000610351562
2020-12-15,27.75
2020-12-16,27.5
2020-12-17,27.700000762939453
2020-12-18,27.940000534057617
2020-12-21,27.610000610351562
2020-12-22,27.899999618530273
2020-12-23,27.725000381469727
2020-12-24,27.799999237060547
2020-12-28,27.899999618530273
2020-12-29,27.850000381469727
2020-12-30,27.829999923706055
2020-12-31,28.559999465942383
2021-01-04,28.5
2021-01-05,28.284000396728516
2021-01-06,27.795000076293945
2021-01-07,27.469999313354492
2021-01-08,27.5
2021-01-11,27.030000686645508
2021-01-12,26.790000915527344
2021-01-13,26.899999618530273
2021-01-14,27.075000762939453
2021-01-15,27.530000686645508
2021-01-19,27.65999984741211
2021-01-20,27.549999237060547
2021-01-21,27.889999389648438
2021-01-22,27.408000946044922
2021-01-25,27.649999618530273
2021-01-26,27.56999969482422
2021-01-27,27.0
2021-01-28,27.34000015258789
2021-01-29,27.309999465942383
2021-02-01,27.58799934387207
2021-02-02,27.639999389648438
2021-02-03,27.719999313354492
2021-02-04,27.700000762939453
2021-02-05,27.360000610351562
2021-02-08,27.540000915527344
2021-02-09,27.700000762939453
2021-02-10,27.600000381469727
2021-02-11,27.799999237060547
2021-02-12,28.0
2021-02-16,27.56999969482422
2021-02-17,27.440000534057617
2021-02-18,27.649999618530273
2021-02-19,27.65999984741211
2021-02-22,27.6200008392334
2021-02-23,27.700000762939453
2021-02-24,27.68000030517578
2021-02-25,27.690000534057617
2021-02-26,27.8700008392334
2021-03-01,27.6200008392334
2021-03-02,27.774999618530273
2021-03-03,27.219999313354492
2021-03-04,27.600000381469727
2021-03-05,27.881000518798828
2021-03-08,28.049999237060547
2021-03-09,27.83099937438965
2021-03-10,27.440000534057617
2021-03-11,27.549999237060547
2021-03-12,27.540000915527344
2021-03-15,27.472000122070312
2021-03-16,27.790000915527344
2021-03-17,27.8799991607666
2021-03-18,27.540000915527344
2021-03-19,27.534000396728516
2021-03-22,27.700000762939453
2021-03-23,27.73699951171875
2021-03-24,27.5
2021-03-25,27.540000915527344
2021-03-26,27.579999923706055
2021-03-29,27.690000534057617
2021-03-30,27.56999969482422
2021-03-31,28.110000610351562
2021-04-01,27.549999237060547
2021-04-05,27.799999237060547
2021-04-06,27.899999618530273
2021-04-07,27.399999618530273
2021-04-08,27.559999465942383
2021-04-09,27.68000030517578
2021-04-12,27.780000686645508
2021-04-13,27.809999465942383
2021-04-14,27.84000015258789
2021-04-15,27.948999404907227
2021-04-16,27.899999618530273
2021-04-19,28.0
2021-04-20,27.889999389648438
2021-04-21,27.799999237060547
2021-04-22,27.85099983215332
2021-04-23,27.860000610351562
2021-04-26,28.209999084472656
2021-04-27,27.899999618530273
2021-04-28,28.260000228881836
2021-04-29,28.01300048828125
2021-04-30,28.399999618530273
2021-05-03,28.399999618530273
2021-05-04,27.6299991607666
2021-05-05,27.610000610351562
2021-05-06,27.610000610351562
2021-05-07,27.639999389648438
2021-05-10,27.618999481201172
2021-05-11,27.84000015258789
2021-05-12,27.559999465942383
2021-05-13,27.208999633789062
2021-05-14,28.190000534057617
