,TRN
1974-01-10,0.39061200618743896
1974-01-11,0.39265701174736023
1974-01-14,0.38038599491119385
1974-01-15,0.3844760060310364
1974-01-16,0.4069719910621643
1974-01-17,0.42128801345825195
1974-01-18,0.40492698550224304
1974-01-21,0.39674699306488037
1974-01-22,0.39674699306488037
1974-01-23,0.39879199862480164
1974-01-24,0.39265701174736023
1974-01-25,0.40492698550224304
1974-01-28,0.39879199862480164
1974-01-29,0.39265701174736023
1974-01-30,0.39674699306488037
1974-01-31,0.4069719910621643
1974-02-01,0.40492698550224304
1974-02-04,0.38038599491119385
1974-02-05,0.3885659873485565
1974-02-06,0.39061200618743896
1974-02-07,0.39061200618743896
1974-02-08,0.3844760060310364
1974-02-11,0.38038599491119385
1974-02-12,0.3701609969139099
1974-02-13,0.3599349856376648
