,COMT
2015-06-02,40.400001525878906
2015-06-03,40.02000045776367
2015-06-04,39.560001373291016
2015-06-05,39.79999923706055
2015-06-08,39.7599983215332
2015-06-09,40.15999984741211
2015-06-10,40.595001220703125
2015-06-11,40.11000061035156
2015-06-12,39.79999923706055
2015-06-15,39.63999938964844
2015-06-16,39.59000015258789
2015-06-17,39.689998626708984
2015-06-18,39.689998626708984
2015-06-19,39.349998474121094
2015-06-22,39.595001220703125
2015-06-23,39.959999084472656
2015-06-24,39.43000030517578
2015-06-25,39.20000076293945
2015-06-26,39.31999969482422
2015-06-29,39.0099983215332
2015-06-30,39.470001220703125
2015-07-01,38.775001525878906
2015-07-02,38.7400016784668
2015-07-06,37.630001068115234
2015-07-07,37.439998626708984
2015-07-08,36.900001525878906
2015-07-09,37.25
2015-07-10,37.47999954223633
2015-07-13,37.619998931884766
2015-07-14,37.560001373291016
2015-07-15,37.119998931884766
2015-07-16,36.779998779296875
2015-07-17,36.720001220703125
2015-07-20,35.94499969482422
2015-07-21,36.4900016784668
2015-07-22,35.97999954223633
2015-07-23,35.38999938964844
2015-07-24,34.9900016784668
2015-07-27,34.56999969482422
2015-07-28,35.0
2015-07-29,35.310001373291016
2015-07-30,34.95000076293945
2015-07-31,34.470001220703125
2015-08-03,34.13999938964844
2015-08-04,34.34400177001953
2015-08-05,34.040000915527344
2015-08-06,34.20000076293945
2015-08-07,33.9900016784668
2015-08-10,34.869998931884766
2015-08-11,34.01499938964844
2015-08-12,34.279998779296875
2015-08-13,33.97999954223633
2015-08-14,33.85900115966797
2015-08-17,33.58000183105469
2015-08-18,33.58000183105469
2015-08-19,32.900001525878906
2015-08-20,32.7599983215332
2015-08-21,32.13999938964844
2015-08-24,30.899999618530273
2015-08-25,31.049999237060547
2015-08-26,31.190000534057617
2015-08-27,32.65999984741211
2015-08-28,33.619998931884766
2015-08-31,34.4900016784668
2015-09-01,32.81999969482422
2015-09-02,33.27000045776367
2015-09-03,33.619998931884766
2015-09-04,33.06999969482422
2015-09-08,33.4900016784668
2015-09-09,32.95000076293945
2015-09-10,33.34000015258789
2015-09-11,33.27000045776367
2015-09-14,32.849998474121094
2015-09-15,33.040000915527344
2015-09-16,33.630001068115234
2015-09-17,33.34000015258789
2015-09-18,32.720001220703125
2015-09-21,32.970001220703125
2015-09-22,32.650001525878906
2015-09-23,32.06999969482422
2015-09-24,32.38999938964844
2015-09-25,32.27000045776367
2015-09-28,31.739999771118164
2015-09-29,31.850000381469727
2015-09-30,32.20000076293945
2015-10-01,31.8700008392334
2015-10-02,32.380001068115234
2015-10-05,32.959999084472656
2015-10-06,33.685001373291016
2015-10-07,34.040000915527344
2015-10-08,34.54999923706055
2015-10-09,34.60499954223633
2015-10-12,34.02000045776367
2015-10-13,33.77000045776367
2015-10-14,33.90999984741211
2015-10-15,33.87099838256836
2015-10-16,33.810001373291016
2015-10-19,33.33000183105469
2015-10-20,33.349998474121094
2015-10-21,33.029998779296875
2015-10-22,33.279998779296875
2015-10-23,33.08000183105469
2015-10-26,32.790000915527344
2015-10-27,32.45000076293945
2015-10-28,33.02000045776367
2015-10-29,32.75
2015-10-30,32.9900016784668
2015-11-02,32.880001068115234
2015-11-03,33.470001220703125
2015-11-04,32.9900016784668
2015-11-05,32.56999969482422
2015-11-06,32.150001525878906
2015-11-09,31.84000015258789
2015-11-10,31.65999984741211
2015-11-11,31.31999969482422
2015-11-12,30.829999923706055
2015-11-13,30.690000534057617
2015-11-16,30.8700008392334
2015-11-17,30.549999237060547
2015-11-18,30.81999969482422
2015-11-19,30.719999313354492
2015-11-20,30.6299991607666
2015-11-23,30.760000228881836
2015-11-24,31.209999084472656
2015-11-25,31.0
2015-11-27,30.600000381469727
2015-11-30,30.469999313354492
2015-12-01,30.579999923706055
2015-12-02,30.010000228881836
2015-12-03,30.15999984741211
2015-12-04,30.110000610351562
2015-12-07,29.110000610351562
2015-12-08,28.739999771118164
2015-12-09,28.959999084472656
2015-12-10,28.8799991607666
2015-12-11,28.350000381469727
2015-12-14,27.979999542236328
2015-12-15,28.15999984741211
2015-12-16,28.059999465942383
2015-12-17,27.65999984741211
2015-12-18,27.649999618530273
2015-12-21,27.6299991607666
2015-12-22,27.66699981689453
2015-12-23,28.40999984741211
2015-12-24,28.604000091552734
2015-12-28,28.270000457763672
2015-12-29,28.5
2015-12-30,28.34000015258789
2015-12-31,28.440000534057617
2016-01-04,28.309999465942383
2016-01-05,28.040000915527344
2016-01-06,27.3799991607666
2016-01-07,26.959999084472656
2016-01-08,26.799999237060547
2016-01-11,26.030000686645508
2016-01-12,25.639999389648438
2016-01-13,25.34000015258789
2016-01-14,25.600000381469727
2016-01-15,24.989999771118164
2016-01-19,24.709999084472656
2016-01-20,24.25
2016-01-21,24.729999542236328
2016-01-22,25.579999923706055
2016-01-25,24.93000030517578
2016-01-26,25.729999542236328
2016-01-27,26.010000228881836
2016-01-28,26.260000228881836
2016-01-29,26.69499969482422
2016-02-01,26.270000457763672
2016-02-02,25.760000228881836
2016-02-03,26.739999771118164
2016-02-04,27.0
2016-02-05,26.799999237060547
2016-02-08,26.450000762939453
2016-02-09,25.68000030517578
2016-02-10,25.639999389648438
2016-02-11,25.84000015258789
2016-02-12,26.40999984741211
2016-02-16,26.290000915527344
2016-02-17,27.049999237060547
2016-02-18,26.920000076293945
2016-02-19,26.628000259399414
2016-02-22,27.25
2016-02-23,26.790000915527344
2016-02-24,26.93000030517578
2016-02-25,27.059999465942383
2016-02-26,26.93000030517578
2016-02-29,27.31999969482422
2016-03-01,27.420000076293945
2016-03-02,27.780000686645508
2016-03-03,28.040000915527344
2016-03-04,28.790000915527344
2016-03-07,29.530000686645508
2016-03-08,28.68000030517578
2016-03-09,29.06999969482422
2016-03-10,29.079999923706055
2016-03-11,29.34000015258789
2016-03-14,29.049999237060547
2016-03-15,28.655000686645508
2016-03-16,29.3700008392334
2016-03-17,29.8700008392334
2016-03-18,29.75
2016-03-21,29.84000015258789
2016-03-22,30.0
2016-03-23,29.079999923706055
2016-03-24,28.964000701904297
2016-03-28,28.993999481201172
2016-03-29,29.110000610351562
2016-03-30,29.049999237060547
2016-03-31,28.850000381469727
2016-04-01,28.479999542236328
2016-04-04,27.889999389648438
2016-04-05,27.829999923706055
2016-04-06,28.260000228881836
2016-04-07,28.239999771118164
2016-04-08,28.84000015258789
2016-04-11,29.31999969482422
2016-04-12,30.149999618530273
2016-04-13,30.219999313354492
2016-04-14,29.989999771118164
2016-04-15,29.93000030517578
2016-04-18,30.15999984741211
2016-04-19,30.829999923706055
2016-04-20,31.459999084472656
2016-04-21,31.229999542236328
2016-04-22,31.079999923706055
2016-04-25,30.950000762939453
2016-04-26,31.3799991607666
2016-04-27,31.709999084472656
2016-04-28,31.950000762939453
2016-04-29,32.279998779296875
2016-05-02,31.8799991607666
2016-05-03,31.18000030517578
2016-05-04,30.8799991607666
2016-05-05,30.790000915527344
2016-05-06,31.030000686645508
2016-05-09,30.100000381469727
2016-05-10,31.010000228881836
2016-05-11,31.489999771118164
2016-05-12,31.399999618530273
2016-05-13,31.350000381469727
2016-05-16,31.760000228881836
2016-05-17,32.15999984741211
2016-05-18,31.5
2016-05-19,31.540000915527344
2016-05-20,31.56999969482422
2016-05-23,31.510000228881836
2016-05-24,31.559999465942383
2016-05-25,32.08000183105469
2016-05-26,32.0099983215332
2016-05-27,31.979999542236328
2016-05-31,31.899999618530273
2016-06-01,31.84000015258789
2016-06-02,31.989999771118164
2016-06-03,32.4900016784668
2016-06-06,32.88999938964844
2016-06-07,33.209999084472656
