,EARS
2016-12-27,240.0
2016-12-28,236.0
2016-12-29,222.0
2016-12-30,214.0
2017-01-03,230.0
2017-01-04,240.0
2017-01-05,242.0
2017-01-06,248.0
2017-01-09,240.0
2017-01-10,232.0
2017-01-11,234.0
2017-01-12,238.0
2017-01-13,230.0
2017-01-17,222.0
2017-01-18,212.0
2017-01-19,216.0
2017-01-20,212.0
2017-01-23,230.0
2017-01-24,220.0
2017-01-25,224.0
2017-01-26,218.0
2017-01-27,226.0
2017-01-30,226.0
2017-01-31,236.0
2017-02-01,232.0
2017-02-02,234.0
2017-02-03,238.0
2017-02-06,254.0
2017-02-07,240.0
2017-02-08,252.0
2017-02-09,242.0
2017-02-10,238.0
2017-02-13,234.0
2017-02-14,230.0
2017-02-15,186.8000030517578
2017-02-16,184.0
2017-02-17,184.0
2017-02-21,184.0
2017-02-22,184.0
2017-02-23,184.0
2017-02-24,188.0
2017-02-27,170.0
2017-02-28,159.0
2017-03-01,153.0
2017-03-02,153.8000030517578
2017-03-03,148.0
2017-03-06,133.0
2017-03-07,138.0
2017-03-08,135.0
2017-03-09,138.0
2017-03-10,156.0
2017-03-13,168.0
2017-03-14,177.8000030517578
2017-03-15,169.0
2017-03-16,174.8000030517578
2017-03-17,182.0
2017-03-20,186.8000030517578
2017-03-21,180.0
2017-03-22,176.0
2017-03-23,178.0
2017-03-24,180.0
2017-03-27,174.8000030517578
2017-03-28,181.0
2017-03-29,186.0
2017-03-30,185.0
2017-03-31,184.0
2017-04-03,184.0
2017-04-04,178.0
2017-04-05,172.8000030517578
2017-04-06,162.0
2017-04-07,150.0
2017-04-10,153.0
2017-04-11,150.0
2017-04-12,144.60000610351562
2017-04-13,150.0
2017-04-17,154.0
2017-04-18,156.8000030517578
2017-04-19,150.0
2017-04-20,154.0
2017-04-21,156.0
2017-04-24,146.0
2017-04-25,146.0
2017-04-26,154.0
2017-04-27,154.0
2017-04-28,144.39999389648438
2017-05-01,144.0
2017-05-02,142.0
2017-05-03,144.0
2017-05-04,142.0
2017-05-05,140.0
2017-05-08,141.0
2017-05-09,144.0
2017-05-10,144.0
2017-05-11,140.0
2017-05-12,140.39999389648438
2017-05-15,137.0
2017-05-16,132.0
2017-05-17,132.0
2017-05-18,128.0
2017-05-19,131.0
2017-05-22,133.60000610351562
2017-05-23,133.60000610351562
2017-05-24,136.0
2017-05-25,128.39999389648438
2017-05-26,127.0
2017-05-30,120.19999694824219
2017-05-31,121.0
2017-06-01,122.4000015258789
2017-06-02,122.0
2017-06-05,122.0
2017-06-06,122.0
2017-06-07,123.0
2017-06-08,133.0
2017-06-09,134.0
2017-06-12,133.0
2017-06-13,134.0
2017-06-14,134.0
2017-06-15,147.60000610351562
2017-06-16,138.0
2017-06-19,129.0
2017-06-20,130.0
2017-06-21,130.0
2017-06-22,130.0
2017-06-23,130.0
2017-06-26,138.0
2017-06-27,146.0
2017-06-28,146.0
2017-06-29,148.0
2017-06-30,143.0
2017-07-03,147.0
2017-07-05,151.60000610351562
2017-07-06,166.8000030517578
2017-07-07,185.60000610351562
2017-07-10,169.1999969482422
2017-07-11,166.0
2017-07-12,164.0
2017-07-13,164.0
2017-07-14,175.1999969482422
2017-07-17,176.8000030517578
2017-07-18,172.1999969482422
2017-07-19,174.0
2017-07-20,173.0
2017-07-21,175.60000610351562
2017-07-24,174.0
2017-07-25,177.0
2017-07-26,174.0
2017-07-27,168.1999969482422
2017-07-28,166.0
2017-07-31,156.0
2017-08-01,155.1999969482422
2017-08-02,158.0
2017-08-03,154.0
2017-08-04,159.8000030517578
2017-08-07,161.0
2017-08-08,162.0
2017-08-09,157.39999389648438
2017-08-10,152.0
2017-08-11,150.0
2017-08-14,154.0
2017-08-15,150.0
2017-08-16,148.0
2017-08-17,145.0
2017-08-18,143.1999969482422
2017-08-21,133.1999969482422
2017-08-22,133.60000610351562
2017-08-23,129.0
2017-08-24,129.0
2017-08-25,130.0
2017-08-28,130.0
2017-08-29,130.0
2017-08-30,130.0
2017-08-31,127.0
2017-09-01,145.0
2017-09-05,138.8000030517578
2017-09-06,137.8000030517578
2017-09-07,137.8000030517578
2017-09-08,134.8000030517578
2017-09-11,136.0
2017-09-12,144.0
2017-09-13,143.8000030517578
2017-09-14,142.0
2017-09-15,143.0
2017-09-18,138.39999389648438
2017-09-19,138.0
2017-09-20,140.0
2017-09-21,142.0
2017-09-22,163.0
2017-09-25,158.0
2017-09-26,146.0
2017-09-27,146.0
2017-09-28,159.8000030517578
2017-09-29,164.0
2017-10-02,168.0
2017-10-03,174.0
2017-10-04,176.0
