,ANNX
2020-12-09,24.219999313354492
2020-12-10,24.700000762939453
2020-12-11,24.829999923706055
2020-12-14,24.670000076293945
2020-12-15,25.299999237060547
2020-12-16,25.84000015258789
2020-12-17,29.219999313354492
2020-12-18,28.979999542236328
2020-12-21,26.309999465942383
2020-12-22,28.639999389648438
2020-12-23,30.549999237060547
2020-12-24,29.979999542236328
2020-12-28,28.729999542236328
2020-12-29,28.260000228881836
2020-12-30,27.639999389648438
2020-12-31,25.030000686645508
2021-01-04,23.90999984741211
2021-01-05,22.59000015258789
2021-01-06,23.239999771118164
2021-01-07,22.5
2021-01-08,22.309999465942383
2021-01-11,22.040000915527344
2021-01-12,22.3799991607666
2021-01-13,22.280000686645508
2021-01-14,24.219999313354492
2021-01-15,27.450000762939453
2021-01-19,27.889999389648438
2021-01-20,26.450000762939453
2021-01-21,25.229999542236328
2021-01-22,27.020000457763672
2021-01-25,25.5
2021-01-26,24.90999984741211
2021-01-27,22.469999313354492
2021-01-28,22.489999771118164
2021-01-29,22.0
2021-02-01,22.010000228881836
2021-02-02,23.389999389648438
2021-02-03,22.459999084472656
2021-02-04,23.3799991607666
2021-02-05,24.34000015258789
2021-02-08,26.329999923706055
2021-02-09,28.510000228881836
2021-02-10,28.06999969482422
2021-02-11,28.200000762939453
2021-02-12,27.799999237060547
2021-02-16,27.15999984741211
2021-02-17,29.149999618530273
2021-02-18,29.31999969482422
2021-02-19,30.1200008392334
2021-02-22,33.040000915527344
2021-02-23,31.170000076293945
2021-02-24,30.799999237060547
2021-02-25,30.06999969482422
2021-02-26,29.110000610351562
2021-03-01,29.90999984741211
2021-03-02,30.8700008392334
2021-03-03,30.850000381469727
2021-03-04,29.010000228881836
2021-03-05,31.010000228881836
2021-03-08,28.729999542236328
2021-03-09,32.290000915527344
2021-03-10,32.11000061035156
2021-03-11,34.02000045776367
2021-03-12,33.88999938964844
2021-03-15,34.45000076293945
2021-03-16,35.0099983215332
2021-03-17,31.540000915527344
2021-03-18,31.149999618530273
2021-03-19,29.829999923706055
2021-03-22,28.56999969482422
2021-03-23,29.360000610351562
2021-03-24,29.920000076293945
2021-03-25,29.1299991607666
2021-03-26,27.5
2021-03-29,24.510000228881836
2021-03-30,24.709999084472656
2021-03-31,27.84000015258789
2021-04-01,27.479999542236328
2021-04-05,27.329999923706055
2021-04-06,26.059999465942383
2021-04-07,24.530000686645508
2021-04-08,25.149999618530273
2021-04-09,24.93000030517578
2021-04-12,23.25
2021-04-13,23.049999237060547
2021-04-14,23.350000381469727
2021-04-15,23.93000030517578
2021-04-16,23.420000076293945
2021-04-19,21.520000457763672
2021-04-20,21.780000686645508
2021-04-21,22.239999771118164
2021-04-22,21.34000015258789
2021-04-23,21.079999923706055
2021-04-26,21.05500030517578
2021-04-27,20.510000228881836
2021-04-28,20.0
2021-04-29,20.049999237060547
2021-04-30,19.93000030517578
2021-05-03,19.90999984741211
2021-05-04,19.270000457763672
2021-05-05,19.969999313354492
2021-05-06,19.84000015258789
2021-05-07,19.93000030517578
2021-05-10,18.479999542236328
2021-05-11,17.809999465942383
2021-05-12,19.56999969482422
2021-05-13,19.719999313354492
2021-05-14,20.530000686645508
