,DCPH
2018-01-26,26.440000534057617
2018-01-29,26.219999313354492
2018-01-30,26.360000610351562
2018-01-31,26.0
2018-02-01,26.829999923706055
2018-02-02,26.1200008392334
2018-02-05,25.940000534057617
2018-02-06,26.020000457763672
2018-02-07,26.389999389648438
2018-02-08,25.799999237060547
2018-02-09,26.06999969482422
2018-02-12,27.940000534057617
2018-02-13,28.920000076293945
2018-02-14,29.0
2018-02-15,28.700000762939453
2018-02-16,29.709999084472656
2018-02-20,28.170000076293945
2018-02-21,28.09000015258789
2018-02-22,26.59000015258789
2018-02-23,25.040000915527344
2018-02-26,27.139999389648438
2018-02-27,26.829999923706055
2018-02-28,25.020000457763672
2018-03-01,24.360000610351562
2018-03-02,27.229999542236328
2018-03-05,27.610000610351562
2018-03-06,24.270000457763672
2018-03-07,24.399999618530273
2018-03-08,23.489999771118164
2018-03-09,24.540000915527344
2018-03-12,23.700000762939453
2018-03-13,23.420000076293945
2018-03-14,23.6200008392334
2018-03-15,22.170000076293945
2018-03-16,22.399999618530273
2018-03-19,22.93000030517578
2018-03-20,22.84000015258789
2018-03-21,23.0
2018-03-22,21.84000015258789
2018-03-23,21.18000030517578
2018-03-26,20.90999984741211
2018-03-27,20.75
2018-03-28,20.989999771118164
2018-03-29,20.040000915527344
2018-04-02,20.059999465942383
2018-04-03,21.8700008392334
2018-04-04,21.780000686645508
2018-04-05,21.84000015258789
2018-04-06,24.0
2018-04-09,25.5
2018-04-10,27.030000686645508
2018-04-11,27.329999923706055
2018-04-12,27.049999237060547
2018-04-13,25.56999969482422
2018-04-16,24.1299991607666
2018-04-17,23.780000686645508
2018-04-18,23.559999465942383
2018-04-19,24.139999389648438
2018-04-20,24.229999542236328
2018-04-23,23.139999389648438
2018-04-24,22.8799991607666
2018-04-25,22.559999465942383
2018-04-26,22.459999084472656
2018-04-27,22.170000076293945
2018-04-30,22.440000534057617
2018-05-01,23.639999389648438
2018-05-02,25.229999542236328
2018-05-03,24.610000610351562
2018-05-04,25.149999618530273
2018-05-07,25.100000381469727
2018-05-08,24.670000076293945
2018-05-09,25.600000381469727
2018-05-10,24.959999084472656
2018-05-11,24.959999084472656
2018-05-14,26.829999923706055
2018-05-15,26.40999984741211
2018-05-16,25.860000610351562
2018-05-17,25.729999542236328
2018-05-18,25.280000686645508
2018-05-21,27.209999084472656
2018-05-22,25.670000076293945
2018-05-23,25.850000381469727
2018-05-24,25.049999237060547
2018-05-25,25.309999465942383
2018-05-29,26.5
2018-05-30,26.729999542236328
2018-05-31,25.719999313354492
2018-06-01,25.90999984741211
2018-06-04,38.310001373291016
2018-06-05,39.970001220703125
2018-06-06,41.52000045776367
2018-06-07,35.88999938964844
2018-06-08,35.130001068115234
2018-06-11,36.11000061035156
2018-06-12,38.47999954223633
2018-06-13,38.34000015258789
2018-06-14,40.369998931884766
2018-06-15,41.86000061035156
2018-06-18,44.65999984741211
2018-06-19,43.959999084472656
2018-06-20,44.369998931884766
2018-06-21,44.95000076293945
2018-06-22,39.54999923706055
2018-06-25,39.5
2018-06-26,40.130001068115234
2018-06-27,37.459999084472656
2018-06-28,38.459999084472656
2018-06-29,39.349998474121094
2018-07-02,38.720001220703125
2018-07-03,41.029998779296875
2018-07-05,42.099998474121094
2018-07-06,40.56999969482422
2018-07-09,40.38999938964844
2018-07-10,38.63999938964844
2018-07-11,37.77000045776367
2018-07-12,38.439998626708984
2018-07-13,37.560001373291016
2018-07-16,38.209999084472656
2018-07-17,37.869998931884766
2018-07-18,37.88999938964844
2018-07-19,36.959999084472656
2018-07-20,37.09000015258789
2018-07-23,36.52000045776367
2018-07-24,36.18000030517578
2018-07-25,36.720001220703125
2018-07-26,36.599998474121094
2018-07-27,33.79999923706055
2018-07-30,33.56999969482422
2018-07-31,34.400001525878906
2018-08-01,35.4900016784668
2018-08-02,36.25
2018-08-03,35.689998626708984
2018-08-06,35.959999084472656
2018-08-07,36.0
2018-08-08,34.880001068115234
2018-08-09,36.58000183105469
2018-08-10,35.59000015258789
2018-08-13,35.380001068115234
2018-08-14,34.4900016784668
2018-08-15,33.709999084472656
2018-08-16,35.52000045776367
2018-08-17,34.959999084472656
2018-08-20,34.25
2018-08-21,34.68000030517578
2018-08-22,36.25
2018-08-23,35.77000045776367
2018-08-24,35.470001220703125
2018-08-27,38.54999923706055
2018-08-28,38.310001373291016
2018-08-29,37.650001525878906
2018-08-30,37.310001373291016
2018-08-31,36.9900016784668
2018-09-04,36.209999084472656
2018-09-05,35.66999816894531
2018-09-06,36.900001525878906
2018-09-07,37.959999084472656
2018-09-10,38.209999084472656
2018-09-11,38.40999984741211
2018-09-12,36.560001373291016
2018-09-13,36.45000076293945
2018-09-14,35.5
2018-09-17,34.7400016784668
2018-09-18,36.099998474121094
2018-09-19,36.380001068115234
2018-09-20,39.310001373291016
2018-09-21,38.970001220703125
2018-09-24,39.91999816894531
2018-09-25,38.2599983215332
2018-09-26,38.5
2018-09-27,38.4900016784668
2018-09-28,38.720001220703125
2018-10-01,35.540000915527344
2018-10-02,35.099998474121094
2018-10-03,36.13999938964844
2018-10-04,32.20000076293945
2018-10-05,31.15999984741211
2018-10-08,30.809999465942383
2018-10-09,31.389999389648438
2018-10-10,29.280000686645508
2018-10-11,28.079999923706055
2018-10-12,28.149999618530273
2018-10-15,27.979999542236328
2018-10-16,28.75
2018-10-17,28.649999618530273
2018-10-18,27.229999542236328
2018-10-19,22.260000228881836
2018-10-22,22.649999618530273
2018-10-23,22.540000915527344
2018-10-24,20.809999465942383
2018-10-25,21.139999389648438
2018-10-26,20.479999542236328
2018-10-29,19.079999923706055
2018-10-30,19.940000534057617
2018-10-31,20.190000534057617
2018-11-01,21.360000610351562
2018-11-02,20.40999984741211
2018-11-05,20.40999984741211
2018-11-06,20.56999969482422
2018-11-07,21.690000534057617
2018-11-08,20.0
2018-11-09,20.0
2018-11-12,20.959999084472656
2018-11-13,21.6299991607666
2018-11-14,20.579999923706055
2018-11-15,22.729999542236328
2018-11-16,22.75
2018-11-19,22.920000076293945
2018-11-20,23.229999542236328
2018-11-21,23.5
2018-11-23,23.079999923706055
2018-11-26,24.059999465942383
2018-11-27,23.989999771118164
2018-11-28,25.3799991607666
2018-11-29,25.59000015258789
2018-11-30,26.06999969482422
2018-12-03,27.610000610351562
2018-12-04,26.469999313354492
2018-12-06,27.889999389648438
2018-12-07,27.959999084472656
2018-12-10,27.43000030517578
2018-12-11,27.139999389648438
2018-12-12,26.93000030517578
2018-12-13,25.43000030517578
2018-12-14,26.209999084472656
2018-12-17,24.739999771118164
2018-12-18,23.559999465942383
2018-12-19,22.309999465942383
2018-12-20,21.209999084472656
2018-12-21,20.059999465942383
2018-12-24,20.100000381469727
2018-12-26,20.969999313354492
2018-12-27,20.719999313354492
2018-12-28,20.59000015258789
2018-12-31,20.989999771118164
2019-01-02,22.479999542236328
2019-01-03,20.649999618530273
2019-01-04,21.469999313354492
2019-01-07,24.350000381469727
2019-01-08,25.0
2019-01-09,25.40999984741211
2019-01-10,25.889999389648438
2019-01-11,24.920000076293945
2019-01-14,24.31999969482422
2019-01-15,25.149999618530273
2019-01-16,26.399999618530273
2019-01-17,25.510000228881836
2019-01-18,26.75
2019-01-22,26.3700008392334
2019-01-23,25.739999771118164
2019-01-24,26.450000762939453
2019-01-25,27.329999923706055
2019-01-28,25.309999465942383
2019-01-29,25.829999923706055
2019-01-30,26.350000381469727
2019-01-31,26.8700008392334
2019-02-01,27.559999465942383
2019-02-04,27.75
2019-02-05,27.459999084472656
2019-02-06,27.030000686645508
2019-02-07,27.1200008392334
2019-02-08,27.709999084472656
2019-02-11,27.690000534057617
2019-02-12,27.6299991607666
2019-02-13,27.739999771118164
2019-02-14,27.969999313354492
2019-02-15,29.0
2019-02-19,29.280000686645508
2019-02-20,28.56999969482422
2019-02-21,26.459999084472656
2019-02-22,27.610000610351562
2019-02-25,28.75
2019-02-26,28.690000534057617
2019-02-27,29.549999237060547
2019-02-28,28.399999618530273
2019-03-01,28.639999389648438
2019-03-04,28.639999389648438
2019-03-05,27.59000015258789
2019-03-06,26.100000381469727
2019-03-07,25.899999618530273
2019-03-08,25.799999237060547
2019-03-11,26.790000915527344
2019-03-12,26.790000915527344
2019-03-13,26.260000228881836
2019-03-14,25.5
2019-03-15,25.290000915527344
2019-03-18,25.399999618530273
2019-03-19,24.8799991607666
2019-03-20,24.68000030517578
2019-03-21,24.459999084472656
2019-03-22,23.940000534057617
2019-03-25,24.059999465942383
2019-03-26,24.510000228881836
2019-03-27,23.899999618530273
2019-03-28,23.649999618530273
2019-03-29,23.209999084472656
2019-04-01,23.75
2019-04-02,23.540000915527344
2019-04-03,22.969999313354492
2019-04-04,22.6299991607666
2019-04-05,24.34000015258789
2019-04-08,23.600000381469727
2019-04-09,23.030000686645508
2019-04-10,23.639999389648438
2019-04-11,23.290000915527344
2019-04-12,22.959999084472656
2019-04-15,22.81999969482422
2019-04-16,23.510000228881836
2019-04-17,22.969999313354492
2019-04-18,23.450000762939453
2019-04-22,24.200000762939453
2019-04-23,25.350000381469727
2019-04-24,24.450000762939453
2019-04-25,24.0
2019-04-26,23.959999084472656
2019-04-29,23.719999313354492
2019-04-30,23.0
2019-05-01,22.93000030517578
2019-05-02,22.920000076293945
2019-05-03,23.59000015258789
2019-05-06,23.68000030517578
2019-05-07,22.510000228881836
2019-05-08,24.049999237060547
2019-05-09,24.329999923706055
2019-05-10,23.010000228881836
2019-05-13,22.670000076293945
2019-05-14,23.110000610351562
2019-05-15,23.469999313354492
2019-05-16,24.1299991607666
2019-05-17,23.889999389648438
2019-05-20,22.739999771118164
2019-05-21,25.079999923706055
2019-05-22,24.25
2019-05-23,23.479999542236328
2019-05-24,23.670000076293945
2019-05-28,23.440000534057617
2019-05-29,24.56999969482422
2019-05-30,23.43000030517578
2019-05-31,22.81999969482422
2019-06-03,24.459999084472656
2019-06-04,23.219999313354492
2019-06-05,21.8700008392334
2019-06-06,21.100000381469727
2019-06-07,21.920000076293945
2019-06-10,21.559999465942383
2019-06-11,21.049999237060547
2019-06-12,22.229999542236328
2019-06-13,23.15999984741211
2019-06-14,21.440000534057617
2019-06-17,23.059999465942383
2019-06-18,23.979999542236328
2019-06-19,24.469999313354492
2019-06-20,25.0
2019-06-21,26.209999084472656
2019-06-24,23.850000381469727
2019-06-25,23.690000534057617
2019-06-26,23.360000610351562
2019-06-27,23.34000015258789
2019-06-28,22.549999237060547
2019-07-01,24.0
2019-07-02,23.09000015258789
2019-07-03,23.190000534057617
2019-07-05,22.920000076293945
2019-07-08,22.489999771118164
2019-07-09,22.190000534057617
2019-07-10,21.760000228881836
2019-07-11,21.84000015258789
2019-07-12,21.600000381469727
2019-07-15,21.780000686645508
2019-07-16,20.90999984741211
2019-07-17,20.549999237060547
2019-07-18,20.649999618530273
2019-07-19,20.649999618530273
2019-07-22,21.770000457763672
2019-07-23,21.8700008392334
2019-07-24,21.90999984741211
2019-07-25,21.260000228881836
2019-07-26,21.479999542236328
2019-07-29,21.540000915527344
2019-07-30,22.40999984741211
2019-07-31,22.100000381469727
2019-08-01,22.479999542236328
2019-08-02,22.3700008392334
2019-08-05,23.0
2019-08-06,22.93000030517578
2019-08-07,23.450000762939453
2019-08-08,23.1200008392334
2019-08-09,23.479999542236328
2019-08-12,19.950000762939453
2019-08-13,35.900001525878906
2019-08-14,37.869998931884766
2019-08-15,36.29999923706055
2019-08-16,37.0
2019-08-19,36.650001525878906
2019-08-20,37.0
2019-08-21,36.08000183105469
2019-08-22,37.08000183105469
2019-08-23,36.06999969482422
2019-08-26,37.290000915527344
2019-08-27,37.869998931884766
2019-08-28,38.849998474121094
2019-08-29,37.5
2019-08-30,36.279998779296875
2019-09-03,36.43000030517578
2019-09-04,36.72999954223633
2019-09-05,37.31999969482422
2019-09-06,37.09000015258789
2019-09-09,35.29999923706055
2019-09-10,35.2599983215332
2019-09-11,35.560001373291016
2019-09-12,36.47999954223633
2019-09-13,36.849998474121094
2019-09-16,36.5099983215332
2019-09-17,36.52000045776367
2019-09-18,35.90999984741211
2019-09-19,36.02000045776367
2019-09-20,36.529998779296875
2019-09-23,36.36000061035156
2019-09-24,35.41999816894531
2019-09-25,34.5099983215332
2019-09-26,32.86000061035156
2019-09-27,32.54999923706055
2019-09-30,33.939998626708984
2019-10-01,33.040000915527344
2019-10-02,34.150001525878906
2019-10-03,35.63999938964844
2019-10-04,34.380001068115234
2019-10-07,33.75
2019-10-08,31.8799991607666
2019-10-09,31.700000762939453
2019-10-10,32.540000915527344
2019-10-11,32.540000915527344
2019-10-14,33.15999984741211
2019-10-15,34.43000030517578
2019-10-16,34.02000045776367
2019-10-17,34.060001373291016
2019-10-18,34.22999954223633
2019-10-21,35.02000045776367
2019-10-22,34.86000061035156
2019-10-23,34.59000015258789
2019-10-24,35.39500045776367
2019-10-25,36.060001373291016
2019-10-28,39.06999969482422
2019-10-29,40.529998779296875
2019-10-30,43.849998474121094
2019-10-31,44.34000015258789
2019-11-01,45.459999084472656
2019-11-04,46.0
2019-11-05,46.15999984741211
2019-11-06,46.5099983215332
2019-11-07,47.13999938964844
2019-11-08,47.470001220703125
2019-11-11,48.59000015258789
