,AGEN
2001-08-28,96.23999786376953
2001-08-29,96.9000015258789
2001-08-30,96.05999755859375
2001-08-31,95.94000244140625
2001-09-04,96.0
2001-09-05,100.5
2001-09-06,97.80000305175781
2001-09-07,94.5
2001-09-10,88.62000274658203
2001-09-17,78.12000274658203
2001-09-18,78.05999755859375
2001-09-19,77.94000244140625
2001-09-20,80.27999877929688
2001-09-21,72.0
2001-09-24,78.18000030517578
2001-09-25,75.66000366210938
2001-09-26,70.5
2001-09-27,75.0
2001-09-28,76.5
2001-10-01,78.36000061035156
2001-10-02,78.54000091552734
2001-10-03,90.0
2001-10-04,85.55999755859375
2001-10-05,86.76000213623047
2001-10-08,84.12000274658203
2001-10-09,88.73999786376953
2001-10-10,90.4800033569336
2001-10-11,91.37999725341797
2001-10-12,91.73999786376953
2001-10-15,100.55999755859375
2001-10-16,95.0999984741211
2001-10-17,92.0999984741211
2001-10-18,92.69999694824219
2001-10-19,93.23999786376953
2001-10-22,95.22000122070312
2001-10-23,90.05999755859375
2001-10-24,88.86000061035156
2001-10-25,92.33999633789062
2001-10-26,91.91999816894531
2001-10-29,88.80000305175781
2001-10-30,84.05999755859375
2001-10-31,87.66000366210938
2001-11-01,93.5999984741211
2001-11-02,87.05999755859375
2001-11-05,91.73999786376953
2001-11-06,96.0
2001-11-07,93.0
2001-11-08,89.16000366210938
2001-11-09,89.87999725341797
2001-11-12,90.05999755859375
2001-11-13,91.37999725341797
2001-11-14,94.19999694824219
2001-11-15,91.80000305175781
2001-11-16,88.86000061035156
2001-11-19,91.68000030517578
2001-11-20,96.0
2001-11-21,93.72000122070312
2001-11-23,95.58000183105469
2001-11-26,98.45999908447266
2001-11-27,94.5
2001-11-28,95.58000183105469
2001-11-29,101.94000244140625
2001-11-30,102.36000061035156
2001-12-03,102.0
2001-12-04,101.94000244140625
2001-12-05,100.73999786376953
2001-12-06,102.36000061035156
2001-12-07,100.62000274658203
2001-12-10,99.0
2001-12-11,97.44000244140625
2001-12-12,95.63999938964844
2001-12-13,96.0
2001-12-14,96.05999755859375
2001-12-17,99.0
2001-12-18,98.4000015258789
2001-12-19,97.19999694824219
2001-12-20,97.5
2001-12-21,100.5
2001-12-24,105.0
2001-12-26,107.4000015258789
2001-12-27,107.0999984741211
2001-12-28,101.4000015258789
2001-12-31,98.4000015258789
2002-01-02,92.94000244140625
2002-01-03,93.83999633789062
2002-01-04,98.0999984741211
2002-01-07,99.4800033569336
2002-01-08,100.9800033569336
2002-01-09,97.5
2002-01-10,94.5
2002-01-11,90.0
2002-01-14,87.12000274658203
2002-01-15,89.04000091552734
2002-01-16,85.37999725341797
2002-01-17,87.12000274658203
2002-01-18,81.30000305175781
2002-01-22,78.5999984741211
2002-01-23,78.5999984741211
2002-01-24,79.62000274658203
2002-01-25,84.30000305175781
2002-01-28,79.55999755859375
2002-01-29,80.58000183105469
2002-01-30,80.33999633789062
2002-01-31,83.69999694824219
2002-02-01,84.05999755859375
2002-02-04,78.0
2002-02-05,79.19999694824219
2002-02-06,75.54000091552734
2002-02-07,72.30000305175781
2002-02-08,75.9000015258789
2002-02-11,75.95999908447266
2002-02-12,75.30000305175781
2002-02-13,78.12000274658203
2002-02-14,79.91999816894531
2002-02-15,78.5999984741211
2002-02-19,71.4000015258789
2002-02-20,72.18000030517578
2002-02-21,70.5
2002-02-22,74.0999984741211
2002-02-25,71.87999725341797
2002-02-26,73.80000305175781
2002-02-27,76.80000305175781
2002-02-28,78.23999786376953
2002-03-01,76.91999816894531
2002-03-04,79.31999969482422
2002-03-05,81.0
2002-03-06,83.22000122070312
2002-03-07,87.83999633789062
2002-03-08,89.63999938964844
2002-03-11,88.9800033569336
2002-03-12,88.80000305175781
2002-03-13,89.0999984741211
2002-03-14,89.0999984741211
2002-03-15,90.0
2002-03-18,88.08000183105469
2002-03-19,87.83999633789062
2002-03-20,86.22000122070312
2002-03-21,88.73999786376953
2002-03-22,88.80000305175781
2002-03-25,86.16000366210938
2002-03-26,86.4000015258789
2002-03-27,83.4000015258789
2002-03-28,83.94000244140625
2002-04-01,83.76000213623047
2002-04-02,83.58000183105469
2002-04-03,82.80000305175781
2002-04-04,82.37999725341797
2002-04-05,79.5
2002-04-08,75.83999633789062
2002-04-09,77.16000366210938
2002-04-10,80.04000091552734
2002-04-11,78.9000015258789
2002-04-12,78.05999755859375
2002-04-15,79.9800033569336
2002-04-16,79.5
2002-04-17,77.69999694824219
2002-04-18,77.4000015258789
2002-04-19,76.55999755859375
2002-04-22,72.5999984741211
2002-04-23,72.77999877929688
2002-04-24,75.18000030517578
2002-04-25,73.68000030517578
2002-04-26,70.08000183105469
2002-04-29,66.0
2002-04-30,70.55999755859375
2002-05-01,66.0
2002-05-02,64.19999694824219
2002-05-03,65.58000183105469
2002-05-06,62.400001525878906
2002-05-07,61.97999954223633
2002-05-08,67.0199966430664
2002-05-09,65.0999984741211
2002-05-10,66.0
2002-05-13,66.30000305175781
2002-05-14,68.4000015258789
2002-05-15,69.5999984741211
2002-05-16,66.72000122070312
2002-05-17,65.76000213623047
2002-05-20,63.119998931884766
2002-05-21,61.79999923706055
2002-05-22,61.79999923706055
2002-05-23,62.52000045776367
2002-05-24,60.0
2002-05-28,60.0
2002-05-29,62.34000015258789
2002-05-30,62.58000183105469
2002-05-31,60.41999816894531
2002-06-03,54.18000030517578
2002-06-04,54.29999923706055
2002-06-05,57.060001373291016
2002-06-06,54.0
2002-06-07,56.099998474121094
2002-06-10,58.2599983215332
2002-06-11,54.599998474121094
2002-06-12,54.65999984741211
2002-06-13,54.0
2002-06-14,58.31999969482422
2002-06-17,59.400001525878906
2002-06-18,59.400001525878906
2002-06-19,55.13999938964844
2002-06-20,54.599998474121094
2002-06-21,56.7599983215332
2002-06-24,58.20000076293945
2002-06-25,57.0
2002-06-26,58.20000076293945
2002-06-27,58.68000030517578
2002-06-28,59.099998474121094
2002-07-01,58.68000030517578
2002-07-02,53.400001525878906
2002-07-03,50.099998474121094
2002-07-05,49.7400016784668
2002-07-08,48.540000915527344
2002-07-09,46.79999923706055
2002-07-10,44.34000015258789
2002-07-11,44.279998779296875
2002-07-12,42.060001373291016
2002-07-15,47.70000076293945
2002-07-16,52.08000183105469
2002-07-17,50.58000183105469
2002-07-18,48.959999084472656
2002-07-19,42.779998779296875
2002-07-22,47.400001525878906
2002-07-23,46.13999938964844
2002-07-24,51.0
2002-07-25,50.81999969482422
2002-07-26,51.0
2002-07-29,56.099998474121094
2002-07-30,58.5
2002-07-31,57.65999984741211
2002-08-01,52.86000061035156
2002-08-02,52.79999923706055
2002-08-05,50.7599983215332
2002-08-06,52.91999816894531
2002-08-07,53.040000915527344
2002-08-08,55.20000076293945
2002-08-09,58.5
2002-08-12,61.7400016784668
2002-08-13,57.959999084472656
2002-08-14,62.939998626708984
2002-08-15,61.79999923706055
2002-08-16,62.81999969482422
2002-08-19,63.2400016784668
2002-08-20,60.599998474121094
2002-08-21,62.63999938964844
2002-08-22,61.97999954223633
2002-08-23,59.939998626708984
2002-08-26,59.400001525878906
2002-08-27,55.79999923706055
2002-08-28,54.540000915527344
2002-08-29,54.65999984741211
2002-08-30,52.91999816894531
2002-09-03,49.31999969482422
2002-09-04,49.02000045776367
2002-09-05,48.65999984741211
2002-09-06,51.18000030517578
2002-09-09,53.400001525878906
2002-09-10,52.380001068115234
2002-09-11,52.86000061035156
2002-09-12,51.900001525878906
2002-09-13,54.0
2002-09-16,51.65999984741211
2002-09-17,51.540000915527344
2002-09-18,51.900001525878906
2002-09-19,51.65999984741211
2002-09-20,48.779998779296875
2002-09-23,48.720001220703125
2002-09-24,46.5
2002-09-25,47.400001525878906
2002-09-26,48.779998779296875
2002-09-27,47.099998474121094
2002-09-30,48.47999954223633
2002-10-01,46.560001373291016
2002-10-02,47.63999938964844
2002-10-03,48.599998474121094
2002-10-04,46.91999816894531
2002-10-07,47.459999084472656
2002-10-08,46.2599983215332
2002-10-09,41.15999984741211
2002-10-10,41.52000045776367
2002-10-11,42.47999954223633
2002-10-14,46.5
2002-10-15,47.52000045776367
2002-10-16,47.7599983215332
2002-10-17,51.0
2002-10-18,54.0
2002-10-21,56.040000915527344
2002-10-22,52.2599983215332
2002-10-23,52.79999923706055
2002-10-24,54.720001220703125
2002-10-25,56.220001220703125
2002-10-28,55.79999923706055
2002-10-29,56.099998474121094
2002-10-30,57.0
2002-10-31,56.81999969482422
2002-11-01,57.599998474121094
2002-11-04,61.08000183105469
2002-11-05,65.0999984741211
2002-11-06,64.62000274658203
2002-11-07,65.04000091552734
2002-11-08,65.69999694824219
2002-11-11,66.0
2002-11-12,64.80000305175781
2002-11-13,63.779998779296875
2002-11-14,66.77999877929688
2002-11-15,66.9000015258789
2002-11-18,66.5999984741211
2002-11-19,63.41999816894531
2002-11-20,65.4000015258789
2002-11-21,66.9000015258789
2002-11-22,70.0199966430664
2002-11-25,70.08000183105469
2002-11-26,67.19999694824219
2002-11-27,71.81999969482422
2002-11-29,73.19999694824219
2002-12-02,71.94000244140625
2002-12-03,69.83999633789062
2002-12-04,70.19999694824219
2002-12-05,68.0999984741211
2002-12-06,69.72000122070312
2002-12-09,69.30000305175781
2002-12-10,64.80000305175781
2002-12-11,65.4000015258789
2002-12-12,65.63999938964844
2002-12-13,63.779998779296875
2002-12-16,66.54000091552734
2002-12-17,66.9000015258789
2002-12-18,65.27999877929688
2002-12-19,66.0
2002-12-20,62.040000915527344
2002-12-23,60.900001525878906
2002-12-24,62.70000076293945
2002-12-26,63.599998474121094
2002-12-27,61.5
2002-12-30,61.380001068115234
2002-12-31,61.439998626708984
2003-01-02,64.19999694824219
2003-01-03,65.45999908447266
2003-01-06,70.5
2003-01-07,68.87999725341797
2003-01-08,68.0999984741211
2003-01-09,63.84000015258789
2003-01-10,64.13999938964844
2003-01-13,65.0999984741211
2003-01-14,66.30000305175781
2003-01-15,65.22000122070312
2003-01-16,64.73999786376953
2003-01-17,62.52000045776367
2003-01-21,61.13999938964844
2003-01-22,60.18000030517578
2003-01-23,62.81999969482422
2003-01-24,61.86000061035156
2003-01-27,60.060001373291016
2003-01-28,59.939998626708984
2003-01-29,58.97999954223633
2003-01-30,57.29999923706055
2003-01-31,57.2400016784668
2003-02-03,56.880001068115234
2003-02-04,57.060001373291016
2003-02-05,56.15999984741211
2003-02-06,55.619998931884766
2003-02-07,54.18000030517578
2003-02-10,53.939998626708984
2003-02-11,51.84000015258789
2003-02-12,50.400001525878906
2003-02-13,50.220001220703125
2003-02-14,54.540000915527344
2003-02-18,52.380001068115234
2003-02-19,49.7400016784668
2003-02-20,50.099998474121094
2003-02-21,49.439998626708984
2003-02-24,46.5
2003-02-25,46.31999969482422
2003-02-26,46.20000076293945
2003-02-27,47.459999084472656
2003-02-28,48.779998779296875
2003-03-03,45.29999923706055
2003-03-04,45.29999923706055
2003-03-05,44.459999084472656
2003-03-06,45.599998474121094
2003-03-07,45.959999084472656
2003-03-10,45.959999084472656
2003-03-11,45.18000030517578
2003-03-12,44.70000076293945
2003-03-13,44.70000076293945
2003-03-14,42.779998779296875
2003-03-17,48.0
2003-03-18,49.86000061035156
2003-03-19,51.29999923706055
2003-03-20,51.779998779296875
2003-03-21,54.060001373291016
2003-03-24,49.20000076293945
2003-03-25,51.29999923706055
2003-03-26,52.20000076293945
2003-03-27,53.400001525878906
2003-03-28,50.58000183105469
2003-03-31,49.7400016784668
2003-04-01,49.79999923706055
2003-04-02,51.29999923706055
2003-04-03,52.439998626708984
2003-04-04,49.7400016784668
2003-04-07,49.20000076293945
2003-04-08,49.79999923706055
2003-04-09,49.380001068115234
2003-04-10,48.599998474121094
2003-04-11,48.0
2003-04-14,48.959999084472656
2003-04-15,48.0
2003-04-16,49.380001068115234
2003-04-17,52.08000183105469
2003-04-21,52.2599983215332
2003-04-22,54.41999816894531
2003-04-23,56.15999984741211
2003-04-24,57.2400016784668
2003-04-25,55.5
2003-04-28,60.0
2003-04-29,60.41999816894531
2003-04-30,58.91999816894531
2003-05-01,60.0
2003-05-02,59.52000045776367
2003-05-05,59.52000045776367
2003-05-06,59.34000015258789
2003-05-07,59.400001525878906
2003-05-08,58.79999923706055
2003-05-09,59.34000015258789
2003-05-12,59.220001220703125
2003-05-13,63.0
2003-05-14,68.04000091552734
2003-05-15,67.0199966430664
2003-05-16,64.86000061035156
2003-05-19,64.26000213623047
2003-05-20,63.599998474121094
2003-05-21,63.540000915527344
2003-05-22,63.65999984741211
2003-05-23,66.9000015258789
2003-05-27,72.77999877929688
2003-05-28,74.16000366210938
2003-05-29,72.0
2003-05-30,73.62000274658203
2003-06-02,80.22000122070312
2003-06-03,79.19999694824219
2003-06-04,79.31999969482422
2003-06-05,84.05999755859375
2003-06-06,93.9000015258789
2003-06-09,88.9800033569336
2003-06-10,90.66000366210938
2003-06-11,94.80000305175781
2003-06-12,94.31999969482422
2003-06-13,92.69999694824219
2003-06-16,88.9800033569336
2003-06-17,85.08000183105469
2003-06-18,76.80000305175781
2003-06-19,68.27999877929688
2003-06-20,72.0
2003-06-23,70.08000183105469
2003-06-24,69.5999984741211
2003-06-25,70.08000183105469
2003-06-26,73.80000305175781
2003-06-27,73.91999816894531
2003-06-30,69.05999755859375
2003-07-01,69.23999786376953
2003-07-02,69.05999755859375
2003-07-03,71.0999984741211
2003-07-07,75.0
2003-07-08,76.80000305175781
2003-07-09,79.9800033569336
2003-07-10,78.95999908447266
2003-07-11,77.69999694824219
2003-07-14,78.12000274658203
2003-07-15,77.27999877929688
2003-07-16,74.16000366210938
2003-07-17,71.16000366210938
2003-07-18,72.12000274658203
2003-07-21,71.33999633789062
2003-07-22,72.0
2003-07-23,74.76000213623047
2003-07-24,77.63999938964844
2003-07-25,79.5
2003-07-28,79.80000305175781
2003-07-29,79.5
2003-07-30,75.30000305175781
2003-07-31,75.9000015258789
2003-08-01,74.76000213623047
2003-08-04,74.69999694824219
2003-08-05,71.87999725341797
2003-08-06,66.5999984741211
2003-08-07,66.95999908447266
2003-08-08,66.0
2003-08-11,64.86000061035156
2003-08-12,66.12000274658203
2003-08-13,64.19999694824219
2003-08-14,63.720001220703125
2003-08-15,62.939998626708984
2003-08-18,64.26000213623047
2003-08-19,73.80000305175781
2003-08-20,73.73999786376953
2003-08-21,80.76000213623047
2003-08-22,81.30000305175781
2003-08-25,80.16000366210938
2003-08-26,80.69999694824219
2003-08-27,83.94000244140625
2003-08-28,86.0999984741211
2003-08-29,84.83999633789062
2003-09-02,84.30000305175781
2003-09-03,78.18000030517578
2003-09-04,78.9000015258789
2003-09-05,83.4000015258789
2003-09-08,83.04000091552734
2003-09-09,83.58000183105469
2003-09-10,82.68000030517578
2003-09-11,83.4000015258789
2003-09-12,82.5
2003-09-15,81.5999984741211
2003-09-16,84.0
2003-09-17,88.5
2003-09-18,90.0
2003-09-19,94.0199966430664
2003-09-22,90.0
2003-09-23,87.5999984741211
2003-09-24,81.66000366210938
2003-09-25,79.13999938964844
2003-09-26,74.04000091552734
2003-09-29,75.66000366210938
2003-09-30,72.4800033569336
2003-10-01,77.94000244140625
2003-10-02,79.37999725341797
2003-10-03,80.33999633789062
2003-10-06,77.94000244140625
2003-10-07,78.5999984741211
2003-10-08,76.08000183105469
2003-10-09,77.81999969482422
2003-10-10,77.63999938964844
2003-10-13,79.19999694824219
2003-10-14,78.18000030517578
2003-10-15,76.26000213623047
2003-10-16,76.19999694824219
2003-10-17,74.81999969482422
2003-10-20,73.91999816894531
2003-10-21,77.0999984741211
2003-10-22,73.55999755859375
2003-10-23,71.45999908447266
2003-10-24,69.36000061035156
2003-10-27,68.0999984741211
2003-10-28,69.9000015258789
2003-10-29,68.87999725341797
2003-10-30,68.27999877929688
2003-10-31,65.63999938964844
2003-11-03,60.36000061035156
2003-11-04,60.900001525878906
2003-11-05,60.18000030517578
2003-11-06,61.86000061035156
2003-11-07,62.63999938964844
2003-11-10,58.619998931884766
2003-11-11,57.599998474121094
2003-11-12,63.47999954223633
2003-11-13,62.81999969482422
2003-11-14,58.20000076293945
2003-11-17,57.060001373291016
2003-11-18,55.619998931884766
2003-11-19,56.7599983215332
2003-11-20,58.20000076293945
2003-11-21,57.720001220703125
2003-11-24,69.83999633789062
2003-11-25,68.45999908447266
2003-11-26,70.55999755859375
2003-11-28,74.04000091552734
2003-12-01,71.87999725341797
2003-12-02,74.87999725341797
2003-12-03,72.05999755859375
2003-12-04,71.4000015258789
2003-12-05,71.27999877929688
2003-12-08,69.9000015258789
2003-12-09,67.44000244140625
2003-12-10,65.04000091552734
2003-12-11,64.80000305175781
2003-12-12,65.22000122070312
2003-12-15,63.060001373291016
2003-12-16,63.779998779296875
2003-12-17,64.62000274658203
2003-12-18,62.939998626708984
2003-12-19,63.18000030517578
2003-12-22,66.5999984741211
2003-12-23,67.73999786376953
2003-12-24,66.5999984741211
2003-12-26,66.36000061035156
2003-12-29,68.69999694824219
2003-12-30,67.5
2003-12-31,68.04000091552734
2004-01-02,68.76000213623047
2004-01-05,67.91999816894531
2004-01-06,68.04000091552734
2004-01-07,67.26000213623047
2004-01-08,68.0999984741211
2004-01-09,68.4000015258789
2004-01-12,68.76000213623047
2004-01-13,67.5
2004-01-14,68.45999908447266
2004-01-15,67.62000274658203
2004-01-16,69.72000122070312
2004-01-20,70.19999694824219
2004-01-21,72.0
2004-01-22,71.5199966430664
2004-01-23,70.62000274658203
2004-01-26,73.08000183105469
2004-01-27,71.81999969482422
2004-01-28,68.45999908447266
2004-01-29,66.66000366210938
2004-01-30,65.16000366210938
2004-02-02,64.91999816894531
2004-02-03,64.55999755859375
2004-02-04,60.959999084472656
2004-02-05,61.2599983215332
2004-02-06,63.2400016784668
2004-02-09,62.34000015258789
2004-02-10,63.18000030517578
2004-02-11,63.29999923706055
2004-02-12,63.29999923706055
2004-02-13,62.400001525878906
2004-02-17,62.15999984741211
2004-02-18,61.79999923706055
2004-02-19,60.599998474121094
2004-02-20,60.599998474121094
2004-02-23,59.400001525878906
2004-02-24,59.040000915527344
2004-02-25,58.86000061035156
2004-02-26,59.279998779296875
2004-02-27,60.959999084472656
2004-03-01,60.2400016784668
2004-03-02,60.599998474121094
2004-03-03,59.7599983215332
2004-03-04,63.959999084472656
2004-03-05,64.37999725341797
2004-03-08,64.86000061035156
2004-03-09,62.63999938964844
2004-03-10,61.08000183105469
2004-03-11,61.31999969482422
2004-03-12,62.58000183105469
2004-03-15,60.65999984741211
2004-03-16,59.400001525878906
2004-03-17,59.81999969482422
2004-03-18,60.720001220703125
