,BSJQ
2019-05-02,25.479999542236328
2019-05-03,25.540000915527344
2019-05-06,25.549999237060547
2019-05-07,25.360000610351562
2019-05-08,25.3799991607666
2019-05-09,25.329999923706055
2019-05-10,25.389999389648438
2019-05-13,25.190000534057617
2019-05-14,25.239999771118164
2019-05-15,25.260000228881836
2019-05-16,25.31999969482422
2019-05-17,25.299999237060547
2019-05-20,25.200000762939453
2019-05-21,25.309999465942383
2019-05-22,25.31999969482422
2019-05-23,25.190000534057617
2019-05-24,25.139999389648438
2019-05-28,25.170000076293945
2019-05-29,25.190000534057617
2019-05-30,25.229999542236328
2019-05-31,24.979999542236328
2019-06-03,25.0
2019-06-04,25.25
2019-06-05,25.260000228881836
2019-06-06,25.31999969482422
2019-06-07,25.420000076293945
2019-06-10,25.43000030517578
2019-06-11,25.5
2019-06-12,25.469999313354492
2019-06-13,25.530000686645508
2019-06-14,25.540000915527344
2019-06-17,25.469999313354492
2019-06-18,25.610000610351562
2019-06-19,25.729999542236328
2019-06-20,25.889999389648438
2019-06-21,25.81999969482422
2019-06-24,25.68000030517578
2019-06-25,25.559999465942383
2019-06-26,25.600000381469727
2019-06-27,25.6299991607666
2019-06-28,25.6299991607666
2019-07-01,25.68000030517578
2019-07-02,25.75
2019-07-03,25.84000015258789
2019-07-05,25.739999771118164
2019-07-08,25.68000030517578
2019-07-09,25.709999084472656
2019-07-10,25.729999542236328
2019-07-11,25.709999084472656
2019-07-12,25.729999542236328
2019-07-15,25.719999313354492
2019-07-16,25.65999984741211
2019-07-17,25.65999984741211
2019-07-18,25.690000534057617
2019-07-19,25.600000381469727
2019-07-22,25.59000015258789
2019-07-23,25.639999389648438
2019-07-24,25.670000076293945
2019-07-25,25.649999618530273
2019-07-26,25.770000457763672
2019-07-29,25.690000534057617
2019-07-30,25.690000534057617
2019-07-31,25.6200008392334
2019-08-01,25.6200008392334
2019-08-02,25.690000534057617
2019-08-05,25.31999969482422
2019-08-06,25.510000228881836
2019-08-07,25.5
2019-08-08,25.579999923706055
2019-08-09,25.559999465942383
2019-08-12,25.489999771118164
2019-08-13,25.600000381469727
2019-08-14,25.3700008392334
2019-08-15,25.469999313354492
2019-08-16,25.579999923706055
2019-08-19,25.559999465942383
2019-08-20,25.479999542236328
2019-08-21,25.579999923706055
2019-08-22,25.600000381469727
2019-08-23,25.479999542236328
2019-08-26,25.65999984741211
2019-08-27,25.600000381469727
2019-08-28,25.68000030517578
2019-08-29,25.75
2019-08-30,25.75
2019-09-03,25.68000030517578
2019-09-04,25.81999969482422
2019-09-05,25.829999923706055
2019-09-06,25.84000015258789
2019-09-09,25.899999618530273
2019-09-10,25.899999618530273
2019-09-11,25.8700008392334
2019-09-12,25.860000610351562
2019-09-13,25.829999923706055
2019-09-16,25.920000076293945
2019-09-17,25.959999084472656
2019-09-18,25.950000762939453
2019-09-19,25.93000030517578
2019-09-20,25.959999084472656
2019-09-23,25.850000381469727
2019-09-24,25.829999923706055
2019-09-25,25.829999923706055
2019-09-26,25.799999237060547
2019-09-27,25.770000457763672
2019-09-30,25.799999237060547
2019-10-01,25.780000686645508
2019-10-02,25.670000076293945
2019-10-03,25.670000076293945
2019-10-04,25.739999771118164
2019-10-07,25.670000076293945
2019-10-08,25.579999923706055
2019-10-09,25.670000076293945
2019-10-10,25.690000534057617
2019-10-11,25.790000915527344
2019-10-14,25.780000686645508
2019-10-15,25.809999465942383
2019-10-16,25.850000381469727
2019-10-17,25.850000381469727
2019-10-18,25.8700008392334
2019-10-21,25.780000686645508
2019-10-22,25.75
2019-10-23,25.780000686645508
2019-10-24,25.84000015258789
2019-10-25,25.829999923706055
2019-10-28,25.8700008392334
2019-10-29,25.799999237060547
2019-10-30,25.809999465942383
2019-10-31,25.729999542236328
2019-11-01,25.84000015258789
2019-11-04,25.889999389648438
2019-11-05,25.8799991607666
2019-11-06,25.850000381469727
2019-11-07,25.850000381469727
2019-11-08,25.799999237060547
2019-11-11,25.790000915527344
2019-11-12,25.790000915527344
2019-11-13,25.780000686645508
2019-11-14,25.790000915527344
2019-11-15,25.809999465942383
2019-11-18,25.700000762939453
2019-11-19,25.65999984741211
2019-11-20,25.600000381469727
2019-11-21,25.579999923706055
2019-11-22,25.649999618530273
2019-11-25,25.65999984741211
2019-11-26,25.690000534057617
2019-11-27,25.709999084472656
2019-11-29,25.719999313354492
2019-12-02,25.709999084472656
2019-12-03,25.68000030517578
2019-12-04,25.65999984741211
2019-12-05,25.719999313354492
2019-12-06,25.780000686645508
2019-12-09,25.790000915527344
2019-12-10,25.829999923706055
2019-12-11,25.899999618530273
2019-12-12,25.979999542236328
2019-12-13,26.010000228881836
2019-12-16,26.079999923706055
2019-12-17,26.149999618530273
2019-12-18,26.239999771118164
2019-12-19,26.270000457763672
2019-12-20,26.270000457763672
2019-12-23,26.139999389648438
2019-12-24,26.149999618530273
2019-12-26,26.15999984741211
2019-12-27,26.170000076293945
2019-12-30,26.15999984741211
2019-12-31,26.15999984741211
2020-01-02,26.229999542236328
2020-01-03,26.229999542236328
2020-01-06,26.229999542236328
2020-01-07,26.209999084472656
2020-01-08,26.200000762939453
2020-01-09,26.239999771118164
2020-01-10,26.229999542236328
2020-01-13,26.25
2020-01-14,26.239999771118164
2020-01-15,26.270000457763672
2020-01-16,26.290000915527344
2020-01-17,26.280000686645508
2020-01-21,26.1200008392334
2020-01-22,26.149999618530273
2020-01-23,26.09000015258789
2020-01-24,25.950000762939453
2020-01-27,25.780000686645508
2020-01-28,25.959999084472656
2020-01-29,25.989999771118164
2020-01-30,26.010000228881836
2020-01-31,25.920000076293945
2020-02-03,25.969999313354492
2020-02-04,26.020000457763672
2020-02-05,26.09000015258789
2020-02-06,26.110000610351562
2020-02-07,26.079999923706055
2020-02-10,26.110000610351562
2020-02-11,26.149999618530273
2020-02-12,26.239999771118164
2020-02-13,26.229999542236328
2020-02-14,26.25
2020-02-18,26.219999313354492
2020-02-19,26.229999542236328
2020-02-20,26.239999771118164
2020-02-21,26.200000762939453
2020-02-24,25.850000381469727
2020-02-25,25.649999618530273
2020-02-26,25.709999084472656
2020-02-27,25.329999923706055
2020-02-28,25.420000076293945
2020-03-02,25.6200008392334
2020-03-03,25.56999969482422
2020-03-04,25.8700008392334
2020-03-05,25.579999923706055
2020-03-06,25.270000457763672
2020-03-09,23.8799991607666
2020-03-10,24.450000762939453
2020-03-11,23.850000381469727
2020-03-12,22.829999923706055
2020-03-13,23.719999313354492
2020-03-16,22.170000076293945
2020-03-17,22.479999542236328
2020-03-18,21.399999618530273
2020-03-19,20.760000228881836
2020-03-20,20.290000915527344
2020-03-23,19.729999542236328
2020-03-24,20.059999465942383
2020-03-25,20.940000534057617
2020-03-26,21.84000015258789
2020-03-27,21.56999969482422
2020-03-30,22.040000915527344
2020-03-31,22.079999923706055
2020-04-01,21.8700008392334
2020-04-02,21.6200008392334
2020-04-03,21.450000762939453
2020-04-06,21.90999984741211
2020-04-07,22.0
2020-04-08,22.479999542236328
2020-04-09,24.139999389648438
2020-04-13,23.5
2020-04-14,23.329999923706055
2020-04-15,23.389999389648438
2020-04-16,23.270000457763672
2020-04-17,23.450000762939453
2020-04-20,22.969999313354492
2020-04-21,22.559999465942383
2020-04-22,22.760000228881836
2020-04-23,22.670000076293945
2020-04-24,22.600000381469727
2020-04-27,22.68000030517578
2020-04-28,22.6299991607666
2020-04-29,22.979999542236328
2020-04-30,22.959999084472656
2020-05-01,22.770000457763672
2020-05-04,22.719999313354492
2020-05-05,22.8799991607666
2020-05-06,22.81999969482422
2020-05-07,22.850000381469727
2020-05-08,23.09000015258789
2020-05-11,22.969999313354492
2020-05-12,22.950000762939453
2020-05-13,22.84000015258789
2020-05-14,22.790000915527344
2020-05-15,22.809999465942383
2020-05-18,23.18000030517578
2020-05-19,23.200000762939453
2020-05-20,23.440000534057617
2020-05-21,23.43000030517578
2020-05-22,23.510000228881836
2020-05-26,23.68000030517578
2020-05-27,23.739999771118164
2020-05-28,23.719999313354492
2020-05-29,23.8799991607666
2020-06-01,24.030000686645508
2020-06-02,24.139999389648438
2020-06-03,24.420000076293945
2020-06-04,24.360000610351562
2020-06-05,24.6200008392334
2020-06-08,24.610000610351562
2020-06-09,24.450000762939453
2020-06-10,24.479999542236328
2020-06-11,23.829999923706055
2020-06-12,24.040000915527344
2020-06-15,24.360000610351562
2020-06-16,24.3700008392334
2020-06-17,24.34000015258789
2020-06-18,24.239999771118164
2020-06-19,24.209999084472656
2020-06-22,24.09000015258789
2020-06-23,24.1299991607666
2020-06-24,23.90999984741211
2020-06-25,23.969999313354492
2020-06-26,23.739999771118164
2020-06-29,23.6299991607666
2020-06-30,23.790000915527344
2020-07-01,23.8700008392334
2020-07-02,23.989999771118164
2020-07-06,24.170000076293945
2020-07-07,24.110000610351562
2020-07-08,24.149999618530273
2020-07-09,24.100000381469727
2020-07-10,24.170000076293945
2020-07-13,24.06999969482422
2020-07-14,24.280000686645508
2020-07-15,24.440000534057617
2020-07-16,24.459999084472656
2020-07-17,24.530000686645508
2020-07-20,24.549999237060547
2020-07-21,24.700000762939453
2020-07-22,24.719999313354492
2020-07-23,24.59000015258789
2020-07-24,24.709999084472656
2020-07-27,24.75
2020-07-28,24.780000686645508
2020-07-29,24.8799991607666
2020-07-30,24.90999984741211
2020-07-31,24.8799991607666
2020-08-03,24.979999542236328
2020-08-04,24.979999542236328
2020-08-05,24.979999542236328
2020-08-06,25.049999237060547
2020-08-07,25.049999237060547
2020-08-10,25.030000686645508
2020-08-11,24.899999618530273
2020-08-12,24.940000534057617
2020-08-13,24.829999923706055
2020-08-14,24.760000228881836
2020-08-17,24.8700008392334
2020-08-18,24.889999389648438
2020-08-19,24.81999969482422
2020-08-20,24.860000610351562
2020-08-21,24.899999618530273
2020-08-24,24.889999389648438
2020-08-25,24.93000030517578
2020-08-26,24.950000762939453
2020-08-27,24.940000534057617
2020-08-28,24.920000076293945
2020-08-31,24.8799991607666
2020-09-01,24.989999771118164
2020-09-02,25.030000686645508
2020-09-03,24.8799991607666
2020-09-04,24.850000381469727
2020-09-08,24.700000762939453
2020-09-09,24.8799991607666
2020-09-10,24.829999923706055
2020-09-11,24.829999923706055
2020-09-14,24.809999465942383
2020-09-15,24.84000015258789
2020-09-16,24.850000381469727
2020-09-17,24.829999923706055
2020-09-18,24.760000228881836
2020-09-21,24.5
2020-09-22,24.520000457763672
2020-09-23,24.31999969482422
2020-09-24,24.270000457763672
2020-09-25,24.280000686645508
2020-09-28,24.3700008392334
2020-09-29,24.3700008392334
2020-09-30,24.530000686645508
2020-10-01,24.56999969482422
2020-10-02,24.579999923706055
2020-10-05,24.75
2020-10-06,24.81999969482422
2020-10-07,24.81999969482422
2020-10-08,24.8700008392334
2020-10-09,24.899999618530273
2020-10-12,25.059999465942383
2020-10-13,24.940000534057617
2020-10-14,24.889999389648438
2020-10-15,24.899999618530273
2020-10-16,24.84000015258789
2020-10-19,24.670000076293945
2020-10-20,24.770000457763672
2020-10-21,24.770000457763672
2020-10-22,24.81999969482422
2020-10-23,24.81999969482422
2020-10-26,24.670000076293945
2020-10-27,24.6299991607666
2020-10-28,24.489999771118164
2020-10-29,24.5
2020-10-30,24.549999237060547
2020-11-02,24.610000610351562
2020-11-03,24.799999237060547
2020-11-04,24.979999542236328
2020-11-05,25.079999923706055
2020-11-06,25.049999237060547
2020-11-09,25.190000534057617
2020-11-10,25.18000030517578
2020-11-11,25.15999984741211
2020-11-12,25.010000228881836
2020-11-13,25.079999923706055
2020-11-16,25.15999984741211
2020-11-17,25.25
2020-11-18,25.190000534057617
2020-11-19,25.290000915527344
2020-11-20,25.239999771118164
2020-11-23,25.190000534057617
2020-11-24,25.239999771118164
2020-11-25,25.239999771118164
2020-11-27,25.25
2020-11-30,25.219999313354492
2020-12-01,25.329999923706055
2020-12-02,25.360000610351562
2020-12-03,25.3799991607666
2020-12-04,25.469999313354492
2020-12-07,25.479999542236328
2020-12-08,25.479999542236328
2020-12-09,25.43000030517578
2020-12-10,25.469999313354492
2020-12-11,25.450000762939453
2020-12-14,25.43000030517578
2020-12-15,25.5
2020-12-16,25.489999771118164
2020-12-17,25.530000686645508
2020-12-18,25.530000686645508
2020-12-21,25.3799991607666
2020-12-22,25.40999984741211
2020-12-23,25.489999771118164
2020-12-24,25.549999237060547
2020-12-28,25.56999969482422
2020-12-29,25.559999465942383
2020-12-30,25.579999923706055
2020-12-31,25.610000610351562
2021-01-04,25.559999465942383
2021-01-05,25.56999969482422
2021-01-06,25.540000915527344
2021-01-07,25.6200008392334
2021-01-08,25.6299991607666
2021-01-11,25.559999465942383
2021-01-12,25.59000015258789
2021-01-13,25.6299991607666
2021-01-14,25.6299991607666
2021-01-15,25.6299991607666
2021-01-19,25.610000610351562
2021-01-20,25.649999618530273
2021-01-21,25.6200008392334
2021-01-22,25.59000015258789
2021-01-25,25.579999923706055
2021-01-26,25.559999465942383
2021-01-27,25.450000762939453
2021-01-28,25.540000915527344
2021-01-29,25.469999313354492
2021-02-01,25.549999237060547
2021-02-02,25.610000610351562
2021-02-03,25.6200008392334
2021-02-04,25.649999618530273
2021-02-05,25.68000030517578
2021-02-08,25.739999771118164
2021-02-09,25.700000762939453
2021-02-10,25.719999313354492
2021-02-11,25.729999542236328
2021-02-12,25.780000686645508
2021-02-16,25.739999771118164
2021-02-17,25.75
2021-02-18,25.729999542236328
2021-02-19,25.709999084472656
2021-02-22,25.59000015258789
2021-02-23,25.6299991607666
2021-02-24,25.6299991607666
2021-02-25,25.479999542236328
2021-02-26,25.459999084472656
2021-03-01,25.6200008392334
2021-03-02,25.600000381469727
2021-03-03,25.559999465942383
2021-03-04,25.479999542236328
2021-03-05,25.549999237060547
2021-03-08,25.40999984741211
2021-03-09,25.440000534057617
2021-03-10,25.5
2021-03-11,25.56999969482422
2021-03-12,25.540000915527344
2021-03-15,25.540000915527344
2021-03-16,25.479999542236328
2021-03-17,25.510000228881836
2021-03-18,25.3700008392334
