,CLOV
2021-03-25,7.820000171661377
2021-03-26,7.590000152587891
2021-03-29,7.340000152587891
2021-03-30,7.190000057220459
2021-03-31,7.559999942779541
2021-04-01,7.380000114440918
2021-04-05,7.5
2021-04-06,7.610000133514404
2021-04-07,7.349999904632568
2021-04-08,8.850000381469727
2021-04-09,8.210000038146973
2021-04-12,7.820000171661377
2021-04-13,7.809999942779541
2021-04-14,7.420000076293945
2021-04-15,7.349999904632568
2021-04-16,8.819999694824219
2021-04-19,9.670000076293945
2021-04-20,8.619999885559082
2021-04-21,9.050000190734863
2021-04-22,8.5
2021-04-23,8.770000457763672
2021-04-26,9.220000267028809
2021-04-27,9.239999771118164
2021-04-28,10.5
2021-04-29,10.170000076293945
2021-04-30,9.850000381469727
2021-05-03,9.289999961853027
2021-05-04,9.0600004196167
2021-05-05,8.84000015258789
2021-05-06,8.229999542236328
2021-05-07,8.619999885559082
2021-05-10,8.260000228881836
2021-05-11,8.130000114440918
2021-05-12,7.78000020980835
2021-05-13,7.260000228881836
2021-05-14,7.46999979019165
