,CWCO
1996-01-08,2.5
1996-01-09,2.5
1996-01-10,2.5
1996-01-11,2.625
1996-01-12,2.625
1996-01-15,2.625
1996-01-16,2.625
1996-01-17,2.5
1996-01-18,2.5
1996-01-19,2.5
1996-01-22,2.59375
1996-01-23,2.59375
1996-01-24,2.59375
1996-01-25,2.5625
1996-01-26,2.5625
1996-01-29,2.5625
1996-01-30,2.5625
1996-01-31,2.5625
1996-02-01,2.5625
1996-02-02,2.5625
1996-02-05,2.5625
1996-02-06,2.5625
1996-02-07,2.5625
1996-02-08,2.625
1996-02-09,2.625
1996-02-12,2.625
1996-02-13,2.625
1996-02-14,2.625
1996-02-15,2.625
1996-02-16,2.875
1996-02-20,2.875
1996-02-21,2.875
1996-02-22,2.875
1996-02-23,3.0
1996-02-26,3.0
1996-02-27,3.0
1996-02-28,3.0
1996-02-29,3.0
1996-03-01,3.0
1996-03-04,3.0625
1996-03-05,3.0625
1996-03-06,3.0625
1996-03-07,3.0625
1996-03-08,3.0625
1996-03-11,3.0625
1996-03-12,3.0625
1996-03-13,3.5
1996-03-14,3.53125
1996-03-15,3.5625
1996-03-18,3.5625
1996-03-19,3.25
1996-03-20,3.0625
1996-03-21,3.0625
1996-03-22,3.0625
1996-03-25,3.0625
1996-03-26,3.25
1996-03-27,3.4375
1996-03-28,3.4375
1996-03-29,3.4375
1996-04-01,3.4375
1996-04-02,3.5625
1996-04-03,4.25
1996-04-04,4.5
1996-04-08,4.375
1996-04-09,4.375
1996-04-10,4.25
1996-04-11,4.125
1996-04-12,4.0
1996-04-15,4.25
1996-04-16,3.75
1996-04-17,3.625
1996-04-18,4.0
1996-04-19,4.0
1996-04-22,4.75
1996-04-23,4.25
1996-04-24,4.5625
1996-04-25,4.5
1996-04-26,4.5625
1996-04-29,4.5625
1996-04-30,4.5
1996-05-01,4.3125
1996-05-02,4.5625
1996-05-03,4.5625
1996-05-06,4.3125
1996-05-07,4.25
1996-05-08,4.5
1996-05-09,4.25
1996-05-10,4.25
1996-05-13,4.296875
1996-05-14,4.25
1996-05-15,4.5
1996-05-16,4.125
1996-05-17,4.25
1996-05-20,4.25
1996-05-21,4.125
1996-05-22,4.125
1996-05-23,4.3125
1996-05-24,4.5625
1996-05-28,4.125
1996-05-29,4.125
1996-05-30,4.0
1996-05-31,4.0
1996-06-03,4.0
1996-06-04,5.0
1996-06-05,4.6875
1996-06-06,4.625
1996-06-07,4.625
1996-06-10,4.5625
1996-06-11,4.5625
1996-06-12,4.5625
1996-06-13,4.5625
1996-06-14,4.5
1996-06-17,4.5
1996-06-18,4.5
1996-06-19,4.5
1996-06-20,4.3125
1996-06-21,4.5
1996-06-24,4.3125
1996-06-25,4.8125
1996-06-26,4.53125
1996-06-27,4.625
1996-06-28,4.625
1996-07-01,4.8125
1996-07-02,4.8125
1996-07-03,4.5
1996-07-05,4.5
1996-07-08,4.5
1996-07-09,4.5
1996-07-10,4.5
1996-07-11,4.53125
1996-07-12,4.5
1996-07-15,4.4375
1996-07-16,4.4375
1996-07-17,4.4375
1996-07-18,4.4375
1996-07-19,4.4375
1996-07-22,4.375
1996-07-23,4.375
1996-07-24,4.5
1996-07-25,4.375
1996-07-26,4.375
1996-07-29,4.5
1996-07-30,4.375
1996-07-31,4.4375
1996-08-01,4.375
1996-08-02,4.125
1996-08-05,4.125
1996-08-06,4.125
1996-08-07,4.25
1996-08-08,4.265625
1996-08-09,4.265625
1996-08-12,4.265625
1996-08-13,4.3125
1996-08-14,4.5
1996-08-15,4.5625
1996-08-16,4.875
1996-08-19,4.875
1996-08-20,5.125
1996-08-21,5.125
1996-08-22,4.75
1996-08-23,4.75
1996-08-26,4.75
1996-08-27,5.0
1996-08-28,5.0
1996-08-29,4.75
1996-08-30,5.0
1996-09-03,4.75
1996-09-04,4.75
1996-09-05,4.75
1996-09-06,4.75
1996-09-09,5.0
1996-09-10,4.75
1996-09-11,4.75
1996-09-12,4.75
1996-09-13,4.75
1996-09-16,4.75
1996-09-17,4.75
1996-09-18,4.875
1996-09-19,4.75
1996-09-20,4.75
1996-09-23,4.8125
1996-09-24,5.0
1996-09-25,4.75
1996-09-26,5.0
1996-09-27,4.875
1996-09-30,5.125
1996-10-01,5.21875
1996-10-02,5.0
1996-10-03,5.0
1996-10-04,5.125
1996-10-07,5.125
1996-10-08,5.3125
1996-10-09,5.3125
1996-10-10,5.4375
1996-10-11,5.75
1996-10-14,3.9375
1996-10-15,4.125
1996-10-16,3.875
1996-10-17,3.90625
1996-10-18,3.65625
1996-10-21,3.4375
1996-10-22,3.4375
1996-10-23,3.3125
1996-10-24,3.34375
1996-10-25,3.3125
1996-10-28,3.015625
1996-10-29,3.0625
1996-10-30,3.0
1996-10-31,3.1875
1996-11-01,3.375
1996-11-04,3.53125
1996-11-05,3.328125
1996-11-06,3.28125
1996-11-07,3.3125
1996-11-08,3.3125
1996-11-11,3.3125
1996-11-12,3.125
1996-11-13,3.203125
1996-11-14,3.1875
1996-11-15,3.21875
1996-11-18,3.15625
1996-11-19,3.15625
1996-11-20,3.03125
1996-11-21,3.03125
1996-11-22,3.03125
1996-11-25,3.0
1996-11-26,3.03125
1996-11-27,3.03125
1996-11-29,3.03125
1996-12-02,3.046875
1996-12-03,3.007812976837158
1996-12-04,3.0
1996-12-05,3.015625
1996-12-06,3.21875
1996-12-09,3.15625
1996-12-10,3.0625
1996-12-11,3.109375
1996-12-12,3.0
1996-12-13,3.0
1996-12-16,3.007812976837158
1996-12-17,3.007812976837158
1996-12-18,3.007812976837158
1996-12-19,2.992187976837158
1996-12-20,2.9375
1996-12-23,3.0
1996-12-24,2.875
1996-12-26,2.875
1996-12-27,2.882812976837158
1996-12-30,2.882812976837158
1996-12-31,3.0
1997-01-02,3.0
1997-01-03,3.0
1997-01-06,2.84375
1997-01-07,2.84375
1997-01-08,2.84375
1997-01-09,2.84375
1997-01-10,2.8125
1997-01-13,2.6875
1997-01-14,2.59375
1997-01-15,2.5625
1997-01-16,2.476562976837158
1997-01-17,2.375
1997-01-20,2.375
1997-01-21,2.4375
1997-01-22,2.375
1997-01-23,2.515625
1997-01-24,2.25
1997-01-27,2.375
1997-01-28,2.25
1997-01-29,2.21875
1997-01-30,2.25
1997-01-31,2.40625
1997-02-03,2.53125
1997-02-04,2.375
1997-02-05,2.25
1997-02-06,2.4375
1997-02-07,2.28125
1997-02-10,2.34375
1997-02-11,2.375
1997-02-12,2.375
1997-02-13,2.4375
1997-02-14,2.4375
1997-02-18,2.34375
1997-02-19,2.375
1997-02-20,2.34375
1997-02-21,2.34375
1997-02-24,2.34375
1997-02-25,2.34375
1997-02-26,2.34375
1997-02-27,2.4375
1997-02-28,2.453125
1997-03-03,2.5
1997-03-04,2.375
1997-03-05,2.320312976837158
1997-03-06,2.375
1997-03-07,2.328125
1997-03-10,2.3125
1997-03-11,2.25
1997-03-12,2.3125
1997-03-13,2.375
1997-03-14,2.375
1997-03-17,2.375
1997-03-18,2.375
1997-03-19,2.375
1997-03-20,2.3125
1997-03-21,2.3125
1997-03-24,2.3125
1997-03-25,2.3125
1997-03-26,2.390625
1997-03-27,2.390625
1997-03-31,2.28125
1997-04-01,2.34375
1997-04-02,2.34375
1997-04-03,2.296875
1997-04-04,2.34375
1997-04-07,2.28125
1997-04-08,2.28125
1997-04-09,2.34375
1997-04-10,2.3125
1997-04-11,2.375
1997-04-14,2.4375
1997-04-15,2.5
1997-04-16,2.5
1997-04-17,2.5
1997-04-18,2.617187976837158
1997-04-21,2.5625
1997-04-22,3.3125
1997-04-23,4.0
1997-04-24,3.75
1997-04-25,3.625
1997-04-28,3.375
1997-04-29,3.625
1997-04-30,3.625
1997-05-01,3.625
1997-05-02,3.75
1997-05-05,3.4375
1997-05-06,3.4375
1997-05-07,3.4375
1997-05-08,3.46875
1997-05-09,3.46875
1997-05-12,3.375
1997-05-13,3.375
1997-05-14,3.625
1997-05-15,3.625
1997-05-16,3.625
1997-05-19,3.375
1997-05-20,3.375
1997-05-21,3.375
1997-05-22,3.375
1997-05-23,3.25
1997-05-27,3.25
1997-05-28,3.25
1997-05-29,3.25
1997-05-30,3.25
1997-06-02,3.25
1997-06-03,3.3125
1997-06-04,3.625
1997-06-05,3.625
1997-06-06,3.5
1997-06-09,3.3125
1997-06-10,3.5
1997-06-11,3.5
1997-06-12,3.5
1997-06-13,3.25
1997-06-16,3.1875
1997-06-17,3.1875
1997-06-18,3.1875
1997-06-19,3.1875
1997-06-20,3.1875
1997-06-23,3.1875
1997-06-24,3.1875
1997-06-25,3.25
1997-06-26,3.25
1997-06-27,3.25
1997-06-30,3.1875
1997-07-01,3.0
1997-07-02,3.0
1997-07-03,3.0
1997-07-07,3.25
1997-07-08,2.8125
1997-07-09,2.8125
1997-07-10,2.8125
1997-07-11,2.8125
1997-07-14,3.1875
1997-07-15,3.4375
1997-07-16,3.4375
1997-07-17,3.4375
1997-07-18,3.1875
1997-07-21,3.1875
1997-07-22,3.1875
1997-07-23,3.1875
1997-07-24,3.1875
1997-07-25,3.0
1997-07-28,3.0
1997-07-29,3.0625
1997-07-30,3.6875
1997-07-31,4.0
1997-08-01,3.75
1997-08-04,4.0625
1997-08-05,4.0625
1997-08-06,3.625
1997-08-07,3.5
1997-08-08,3.375
1997-08-11,3.6875
1997-08-12,3.5
1997-08-13,3.75
1997-08-14,3.8125
1997-08-15,3.8125
1997-08-18,3.8125
1997-08-19,3.8125
1997-08-20,3.5
1997-08-21,3.5
1997-08-22,3.625
1997-08-25,3.5
1997-08-26,3.5
1997-08-27,3.5
1997-08-28,3.5
1997-08-29,3.5
1997-09-02,3.5625
1997-09-03,3.5625
1997-09-04,3.6875
1997-09-05,3.5
1997-09-08,3.5
1997-09-09,3.5
1997-09-10,3.5
1997-09-11,3.5
1997-09-12,3.375
1997-09-15,3.375
1997-09-16,3.4375
1997-09-17,3.4375
1997-09-18,3.3125
1997-09-19,3.375
1997-09-22,3.375
1997-09-23,3.375
1997-09-24,3.0
1997-09-25,3.375
1997-09-26,3.375
1997-09-29,3.0
1997-09-30,3.0
1997-10-01,3.375
1997-10-02,3.125
1997-10-03,3.125
1997-10-06,3.125
1997-10-07,3.125
1997-10-08,3.125
1997-10-09,3.5
1997-10-10,3.5
1997-10-13,3.5
1997-10-14,3.375
1997-10-15,3.375
1997-10-16,3.125
1997-10-17,3.125
1997-10-20,3.125
1997-10-21,3.25
1997-10-22,3.125
1997-10-23,3.125
1997-10-24,3.125
1997-10-27,3.0625
1997-10-28,3.0
1997-10-29,2.9375
1997-10-30,2.9375
1997-10-31,2.75
1997-11-03,2.75
1997-11-04,2.75
1997-11-05,2.75
1997-11-06,2.875
1997-11-07,3.0
1997-11-10,2.773437976837158
1997-11-11,2.773437976837158
1997-11-12,2.773437976837158
1997-11-13,2.773437976837158
1997-11-14,3.0
1997-11-17,2.9375
1997-11-18,2.9375
1997-11-19,2.84375
1997-11-20,3.0625
1997-11-21,3.0625
1997-11-24,3.0625
1997-11-25,3.0625
1997-11-26,3.0
1997-11-28,2.78125
1997-12-01,2.78125
1997-12-02,2.78125
1997-12-03,2.9375
1997-12-04,2.9375
1997-12-05,2.9375
1997-12-08,2.9375
1997-12-09,2.78125
1997-12-10,2.78125
1997-12-11,2.9375
1997-12-12,2.9375
1997-12-15,2.75
1997-12-16,2.75
1997-12-17,2.9375
1997-12-18,2.9375
1997-12-19,2.9375
1997-12-22,2.9375
1997-12-23,2.9375
1997-12-24,2.875
1997-12-26,2.875
1997-12-29,2.875
1997-12-30,2.75
1997-12-31,2.75
1998-01-02,2.75
1998-01-05,2.75
1998-01-06,2.6875
1998-01-07,2.75
1998-01-08,2.8125
1998-01-09,2.8125
1998-01-12,2.8125
1998-01-13,2.8125
1998-01-14,2.6875
1998-01-15,2.9375
1998-01-16,2.9375
1998-01-20,2.71875
1998-01-21,2.71875
1998-01-22,2.71875
1998-01-23,2.71875
1998-01-26,2.9375
1998-01-27,2.9375
1998-01-28,2.96875
1998-01-29,3.0
1998-01-30,2.78125
1998-02-02,2.78125
1998-02-03,2.75
1998-02-04,2.71875
1998-02-05,2.875
1998-02-06,2.875
1998-02-09,2.875
1998-02-10,2.875
1998-02-11,2.875
1998-02-12,2.75
1998-02-13,2.75
1998-02-17,2.71875
1998-02-18,2.8125
1998-02-19,2.8125
1998-02-20,2.8125
1998-02-23,2.625
1998-02-24,2.6875
1998-02-25,2.6875
1998-02-26,2.6875
1998-02-27,2.6875
1998-03-02,2.6875
1998-03-03,2.6875
1998-03-04,2.6875
1998-03-05,2.6875
1998-03-06,2.6875
1998-03-09,2.6875
1998-03-10,2.625
1998-03-11,2.75
1998-03-12,2.75
1998-03-13,2.75
1998-03-16,2.875
1998-03-17,2.9375
1998-03-18,2.9375
1998-03-19,2.75
1998-03-20,2.75
1998-03-23,2.75
1998-03-24,2.75
1998-03-25,2.75
1998-03-26,2.75
1998-03-27,2.9375
1998-03-30,2.8125
1998-03-31,2.882812976837158
1998-04-01,3.0625
1998-04-02,2.9375
1998-04-03,3.0
1998-04-06,2.875
1998-04-07,2.9375
1998-04-08,2.8125
1998-04-09,2.84375
1998-04-13,2.84375
1998-04-14,2.90625
1998-04-15,2.84375
1998-04-16,2.9375
1998-04-17,3.125
1998-04-20,3.25
1998-04-21,3.25
1998-04-22,3.25
1998-04-23,3.25
1998-04-24,3.4375
1998-04-27,3.25
1998-04-28,3.875
1998-04-29,3.5
1998-04-30,3.4375
1998-05-01,3.65625
1998-05-04,3.6875
1998-05-05,3.6875
1998-05-06,3.6875
1998-05-07,3.6875
1998-05-08,3.3125
1998-05-11,3.4375
1998-05-12,3.5625
1998-05-13,3.5
1998-05-14,3.65625
1998-05-15,3.65625
1998-05-18,3.65625
1998-05-19,3.65625
1998-05-20,3.4375
1998-05-21,3.4375
1998-05-22,3.4375
1998-05-26,3.4375
1998-05-27,3.4375
1998-05-28,3.4375
1998-05-29,3.4375
1998-06-01,3.4375
1998-06-02,3.3125
1998-06-03,3.3125
1998-06-04,3.28125
1998-06-05,3.28125
1998-06-08,3.3125
1998-06-09,3.3125
1998-06-10,3.3125
1998-06-11,3.21875
1998-06-12,3.09375
1998-06-15,3.09375
1998-06-16,3.125
1998-06-17,3.0625
1998-06-18,3.0625
1998-06-19,3.085937976837158
1998-06-22,3.0625
1998-06-23,3.0625
1998-06-24,3.0625
1998-06-25,3.0625
1998-06-26,3.0625
1998-06-29,3.0625
1998-06-30,3.0625
1998-07-01,3.0625
1998-07-02,3.125
1998-07-06,3.125
1998-07-07,3.0625
1998-07-08,3.25
1998-07-09,3.25
1998-07-10,3.0625
1998-07-13,3.1875
1998-07-14,3.125
1998-07-15,3.0625
1998-07-16,3.125
1998-07-17,3.0625
1998-07-20,3.0625
1998-07-21,3.0625
1998-07-22,3.0
1998-07-23,3.0625
1998-07-24,3.25
1998-07-27,3.25
1998-07-28,3.1875
1998-07-29,3.1875
1998-07-30,3.25
1998-07-31,3.25
1998-08-03,3.09375
1998-08-04,3.1875
1998-08-05,3.1875
1998-08-06,3.1875
1998-08-07,3.25
1998-08-10,3.25
1998-08-11,3.1875
1998-08-12,3.1875
1998-08-13,3.1875
1998-08-14,3.25
1998-08-17,3.25
1998-08-18,3.3125
1998-08-19,3.3125
1998-08-20,3.25
1998-08-21,3.25
1998-08-24,3.25
1998-08-25,3.25
1998-08-26,3.25
1998-08-27,3.25
1998-08-28,3.3125
1998-08-31,3.3125
1998-09-01,3.3125
1998-09-02,3.3125
1998-09-03,3.25
1998-09-04,3.25
1998-09-08,3.25
1998-09-09,3.15625
1998-09-10,3.0625
1998-09-11,3.0
1998-09-14,3.0
1998-09-15,3.0
1998-09-16,3.0
1998-09-17,3.0
1998-09-18,3.09375
1998-09-21,3.09375
1998-09-22,3.09375
1998-09-23,3.0625
1998-09-24,3.0625
1998-09-25,3.0625
1998-09-28,3.0
1998-09-29,3.375
1998-09-30,3.375
1998-10-01,3.375
1998-10-02,3.125
1998-10-05,3.125
1998-10-06,3.0625
1998-10-07,3.0625
1998-10-08,3.0
1998-10-09,3.0
1998-10-12,3.0
1998-10-13,3.0
1998-10-14,3.0
1998-10-15,3.0
1998-10-16,3.0
1998-10-19,3.0
1998-10-20,3.0
1998-10-21,3.0
1998-10-22,3.0
1998-10-23,3.0
1998-10-26,2.84375
1998-10-27,2.84375
1998-10-28,2.84375
1998-10-29,3.0
1998-10-30,3.09375
1998-11-02,3.25
1998-11-03,3.5
1998-11-04,3.5
1998-11-05,3.3125
1998-11-06,3.375
1998-11-09,3.375
1998-11-10,3.5
1998-11-11,3.5
1998-11-12,3.5
1998-11-13,3.5
1998-11-16,3.5
1998-11-17,3.46875
1998-11-18,3.6875
1998-11-19,3.46875
1998-11-20,3.625
1998-11-23,3.5
1998-11-24,3.46875
1998-11-25,3.59375
1998-11-27,3.625
1998-11-30,3.625
1998-12-01,3.875
1998-12-02,3.9375
1998-12-03,3.9375
1998-12-04,4.0
1998-12-07,4.125
1998-12-08,3.96875
1998-12-09,3.96875
1998-12-10,3.96875
1998-12-11,4.0
1998-12-14,3.9375
1998-12-15,3.9375
1998-12-16,3.875
1998-12-17,3.875
1998-12-18,3.875
1998-12-21,3.875
1998-12-22,3.8125
1998-12-23,3.8125
1998-12-24,3.875
1998-12-28,3.875
1998-12-29,3.875
1998-12-30,3.8125
1998-12-31,3.5
1999-01-04,3.5
1999-01-05,3.5
1999-01-06,3.5625
1999-01-07,3.5625
1999-01-08,3.5625
1999-01-11,4.0
1999-01-12,4.0
1999-01-13,4.0
1999-01-14,4.0
1999-01-15,3.75
1999-01-19,3.75
1999-01-20,3.4375
1999-01-21,3.4375
1999-01-22,3.4375
1999-01-25,3.4375
1999-01-26,3.6875
1999-01-27,3.8125
1999-01-28,3.8125
1999-01-29,3.875
1999-02-01,3.875
1999-02-02,3.84375
1999-02-03,3.84375
1999-02-04,3.5625
1999-02-05,3.8125
1999-02-08,3.8125
1999-02-09,3.875
1999-02-10,3.75
1999-02-11,3.75
1999-02-12,3.75
1999-02-16,3.5625
1999-02-17,3.5625
1999-02-18,3.5625
1999-02-19,3.5625
1999-02-22,3.75
1999-02-23,3.5625
1999-02-24,3.8125
1999-02-25,3.8125
1999-02-26,3.75
1999-03-01,3.75
1999-03-02,3.75
1999-03-03,3.875
1999-03-04,3.75
1999-03-05,3.75
1999-03-08,3.75
1999-03-09,3.75
1999-03-10,3.75
1999-03-11,3.75
1999-03-12,3.75
1999-03-15,3.75
1999-03-16,3.6875
1999-03-17,3.6875
1999-03-18,3.6875
1999-03-19,3.5625
1999-03-22,3.5
1999-03-23,3.40625
1999-03-24,3.25
1999-03-25,3.25
1999-03-26,3.375
1999-03-29,3.375
1999-03-30,3.375
1999-03-31,3.375
1999-04-01,3.53125
1999-04-05,3.53125
1999-04-06,3.53125
1999-04-07,3.53125
1999-04-08,3.75
1999-04-09,3.875
1999-04-12,3.875
1999-04-13,3.875
1999-04-14,3.875
1999-04-15,3.75
1999-04-16,3.75
1999-04-19,3.75
1999-04-20,3.65625
1999-04-21,3.875
1999-04-22,3.875
1999-04-23,3.875
1999-04-26,3.875
1999-04-27,3.875
1999-04-28,3.75
1999-04-29,3.75
1999-04-30,3.75
1999-05-03,3.9375
1999-05-04,3.75
1999-05-05,3.75
1999-05-06,3.8125
1999-05-07,3.8125
1999-05-10,3.8125
1999-05-11,3.8125
1999-05-12,3.71875
1999-05-13,3.71875
1999-05-14,3.90625
1999-05-17,3.75
1999-05-18,3.6875
1999-05-19,3.6875
1999-05-20,3.6875
1999-05-21,3.75
1999-05-24,3.75
1999-05-25,3.742187976837158
1999-05-26,3.75
1999-05-27,3.8125
1999-05-28,3.8125
1999-06-01,3.75
1999-06-02,3.75
1999-06-03,3.804687976837158
1999-06-04,3.71875
1999-06-07,3.6875
1999-06-08,3.75
1999-06-09,3.742187976837158
1999-06-10,3.742187976837158
1999-06-11,3.75
1999-06-14,3.671875
1999-06-15,3.75
1999-06-16,3.75
1999-06-17,3.65625
1999-06-18,3.71875
1999-06-21,3.71875
1999-06-22,3.71875
1999-06-23,3.71875
1999-06-24,3.75
1999-06-25,3.75
1999-06-28,3.75
1999-06-29,3.75
1999-06-30,3.75
1999-07-01,3.75
1999-07-02,3.75
1999-07-06,3.75
1999-07-07,3.6875
1999-07-08,3.6875
1999-07-09,3.6875
1999-07-12,3.6875
1999-07-13,3.6875
1999-07-14,3.71875
1999-07-15,3.75
1999-07-16,3.75
1999-07-19,3.75
1999-07-20,3.75
1999-07-21,3.75
1999-07-22,3.742187976837158
1999-07-23,3.75
1999-07-26,3.6875
1999-07-27,3.65625
1999-07-28,3.625
1999-07-29,3.6875
1999-07-30,3.6875
1999-08-02,3.6875
1999-08-03,3.65625
1999-08-04,3.6875
1999-08-05,3.6875
1999-08-06,3.6875
1999-08-09,3.6875
1999-08-10,3.5625
1999-08-11,3.5
1999-08-12,3.6875
1999-08-13,3.5625
1999-08-16,3.53125
1999-08-17,3.53125
1999-08-18,3.53125
1999-08-19,3.5625
1999-08-20,3.5625
1999-08-23,3.5625
1999-08-24,3.5625
1999-08-25,3.5625
1999-08-26,3.5625
1999-08-27,3.5625
1999-08-30,3.5625
1999-08-31,3.5625
1999-09-01,3.53125
1999-09-02,3.5625
1999-09-03,3.5
1999-09-07,3.46875
1999-09-08,3.46875
1999-09-09,3.46875
1999-09-10,3.46875
1999-09-13,3.46875
1999-09-14,3.5
1999-09-15,3.5
1999-09-16,3.515625
1999-09-17,3.5
1999-09-20,3.5
1999-09-21,3.5
1999-09-22,3.46875
1999-09-23,3.375
1999-09-24,3.25
1999-09-27,3.25
1999-09-28,3.375
1999-09-29,3.375
1999-09-30,3.375
1999-10-01,3.375
1999-10-04,3.25
1999-10-05,3.25
1999-10-06,3.25
1999-10-07,3.25
1999-10-08,3.25
1999-10-11,3.25
1999-10-12,3.375
1999-10-13,3.3125
1999-10-14,3.28125
1999-10-15,3.3125
1999-10-18,3.25
1999-10-19,3.25
1999-10-20,3.25
1999-10-21,3.25
1999-10-22,3.25
1999-10-25,3.0
1999-10-26,3.0
1999-10-27,3.0
1999-10-28,3.375
1999-10-29,3.375
1999-11-01,3.4375
1999-11-02,3.5
1999-11-03,3.5
1999-11-04,3.5
1999-11-05,3.515625
1999-11-08,3.5
1999-11-09,3.3125
1999-11-10,3.53125
1999-11-11,3.53125
