,CMTL
2014-12-19,31.260000228881836
2014-12-22,31.610000610351562
2014-12-23,32.20000076293945
2014-12-24,32.15999984741211
2014-12-26,32.68000030517578
2014-12-29,32.13999938964844
2014-12-30,31.709999084472656
2014-12-31,31.520000457763672
2015-01-02,31.600000381469727
2015-01-05,32.18000030517578
2015-01-06,31.579999923706055
2015-01-07,31.81999969482422
2015-01-08,31.8799991607666
2015-01-09,31.709999084472656
2015-01-12,32.220001220703125
2015-01-13,33.439998626708984
2015-01-14,32.52000045776367
2015-01-15,31.93000030517578
2015-01-16,32.119998931884766
2015-01-20,31.93000030517578
2015-01-21,31.709999084472656
2015-01-22,33.779998779296875
2015-01-23,33.470001220703125
2015-01-26,33.7599983215332
2015-01-27,33.65999984741211
2015-01-28,33.75
2015-01-29,34.540000915527344
2015-01-30,33.040000915527344
2015-02-02,33.720001220703125
2015-02-03,35.16999816894531
2015-02-04,34.040000915527344
2015-02-05,34.47999954223633
2015-02-06,34.439998626708984
2015-02-09,34.459999084472656
2015-02-10,34.439998626708984
2015-02-11,34.29999923706055
2015-02-12,34.630001068115234
2015-02-13,35.2599983215332
2015-02-17,35.869998931884766
2015-02-18,35.7400016784668
2015-02-19,35.2599983215332
2015-02-20,35.650001525878906
2015-02-23,35.36000061035156
2015-02-24,36.02000045776367
2015-02-25,36.0
2015-02-26,35.560001373291016
2015-02-27,35.7400016784668
2015-03-02,35.47999954223633
2015-03-03,35.4900016784668
2015-03-04,35.349998474121094
2015-03-05,34.959999084472656
2015-03-06,34.0
2015-03-09,34.2400016784668
2015-03-10,30.899999618530273
2015-03-11,31.719999313354492
2015-03-12,26.84000015258789
2015-03-13,27.540000915527344
2015-03-16,27.43000030517578
2015-03-17,27.860000610351562
2015-03-18,28.649999618530273
2015-03-19,28.5
2015-03-20,28.719999313354492
2015-03-23,29.15999984741211
2015-03-24,29.309999465942383
2015-03-25,28.329999923706055
2015-03-26,28.639999389648438
2015-03-27,28.799999237060547
2015-03-30,29.09000015258789
2015-03-31,28.950000762939453
2015-04-01,30.049999237060547
2015-04-02,30.219999313354492
2015-04-06,30.34000015258789
2015-04-07,30.459999084472656
2015-04-08,30.489999771118164
2015-04-09,30.81999969482422
2015-04-10,31.649999618530273
2015-04-13,31.389999389648438
2015-04-14,31.6299991607666
2015-04-15,31.68000030517578
2015-04-16,31.68000030517578
2015-04-17,30.90999984741211
2015-04-20,30.809999465942383
2015-04-21,30.850000381469727
2015-04-22,30.969999313354492
2015-04-23,31.059999465942383
2015-04-24,31.209999084472656
2015-04-27,30.540000915527344
2015-04-28,30.760000228881836
2015-04-29,29.979999542236328
2015-04-30,28.899999618530273
2015-05-01,29.450000762939453
2015-05-04,29.239999771118164
2015-05-05,28.8700008392334
2015-05-06,28.799999237060547
2015-05-07,28.8799991607666
2015-05-08,29.270000457763672
2015-05-11,29.270000457763672
2015-05-12,29.510000228881836
2015-05-13,29.790000915527344
2015-05-14,30.459999084472656
2015-05-15,31.110000610351562
2015-05-18,31.639999389648438
2015-05-19,31.93000030517578
2015-05-20,31.579999923706055
2015-05-21,31.1200008392334
2015-05-22,30.799999237060547
2015-05-26,29.8700008392334
2015-05-27,30.020000457763672
2015-05-28,29.979999542236328
2015-05-29,30.040000915527344
2015-06-01,29.8700008392334
2015-06-02,30.139999389648438
2015-06-03,29.850000381469727
2015-06-04,29.799999237060547
2015-06-05,29.739999771118164
2015-06-08,29.530000686645508
2015-06-09,29.520000457763672
2015-06-10,30.0
2015-06-11,30.020000457763672
2015-06-12,29.989999771118164
2015-06-15,29.709999084472656
2015-06-16,29.649999618530273
2015-06-17,29.389999389648438
2015-06-18,29.760000228881836
2015-06-19,29.850000381469727
2015-06-22,30.440000534057617
2015-06-23,30.479999542236328
2015-06-24,30.170000076293945
2015-06-25,30.56999969482422
2015-06-26,30.469999313354492
2015-06-29,29.3799991607666
2015-06-30,29.049999237060547
2015-07-01,29.1299991607666
2015-07-02,29.420000076293945
2015-07-06,29.049999237060547
2015-07-07,28.770000457763672
2015-07-08,28.260000228881836
2015-07-09,28.040000915527344
2015-07-10,30.360000610351562
2015-07-13,30.6299991607666
2015-07-14,30.799999237060547
2015-07-15,29.950000762939453
2015-07-16,29.979999542236328
2015-07-17,29.530000686645508
2015-07-20,29.559999465942383
2015-07-21,29.270000457763672
2015-07-22,29.1299991607666
2015-07-23,28.440000534057617
2015-07-24,28.309999465942383
2015-07-27,28.09000015258789
2015-07-28,28.0
2015-07-29,27.809999465942383
2015-07-30,27.799999237060547
2015-07-31,28.809999465942383
2015-08-03,28.079999923706055
2015-08-04,28.350000381469727
2015-08-05,28.540000915527344
2015-08-06,28.5
2015-08-07,28.1299991607666
2015-08-10,28.93000030517578
2015-08-11,28.540000915527344
2015-08-12,28.280000686645508
2015-08-13,27.959999084472656
2015-08-14,28.25
2015-08-17,28.3799991607666
2015-08-18,27.65999984741211
2015-08-19,27.280000686645508
