,FDNI
2019-06-24,21.790000915527344
2019-06-25,21.360000610351562
2019-06-26,21.360000610351562
2019-06-27,21.799999237060547
2019-06-28,21.8700008392334
2019-07-01,22.31999969482422
2019-07-02,22.25
2019-07-03,22.280000686645508
2019-07-05,22.200000762939453
2019-07-08,22.200000762939453
2019-07-09,21.799999237060547
2019-07-10,22.0
2019-07-11,22.010000228881836
2019-07-12,21.770000457763672
2019-07-15,22.010000228881836
2019-07-16,22.010000228881836
2019-07-17,22.059999465942383
2019-07-18,22.059999465942383
2019-07-19,22.200000762939453
2019-07-22,22.059999465942383
2019-07-23,22.200000762939453
2019-07-24,22.389999389648438
2019-07-25,21.15999984741211
2019-07-26,22.510000228881836
2019-07-29,22.360000610351562
2019-07-30,22.360000610351562
2019-07-31,22.110000610351562
2019-08-01,21.8799991607666
2019-08-02,21.6299991607666
2019-08-05,21.6299991607666
2019-08-06,20.780000686645508
2019-08-07,20.780000686645508
2019-08-08,21.489999771118164
2019-08-09,21.309999465942383
2019-08-12,21.309999465942383
2019-08-13,21.5
2019-08-14,20.899999618530273
2019-08-15,20.610000610351562
2019-08-16,20.610000610351562
2019-08-19,21.75
2019-08-20,21.959999084472656
2019-08-21,21.959999084472656
2019-08-22,21.850000381469727
2019-08-23,21.479999542236328
2019-08-26,21.790000915527344
2019-08-27,21.68000030517578
2019-08-28,21.68000030517578
2019-08-29,22.09000015258789
2019-08-30,22.09000015258789
2019-09-03,22.09000015258789
2019-09-04,22.09000015258789
2019-09-05,22.09000015258789
2019-09-06,22.09000015258789
2019-09-09,22.09000015258789
2019-09-10,22.06999969482422
2019-09-11,22.440000534057617
2019-09-12,22.440000534057617
2019-09-13,22.440000534057617
2019-09-16,22.389999389648438
2019-09-17,22.389999389648438
2019-09-18,22.3799991607666
2019-09-19,22.3799991607666
2019-09-20,22.3799991607666
2019-09-23,22.3799991607666
2019-09-24,21.649999618530273
2019-09-25,21.1200008392334
2019-09-26,21.329999923706055
2019-09-27,20.700000762939453
2019-09-30,21.030000686645508
2019-10-01,20.780000686645508
2019-10-02,20.709999084472656
2019-10-03,20.709999084472656
2019-10-04,20.709999084472656
2019-10-07,21.06999969482422
2019-10-08,20.68000030517578
2019-10-09,20.68000030517578
2019-10-10,21.239999771118164
2019-10-11,21.489999771118164
2019-10-14,21.489999771118164
2019-10-15,21.770000457763672
2019-10-16,21.770000457763672
2019-10-17,21.90999984741211
2019-10-18,21.90999984741211
2019-10-21,21.90999984741211
2019-10-22,21.709999084472656
2019-10-23,21.110000610351562
2019-10-24,21.110000610351562
2019-10-25,21.479999542236328
2019-10-28,21.809999465942383
2019-10-29,21.579999923706055
2019-10-30,21.540000915527344
2019-10-31,21.540000915527344
2019-11-01,21.540000915527344
2019-11-04,22.25
2019-11-05,22.18000030517578
2019-11-06,22.18000030517578
2019-11-07,22.389999389648438
2019-11-08,22.489999771118164
2019-11-11,22.489999771118164
2019-11-12,22.489999771118164
2019-11-13,22.489999771118164
2019-11-14,22.489999771118164
2019-11-15,22.329999923706055
2019-11-18,22.329999923706055
2019-11-19,22.329999923706055
2019-11-20,22.329999923706055
2019-11-21,22.59000015258789
2019-11-22,22.90999984741211
2019-11-25,22.81999969482422
2019-11-26,22.81999969482422
2019-11-27,23.110000610351562
2019-11-29,23.0
2019-12-02,22.729999542236328
2019-12-03,22.729999542236328
2019-12-04,22.850000381469727
2019-12-05,22.940000534057617
2019-12-06,23.170000076293945
2019-12-09,22.969999313354492
2019-12-10,22.8700008392334
2019-12-11,23.1299991607666
2019-12-12,23.270000457763672
2019-12-13,23.229999542236328
2019-12-16,23.68000030517578
2019-12-17,23.84000015258789
2019-12-18,23.969999313354492
2019-12-19,24.09000015258789
2019-12-20,24.219999313354492
2019-12-23,24.469999313354492
2019-12-24,24.520000457763672
