,DADA
2020-09-28,26.739999771118164
2020-09-29,28.559999465942383
2020-09-30,26.469999313354492
2020-10-01,25.950000762939453
2020-10-02,25.09000015258789
2020-10-05,26.100000381469727
2020-10-06,27.1200008392334
2020-10-07,27.100000381469727
2020-10-08,27.1299991607666
2020-10-09,29.690000534057617
2020-10-12,33.400001525878906
2020-10-13,34.04999923706055
2020-10-14,32.75
2020-10-15,33.709999084472656
2020-10-16,36.90999984741211
2020-10-19,35.0
2020-10-20,35.0
2020-10-21,35.599998474121094
2020-10-22,34.47999954223633
2020-10-23,32.900001525878906
2020-10-26,32.72999954223633
2020-10-27,32.68000030517578
2020-10-28,33.36000061035156
2020-10-29,34.529998779296875
2020-10-30,33.0099983215332
2020-11-02,32.220001220703125
2020-11-03,30.729999542236328
2020-11-04,33.9900016784668
2020-11-05,37.029998779296875
2020-11-06,36.290000915527344
2020-11-09,33.02000045776367
2020-11-10,28.040000915527344
2020-11-11,31.1200008392334
2020-11-12,31.959999084472656
2020-11-13,34.31999969482422
2020-11-16,33.59000015258789
2020-11-17,33.45000076293945
2020-11-18,31.889999389648438
2020-11-19,33.58000183105469
2020-11-20,43.810001373291016
2020-11-23,52.029998779296875
2020-11-24,48.0
2020-11-25,56.529998779296875
2020-11-27,55.77000045776367
2020-11-30,57.95000076293945
2020-12-01,56.40999984741211
2020-12-02,53.599998474121094
2020-12-03,45.209999084472656
2020-12-04,43.65999984741211
2020-12-07,42.83000183105469
2020-12-08,39.90999984741211
2020-12-09,39.4900016784668
2020-12-10,42.18000030517578
2020-12-11,44.25
2020-12-14,42.599998474121094
2020-12-15,37.02000045776367
2020-12-16,38.5099983215332
2020-12-17,38.31999969482422
2020-12-18,40.38999938964844
2020-12-21,37.83000183105469
2020-12-22,37.0
2020-12-23,38.09000015258789
2020-12-24,37.47999954223633
2020-12-28,37.09000015258789
2020-12-29,35.84000015258789
2020-12-30,37.59000015258789
2020-12-31,36.5
2021-01-04,37.4900016784668
2021-01-05,38.63999938964844
2021-01-06,39.900001525878906
2021-01-07,41.75
2021-01-08,43.16999816894531
2021-01-11,45.2400016784668
2021-01-12,45.18000030517578
2021-01-13,41.220001220703125
2021-01-14,41.63999938964844
2021-01-15,43.0
2021-01-19,44.88999938964844
2021-01-20,43.0099983215332
2021-01-21,42.90999984741211
2021-01-22,44.95000076293945
2021-01-25,44.54999923706055
2021-01-26,45.029998779296875
2021-01-27,42.83000183105469
2021-01-28,44.68000030517578
2021-01-29,41.34000015258789
2021-02-01,43.66999816894531
2021-02-02,44.7400016784668
2021-02-03,46.099998474121094
2021-02-04,45.45000076293945
2021-02-05,46.439998626708984
2021-02-08,46.36000061035156
2021-02-09,44.66999816894531
2021-02-10,44.560001373291016
2021-02-11,44.93000030517578
2021-02-12,44.560001373291016
2021-02-16,45.18000030517578
2021-02-17,43.93000030517578
2021-02-18,41.72999954223633
2021-02-19,41.369998931884766
2021-02-22,39.150001525878906
2021-02-23,37.97999954223633
2021-02-24,38.31999969482422
2021-02-25,36.619998931884766
2021-02-26,35.459999084472656
2021-03-01,36.689998626708984
2021-03-02,36.15999984741211
2021-03-03,34.88999938964844
2021-03-04,32.220001220703125
2021-03-05,32.5099983215332
2021-03-08,29.440000534057617
2021-03-09,32.689998626708984
2021-03-10,29.489999771118164
2021-03-11,31.43000030517578
2021-03-12,30.520000457763672
2021-03-15,30.25
2021-03-16,30.59000015258789
2021-03-17,31.139999389648438
2021-03-18,29.459999084472656
2021-03-19,29.299999237060547
2021-03-22,30.5
2021-03-23,31.90999984741211
2021-03-24,27.530000686645508
2021-03-25,26.280000686645508
2021-03-26,25.709999084472656
2021-03-29,25.260000228881836
2021-03-30,26.350000381469727
2021-03-31,27.139999389648438
2021-04-01,26.809999465942383
2021-04-05,26.079999923706055
2021-04-06,26.56999969482422
2021-04-07,26.25
2021-04-08,26.170000076293945
2021-04-09,25.639999389648438
2021-04-12,24.81999969482422
2021-04-13,24.969999313354492
2021-04-14,24.899999618530273
2021-04-15,24.549999237060547
2021-04-16,24.68000030517578
2021-04-19,23.399999618530273
2021-04-20,22.540000915527344
2021-04-21,23.850000381469727
2021-04-22,24.09000015258789
2021-04-23,25.860000610351562
2021-04-26,25.6299991607666
2021-04-27,25.829999923706055
2021-04-28,25.040000915527344
2021-04-29,24.780000686645508
2021-04-30,24.040000915527344
2021-05-03,24.030000686645508
2021-05-04,23.299999237060547
2021-05-05,23.010000228881836
2021-05-06,22.65999984741211
2021-05-07,23.34000015258789
2021-05-10,20.959999084472656
2021-05-11,20.81999969482422
2021-05-12,21.350000381469727
2021-05-13,19.920000076293945
2021-05-14,21.969999313354492
