,EWI
1997-02-25,31.25
1997-02-26,30.5
1997-02-27,30.0
1997-02-28,29.875
1997-03-03,29.75
1997-03-04,30.0
1997-03-05,29.75
1997-03-06,29.875
1997-03-07,30.25
1997-03-10,30.25
1997-03-11,30.625
1997-03-12,29.875
1997-03-13,29.5
1997-03-14,29.875
1997-03-17,29.75
1997-03-18,29.0
1997-03-19,29.5
1997-03-20,29.25
1997-03-21,29.375
1997-03-24,29.25
1997-03-25,29.75
1997-03-26,30.0
1997-03-27,30.25
1997-03-31,30.25
1997-04-01,29.5
1997-04-02,29.75
1997-04-03,29.375
1997-04-04,29.5
1997-04-07,29.5
1997-04-08,29.625
1997-04-09,30.375
1997-04-10,30.125
1997-04-11,30.25
1997-04-14,30.25
1997-04-15,30.625
1997-04-16,31.125
1997-04-17,31.0
1997-04-18,30.75
1997-04-21,30.875
1997-04-22,30.75
1997-04-23,30.625
1997-04-24,30.375
1997-04-25,30.375
1997-04-28,30.375
1997-04-29,30.25
1997-04-30,30.25
1997-05-01,30.75
1997-05-02,30.875
1997-05-05,30.75
1997-05-06,30.75
1997-05-07,30.375
1997-05-08,30.625
1997-05-09,31.0
1997-05-12,31.375
1997-05-13,31.0
1997-05-14,31.25
1997-05-15,31.125
1997-05-16,31.625
1997-05-19,31.375
1997-05-20,31.625
1997-05-21,32.0
1997-05-22,31.875
1997-05-23,31.625
1997-05-27,31.25
1997-05-28,31.0
1997-05-29,31.0
1997-05-30,30.5
1997-06-02,30.375
1997-06-03,30.375
1997-06-04,30.75
1997-06-05,30.75
1997-06-06,31.0
1997-06-09,31.125
1997-06-10,30.75
1997-06-11,31.0
1997-06-12,31.625
1997-06-13,32.125
1997-06-16,32.375
1997-06-17,32.0
1997-06-18,32.5
1997-06-19,33.125
1997-06-20,33.375
1997-06-23,34.125
1997-06-24,34.375
1997-06-25,34.5
1997-06-26,34.25
1997-06-27,34.0
1997-06-30,33.5
1997-07-01,34.125
1997-07-02,34.375
1997-07-03,34.75
1997-07-07,35.125
1997-07-08,35.0
1997-07-09,35.0
1997-07-10,34.875
1997-07-11,35.125
1997-07-14,34.75
1997-07-15,34.625
1997-07-16,35.25
1997-07-17,36.375
1997-07-18,35.875
1997-07-21,35.625
1997-07-22,36.0
1997-07-23,37.25
1997-07-24,36.5
1997-07-25,36.375
1997-07-28,35.625
1997-07-29,35.0
1997-07-30,35.625
1997-07-31,35.375
1997-08-01,34.75
1997-08-04,33.875
1997-08-05,33.5
1997-08-06,34.125
1997-08-07,35.0
1997-08-08,34.875
1997-08-11,34.125
1997-08-12,34.25
1997-08-13,34.75
1997-08-14,34.375
1997-08-15,34.25
1997-08-18,33.75
1997-08-19,34.0
1997-08-20,34.0
1997-08-21,34.25
1997-08-22,34.25
1997-08-25,33.625
1997-08-26,33.375
1997-08-27,33.25
1997-08-28,32.75
1997-08-29,33.125
1997-09-02,34.0
1997-09-03,34.625
1997-09-04,34.375
1997-09-05,34.875
1997-09-08,35.125
1997-09-09,34.75
1997-09-10,34.125
1997-09-11,34.25
1997-09-12,34.75
1997-09-15,35.875
1997-09-16,36.375
1997-09-17,35.875
1997-09-18,36.0
1997-09-19,36.625
1997-09-22,37.625
1997-09-23,37.875
1997-09-24,38.375
1997-09-25,39.0
1997-09-26,39.0
1997-09-29,38.5
1997-09-30,38.5
1997-10-01,37.125
1997-10-02,37.125
1997-10-03,37.875
1997-10-06,38.0
1997-10-07,37.625
1997-10-08,37.75
1997-10-09,36.375
1997-10-10,36.875
1997-10-13,37.875
1997-10-14,39.0
1997-10-15,39.0
1997-10-16,39.0
1997-10-17,37.625
1997-10-20,37.875
1997-10-21,38.375
1997-10-22,38.25
1997-10-23,37.0
1997-10-24,37.25
1997-10-27,35.0
1997-10-28,35.25
1997-10-29,35.875
1997-10-30,35.0
1997-10-31,36.0
1997-11-03,36.25
1997-11-04,36.25
1997-11-05,36.75
1997-11-06,36.875
1997-11-07,35.875
1997-11-10,36.5
1997-11-11,36.625
1997-11-12,35.5
1997-11-13,36.0
1997-11-14,35.875
1997-11-17,37.0
1997-11-18,36.75
1997-11-19,36.75
1997-11-20,37.375
1997-11-21,37.0
1997-11-24,35.75
1997-11-25,36.875
1997-11-26,36.875
1997-11-28,36.75
1997-12-01,37.5
1997-12-02,37.125
1997-12-03,37.5
1997-12-04,37.625
1997-12-05,37.25
1997-12-08,37.5
1997-12-09,37.375
1997-12-10,37.125
1997-12-11,36.625
1997-12-12,37.0
1997-12-15,37.75
1997-12-16,38.5
1997-12-17,38.875
1997-12-18,39.125
1997-12-19,38.0
1997-12-22,38.875
1997-12-23,38.875
1997-12-24,38.875
1997-12-26,38.875
1997-12-29,40.0
1997-12-30,40.125
1997-12-31,40.125
1998-01-02,40.625
1998-01-05,41.5
1998-01-06,41.125
1998-01-07,42.0
1998-01-08,40.75
1998-01-09,40.125
1998-01-12,40.5
1998-01-13,41.5
1998-01-14,41.625
1998-01-15,41.375
1998-01-16,41.625
1998-01-20,42.0
1998-01-21,41.75
1998-01-22,42.125
1998-01-23,42.125
1998-01-26,41.625
1998-01-27,42.5
1998-01-28,42.375
1998-01-29,42.375
1998-01-30,43.25
1998-02-02,43.75
1998-02-03,43.5
1998-02-04,43.75
1998-02-05,45.25
1998-02-06,45.25
1998-02-09,44.75
1998-02-10,44.875
1998-02-11,45.125
1998-02-12,44.5
1998-02-13,44.0
1998-02-17,44.625
1998-02-18,45.125
1998-02-19,44.5
1998-02-20,43.625
1998-02-23,44.0
1998-02-24,44.0
1998-02-25,44.375
1998-02-26,45.0
1998-02-27,45.0
1998-03-02,46.125
1998-03-03,46.625
1998-03-04,45.75
1998-03-05,45.5
1998-03-06,46.625
1998-03-09,47.125
1998-03-10,47.625
1998-03-11,46.75
1998-03-12,47.25
1998-03-13,47.5
1998-03-16,48.75
1998-03-17,49.25
1998-03-18,49.25
1998-03-19,48.875
1998-03-20,50.125
1998-03-23,51.125
1998-03-24,52.5
1998-03-25,53.5
1998-03-26,53.5
1998-03-27,53.5
1998-03-30,52.625
1998-03-31,53.75
1998-04-01,55.125
1998-04-02,56.25
1998-04-03,56.75
1998-04-06,58.25
1998-04-07,57.625
1998-04-08,55.375
1998-04-09,55.25
1998-04-13,55.625
1998-04-14,57.125
1998-04-15,58.5
1998-04-16,57.5
1998-04-17,57.125
1998-04-20,57.0
1998-04-21,57.75
1998-04-22,57.5
1998-04-23,55.125
1998-04-24,53.125
1998-04-27,49.25
1998-04-28,52.125
1998-04-29,51.125
1998-04-30,52.75
1998-05-01,53.875
1998-05-04,55.625
1998-05-05,55.5
1998-05-06,55.0
1998-05-07,54.75
1998-05-08,55.125
1998-05-11,56.125
1998-05-12,56.25
1998-05-13,55.875
1998-05-14,55.625
1998-05-15,55.25
1998-05-18,52.5
1998-05-19,54.75
1998-05-20,55.375
1998-05-21,56.0
1998-05-22,56.75
1998-05-26,57.5
1998-05-27,56.0
1998-05-28,55.875
1998-05-29,55.75
1998-06-01,54.5
1998-06-02,55.5
1998-06-03,55.75
1998-06-04,56.375
1998-06-05,56.75
1998-06-08,56.875
1998-06-09,56.0
1998-06-10,55.875
1998-06-11,54.25
1998-06-12,51.625
1998-06-15,51.0
1998-06-16,52.75
1998-06-17,54.375
1998-06-18,53.375
1998-06-19,53.125
1998-06-22,51.125
1998-06-23,51.75
1998-06-24,51.5
1998-06-25,52.75
1998-06-26,51.875
1998-06-29,52.75
1998-06-30,52.25
1998-07-01,53.875
1998-07-02,54.25
1998-07-06,55.875
1998-07-07,56.5
1998-07-08,57.125
1998-07-09,55.875
1998-07-10,56.625
1998-07-13,57.0
1998-07-14,58.5
1998-07-15,59.125
1998-07-16,59.5
1998-07-17,60.25
1998-07-20,61.375
1998-07-21,60.25
1998-07-22,60.0
1998-07-23,59.125
1998-07-24,59.75
1998-07-27,58.875
1998-07-28,58.125
1998-07-29,57.75
1998-07-30,58.375
1998-07-31,57.25
1998-08-03,56.25
1998-08-04,55.75
1998-08-05,55.875
1998-08-06,55.375
1998-08-07,55.875
1998-08-10,54.75
1998-08-11,53.0
1998-08-12,54.0
1998-08-13,53.75
1998-08-14,54.375
1998-08-17,55.0
1998-08-18,56.375
1998-08-19,56.0
1998-08-20,55.25
1998-08-21,53.5
1998-08-24,53.25
1998-08-25,51.25
1998-08-26,49.25
1998-08-27,46.75
1998-08-28,45.75
1998-08-31,44.75
1998-09-01,45.75
1998-09-02,46.0
1998-09-03,45.0
1998-09-04,45.125
1998-09-08,49.125
1998-09-09,46.625
1998-09-10,45.0
1998-09-11,44.5
1998-09-14,46.0
1998-09-15,46.5
1998-09-16,47.125
1998-09-17,44.25
1998-09-18,43.875
1998-09-21,43.5
1998-09-22,43.625
1998-09-23,44.625
1998-09-24,43.75
1998-09-25,42.625
1998-09-28,44.25
1998-09-29,44.25
1998-09-30,43.375
1998-10-01,41.875
1998-10-02,42.25
1998-10-05,41.25
1998-10-06,42.875
1998-10-07,42.375
1998-10-08,41.0
1998-10-09,40.625
1998-10-12,42.375
1998-10-13,43.125
1998-10-14,44.25
1998-10-15,46.625
1998-10-16,46.25
1998-10-19,46.5
1998-10-20,47.5
1998-10-21,46.5
1998-10-22,46.125
1998-10-23,46.875
1998-10-26,48.25
1998-10-27,48.0
1998-10-28,45.75
1998-10-29,46.25
1998-10-30,46.625
1998-11-02,47.75
1998-11-03,47.875
1998-11-04,48.375
1998-11-05,48.625
1998-11-06,48.75
1998-11-09,47.125
1998-11-10,46.875
1998-11-11,47.875
1998-11-12,47.75
1998-11-13,47.875
1998-11-16,48.875
1998-11-17,49.25
1998-11-18,48.875
1998-11-19,49.25
1998-11-20,49.875
1998-11-23,50.5
1998-11-24,50.25
1998-11-25,51.0
1998-11-27,52.0
1998-11-30,51.5
1998-12-01,50.375
1998-12-02,50.25
1998-12-03,50.25
1998-12-04,51.0
1998-12-07,50.375
1998-12-08,50.25
1998-12-09,50.875
1998-12-10,50.75
1998-12-11,50.5
1998-12-14,50.0
1998-12-15,51.0
1998-12-16,50.75
1998-12-17,51.25
1998-12-18,51.25
1998-12-21,52.75
1998-12-22,52.625
1998-12-23,53.375
1998-12-24,52.5
1998-12-28,54.375
1998-12-29,54.75
1998-12-30,54.5
1998-12-31,54.375
1999-01-04,58.375
1999-01-05,59.125
1999-01-06,60.5
1999-01-07,58.625
1999-01-08,58.25
1999-01-11,56.0
1999-01-12,54.25
1999-01-13,52.25
1999-01-14,51.5
1999-01-15,53.875
1999-01-19,53.625
1999-01-20,53.375
1999-01-21,51.25
1999-01-22,50.5
1999-01-25,51.5
1999-01-26,51.75
1999-01-27,51.0
1999-01-28,51.875
1999-01-29,52.0
1999-02-01,51.875
1999-02-02,51.25
1999-02-03,50.625
1999-02-04,51.125
1999-02-05,50.25
1999-02-08,50.125
1999-02-09,47.75
1999-02-10,48.75
1999-02-11,50.5
1999-02-12,49.5
1999-02-16,49.625
1999-02-17,48.75
1999-02-18,50.0
1999-02-19,50.875
1999-02-22,51.5
1999-02-23,50.5
1999-02-24,51.0
1999-02-25,50.375
1999-02-26,50.375
1999-03-01,49.75
1999-03-02,49.375
1999-03-03,49.0
1999-03-04,50.0
1999-03-05,50.875
1999-03-08,50.5
1999-03-09,51.375
1999-03-10,52.75
1999-03-11,54.0
1999-03-12,52.25
1999-03-15,52.375
1999-03-16,52.75
1999-03-17,52.75
1999-03-18,53.5
1999-03-19,53.75
1999-03-22,52.375
1999-03-23,51.75
1999-03-24,50.5
1999-03-25,51.875
1999-03-26,50.625
1999-03-29,51.5
1999-03-30,51.5
1999-03-31,52.0
1999-04-01,52.25
1999-04-05,52.25
1999-04-06,52.5
1999-04-07,52.75
1999-04-08,53.5
1999-04-09,52.25
1999-04-12,51.625
1999-04-13,52.0
1999-04-14,52.0
1999-04-15,51.75
1999-04-16,50.875
1999-04-19,51.0
1999-04-20,50.875
1999-04-21,51.5
1999-04-22,50.875
1999-04-23,51.0
1999-04-26,50.5
1999-04-27,51.625
1999-04-28,51.25
1999-04-29,51.125
1999-04-30,51.125
1999-05-03,51.0
1999-05-04,51.375
1999-05-05,51.25
1999-05-06,51.625
1999-05-07,51.5
1999-05-10,50.875
1999-05-11,50.625
1999-05-12,49.5
1999-05-13,50.0
1999-05-14,49.5
1999-05-17,47.875
1999-05-18,49.0
1999-05-19,49.625
1999-05-20,50.0
1999-05-21,50.125
1999-05-24,49.625
1999-05-25,49.5
1999-05-26,49.625
1999-05-27,48.125
1999-05-28,48.75
1999-06-01,48.75
1999-06-02,48.125
1999-06-03,49.25
1999-06-04,49.0
1999-06-07,48.5
1999-06-08,49.5
1999-06-09,50.0
1999-06-10,48.75
1999-06-11,49.25
1999-06-14,48.875
1999-06-15,48.625
1999-06-16,48.5
1999-06-17,49.0
1999-06-18,49.25
1999-06-21,49.0
1999-06-22,48.5
1999-06-23,48.875
1999-06-24,48.75
1999-06-25,49.25
1999-06-28,48.5
1999-06-29,48.875
1999-06-30,49.125
1999-07-01,48.375
1999-07-02,48.25
1999-07-06,49.0
1999-07-07,49.25
1999-07-08,48.875
1999-07-09,49.25
1999-07-12,49.0
1999-07-13,47.625
1999-07-14,48.625
1999-07-15,49.0
1999-07-16,47.875
1999-07-19,48.75
1999-07-20,48.5
1999-07-21,48.25
1999-07-22,46.875
1999-07-23,46.5
1999-07-26,46.25
1999-07-27,47.125
1999-07-28,46.75
1999-07-29,45.25
1999-07-30,46.25
1999-08-02,46.625
1999-08-03,46.25
1999-08-04,47.0
1999-08-05,45.875
1999-08-06,45.875
1999-08-09,46.125
1999-08-10,45.5
1999-08-11,45.75
1999-08-12,46.5
1999-08-13,46.625
1999-08-16,46.625
1999-08-17,47.0
1999-08-18,46.875
1999-08-19,46.25
1999-08-20,47.125
1999-08-23,47.625
1999-08-24,47.375
1999-08-25,43.375
1999-08-26,43.75
1999-08-27,43.75
1999-08-30,43.125
1999-08-31,43.25
1999-09-01,43.75
1999-09-02,43.25
1999-09-03,43.5
1999-09-07,43.5
1999-09-08,43.875
1999-09-09,44.375
1999-09-10,44.25
1999-09-13,43.625
1999-09-14,43.25
1999-09-15,43.25
1999-09-16,43.5
1999-09-17,43.5
1999-09-20,44.125
1999-09-21,43.375
1999-09-22,43.875
1999-09-23,43.75
1999-09-24,43.875
1999-09-27,44.0
1999-09-28,43.875
1999-09-29,43.875
1999-09-30,44.125
1999-10-01,44.875
1999-10-04,44.625
1999-10-05,44.625
1999-10-06,44.25
1999-10-07,44.875
1999-10-08,44.125
1999-10-11,44.25
1999-10-12,43.25
1999-10-13,42.75
1999-10-14,43.125
1999-10-15,42.75
1999-10-18,42.0
1999-10-19,42.375
1999-10-20,42.375
1999-10-21,42.25
1999-10-22,42.75
1999-10-25,42.0
1999-10-26,42.0
1999-10-27,41.625
1999-10-28,42.75
1999-10-29,43.25
1999-11-01,43.0
1999-11-02,42.5
1999-11-03,41.875
1999-11-04,42.5
1999-11-05,42.625
1999-11-08,41.75
1999-11-09,42.5
1999-11-10,43.125
1999-11-11,42.625
1999-11-12,42.75
1999-11-15,43.125
1999-11-16,43.0
1999-11-17,43.625
1999-11-18,43.25
1999-11-19,44.0
1999-11-22,43.875
1999-11-23,43.125
1999-11-24,43.125
1999-11-26,43.375
1999-11-29,43.625
1999-11-30,43.25
1999-12-01,44.0
1999-12-02,44.25
1999-12-03,45.125
1999-12-06,46.0
1999-12-07,46.5
1999-12-08,47.25
1999-12-09,47.25
1999-12-10,46.125
1999-12-13,46.75
1999-12-14,47.0
1999-12-15,46.375
1999-12-16,47.625
1999-12-17,47.125
1999-12-20,48.0
1999-12-21,47.375
1999-12-22,48.375
1999-12-23,49.375
1999-12-27,49.75
1999-12-28,49.75
1999-12-29,49.5
1999-12-30,49.75
1999-12-31,50.0
2000-01-03,49.75
2000-01-04,48.375
2000-01-05,48.0
2000-01-06,46.75
2000-01-07,48.0
2000-01-10,48.0
2000-01-11,47.625
2000-01-12,48.625
2000-01-13,49.125
2000-01-14,50.125
2000-01-18,48.5
2000-01-19,48.75
2000-01-20,49.375
2000-01-21,49.25
2000-01-24,48.625
2000-01-25,48.375
2000-01-26,48.375
2000-01-27,48.875
2000-01-28,47.125
2000-01-31,46.75
2000-02-01,47.125
2000-02-02,48.875
2000-02-03,51.125
2000-02-04,50.625
2000-02-07,50.25
2000-02-08,52.375
2000-02-09,52.0
2000-02-10,52.625
2000-02-11,52.75
2000-02-14,54.25
2000-02-15,53.125
2000-02-16,53.125
2000-02-17,53.25
2000-02-18,52.5
2000-02-22,53.25
2000-02-23,55.25
2000-02-24,53.75
2000-02-25,54.375
2000-02-28,53.125
2000-02-29,53.75
2000-03-01,54.0
2000-03-02,54.625
2000-03-03,54.5
2000-03-06,54.75
2000-03-07,53.25
2000-03-08,53.375
2000-03-09,54.25
2000-03-10,54.0
2000-03-13,53.125
2000-03-14,52.5
2000-03-15,50.375
2000-03-16,52.0
2000-03-17,52.25
2000-03-20,51.75
2000-03-21,51.15625
2000-03-22,50.75
2000-03-23,50.875
2000-03-24,52.0
2000-03-27,51.75
2000-03-28,51.5
2000-03-29,50.5
2000-03-30,50.125
2000-03-31,50.0
2000-04-03,48.625
2000-04-04,49.5
2000-04-05,48.375
2000-04-06,49.375
2000-04-07,49.25
2000-04-10,49.5
2000-04-11,48.5
2000-04-12,48.875
2000-04-13,48.625
2000-04-14,46.75
2000-04-17,46.625
2000-04-18,46.875
2000-04-19,45.75
2000-04-20,46.875
2000-04-24,46.625
2000-04-25,47.125
2000-04-26,47.0
2000-04-27,45.875
2000-04-28,46.75
2000-05-01,47.0
2000-05-02,47.875
2000-05-03,46.0
2000-05-04,46.875
2000-05-05,46.75
2000-05-08,46.5
2000-05-09,46.5
2000-05-10,46.0
2000-05-11,46.75
2000-05-12,47.625
2000-05-15,47.75
2000-05-16,48.375
2000-05-17,46.625
2000-05-18,46.5
2000-05-19,44.75
2000-05-22,44.625
2000-05-23,45.5
2000-05-24,46.25
2000-05-25,46.875
2000-05-26,48.0
2000-05-30,49.25
2000-05-31,49.25
2000-06-01,49.875
2000-06-02,51.375
2000-06-05,51.125
2000-06-06,50.75
2000-06-07,51.125
2000-06-08,50.875
2000-06-09,51.0
2000-06-12,51.25
2000-06-13,52.0
2000-06-14,52.5
2000-06-15,51.875
2000-06-16,51.625
2000-06-19,51.625
2000-06-20,51.25
2000-06-21,50.625
2000-06-22,49.375
2000-06-23,49.875
2000-06-26,50.25
2000-06-27,50.25
2000-06-28,51.5
2000-06-29,50.75
2000-06-30,52.0
2000-07-03,51.5
2000-07-05,51.875
2000-07-06,52.125
2000-07-07,52.5
2000-07-10,53.25
2000-07-11,53.75
2000-07-12,53.25
2000-07-13,53.0
2000-07-14,52.75
2000-07-17,52.5
2000-07-18,52.125
2000-07-19,51.5
2000-07-20,52.875
2000-07-21,52.5
2000-07-24,51.875
2000-07-25,52.25
2000-07-26,51.75
2000-07-27,50.875
2000-07-28,49.375
2000-07-31,50.0
2000-08-01,49.625
2000-08-02,49.125
2000-08-03,48.0
2000-08-04,48.0
2000-08-07,49.25
2000-08-08,49.625
2000-08-09,50.0
2000-08-10,50.75
2000-08-11,50.25
2000-08-14,50.75
2000-08-15,51.0
2000-08-16,51.375
2000-08-17,51.0
2000-08-18,50.25
2000-08-21,49.5
2000-08-22,49.5
2000-08-23,49.125
2000-08-24,44.75
2000-08-25,45.25
2000-08-28,45.375
2000-08-29,44.75
2000-08-30,45.75
2000-08-31,44.75
2000-09-01,46.0
2000-09-05,45.125
2000-09-06,44.25
2000-09-07,44.625
2000-09-08,43.875
2000-09-11,43.875
2000-09-12,43.375
2000-09-13,43.375
2000-09-14,43.375
2000-09-15,42.5
2000-09-18,42.125
2000-09-19,41.75
2000-09-20,40.625
2000-09-21,40.75
2000-09-22,42.125
2000-09-25,42.5
2000-09-26,42.5
2000-09-27,42.75
2000-09-28,42.75
2000-09-29,42.5
2000-10-02,42.5
2000-10-03,42.875
2000-10-04,42.5
2000-10-05,42.125
2000-10-06,41.625
2000-10-09,41.25
2000-10-10,41.375
2000-10-11,41.25
2000-10-12,40.625
2000-10-13,40.625
2000-10-16,40.375
2000-10-17,40.75
2000-10-18,39.375
2000-10-19,41.0
2000-10-20,41.25
2000-10-23,40.75
2000-10-24,41.5
2000-10-25,41.0
2000-10-26,41.125
2000-10-27,42.75
2000-10-30,42.875
2000-10-31,43.5
2000-11-01,43.625
2000-11-02,44.375
2000-11-03,44.625
2000-11-06,44.625
2000-11-07,45.0
2000-11-08,44.375
2000-11-09,44.875
2000-11-10,44.0
2000-11-13,43.125
2000-11-14,44.375
2000-11-15,44.75
2000-11-16,44.125
2000-11-17,44.0
2000-11-20,43.5
2000-11-21,43.125
2000-11-22,42.625
2000-11-24,43.5
2000-11-27,43.625
2000-11-28,44.25
2000-11-29,44.375
2000-11-30,45.25
2000-12-01,44.375
2000-12-04,43.75
2000-12-05,44.125
2000-12-06,44.125
2000-12-07,43.75
2000-12-08,43.625
2000-12-11,43.75
2000-12-12,43.875
2000-12-13,43.25
2000-12-14,43.25
2000-12-15,43.0
2000-12-18,42.375
2000-12-19,42.75
2000-12-20,42.875
2000-12-21,42.625
2000-12-22,43.75
2000-12-26,43.75
2000-12-27,44.625
2000-12-28,45.0
2000-12-29,45.25
2001-01-02,44.75
2001-01-03,44.75
2001-01-04,44.75
2001-01-05,44.75
2001-01-08,44.625
2001-01-09,44.75
2001-01-10,44.5
2001-01-11,45.5
2001-01-12,46.0
2001-01-16,45.375
2001-01-17,45.25
2001-01-18,46.25
2001-01-19,45.75
2001-01-22,45.75
2001-01-23,45.5
2001-01-24,45.25
2001-01-25,45.25
2001-01-26,45.125
2001-01-29,44.79999923706055
2001-01-30,45.47999954223633
2001-01-31,45.68000030517578
2001-02-01,45.97999954223633
2001-02-02,45.400001525878906
2001-02-05,45.20000076293945
2001-02-06,44.52000045776367
2001-02-07,44.099998474121094
2001-02-08,43.79999923706055
2001-02-09,43.2400016784668
2001-02-12,44.18000030517578
2001-02-13,43.29999923706055
2001-02-14,43.0
2001-02-15,42.34000015258789
2001-02-16,42.0
2001-02-20,41.400001525878906
2001-02-21,41.0
2001-02-22,40.70000076293945
2001-02-23,40.599998474121094
2001-02-26,41.13999938964844
2001-02-27,41.0
2001-02-28,41.31999969482422
2001-03-01,41.400001525878906
2001-03-02,41.220001220703125
2001-03-05,40.599998474121094
2001-03-06,41.5
2001-03-07,41.599998474121094
2001-03-08,41.84000015258789
2001-03-09,40.91999816894531
2001-03-12,40.29999923706055
2001-03-13,39.5
2001-03-14,38.29999923706055
2001-03-15,38.400001525878906
