,BCPC
1987-02-11,0.460904985666275
1987-02-12,0.47407400608062744
1987-02-13,0.47407400608062744
1987-02-17,0.4477370083332062
1987-02-18,0.44115200638771057
1987-02-19,0.43456798791885376
1987-02-20,0.48724299669265747
1987-02-23,0.47407400608062744
1987-02-24,0.48065799474716187
1987-02-25,0.4477370083332062
1987-02-26,0.43456798791885376
1987-02-27,0.42139899730682373
1987-03-02,0.38189300894737244
1987-03-03,0.39506199955940247
1987-03-04,0.38189300894737244
1987-03-05,0.4082300066947937
1987-03-06,0.42798399925231934
1987-03-09,0.42798399925231934
1987-03-10,0.43456798791885376
1987-03-11,0.48724299669265747
1987-03-12,0.48065799474716187
1987-03-13,0.47407400608062744
1987-03-16,0.47407400608062744
1987-03-17,0.47407400608062744
1987-03-18,0.47407400608062744
