,CCNC
2016-07-12,4.889999866485596
2016-07-13,4.889999866485596
2016-07-14,4.889999866485596
2016-07-15,4.889999866485596
2016-07-18,4.889999866485596
2016-07-19,4.894999980926514
2016-07-20,4.894999980926514
2016-07-21,4.894999980926514
2016-07-22,4.894999980926514
2016-07-25,4.900000095367432
2016-07-26,4.900000095367432
2016-07-27,4.900000095367432
2016-07-28,4.900000095367432
2016-07-29,4.900000095367432
2016-08-01,4.900000095367432
2016-08-02,4.900000095367432
2016-08-03,4.900000095367432
2016-08-04,4.900000095367432
2016-08-05,4.900000095367432
2016-08-08,4.900000095367432
2016-08-09,4.900000095367432
2016-08-10,4.900000095367432
2016-08-11,4.900000095367432
2016-08-12,4.900000095367432
2016-08-15,4.849999904632568
2016-08-16,4.909999847412109
2016-08-17,4.909999847412109
2016-08-18,4.909999847412109
2016-08-19,4.929999828338623
2016-08-22,5.0
2016-08-23,5.0
2016-08-24,5.0
2016-08-25,5.0
2016-08-26,4.949999809265137
2016-08-29,4.949999809265137
2016-08-30,4.949999809265137
2016-08-31,4.949999809265137
2016-09-01,4.949999809265137
2016-09-02,4.945000171661377
2016-09-06,4.945000171661377
2016-09-07,4.945000171661377
2016-09-08,4.945000171661377
2016-09-09,4.945000171661377
2016-09-12,4.945000171661377
2016-09-13,4.945000171661377
2016-09-14,4.945000171661377
2016-09-15,4.945000171661377
2016-09-16,4.945000171661377
2016-09-19,4.945000171661377
2016-09-20,4.945000171661377
2016-09-21,4.945000171661377
2016-09-22,4.945000171661377
2016-09-23,4.945000171661377
2016-09-26,4.945000171661377
2016-09-27,4.945000171661377
2016-09-28,4.945000171661377
2016-09-29,4.945000171661377
2016-09-30,4.945000171661377
2016-10-03,4.945000171661377
2016-10-04,5.0
2016-10-05,5.0
2016-10-06,5.0
2016-10-07,5.0
2016-10-10,5.0
2016-10-11,4.949999809265137
2016-10-12,4.949999809265137
2016-10-13,4.949999809265137
2016-10-14,4.949999809265137
2016-10-17,4.949999809265137
2016-10-18,4.949999809265137
2016-10-19,4.949999809265137
2016-10-20,4.949999809265137
2016-10-21,4.949999809265137
2016-10-24,4.949999809265137
2016-10-25,4.949999809265137
2016-10-26,4.949999809265137
2016-10-27,4.949999809265137
2016-10-28,4.949999809265137
2016-10-31,4.949999809265137
2016-11-01,4.949999809265137
2016-11-02,4.934999942779541
2016-11-03,4.934999942779541
2016-11-04,4.934999942779541
2016-11-07,4.934999942779541
