,ESGD
2017-02-23,58.709999084472656
2017-02-24,58.209999084472656
2017-02-27,58.25
2017-02-28,58.349998474121094
2017-03-01,58.689998626708984
2017-03-02,58.5359992980957
2017-03-03,58.77000045776367
2017-03-06,58.54999923706055
2017-03-07,58.439998626708984
2017-03-08,58.2599983215332
2017-03-09,58.47999954223633
2017-03-10,58.93899917602539
2017-03-13,59.16400146484375
2017-03-14,58.71900177001953
2017-03-15,59.52000045776367
2017-03-16,59.827999114990234
2017-03-17,60.04999923706055
2017-03-20,59.95000076293945
2017-03-21,59.7599983215332
2017-03-22,59.689998626708984
2017-03-23,59.75
2017-03-24,60.0
2017-03-27,60.10599899291992
2017-03-28,60.340999603271484
2017-03-29,60.099998474121094
2017-03-30,60.150001525878906
2017-03-31,60.09000015258789
2017-04-03,59.849998474121094
2017-04-04,59.9900016784668
2017-04-05,59.68000030517578
2017-04-06,59.59000015258789
2017-04-07,59.584999084472656
2017-04-10,59.569000244140625
2017-04-11,59.79999923706055
2017-04-12,59.970001220703125
2017-04-13,59.42599868774414
2017-04-17,59.70000076293945
2017-04-18,59.5099983215332
2017-04-19,59.34000015258789
2017-04-20,59.810001373291016
2017-04-21,59.790000915527344
2017-04-24,61.2599983215332
2017-04-25,61.79800033569336
2017-04-26,61.720001220703125
2017-04-27,61.7400016784668
2017-04-28,61.650001525878906
2017-05-01,61.90999984741211
2017-05-02,62.099998474121094
2017-05-03,62.029998779296875
2017-05-04,62.540000915527344
2017-05-05,63.18299865722656
2017-05-08,62.7599983215332
2017-05-09,62.529998779296875
2017-05-10,62.59000015258789
2017-05-11,62.41400146484375
2017-05-12,62.720001220703125
2017-05-15,62.95000076293945
2017-05-16,63.43000030517578
2017-05-17,62.900001525878906
2017-05-18,63.029998779296875
2017-05-19,63.5
2017-05-22,63.7400016784668
2017-05-23,63.64099884033203
2017-05-24,63.691001892089844
2017-05-25,63.70000076293945
2017-05-26,63.43000030517578
2017-05-30,63.404998779296875
2017-05-31,63.599998474121094
2017-06-01,63.939998626708984
2017-06-02,64.66999816894531
2017-06-05,64.21900177001953
2017-06-06,64.04399871826172
2017-06-07,64.07099914550781
2017-06-08,63.970001220703125
2017-06-09,63.62900161743164
2017-06-12,63.481998443603516
2017-06-13,64.08999633789062
2017-06-14,64.1500015258789
2017-06-15,63.400001525878906
2017-06-16,63.95199966430664
2017-06-19,64.19000244140625
2017-06-20,62.63999938964844
2017-06-21,62.47999954223633
2017-06-22,62.54999923706055
2017-06-23,62.36000061035156
2017-06-26,62.689998626708984
2017-06-27,62.63999938964844
2017-06-28,63.150001525878906
2017-06-29,62.619998931884766
2017-06-30,62.64400100708008
2017-07-03,62.56999969482422
2017-07-05,62.58000183105469
2017-07-06,62.220001220703125
2017-07-07,62.31999969482422
2017-07-10,62.47999954223633
2017-07-11,62.650001525878906
2017-07-12,63.209999084472656
2017-07-13,63.358001708984375
2017-07-14,63.77000045776367
2017-07-17,63.61000061035156
2017-07-18,63.733001708984375
2017-07-19,64.01000213623047
2017-07-20,64.27999877929688
2017-07-21,64.01000213623047
2017-07-24,63.849998474121094
2017-07-25,63.97999954223633
2017-07-26,64.37000274658203
2017-07-27,64.27999877929688
2017-07-28,64.31199645996094
2017-07-31,64.51899719238281
2017-08-01,64.9000015258789
2017-08-02,64.9000015258789
2017-08-03,64.95999908447266
2017-08-04,64.9800033569336
2017-08-07,64.9800033569336
2017-08-08,64.7699966430664
2017-08-09,64.58999633789062
2017-08-10,63.720001220703125
2017-08-11,63.720001220703125
2017-08-14,64.16999816894531
2017-08-15,64.02799987792969
2017-08-16,64.5
2017-08-17,63.91999816894531
2017-08-18,63.97700119018555
2017-08-21,63.88399887084961
2017-08-22,64.26000213623047
2017-08-23,64.22000122070312
2017-08-24,64.12300109863281
2017-08-25,64.48999786376953
2017-08-28,64.41000366210938
2017-08-29,64.26000213623047
2017-08-30,64.11900329589844
2017-08-31,64.6500015258789
2017-09-01,64.75
2017-09-05,64.37000274658203
2017-09-06,64.79000091552734
2017-09-07,65.2300033569336
2017-09-08,65.29000091552734
2017-09-11,65.73999786376953
2017-09-12,65.91000366210938
2017-09-13,65.55000305175781
2017-09-14,65.6500015258789
