,EQBK
2016-04-25,21.100000381469727
2016-04-26,21.020000457763672
2016-04-27,21.209999084472656
2016-04-28,21.010000228881836
2016-04-29,20.969999313354492
2016-05-02,21.0
2016-05-03,21.020000457763672
2016-05-04,20.979999542236328
2016-05-05,20.920000076293945
2016-05-06,21.6299991607666
2016-05-09,21.3799991607666
2016-05-10,21.5
2016-05-11,21.200000762939453
2016-05-12,21.5
2016-05-13,21.049999237060547
2016-05-16,21.030000686645508
2016-05-17,21.3700008392334
2016-05-18,21.520000457763672
2016-05-19,21.59000015258789
2016-05-20,22.0
2016-05-23,21.84000015258789
2016-05-24,22.75
2016-05-25,23.43000030517578
2016-05-26,23.200000762939453
2016-05-27,23.65999984741211
2016-05-31,23.75
2016-06-01,23.450000762939453
2016-06-02,22.959999084472656
2016-06-03,23.0
2016-06-06,23.84000015258789
2016-06-07,23.18000030517578
2016-06-08,23.239999771118164
2016-06-09,23.729999542236328
2016-06-10,23.600000381469727
2016-06-13,23.610000610351562
2016-06-14,23.110000610351562
2016-06-15,23.25
2016-06-16,23.110000610351562
2016-06-17,22.75
2016-06-20,22.440000534057617
2016-06-21,22.489999771118164
2016-06-22,22.3799991607666
2016-06-23,22.049999237060547
2016-06-24,21.670000076293945
2016-06-27,20.809999465942383
2016-06-28,21.389999389648438
2016-06-29,21.899999618530273
2016-06-30,22.139999389648438
2016-07-01,21.420000076293945
2016-07-05,21.09000015258789
2016-07-06,21.020000457763672
2016-07-07,21.139999389648438
2016-07-08,21.559999465942383
2016-07-11,21.709999084472656
2016-07-12,21.81999969482422
2016-07-13,21.579999923706055
2016-07-14,21.8799991607666
2016-07-15,22.940000534057617
2016-07-18,23.1200008392334
2016-07-19,22.6200008392334
2016-07-20,22.700000762939453
2016-07-21,22.780000686645508
2016-07-22,22.6200008392334
2016-07-25,22.549999237060547
2016-07-26,22.850000381469727
2016-07-27,22.75
2016-07-28,22.739999771118164
2016-07-29,22.59000015258789
2016-08-01,22.65999984741211
2016-08-02,23.100000381469727
2016-08-03,23.739999771118164
2016-08-04,23.899999618530273
2016-08-05,23.899999618530273
2016-08-08,23.709999084472656
2016-08-09,23.780000686645508
2016-08-10,23.43000030517578
2016-08-11,23.540000915527344
2016-08-12,23.440000534057617
2016-08-15,23.469999313354492
2016-08-16,23.100000381469727
2016-08-17,23.68000030517578
2016-08-18,23.799999237060547
2016-08-19,23.829999923706055
2016-08-22,23.84000015258789
2016-08-23,23.81999969482422
2016-08-24,23.950000762939453
2016-08-25,24.020000457763672
2016-08-26,24.09000015258789
2016-08-29,24.040000915527344
2016-08-30,24.350000381469727
2016-08-31,24.190000534057617
2016-09-01,24.350000381469727
2016-09-02,24.530000686645508
2016-09-06,25.700000762939453
2016-09-07,25.68000030517578
2016-09-08,25.899999618530273
2016-09-09,25.729999542236328
2016-09-12,25.850000381469727
2016-09-13,25.65999984741211
2016-09-14,25.549999237060547
2016-09-15,25.780000686645508
2016-09-16,24.8799991607666
2016-09-19,23.979999542236328
2016-09-20,25.020000457763672
2016-09-21,25.56999969482422
2016-09-22,25.920000076293945
