,ACLS
2002-06-18,45.91999816894531
2002-06-19,44.040000915527344
2002-06-20,42.52000045776367
2002-06-21,41.119998931884766
2002-06-24,43.36000061035156
2002-06-25,42.279998779296875
2002-06-26,43.36000061035156
2002-06-27,47.52000045776367
2002-06-28,45.20000076293945
2002-07-01,42.31999969482422
2002-07-02,40.560001373291016
2002-07-03,42.0
2002-07-05,45.84000015258789
2002-07-08,44.0
2002-07-09,41.84000015258789
2002-07-10,40.31999969482422
2002-07-11,42.52000045776367
2002-07-12,42.52000045776367
2002-07-15,43.20000076293945
2002-07-16,41.2400016784668
2002-07-17,40.08000183105469
2002-07-18,39.20000076293945
2002-07-19,39.119998931884766
2002-07-22,36.439998626708984
2002-07-23,33.7599983215332
2002-07-24,33.599998474121094
2002-07-25,29.920000076293945
2002-07-26,29.600000381469727
2002-07-29,34.279998779296875
2002-07-30,35.119998931884766
2002-07-31,32.0
2002-08-01,31.760000228881836
2002-08-02,29.760000228881836
2002-08-05,29.15999984741211
2002-08-06,30.959999084472656
2002-08-07,31.440000534057617
2002-08-08,32.279998779296875
2002-08-09,31.600000381469727
2002-08-12,30.600000381469727
2002-08-13,28.15999984741211
2002-08-14,29.8799991607666
2002-08-15,29.600000381469727
2002-08-16,32.47999954223633
2002-08-19,33.20000076293945
2002-08-20,32.15999984741211
2002-08-21,35.79999923706055
2002-08-22,34.279998779296875
2002-08-23,31.639999389648438
2002-08-26,30.760000228881836
2002-08-27,28.520000457763672
2002-08-28,27.959999084472656
2002-08-29,27.959999084472656
2002-08-30,27.079999923706055
2002-09-03,26.0
2002-09-04,25.600000381469727
2002-09-05,24.68000030517578
2002-09-06,25.799999237060547
2002-09-09,24.84000015258789
2002-09-10,26.559999465942383
2002-09-11,26.399999618530273
2002-09-12,24.200000762939453
2002-09-13,22.920000076293945
2002-09-16,22.639999389648438
2002-09-17,22.040000915527344
2002-09-18,22.520000457763672
2002-09-19,20.360000610351562
2002-09-20,20.079999923706055
2002-09-23,18.68000030517578
2002-09-24,17.84000015258789
2002-09-25,19.8799991607666
2002-09-26,19.239999771118164
2002-09-27,18.559999465942383
2002-09-30,19.520000457763672
2002-10-01,19.84000015258789
2002-10-02,19.760000228881836
2002-10-03,18.079999923706055
2002-10-04,16.920000076293945
2002-10-07,15.920000076293945
2002-10-08,14.800000190734863
2002-10-09,14.15999984741211
2002-10-10,15.199999809265137
2002-10-11,16.0
2002-10-14,16.520000457763672
2002-10-15,18.760000228881836
2002-10-16,16.799999237060547
2002-10-17,18.520000457763672
2002-10-18,19.0
2002-10-21,19.799999237060547
2002-10-22,18.600000381469727
2002-10-23,20.239999771118164
2002-10-24,19.399999618530273
2002-10-25,20.280000686645508
2002-10-28,20.0
2002-10-29,19.360000610351562
2002-10-30,22.559999465942383
2002-10-31,21.520000457763672
2002-11-01,23.84000015258789
2002-11-04,25.84000015258789
2002-11-05,25.15999984741211
2002-11-06,27.520000457763672
2002-11-07,25.280000686645508
2002-11-08,24.399999618530273
2002-11-11,22.399999618530273
2002-11-12,23.440000534057617
2002-11-13,23.0
2002-11-14,26.440000534057617
2002-11-15,24.920000076293945
2002-11-18,25.399999618530273
2002-11-19,24.84000015258789
2002-11-20,26.8799991607666
2002-11-21,28.799999237060547
2002-11-22,30.399999618530273
2002-11-25,32.52000045776367
2002-11-26,32.0
2002-11-27,34.63999938964844
2002-11-29,32.68000030517578
2002-12-02,33.63999938964844
2002-12-03,30.8799991607666
2002-12-04,28.399999618530273
2002-12-05,27.040000915527344
2002-12-06,27.479999542236328
2002-12-09,24.520000457763672
2002-12-10,25.920000076293945
2002-12-11,25.399999618530273
2002-12-12,25.600000381469727
2002-12-13,23.600000381469727
2002-12-16,24.399999618530273
2002-12-17,24.200000762939453
2002-12-18,22.239999771118164
2002-12-19,23.079999923706055
2002-12-20,23.399999618530273
2002-12-23,24.15999984741211
2002-12-24,23.360000610351562
2002-12-26,23.15999984741211
2002-12-27,22.920000076293945
2002-12-30,22.440000534057617
2002-12-31,22.440000534057617
2003-01-02,23.31999969482422
2003-01-03,22.920000076293945
2003-01-06,23.239999771118164
2003-01-07,23.239999771118164
2003-01-08,22.31999969482422
2003-01-09,23.239999771118164
2003-01-10,23.8799991607666
2003-01-13,24.959999084472656
2003-01-14,26.760000228881836
2003-01-15,27.040000915527344
2003-01-16,27.200000762939453
2003-01-17,26.200000762939453
2003-01-21,25.799999237060547
2003-01-22,25.84000015258789
2003-01-23,26.079999923706055
2003-01-24,27.200000762939453
2003-01-27,26.600000381469727
2003-01-28,27.200000762939453
2003-01-29,28.559999465942383
2003-01-30,26.8799991607666
2003-01-31,26.440000534057617
2003-02-03,26.479999542236328
2003-02-04,26.559999465942383
2003-02-05,26.68000030517578
2003-02-06,25.440000534057617
2003-02-07,25.0
2003-02-10,25.15999984741211
2003-02-11,24.68000030517578
2003-02-12,24.760000228881836
2003-02-13,24.1200008392334
2003-02-14,25.15999984741211
2003-02-18,26.0
2003-02-19,24.959999084472656
2003-02-20,26.0
2003-02-21,25.479999542236328
2003-02-24,25.31999969482422
2003-02-25,24.559999465942383
2003-02-26,24.360000610351562
2003-02-27,24.0
2003-02-28,24.200000762939453
2003-03-03,23.31999969482422
2003-03-04,22.0
2003-03-05,20.760000228881836
2003-03-06,19.959999084472656
2003-03-07,18.84000015258789
2003-03-10,18.200000762939453
2003-03-11,17.360000610351562
2003-03-12,16.84000015258789
2003-03-13,18.1200008392334
2003-03-14,16.600000381469727
2003-03-17,18.600000381469727
2003-03-18,19.639999389648438
2003-03-19,20.239999771118164
2003-03-20,21.1200008392334
2003-03-21,21.84000015258789
2003-03-24,20.639999389648438
2003-03-25,21.0
2003-03-26,20.280000686645508
2003-03-27,20.959999084472656
2003-03-28,19.8799991607666
2003-03-31,18.920000076293945
2003-04-01,19.15999984741211
2003-04-02,20.399999618530273
2003-04-03,20.079999923706055
2003-04-04,19.040000915527344
2003-04-07,19.639999389648438
2003-04-08,18.639999389648438
2003-04-09,18.600000381469727
2003-04-10,18.559999465942383
2003-04-11,18.360000610351562
2003-04-14,19.15999984741211
2003-04-15,19.15999984741211
2003-04-16,19.719999313354492
2003-04-17,21.1200008392334
2003-04-21,21.68000030517578
2003-04-22,22.760000228881836
2003-04-23,22.799999237060547
2003-04-24,22.68000030517578
2003-04-25,21.15999984741211
2003-04-28,22.15999984741211
2003-04-29,23.040000915527344
2003-04-30,22.719999313354492
2003-05-01,22.799999237060547
2003-05-02,22.479999542236328
2003-05-05,22.760000228881836
2003-05-06,22.200000762939453
2003-05-07,22.040000915527344
2003-05-08,20.68000030517578
2003-05-09,21.799999237060547
2003-05-12,21.8799991607666
2003-05-13,21.440000534057617
2003-05-14,20.079999923706055
2003-05-15,19.31999969482422
2003-05-16,18.239999771118164
2003-05-19,17.559999465942383
2003-05-20,18.15999984741211
2003-05-21,18.399999618530273
2003-05-22,19.479999542236328
2003-05-23,19.8799991607666
2003-05-27,20.920000076293945
2003-05-28,21.239999771118164
2003-05-29,21.399999618530273
2003-05-30,23.559999465942383
2003-06-02,24.84000015258789
2003-06-03,24.31999969482422
2003-06-04,25.719999313354492
2003-06-05,26.959999084472656
2003-06-06,26.399999618530273
2003-06-09,23.959999084472656
2003-06-10,25.239999771118164
2003-06-11,25.040000915527344
2003-06-12,24.719999313354492
2003-06-13,24.079999923706055
2003-06-16,25.280000686645508
2003-06-17,26.280000686645508
2003-06-18,26.600000381469727
2003-06-19,25.479999542236328
2003-06-20,25.239999771118164
2003-06-23,23.920000076293945
2003-06-24,23.520000457763672
2003-06-25,23.520000457763672
2003-06-26,24.239999771118164
2003-06-27,24.31999969482422
2003-06-30,24.440000534057617
2003-07-01,24.31999969482422
2003-07-02,25.31999969482422
2003-07-03,24.719999313354492
2003-07-07,26.399999618530273
2003-07-08,27.559999465942383
2003-07-09,29.15999984741211
2003-07-10,27.760000228881836
2003-07-11,28.84000015258789
2003-07-14,31.479999542236328
2003-07-15,33.91999816894531
2003-07-16,34.08000183105469
2003-07-17,31.200000762939453
2003-07-18,32.0
2003-07-21,30.15999984741211
2003-07-22,31.959999084472656
2003-07-23,34.20000076293945
2003-07-24,37.040000915527344
2003-07-25,35.52000045776367
2003-07-28,36.400001525878906
2003-07-29,35.560001373291016
2003-07-30,29.559999465942383
2003-07-31,29.440000534057617
2003-08-01,29.0
2003-08-04,29.68000030517578
2003-08-05,28.200000762939453
2003-08-06,27.040000915527344
2003-08-07,26.31999969482422
2003-08-08,26.0
2003-08-11,27.719999313354492
2003-08-12,28.479999542236328
2003-08-13,29.0
2003-08-14,29.520000457763672
2003-08-15,29.959999084472656
2003-08-18,32.040000915527344
2003-08-19,33.36000061035156
2003-08-20,33.959999084472656
2003-08-21,35.31999969482422
2003-08-22,34.20000076293945
2003-08-25,32.91999816894531
2003-08-26,32.91999816894531
2003-08-27,35.400001525878906
2003-08-28,34.560001373291016
2003-08-29,34.79999923706055
2003-09-02,35.31999969482422
2003-09-03,34.47999954223633
2003-09-04,35.400001525878906
2003-09-05,38.91999816894531
2003-09-08,40.52000045776367
2003-09-09,39.560001373291016
2003-09-10,36.63999938964844
2003-09-11,37.720001220703125
2003-09-12,38.20000076293945
2003-09-15,37.20000076293945
2003-09-16,37.959999084472656
2003-09-17,38.400001525878906
2003-09-18,39.720001220703125
2003-09-19,38.15999984741211
2003-09-22,36.7599983215332
2003-09-23,38.0
2003-09-24,35.119998931884766
2003-09-25,34.880001068115234
2003-09-26,33.47999954223633
2003-09-29,35.47999954223633
2003-09-30,33.20000076293945
2003-10-01,34.08000183105469
2003-10-02,33.7599983215332
2003-10-03,37.91999816894531
2003-10-06,37.31999969482422
2003-10-07,39.47999954223633
2003-10-08,37.63999938964844
2003-10-09,38.560001373291016
2003-10-10,37.84000015258789
2003-10-13,39.20000076293945
2003-10-14,40.31999969482422
2003-10-15,40.63999938964844
2003-10-16,40.84000015258789
2003-10-17,38.959999084472656
2003-10-20,38.79999923706055
2003-10-21,39.119998931884766
2003-10-22,37.2400016784668
2003-10-23,35.0
2003-10-24,35.119998931884766
2003-10-27,35.20000076293945
2003-10-28,40.040000915527344
2003-10-29,42.47999954223633
2003-10-30,42.08000183105469
2003-10-31,42.36000061035156
2003-11-03,45.91999816894531
2003-11-04,45.599998474121094
2003-11-05,44.599998474121094
2003-11-06,46.400001525878906
2003-11-07,45.68000030517578
2003-11-10,43.400001525878906
2003-11-11,43.400001525878906
2003-11-12,47.36000061035156
2003-11-13,46.7599983215332
2003-11-14,44.36000061035156
2003-11-17,43.63999938964844
2003-11-18,42.84000015258789
2003-11-19,42.91999816894531
2003-11-20,41.880001068115234
2003-11-21,42.84000015258789
2003-11-24,45.20000076293945
2003-11-25,45.7599983215332
2003-11-26,45.20000076293945
2003-11-28,45.79999923706055
2003-12-01,45.91999816894531
2003-12-02,44.599998474121094
2003-12-03,43.63999938964844
2003-12-04,42.31999969482422
2003-12-05,40.599998474121094
2003-12-08,39.79999923706055
2003-12-09,38.0
2003-12-10,37.599998474121094
2003-12-11,39.20000076293945
2003-12-12,39.439998626708984
2003-12-15,37.68000030517578
2003-12-16,38.63999938964844
2003-12-17,38.20000076293945
2003-12-18,39.599998474121094
2003-12-19,39.560001373291016
2003-12-22,39.15999984741211
2003-12-23,40.7599983215332
2003-12-24,40.119998931884766
2003-12-26,40.439998626708984
2003-12-29,41.880001068115234
2003-12-30,41.7599983215332
2003-12-31,41.08000183105469
2004-01-02,40.0
2004-01-05,42.08000183105469
2004-01-06,43.20000076293945
2004-01-07,44.119998931884766
2004-01-08,45.400001525878906
2004-01-09,45.7599983215332
2004-01-12,47.0
2004-01-13,45.7599983215332
2004-01-14,45.400001525878906
2004-01-15,45.279998779296875
2004-01-16,50.2400016784668
2004-01-20,52.880001068115234
2004-01-21,51.08000183105469
2004-01-22,48.91999816894531
2004-01-23,47.2400016784668
2004-01-26,46.040000915527344
2004-01-27,45.7599983215332
2004-01-28,43.720001220703125
2004-01-29,46.560001373291016
2004-01-30,50.400001525878906
2004-02-02,49.119998931884766
2004-02-03,48.08000183105469
2004-02-04,46.20000076293945
2004-02-05,47.279998779296875
2004-02-06,50.36000061035156
2004-02-09,49.720001220703125
2004-02-10,50.119998931884766
2004-02-11,48.91999816894531
2004-02-12,48.040000915527344
2004-02-13,47.0
2004-02-17,48.52000045776367
2004-02-18,49.0
2004-02-19,48.0
2004-02-20,47.040000915527344
2004-02-23,45.0
2004-02-24,44.560001373291016
2004-02-25,45.63999938964844
2004-02-26,46.720001220703125
2004-02-27,45.7599983215332
2004-03-01,46.31999969482422
2004-03-02,45.7599983215332
2004-03-03,44.2400016784668
2004-03-04,44.880001068115234
2004-03-05,44.08000183105469
2004-03-08,41.31999969482422
2004-03-09,40.36000061035156
2004-03-10,38.63999938964844
2004-03-11,39.560001373291016
2004-03-12,41.560001373291016
2004-03-15,39.52000045776367
2004-03-16,40.400001525878906
2004-03-17,41.959999084472656
2004-03-18,41.599998474121094
2004-03-19,39.959999084472656
2004-03-22,38.0
2004-03-23,39.15999984741211
2004-03-24,39.68000030517578
2004-03-25,42.08000183105469
2004-03-26,43.0
2004-03-29,44.20000076293945
2004-03-30,44.20000076293945
2004-03-31,44.47999954223633
2004-04-01,44.47999954223633
2004-04-02,46.08000183105469
2004-04-05,47.36000061035156
2004-04-06,45.79999923706055
2004-04-07,46.119998931884766
2004-04-08,45.63999938964844
2004-04-12,47.20000076293945
2004-04-13,46.08000183105469
2004-04-14,45.68000030517578
2004-04-15,43.20000076293945
2004-04-16,41.84000015258789
2004-04-19,42.84000015258789
2004-04-20,41.959999084472656
2004-04-21,42.79999923706055
2004-04-22,42.439998626708984
2004-04-23,42.91999816894531
2004-04-26,40.959999084472656
2004-04-27,39.880001068115234
2004-04-28,43.36000061035156
2004-04-29,43.0
2004-04-30,42.040000915527344
2004-05-03,42.0
2004-05-04,45.15999984741211
2004-05-05,45.2400016784668
2004-05-06,45.040000915527344
2004-05-07,44.31999969482422
2004-05-10,43.279998779296875
2004-05-11,45.880001068115234
2004-05-12,44.0
2004-05-13,43.68000030517578
2004-05-14,42.47999954223633
2004-05-17,41.599998474121094
2004-05-18,43.720001220703125
2004-05-19,44.279998779296875
2004-05-20,44.119998931884766
2004-05-21,44.119998931884766
2004-05-24,45.31999969482422
2004-05-25,48.040000915527344
2004-05-26,49.2400016784668
2004-05-27,48.720001220703125
2004-05-28,48.20000076293945
2004-06-01,49.15999984741211
2004-06-02,47.279998779296875
2004-06-03,45.47999954223633
2004-06-04,46.63999938964844
2004-06-07,47.63999938964844
2004-06-08,47.36000061035156
2004-06-09,46.52000045776367
2004-06-10,46.79999923706055
2004-06-14,44.560001373291016
2004-06-15,45.439998626708984
2004-06-16,45.439998626708984
2004-06-17,43.439998626708984
2004-06-18,44.119998931884766
2004-06-21,43.599998474121094
2004-06-22,46.0
2004-06-23,46.2400016784668
2004-06-24,46.36000061035156
2004-06-25,47.47999954223633
2004-06-28,47.040000915527344
2004-06-29,48.15999984741211
2004-06-30,49.7599983215332
2004-07-01,47.63999938964844
