,CTIC
1998-05-28,39000.0
1998-05-29,39375.0
1998-06-01,37875.0
1998-06-02,34500.0
1998-06-03,35250.0
1998-06-04,35625.0
1998-06-05,36750.0
1998-06-08,36750.0
1998-06-09,34500.0
1998-06-10,34500.0
1998-06-11,33750.0
1998-06-12,36750.0
1998-06-15,36750.0
1998-06-16,36750.0
1998-06-17,36000.0
1998-06-18,39750.0
1998-06-19,36000.0
1998-06-22,35250.0
1998-06-23,34500.0
1998-06-24,35250.0
1998-06-25,35250.0
1998-06-26,33750.0
1998-06-29,36000.0
1998-06-30,32250.0
1998-07-01,31500.0
1998-07-02,30750.0
1998-07-06,30750.0
1998-07-07,27000.0
1998-07-08,30000.0
1998-07-09,29625.0
1998-07-10,28500.0
1998-07-13,27750.0
1998-07-14,27000.0
1998-07-15,27000.0
1998-07-16,30000.0
1998-07-17,36375.0
1998-07-20,34500.0
1998-07-21,34500.0
1998-07-22,37500.0
1998-07-23,34500.0
1998-07-24,33375.0
1998-07-27,33000.0
1998-07-28,30750.0
1998-07-29,32250.0
1998-07-30,35250.0
1998-07-31,30000.0
1998-08-03,30750.0
1998-08-04,30000.0
1998-08-05,33375.0
1998-08-06,38250.0
1998-08-07,33000.0
1998-08-10,32625.0
1998-08-11,30000.0
1998-08-12,30000.0
1998-08-13,31500.0
1998-08-14,33000.0
1998-08-17,30000.0
1998-08-18,30750.0
1998-08-19,34500.0
1998-08-20,32250.0
1998-08-21,33750.0
1998-08-24,32250.0
1998-08-25,33750.0
1998-08-26,30000.0
1998-08-27,26250.0
1998-08-28,24375.0
1998-08-31,21750.0
1998-09-01,24375.0
1998-09-02,24750.0
1998-09-03,24000.0
1998-09-04,23250.0
1998-09-08,24000.0
1998-09-09,22500.0
1998-09-10,22500.0
1998-09-11,23250.0
1998-09-14,22500.0
1998-09-15,24000.0
1998-09-16,23250.0
1998-09-17,24000.0
1998-09-18,24375.0
1998-09-21,24750.0
1998-09-22,24750.0
1998-09-23,24000.0
1998-09-24,24750.0
1998-09-25,23250.0
1998-09-28,24750.0
1998-09-29,25500.0
1998-09-30,25500.0
1998-10-01,24000.0
1998-10-02,24375.0
1998-10-05,24750.0
1998-10-06,25500.0
1998-10-07,25500.0
1998-10-08,22875.0
1998-10-09,23250.0
1998-10-12,24000.0
1998-10-13,21750.0
1998-10-14,22500.0
1998-10-15,22500.0
1998-10-16,22500.0
1998-10-19,22125.0
1998-10-20,24000.0
1998-10-21,24000.0
1998-10-22,24375.0
1998-10-23,25500.0
1998-10-26,24000.0
1998-10-27,24000.0
1998-10-28,23250.0
1998-10-29,25500.0
1998-10-30,27000.0
1998-11-02,28500.0
1998-11-03,32250.0
1998-11-04,30000.0
1998-11-05,33000.0
1998-11-06,30750.0
1998-11-09,32250.0
1998-11-10,34500.0
1998-11-11,40500.0
1998-11-12,38250.0
1998-11-13,39750.0
1998-11-16,40500.0
1998-11-17,40500.0
1998-11-18,37500.0
1998-11-19,37500.0
1998-11-20,36000.0
1998-11-23,36000.0
1998-11-24,34500.0
1998-11-25,36000.0
1998-11-27,33750.0
1998-11-30,36000.0
1998-12-01,34500.0
1998-12-02,34500.0
1998-12-03,36000.0
1998-12-04,39000.0
1998-12-07,36000.0
1998-12-08,36750.0
1998-12-09,35250.0
1998-12-10,36000.0
1998-12-11,37500.0
1998-12-14,37125.0
1998-12-15,36000.0
1998-12-16,36375.0
1998-12-17,36000.0
1998-12-18,36750.0
1998-12-21,36000.0
1998-12-22,34500.0
1998-12-23,34500.0
1998-12-24,33000.0
1998-12-28,33000.0
1998-12-29,33000.0
1998-12-30,32250.0
1998-12-31,36000.0
1999-01-04,36000.0
1999-01-05,35250.0
1999-01-06,36000.0
1999-01-07,34500.0
1999-01-08,40500.0
1999-01-11,46500.0
1999-01-12,45000.0
1999-01-13,46500.0
1999-01-14,44250.0
1999-01-15,45000.0
1999-01-19,45000.0
1999-01-20,46500.0
1999-01-21,50250.0
1999-01-22,48750.0
1999-01-25,50250.0
1999-01-26,50250.0
1999-01-27,51000.0
1999-01-28,52500.0
1999-01-29,49500.0
1999-02-01,48750.0
1999-02-02,49500.0
1999-02-03,45000.0
1999-02-04,45000.0
1999-02-05,45000.0
1999-02-08,45750.0
1999-02-09,43500.0
1999-02-10,48750.0
1999-02-11,52500.0
1999-02-12,53250.0
1999-02-16,54000.0
1999-02-17,52500.0
1999-02-18,46500.0
1999-02-19,50250.0
1999-02-22,50250.0
1999-02-23,50250.0
1999-02-24,47250.0
1999-02-25,48750.0
1999-02-26,48000.0
1999-03-01,45000.0
1999-03-02,46500.0
1999-03-03,44250.0
1999-03-04,46500.0
1999-03-05,47250.0
1999-03-08,50250.0
1999-03-09,48750.0
1999-03-10,46500.0
1999-03-11,48000.0
1999-03-12,48000.0
1999-03-15,48000.0
1999-03-16,48000.0
1999-03-17,48750.0
1999-03-18,48375.0
1999-03-19,48000.0
1999-03-22,47250.0
1999-03-23,45000.0
1999-03-24,48000.0
1999-03-25,46875.0
1999-03-26,45375.0
1999-03-29,45000.0
1999-03-30,42000.0
1999-03-31,42000.0
1999-04-01,39750.0
1999-04-05,41625.0
1999-04-06,44250.0
1999-04-07,45000.0
1999-04-08,46500.0
1999-04-09,46500.0
1999-04-12,42375.0
1999-04-13,39750.0
1999-04-14,45000.0
1999-04-15,45000.0
1999-04-16,45750.0
1999-04-19,41250.0
1999-04-20,39000.0
1999-04-21,39750.0
1999-04-22,39000.0
1999-04-23,42000.0
1999-04-26,45750.0
1999-04-27,44250.0
1999-04-28,42000.0
1999-04-29,42000.0
1999-04-30,42750.0
1999-05-03,44250.0
1999-05-04,43500.0
1999-05-05,40500.0
1999-05-06,40500.0
1999-05-07,39750.0
1999-05-10,38250.0
1999-05-11,38250.0
1999-05-12,39750.0
1999-05-13,42750.0
1999-05-14,42750.0
1999-05-17,43500.0
1999-05-18,43500.0
1999-05-19,42750.0
1999-05-20,42000.0
1999-05-21,43500.0
1999-05-24,42000.0
1999-05-25,46125.0
1999-05-26,48000.0
1999-05-27,59250.0
1999-05-28,30750.0
1999-06-01,28125.0
1999-06-02,27750.0
1999-06-03,26625.0
1999-06-04,27750.0
1999-06-07,28125.0
1999-06-08,27000.0
1999-06-09,27000.0
1999-06-10,26250.0
1999-06-11,26250.0
1999-06-14,25500.0
1999-06-15,25500.0
1999-06-16,24750.0
1999-06-17,27375.0
1999-06-18,31125.0
1999-06-21,30000.0
1999-06-22,30000.0
1999-06-23,29250.0
1999-06-24,28875.0
1999-06-25,29625.0
1999-06-28,29625.0
1999-06-29,28875.0
1999-06-30,29625.0
1999-07-01,29250.0
1999-07-02,29250.0
1999-07-06,28500.0
1999-07-07,27750.0
1999-07-08,27000.0
1999-07-09,28500.0
1999-07-12,27750.0
1999-07-13,29250.0
1999-07-14,27750.0
1999-07-15,27375.0
1999-07-16,28125.0
1999-07-19,27375.0
1999-07-20,27375.0
1999-07-21,27000.0
1999-07-22,26625.0
1999-07-23,27000.0
1999-07-26,27000.0
1999-07-27,25875.0
1999-07-28,26250.0
1999-07-29,27375.0
1999-07-30,27000.0
1999-08-02,27000.0
1999-08-03,25500.0
1999-08-04,25125.0
1999-08-05,25125.0
1999-08-06,25875.0
1999-08-09,27000.0
1999-08-10,25125.0
1999-08-11,25875.0
1999-08-12,26250.0
1999-08-13,27000.0
1999-08-16,27000.0
1999-08-17,27000.0
1999-08-18,28500.0
1999-08-19,27750.0
1999-08-20,30750.0
1999-08-23,31500.0
1999-08-24,31500.0
1999-08-25,31875.0
1999-08-26,33000.0
1999-08-27,31500.0
1999-08-30,31500.0
1999-08-31,33000.0
1999-09-01,33750.0
1999-09-02,34500.0
1999-09-03,38250.0
1999-09-07,35250.0
1999-09-08,36000.0
1999-09-09,35250.0
1999-09-10,35250.0
1999-09-13,33000.0
1999-09-14,33000.0
1999-09-15,31500.0
1999-09-16,31500.0
1999-09-17,33000.0
1999-09-20,31500.0
1999-09-21,32250.0
1999-09-22,28500.0
1999-09-23,28500.0
1999-09-24,32250.0
1999-09-27,30750.0
1999-09-28,28875.0
1999-09-29,27000.0
1999-09-30,27000.0
1999-10-01,26250.0
1999-10-04,27000.0
1999-10-05,29250.0
1999-10-06,29625.0
1999-10-07,31500.0
1999-10-08,31500.0
1999-10-11,21000.0
1999-10-12,20625.0
1999-10-13,21000.0
1999-10-14,20250.0
1999-10-15,20625.0
1999-10-18,19500.0
1999-10-19,19875.0
1999-10-20,19500.0
1999-10-21,19500.0
1999-10-22,19500.0
1999-10-25,18000.0
1999-10-26,18000.0
1999-10-27,18750.0
1999-10-28,18750.0
1999-10-29,18750.0
1999-11-01,18000.0
1999-11-02,21000.0
1999-11-03,20250.0
1999-11-04,21750.0
1999-11-05,23250.0
1999-11-08,24750.0
1999-11-09,24750.0
1999-11-10,24750.0
1999-11-11,28500.0
1999-11-12,30000.0
1999-11-15,34500.0
1999-11-16,33750.0
1999-11-17,31500.0
1999-11-18,33000.0
1999-11-19,35250.0
1999-11-22,37500.0
1999-11-23,42000.0
1999-11-24,44250.0
1999-11-26,43500.0
1999-11-29,42000.0
1999-11-30,39000.0
1999-12-01,38250.0
1999-12-02,41250.0
1999-12-03,39000.0
1999-12-06,39000.0
1999-12-07,39000.0
1999-12-08,39000.0
1999-12-09,37500.0
1999-12-10,37500.0
1999-12-13,35250.0
1999-12-14,31500.0
1999-12-15,32250.0
1999-12-16,39000.0
1999-12-17,40500.0
1999-12-20,38250.0
1999-12-21,36750.0
1999-12-22,36000.0
1999-12-23,37500.0
1999-12-27,43500.0
1999-12-28,54000.0
1999-12-29,63000.0
1999-12-30,75000.0
1999-12-31,84000.0
2000-01-03,81000.0
2000-01-04,70500.0
2000-01-05,65250.0
2000-01-06,75000.0
2000-01-07,81000.0
2000-01-10,84000.0
2000-01-11,99375.0
2000-01-12,105000.0
2000-01-13,96750.0
2000-01-14,96750.0
2000-01-18,112500.0
2000-01-19,120000.0
2000-01-20,147000.0
2000-01-21,166500.0
2000-01-24,156000.0
2000-01-25,174000.0
2000-01-26,183750.0
2000-01-27,164250.0
2000-01-28,140250.0
2000-01-31,131250.0
2000-02-01,144000.0
2000-02-02,143250.0
2000-02-03,138750.0
2000-02-04,155250.0
2000-02-07,151500.0
2000-02-08,156000.0
2000-02-09,153000.0
2000-02-10,156000.0
2000-02-11,176250.0
2000-02-14,205500.0
2000-02-15,200250.0
2000-02-16,243750.0
2000-02-17,276000.0
2000-02-18,297000.0
2000-02-22,261000.0
2000-02-23,287250.0
2000-02-24,279000.0
2000-02-25,342000.0
2000-02-28,396000.0
2000-02-29,474000.0
2000-03-01,571500.0
2000-03-02,498000.0
2000-03-03,504000.0
2000-03-06,459750.0
2000-03-07,456000.0
2000-03-08,459000.0
2000-03-09,446250.0
2000-03-10,357000.0
2000-03-13,335250.0
2000-03-14,312000.0
2000-03-15,288000.0
2000-03-16,283500.0
2000-03-17,316500.0
2000-03-20,279000.0
2000-03-21,226500.0
2000-03-22,286500.0
2000-03-23,324000.0
2000-03-24,334500.0
2000-03-27,357000.0
2000-03-28,342000.0
2000-03-29,309000.0
2000-03-30,252000.0
2000-03-31,281250.0
2000-04-03,241500.0
2000-04-04,221250.0
2000-04-05,204000.0
2000-04-06,250687.5
2000-04-07,243000.0
2000-04-10,228000.0
2000-04-11,208312.5
2000-04-12,207000.0
2000-04-13,199500.0
2000-04-14,177750.0
2000-04-17,174750.0
2000-04-18,210000.0
2000-04-19,210750.0
2000-04-20,210000.0
2000-04-24,212250.0
2000-04-25,217500.0
2000-04-26,213750.0
2000-04-27,191250.0
2000-04-28,186000.0
2000-05-01,207000.0
2000-05-02,195000.0
2000-05-03,170250.0
2000-05-04,167250.0
2000-05-05,177000.0
2000-05-08,178500.0
2000-05-09,165000.0
2000-05-10,160500.0
2000-05-11,180000.0
2000-05-12,220500.0
2000-05-15,231000.0
2000-05-16,235500.0
2000-05-17,231000.0
2000-05-18,240000.0
2000-05-19,238500.0
2000-05-22,225000.0
2000-05-23,210000.0
2000-05-24,192000.0
2000-05-25,181500.0
2000-05-26,169500.0
2000-05-30,189562.5
2000-05-31,193500.0
2000-06-01,198000.0
2000-06-02,213000.0
2000-06-05,216750.0
2000-06-06,236250.0
2000-06-07,228000.0
2000-06-08,234000.0
2000-06-09,270000.0
2000-06-12,280500.0
2000-06-13,264000.0
2000-06-14,262500.0
2000-06-15,271500.0
2000-06-16,285750.0
2000-06-19,300000.0
2000-06-20,303750.0
2000-06-21,303000.0
2000-06-22,336750.0
2000-06-23,339000.0
2000-06-26,336750.0
2000-06-27,348000.0
2000-06-28,390750.0
2000-06-29,385500.0
2000-06-30,367500.0
2000-07-03,369000.0
2000-07-05,372000.0
2000-07-06,361500.0
2000-07-07,363000.0
2000-07-10,358500.0
2000-07-11,373500.0
2000-07-12,390000.0
2000-07-13,334500.0
2000-07-14,326250.0
2000-07-17,336750.0
2000-07-18,331500.0
2000-07-19,336000.0
2000-07-20,342000.0
2000-07-21,352500.0
2000-07-24,360000.0
2000-07-25,385500.0
2000-07-26,399000.0
2000-07-27,387750.0
2000-07-28,353250.0
2000-07-31,388500.0
2000-08-01,378750.0
2000-08-02,376500.0
2000-08-03,390750.0
2000-08-04,446250.0
2000-08-07,427500.0
2000-08-08,418500.0
2000-08-09,461250.0
2000-08-10,478500.0
2000-08-11,471000.0
2000-08-14,465000.0
2000-08-15,463500.0
2000-08-16,436500.0
2000-08-17,447000.0
2000-08-18,450000.0
2000-08-21,441000.0
2000-08-22,457500.0
2000-08-23,456750.0
2000-08-24,499500.0
2000-08-25,501000.0
2000-08-28,490500.0
2000-08-29,499500.0
2000-08-30,525187.5
2000-08-31,558000.0
2000-09-01,567750.0
2000-09-05,546000.0
2000-09-06,480000.0
2000-09-07,514500.0
2000-09-08,537750.0
2000-09-11,489000.0
2000-09-12,498000.0
2000-09-13,502500.0
2000-09-14,516000.0
2000-09-15,506250.0
2000-09-18,495000.0
2000-09-19,484500.0
2000-09-20,471000.0
2000-09-21,531000.0
2000-09-22,601500.0
2000-09-25,567000.0
2000-09-26,624000.0
2000-09-27,712500.0
2000-09-28,762000.0
2000-09-29,800250.0
2000-10-02,775500.0
2000-10-03,765000.0
2000-10-04,769500.0
2000-10-05,778500.0
2000-10-06,727500.0
2000-10-09,702000.0
2000-10-10,668250.0
2000-10-11,690187.5
2000-10-12,719250.0
2000-10-13,720750.0
2000-10-16,830250.0
2000-10-17,838500.0
2000-10-18,820500.0
2000-10-19,859500.0
2000-10-20,882000.0
2000-10-23,843000.0
2000-10-24,815250.0
2000-10-25,775500.0
2000-10-26,813000.0
2000-10-27,730500.0
2000-10-30,733500.0
2000-10-31,802687.5
2000-11-01,796500.0
2000-11-02,828000.0
2000-11-03,803250.0
2000-11-06,779250.0
2000-11-07,777000.0
2000-11-08,735000.0
2000-11-09,685500.0
2000-11-10,655500.0
2000-11-13,576750.0
2000-11-14,622500.0
2000-11-15,589500.0
2000-11-16,580500.0
2000-11-17,543000.0
2000-11-20,471000.0
2000-11-21,529500.0
2000-11-22,493500.0
2000-11-24,540000.0
2000-11-27,554250.0
2000-11-28,531000.0
2000-11-29,516000.0
2000-11-30,513000.0
2000-12-01,520500.0
2000-12-04,411000.0
2000-12-05,432000.0
2000-12-06,423000.0
2000-12-07,391500.0
2000-12-08,465000.0
2000-12-11,507750.0
2000-12-12,474000.0
2000-12-13,448500.0
2000-12-14,441750.0
2000-12-15,436500.0
2000-12-18,471000.0
2000-12-19,489000.0
2000-12-20,444000.0
2000-12-21,456000.0
2000-12-22,501750.0
2000-12-26,510000.0
2000-12-27,583500.0
2000-12-28,600750.0
2000-12-29,540750.0
2001-01-02,465750.0
2001-01-03,583500.0
2001-01-04,549000.0
2001-01-05,479250.0
2001-01-08,446250.0
2001-01-09,456000.0
2001-01-10,501000.0
2001-01-11,523500.0
2001-01-12,531000.0
2001-01-16,507000.0
2001-01-17,485250.0
2001-01-18,482250.0
2001-01-19,450937.5
2001-01-22,457500.0
2001-01-23,526500.0
2001-01-24,485250.0
2001-01-25,495000.0
2001-01-26,486750.0
2001-01-29,502500.0
2001-01-30,498750.0
2001-01-31,484500.0
2001-02-01,456750.0
2001-02-02,453750.0
2001-02-05,437250.0
2001-02-06,468000.0
2001-02-07,450750.0
2001-02-08,433500.0
2001-02-09,436500.0
2001-02-12,450000.0
2001-02-13,438000.0
2001-02-14,408000.0
2001-02-15,360000.0
2001-02-16,334500.0
2001-02-20,312750.0
2001-02-21,297750.0
2001-02-22,301500.0
2001-02-23,312000.0
2001-02-26,300000.0
2001-02-27,293250.0
2001-02-28,285750.0
2001-03-01,309750.0
2001-03-02,296250.0
2001-03-05,287250.0
2001-03-06,267000.0
2001-03-07,258000.0
2001-03-08,245250.0
2001-03-09,222000.0
2001-03-12,194250.0
2001-03-13,201000.0
2001-03-14,201750.0
2001-03-15,193500.0
2001-03-16,177750.0
2001-03-19,198750.0
2001-03-20,186000.0
2001-03-21,180000.0
2001-03-22,168000.0
2001-03-23,201750.0
2001-03-26,204750.0
2001-03-27,210000.0
2001-03-28,203250.0
2001-03-29,217500.0
2001-03-30,215250.0
2001-04-02,187500.0
2001-04-03,180000.0
2001-04-04,188250.0
2001-04-05,222000.0
2001-04-06,228000.0
2001-04-09,234600.0
2001-04-10,261000.0
2001-04-11,246120.0
2001-04-12,271200.0
2001-04-16,247200.0
2001-04-17,279120.0
2001-04-18,323280.0
2001-04-19,314160.0
2001-04-20,314400.0
2001-04-23,310080.0
2001-04-24,307080.0
2001-04-25,291600.0
2001-04-26,276120.0
2001-04-27,298800.0
2001-04-30,299400.0
2001-05-01,303000.0
2001-05-02,302400.0
2001-05-03,294600.0
2001-05-04,295200.0
2001-05-07,306600.0
2001-05-08,308160.0
2001-05-09,300240.0
2001-05-10,293640.0
2001-05-11,297840.0
2001-05-14,297360.0
2001-05-15,302880.0
2001-05-16,316320.0
2001-05-17,369000.0
2001-05-18,377400.0
2001-05-21,397800.0
2001-05-22,406560.0
2001-05-23,372000.0
2001-05-24,390120.0
2001-05-25,398880.0
2001-05-29,393360.0
2001-05-30,356640.0
2001-05-31,360240.0
2001-06-01,351000.0
2001-06-04,325560.0
2001-06-05,346200.0
2001-06-06,340800.0
2001-06-07,324960.0
2001-06-08,317400.0
2001-06-11,310320.0
2001-06-12,307200.0
2001-06-13,307560.0
2001-06-14,273240.0
2001-06-15,278400.0
2001-06-18,280200.0
2001-06-19,282000.0
2001-06-20,290400.0
2001-06-21,295800.0
2001-06-22,288960.0
2001-06-25,287160.0
2001-06-26,295200.0
2001-06-27,301200.0
2001-06-28,314880.0
2001-06-29,331680.0
2001-07-02,311760.0
2001-07-03,318840.0
2001-07-05,294480.0
2001-07-06,262080.0
2001-07-09,280320.0
2001-07-10,257520.0
2001-07-11,269520.0
2001-07-12,273600.0
2001-07-13,289560.0
2001-07-16,276000.0
2001-07-17,294360.0
2001-07-18,293760.0
2001-07-19,300000.0
2001-07-20,311400.0
2001-07-23,324000.0
2001-07-24,304800.0
2001-07-25,340200.0
2001-07-26,337800.0
2001-07-27,352920.0
2001-07-30,362400.0
2001-07-31,366720.0
2001-08-01,349680.0
2001-08-02,338640.0
2001-08-03,333240.0
2001-08-06,310800.0
2001-08-07,301800.0
2001-08-08,300000.0
2001-08-09,298320.0
2001-08-10,298200.0
2001-08-13,324480.0
2001-08-14,339000.0
2001-08-15,324360.0
2001-08-16,327360.0
2001-08-17,315960.0
2001-08-20,321840.0
2001-08-21,306000.0
2001-08-22,343200.0
2001-08-23,353400.0
2001-08-24,376680.0
2001-08-27,364920.0
2001-08-28,354480.0
2001-08-29,365400.0
2001-08-30,368280.0
2001-08-31,363840.0
2001-09-04,374640.0
2001-09-05,374760.0
2001-09-06,347400.0
2001-09-07,341400.0
2001-09-10,334800.0
2001-09-17,313200.0
2001-09-18,278400.0
2001-09-19,279720.0
2001-09-20,292080.0
2001-09-21,269880.0
2001-09-24,288360.0
2001-09-25,267480.0
2001-09-26,262920.0
2001-09-27,294600.0
2001-09-28,288600.0
2001-10-01,299040.0
2001-10-02,304200.0
2001-10-03,303840.0
2001-10-04,296520.0
2001-10-05,309960.0
2001-10-08,303480.0
2001-10-09,297600.0
2001-10-10,317520.0
2001-10-11,351960.0
2001-10-12,338160.0
2001-10-15,347160.0
2001-10-16,355680.0
2001-10-17,336840.0
2001-10-18,350760.0
2001-10-19,353040.0
2001-10-22,372000.0
2001-10-23,369240.0
2001-10-24,381000.0
2001-10-25,404880.0
2001-10-26,408120.0
2001-10-29,382920.0
2001-10-30,372720.0
2001-10-31,360360.0
2001-11-01,344400.0
2001-11-02,342120.0
2001-11-05,348360.0
2001-11-06,350640.0
