,APEN
2011-09-20,506.6600036621094
2011-09-21,474.32000732421875
2011-09-22,501.2699890136719
2011-09-23,479.7099914550781
2011-09-26,431.20001220703125
2011-09-27,463.5400085449219
2011-09-28,458.1499938964844
2011-09-29,485.1000061035156
2011-09-30,458.1499938964844
2011-10-03,441.9800109863281
2011-10-04,441.9800109863281
2011-10-05,463.5400085449219
2011-10-06,485.1000061035156
2011-10-07,485.1000061035156
2011-10-10,485.1000061035156
2011-10-11,463.5400085449219
2011-10-12,479.7099914550781
2011-10-13,474.32000732421875
2011-10-14,463.5400085449219
2011-10-17,458.1499938964844
2011-10-18,474.32000732421875
2011-10-19,468.92999267578125
2011-10-20,474.32000732421875
2011-10-21,474.32000732421875
2011-10-24,485.1000061035156
2011-10-25,474.32000732421875
2011-10-26,485.1000061035156
2011-10-27,479.7099914550781
2011-10-28,485.1000061035156
2011-10-31,506.6600036621094
2011-11-01,501.2699890136719
2011-11-02,506.6600036621094
2011-11-03,506.6600036621094
2011-11-04,501.2699890136719
2011-11-07,495.8800048828125
2011-11-08,485.1000061035156
2011-11-09,501.2699890136719
2011-11-10,485.1000061035156
2011-11-11,495.8800048828125
2011-11-14,485.1000061035156
2011-11-15,485.1000061035156
2011-11-16,501.2699890136719
2011-11-17,490.489990234375
2011-11-18,490.489990234375
2011-11-21,495.8800048828125
2011-11-22,495.8800048828125
2011-11-23,646.7999877929688
2011-11-25,619.8499755859375
2011-11-28,630.6300048828125
2011-11-29,603.6799926757812
2011-11-30,592.9000244140625
2011-12-01,619.8499755859375
2011-12-02,609.0700073242188
2011-12-05,603.6799926757812
2011-12-06,619.8499755859375
2011-12-07,582.1199951171875
2011-12-08,528.219970703125
2011-12-09,549.780029296875
2011-12-12,539.0
2011-12-13,539.0
2011-12-14,539.0
2011-12-15,539.0
2011-12-16,506.6600036621094
2011-12-19,539.0
2011-12-20,533.6099853515625
2011-12-21,539.0
2011-12-22,565.9500122070312
2011-12-23,582.1199951171875
2011-12-27,576.72998046875
2011-12-28,571.3400268554688
2011-12-29,646.7999877929688
2011-12-30,641.4099731445312
2012-01-03,646.7999877929688
2012-01-04,636.02001953125
