,BBBY
1992-12-14,2.1875
1992-12-15,2.125
1992-12-16,2.0625
1992-12-17,2.078125
1992-12-18,2.203125
1992-12-21,2.21875
1992-12-22,2.09375
1992-12-23,2.046875
1992-12-24,2.109375
1992-12-28,2.15625
1992-12-29,2.28125
1992-12-30,2.351562976837158
1992-12-31,2.3125
1993-01-04,2.34375
1993-01-05,2.1875
1993-01-06,2.140625
1993-01-07,2.125
1993-01-08,2.046875
1993-01-11,2.0
1993-01-12,2.070312976837158
1993-01-13,2.109375
1993-01-14,2.125
1993-01-15,2.015625
1993-01-18,1.9375
1993-01-19,2.0625
1993-01-20,2.0625
1993-01-21,1.984375
1993-01-22,1.953125
1993-01-25,2.03125
1993-01-26,2.03125
1993-01-27,1.9609379768371582
1993-01-28,2.0625
1993-01-29,2.054687976837158
1993-02-01,2.125
1993-02-02,2.140625
1993-02-03,2.125
1993-02-04,2.109375
1993-02-05,2.078125
1993-02-08,2.078125
1993-02-09,1.984375
1993-02-10,1.953125
1993-02-11,1.96875
1993-02-12,1.9140629768371582
1993-02-16,1.75
1993-02-17,1.875
1993-02-18,1.8125
1993-02-19,1.8125
1993-02-22,1.796875
1993-02-23,1.796875
1993-02-24,1.859375
1993-02-25,1.90625
1993-02-26,1.890625
1993-03-01,1.84375
1993-03-02,2.0
1993-03-03,2.078125
1993-03-04,2.09375
1993-03-05,2.09375
1993-03-08,2.171875
1993-03-09,2.265625
1993-03-10,2.28125
1993-03-11,2.296875
1993-03-12,2.25
1993-03-15,2.15625
1993-03-16,2.179687976837158
1993-03-17,2.171875
1993-03-18,2.203125
1993-03-19,2.140625
1993-03-22,2.125
1993-03-23,2.15625
1993-03-24,2.0625
1993-03-25,2.09375
1993-03-26,2.109375
1993-03-29,2.15625
1993-03-30,2.28125
1993-03-31,2.328125
1993-04-01,2.28125
1993-04-02,2.265625
1993-04-05,2.28125
1993-04-06,2.328125
1993-04-07,2.289062976837158
1993-04-08,2.289062976837158
1993-04-12,2.3125
1993-04-13,2.359375
1993-04-14,2.328125
1993-04-15,2.28125
1993-04-16,2.09375
1993-04-19,2.078125
1993-04-20,2.03125
1993-04-21,2.078125
1993-04-22,2.0625
1993-04-23,2.0625
1993-04-26,2.03125
1993-04-27,2.0625
1993-04-28,2.078125
1993-04-29,2.140625
1993-04-30,2.109375
1993-05-03,2.125
1993-05-04,2.132812976837158
1993-05-05,2.15625
1993-05-06,2.203125
1993-05-07,2.179687976837158
1993-05-10,2.203125
1993-05-11,2.25
1993-05-12,2.375
1993-05-13,2.328125
1993-05-14,2.3125
1993-05-17,2.328125
1993-05-18,2.328125
1993-05-19,2.3125
1993-05-20,2.328125
1993-05-21,2.328125
1993-05-24,2.3125
1993-05-25,2.53125
1993-05-26,2.609375
1993-05-27,2.5625
1993-05-28,2.578125
1993-06-01,2.570312976837158
1993-06-02,2.578125
1993-06-03,2.609375
1993-06-04,2.578125
1993-06-07,2.546875
1993-06-08,2.46875
1993-06-09,2.625
1993-06-10,2.734375
1993-06-11,2.703125
1993-06-14,2.671875
1993-06-15,2.6875
1993-06-16,2.6875
1993-06-17,2.625
1993-06-18,2.609375
1993-06-21,2.59375
1993-06-22,2.492187976837158
1993-06-23,2.359375
1993-06-24,2.46875
1993-06-25,2.5625
1993-06-28,2.671875
1993-06-29,2.6875
1993-06-30,2.625
1993-07-01,2.609375
1993-07-02,2.625
1993-07-06,2.765625
1993-07-07,2.796875
1993-07-08,2.90625
1993-07-09,2.9375
1993-07-12,3.09375
1993-07-13,2.953125
1993-07-14,3.0625
1993-07-15,2.90625
1993-07-16,2.875
1993-07-19,2.765625
1993-07-20,2.765625
1993-07-21,2.65625
1993-07-22,2.90625
1993-07-23,2.8125
1993-07-26,2.6875
1993-07-27,2.625
1993-07-28,2.75
1993-07-29,2.96875
1993-07-30,2.921875
1993-08-02,2.84375
1993-08-03,2.859375
1993-08-04,2.90625
1993-08-05,2.765625
1993-08-06,2.8125
1993-08-09,2.84375
1993-08-10,2.84375
1993-08-11,2.90625
1993-08-12,2.875
1993-08-13,2.796875
1993-08-16,2.84375
1993-08-17,2.84375
1993-08-18,2.875
1993-08-19,2.875
1993-08-20,2.921875
1993-08-23,3.0625
1993-08-24,3.25
1993-08-25,3.28125
1993-08-26,3.25
1993-08-27,3.15625
1993-08-30,3.4375
1993-08-31,3.46875
1993-09-01,3.515625
1993-09-02,3.53125
1993-09-03,3.578125
1993-09-07,3.5
1993-09-08,3.375
1993-09-09,3.625
1993-09-10,3.625
1993-09-13,3.40625
1993-09-14,3.28125
1993-09-15,3.4375
1993-09-16,3.5
1993-09-17,3.5
1993-09-20,3.5625
1993-09-21,3.4375
1993-09-22,3.84375
1993-09-23,4.09375
1993-09-24,4.0
1993-09-27,3.9375
1993-09-28,4.09375
1993-09-29,4.09375
1993-09-30,4.0625
1993-10-01,4.0625
1993-10-04,4.0625
1993-10-05,4.0625
1993-10-06,4.03125
1993-10-07,4.03125
1993-10-08,4.0625
1993-10-11,4.046875
1993-10-12,4.34375
1993-10-13,4.28125
1993-10-14,4.125
1993-10-15,4.09375
1993-10-18,3.78125
1993-10-19,3.734375
1993-10-20,3.75
1993-10-21,3.71875
1993-10-22,3.6875
1993-10-25,3.875
1993-10-26,3.796875
1993-10-27,3.875
1993-10-28,4.171875
1993-10-29,4.09375
1993-11-01,4.03125
1993-11-02,4.0
1993-11-03,3.90625
1993-11-04,3.78125
1993-11-05,3.734375
1993-11-08,3.8125
1993-11-09,3.625
1993-11-10,3.78125
1993-11-11,3.890625
1993-11-12,3.90625
1993-11-15,3.921875
1993-11-16,3.75
1993-11-17,3.53125
1993-11-18,3.53125
1993-11-19,3.5625
1993-11-22,3.34375
1993-11-23,3.6875
1993-11-24,3.78125
1993-11-26,3.828125
1993-11-29,3.921875
1993-11-30,4.0625
1993-12-01,4.3125
1993-12-02,4.1875
1993-12-03,4.0
1993-12-06,4.15625
1993-12-07,4.09375
1993-12-08,4.09375
1993-12-09,4.03125
1993-12-10,3.90625
1993-12-13,3.8125
1993-12-14,4.015625
1993-12-15,3.9375
1993-12-16,4.0625
1993-12-17,4.25
1993-12-20,4.359375
1993-12-21,4.25
1993-12-22,4.203125
1993-12-23,4.15625
1993-12-27,4.1875
1993-12-28,4.125
1993-12-29,4.1875
1993-12-30,4.21875
1993-12-31,4.3125
1994-01-03,4.25
1994-01-04,4.125
1994-01-05,4.140625
1994-01-06,4.125
1994-01-07,4.0625
1994-01-10,3.9375
1994-01-11,3.734375
1994-01-12,3.78125
1994-01-13,3.78125
1994-01-14,3.8125
1994-01-17,3.78125
1994-01-18,3.8125
1994-01-19,3.9375
1994-01-20,4.03125
1994-01-21,3.96875
1994-01-24,3.875
1994-01-25,3.8125
1994-01-26,3.8125
1994-01-27,3.703125
1994-01-28,3.8125
1994-01-31,3.78125
1994-02-01,3.6875
1994-02-02,3.6875
1994-02-03,3.625
1994-02-04,3.4375
1994-02-07,3.5
1994-02-08,3.4375
1994-02-09,3.5
1994-02-10,3.65625
1994-02-11,3.71875
1994-02-14,3.65625
1994-02-15,3.71875
1994-02-16,3.75
1994-02-17,3.71875
1994-02-18,3.53125
1994-02-22,3.59375
1994-02-23,3.4375
1994-02-24,3.40625
1994-02-25,3.40625
1994-02-28,3.40625
1994-03-01,3.34375
1994-03-02,3.328125
1994-03-03,3.625
1994-03-04,3.65625
1994-03-07,3.59375
1994-03-08,3.46875
1994-03-09,3.34375
1994-03-10,3.3125
1994-03-11,3.328125
1994-03-14,3.375
1994-03-15,3.4375
1994-03-16,3.546875
1994-03-17,3.6875
1994-03-18,3.75
1994-03-21,3.75
1994-03-22,3.828125
1994-03-23,3.875
1994-03-24,3.71875
1994-03-25,3.59375
1994-03-28,3.53125
1994-03-29,3.40625
1994-03-30,3.28125
1994-03-31,3.625
1994-04-04,3.4375
1994-04-05,3.5625
1994-04-06,3.640625
1994-04-07,3.875
1994-04-08,3.875
1994-04-11,3.84375
1994-04-12,3.75
1994-04-13,3.5625
1994-04-14,3.515625
1994-04-15,3.4375
1994-04-18,3.21875
1994-04-19,3.25
1994-04-20,3.125
1994-04-21,3.34375
1994-04-22,3.21875
1994-04-25,3.4375
1994-04-26,3.53125
1994-04-28,3.65625
1994-04-29,3.71875
1994-05-02,3.828125
1994-05-03,3.59375
1994-05-04,3.59375
1994-05-05,3.59375
1994-05-06,3.46875
1994-05-09,3.28125
1994-05-10,3.375
1994-05-11,3.21875
1994-05-12,3.3125
1994-05-13,3.21875
1994-05-16,2.96875
1994-05-17,3.078125
1994-05-18,3.445312976837158
1994-05-19,3.59375
1994-05-20,3.4375
1994-05-23,3.28125
1994-05-24,3.34375
1994-05-25,3.40625
1994-05-26,3.28125
1994-05-27,3.28125
1994-05-31,3.53125
1994-06-01,3.59375
1994-06-02,3.765625
1994-06-03,3.71875
1994-06-06,3.6875
1994-06-07,3.65625
1994-06-08,3.515625
1994-06-09,3.4375
1994-06-10,3.53125
1994-06-13,3.539062976837158
1994-06-14,3.5625
1994-06-15,3.59375
1994-06-16,3.566406011581421
1994-06-17,3.5625
1994-06-20,3.421875
1994-06-21,3.34375
1994-06-22,3.5625
1994-06-23,3.59375
1994-06-24,3.5
1994-06-27,3.578125
1994-06-28,3.53125
1994-06-29,3.453125
1994-06-30,3.578125
1994-07-01,3.5625
1994-07-05,3.484375
1994-07-06,3.5
1994-07-07,3.625
1994-07-08,3.59375
1994-07-11,3.59375
1994-07-12,3.71875
1994-07-13,3.84375
1994-07-14,4.03125
1994-07-15,3.96875
1994-07-18,3.96875
1994-07-19,3.8125
1994-07-20,3.875
1994-07-21,4.0
1994-07-22,3.921875
1994-07-25,3.84375
1994-07-26,3.75
1994-07-27,3.78125
1994-07-28,3.71875
1994-07-29,3.78125
1994-08-01,3.90625
1994-08-02,3.96875
1994-08-03,3.78125
1994-08-04,3.71875
1994-08-05,3.625
1994-08-08,3.421875
1994-08-09,3.3125
1994-08-10,3.1875
1994-08-11,3.34375
1994-08-12,3.375
1994-08-15,3.375
1994-08-16,3.375
1994-08-17,3.40625
1994-08-18,3.28125
1994-08-19,3.296875
1994-08-22,3.21875
1994-08-23,3.3125
1994-08-24,3.40625
1994-08-25,3.5
1994-08-26,3.5
1994-08-29,3.5625
1994-08-30,3.625
1994-08-31,3.671875
1994-09-01,3.53125
1994-09-02,3.3125
1994-09-06,3.3125
1994-09-07,3.3125
1994-09-08,3.4375
1994-09-09,3.46875
1994-09-12,3.476562976837158
1994-09-13,3.296875
1994-09-14,3.34375
1994-09-15,3.34375
1994-09-16,3.328125
1994-09-19,3.359375
1994-09-20,3.25
1994-09-21,3.21875
1994-09-22,3.0625
1994-09-23,2.96875
1994-09-26,2.9375
1994-09-27,3.03125
1994-09-28,2.96875
1994-09-29,3.0625
1994-09-30,3.21875
1994-10-03,3.203125
1994-10-04,3.0625
1994-10-05,3.015625
1994-10-06,3.0
1994-10-07,3.101562976837158
1994-10-10,3.03125
1994-10-11,3.03125
1994-10-12,3.0625
1994-10-13,3.125
1994-10-14,3.125
1994-10-17,3.21875
1994-10-18,3.25
1994-10-19,3.265625
1994-10-20,3.234375
1994-10-21,3.25
1994-10-24,3.171875
1994-10-25,3.15625
1994-10-26,3.15625
1994-10-27,3.40625
1994-10-28,3.578125
1994-10-31,3.6875
1994-11-01,3.53125
1994-11-02,3.5625
1994-11-03,3.484375
1994-11-04,3.40625
1994-11-07,3.390625
1994-11-08,3.421875
1994-11-09,3.484375
1994-11-10,3.421875
1994-11-11,3.359375
1994-11-14,3.40625
1994-11-15,3.53125
1994-11-16,3.5625
1994-11-17,3.59375
1994-11-18,3.625
1994-11-21,3.625
1994-11-22,3.46875
1994-11-23,3.34375
1994-11-25,3.5
1994-11-28,3.546875
1994-11-29,3.640625
1994-11-30,3.625
1994-12-01,3.53125
1994-12-02,3.59375
1994-12-05,3.664062976837158
1994-12-06,3.640625
1994-12-07,3.5625
1994-12-08,3.40625
1994-12-09,3.4375
1994-12-12,3.546875
1994-12-13,3.578125
1994-12-14,3.65625
1994-12-15,3.921875
1994-12-16,3.90625
1994-12-19,3.546875
1994-12-20,3.65625
1994-12-21,3.65625
1994-12-22,3.835937976837158
1994-12-23,3.828125
1994-12-27,3.71875
1994-12-28,3.53125
1994-12-29,3.6875
1994-12-30,3.75
1995-01-03,3.539062976837158
1995-01-04,3.4375
1995-01-05,3.390625
1995-01-06,3.46875
1995-01-09,3.46875
1995-01-10,3.507812976837158
1995-01-11,3.4375
1995-01-12,3.40625
1995-01-13,3.34375
1995-01-16,3.390625
1995-01-17,3.46875
1995-01-18,3.445312976837158
1995-01-19,3.4375
1995-01-20,3.390625
1995-01-23,3.296875
1995-01-24,3.398437976837158
1995-01-25,3.390625
1995-01-26,3.40625
1995-01-27,3.296875
1995-01-30,3.25
1995-01-31,3.34375
1995-02-01,3.34375
1995-02-02,3.34375
1995-02-03,3.578125
1995-02-06,3.6875
1995-02-07,3.65625
1995-02-08,3.546875
1995-02-09,3.5
1995-02-10,3.53125
1995-02-13,3.46875
1995-02-14,3.5
1995-02-15,3.5
1995-02-16,3.5
1995-02-17,3.453125
1995-02-21,3.414062976837158
1995-02-22,3.3125
1995-02-23,3.40625
1995-02-24,3.3125
1995-02-27,3.210937976837158
1995-02-28,3.03125
1995-03-01,3.03125
1995-03-02,3.046875
1995-03-03,3.0625
1995-03-06,3.085937976837158
1995-03-07,3.046875
1995-03-08,3.109375
1995-03-09,3.03125
1995-03-10,2.96875
1995-03-13,3.09375
1995-03-14,2.921875
1995-03-15,2.84375
1995-03-16,3.015625
1995-03-17,2.945312976837158
1995-03-20,3.015625
1995-03-21,2.9375
1995-03-22,2.96875
1995-03-23,2.96875
1995-03-24,3.015625
1995-03-27,2.867187976837158
1995-03-28,2.90625
1995-03-29,2.960937976837158
1995-03-30,3.046875
1995-03-31,3.09375
1995-04-03,3.09375
1995-04-04,3.046875
1995-04-05,2.984375
1995-04-06,2.953125
1995-04-07,2.90625
1995-04-10,2.859375
1995-04-11,2.796875
1995-04-12,2.78125
1995-04-13,2.59375
1995-04-17,2.46875
1995-04-18,2.320312976837158
1995-04-19,2.3125
1995-04-20,2.3125
1995-04-21,2.421875
1995-04-24,2.328125
1995-04-25,2.328125
1995-04-26,2.28125
1995-04-27,2.59375
1995-04-28,2.609375
1995-05-01,2.625
1995-05-02,2.625
1995-05-03,2.578125
1995-05-04,2.546875
1995-05-05,2.5625
1995-05-08,2.59375
1995-05-09,2.59375
1995-05-10,2.710937976837158
1995-05-11,2.765625
1995-05-12,3.0625
1995-05-15,2.984375
1995-05-16,2.789062976837158
1995-05-17,2.859375
1995-05-18,2.890625
1995-05-19,2.875
1995-05-22,2.953125
1995-05-23,2.96875
1995-05-24,2.820312976837158
1995-05-25,2.84375
1995-05-26,2.828125
1995-05-30,2.820312976837158
1995-05-31,2.90625
1995-06-01,2.765625
1995-06-02,2.742187976837158
1995-06-05,2.6875
1995-06-06,2.640625
1995-06-07,2.71875
1995-06-08,2.703125
1995-06-09,2.71875
1995-06-12,2.703125
1995-06-13,2.75
1995-06-14,2.789062976837158
1995-06-15,2.921875
1995-06-16,2.984375
1995-06-19,3.046875
1995-06-20,3.0
1995-06-21,2.953125
1995-06-22,2.875
1995-06-23,2.78125
1995-06-26,2.71875
1995-06-27,2.796875
1995-06-28,2.804687976837158
1995-06-29,2.828125
1995-06-30,3.03125
1995-07-03,3.03125
1995-07-05,3.234375
1995-07-06,3.539062976837158
1995-07-07,3.625
1995-07-10,3.5625
1995-07-11,3.421875
1995-07-12,3.523437976837158
1995-07-13,3.546875
1995-07-14,3.429687976837158
1995-07-17,3.578125
1995-07-18,3.609375
1995-07-19,3.523437976837158
1995-07-20,3.6875
1995-07-21,3.703125
1995-07-24,3.671875
1995-07-25,3.765625
1995-07-26,3.875
1995-07-27,3.984375
1995-07-28,3.875
1995-07-31,3.875
1995-08-01,3.875
1995-08-02,3.859375
1995-08-03,3.84375
1995-08-04,3.9375
1995-08-07,3.984375
1995-08-08,4.03125
1995-08-09,4.0625
1995-08-10,4.046875
1995-08-11,3.921875
1995-08-14,3.875
1995-08-15,3.5
1995-08-16,3.429687976837158
1995-08-17,3.484375
1995-08-18,3.492187976837158
1995-08-21,3.46875
1995-08-22,3.5
1995-08-23,3.476562976837158
1995-08-24,3.28125
1995-08-25,3.226562976837158
1995-08-28,3.195312976837158
1995-08-29,3.195312976837158
1995-08-30,3.3125
1995-08-31,3.414062976837158
1995-09-01,3.421875
1995-09-05,3.484375
1995-09-06,3.640625
1995-09-07,3.625
1995-09-08,3.703125
1995-09-11,3.65625
1995-09-12,3.671875
1995-09-13,3.8125
1995-09-14,3.890625
1995-09-15,3.75
1995-09-18,3.734375
1995-09-19,3.71875
1995-09-20,3.796875
1995-09-21,3.890625
1995-09-22,3.875
1995-09-25,3.828125
1995-09-26,3.820312976837158
1995-09-27,3.78125
1995-09-28,3.9375
1995-09-29,3.8125
1995-10-02,3.75
1995-10-03,3.625
1995-10-04,3.71875
1995-10-05,3.828125
1995-10-06,3.765625
1995-10-09,3.65625
1995-10-10,3.640625
1995-10-11,3.6875
1995-10-12,3.609375
1995-10-13,3.59375
1995-10-16,3.507812976837158
1995-10-17,3.53125
1995-10-18,3.375
1995-10-19,3.421875
1995-10-20,3.359375
1995-10-23,3.453125
1995-10-24,3.4375
1995-10-25,3.320312976837158
1995-10-26,3.375
1995-10-27,3.796875
1995-10-30,3.734375
1995-10-31,3.90625
1995-11-01,4.015625
1995-11-02,3.984375
1995-11-03,4.21875
1995-11-06,4.21875
1995-11-07,4.140625
1995-11-08,4.375
1995-11-09,4.296875
1995-11-10,4.25
1995-11-13,4.265625
1995-11-14,4.203125
1995-11-15,4.28125
1995-11-16,4.578125
1995-11-17,4.4375
1995-11-20,4.3125
1995-11-21,4.234375
1995-11-22,4.359375
1995-11-24,4.46875
1995-11-27,4.242187976837158
1995-11-28,4.046875
1995-11-29,3.921875
1995-11-30,4.109375
1995-12-01,4.375
1995-12-04,4.296875
1995-12-05,4.25
1995-12-06,4.25
1995-12-07,4.234375
1995-12-08,3.984375
1995-12-11,4.046875
1995-12-12,3.90625
1995-12-13,4.03125
1995-12-14,3.953125
1995-12-15,4.015625
1995-12-18,3.796875
1995-12-19,4.125
1995-12-20,4.125
1995-12-21,4.289062976837158
1995-12-22,4.46875
1995-12-26,4.4375
1995-12-27,4.515625
1995-12-28,4.765625
1995-12-29,4.851562976837158
1996-01-02,4.625
1996-01-03,4.640625
1996-01-04,4.53125
1996-01-05,4.414062976837158
1996-01-08,4.445312976837158
1996-01-09,4.28125
1996-01-10,4.15625
1996-01-11,4.40625
1996-01-12,4.46875
1996-01-15,4.5625
1996-01-16,4.546875
1996-01-17,4.46875
1996-01-18,4.375
1996-01-19,4.390625
1996-01-22,4.335937976837158
1996-01-23,4.40625
1996-01-24,4.742187976837158
1996-01-25,4.757812976837158
1996-01-26,4.984375
1996-01-29,5.007812976837158
1996-01-30,5.039062976837158
1996-01-31,4.960937976837158
1996-02-01,5.1875
1996-02-02,5.15625
1996-02-05,5.328125
1996-02-06,5.171875
1996-02-07,5.28125
1996-02-08,5.21875
1996-02-09,5.046875
1996-02-12,5.03125
1996-02-13,4.9375
1996-02-14,5.03125
1996-02-15,5.0625
1996-02-16,5.15625
1996-02-20,5.390625
1996-02-21,5.59375
1996-02-22,5.46875
1996-02-23,5.34375
1996-02-26,5.234375
1996-02-27,4.96875
1996-02-28,5.3125
1996-02-29,5.578125
1996-03-01,5.546875
1996-03-04,5.71875
1996-03-05,5.625
1996-03-06,5.59375
1996-03-07,5.84375
1996-03-08,5.859375
1996-03-11,5.953125
1996-03-12,5.921875
1996-03-13,5.898437976837158
1996-03-14,6.109375
1996-03-15,6.03125
1996-03-18,6.28125
1996-03-19,6.445312976837158
1996-03-20,6.3125
1996-03-21,6.367187976837158
1996-03-22,6.359375
1996-03-25,6.15625
1996-03-26,6.359375
1996-03-27,6.4375
1996-03-28,6.6875
1996-03-29,6.59375
1996-04-01,6.28125
1996-04-02,6.242187976837158
1996-04-03,6.265625
1996-04-04,6.257812976837158
1996-04-08,6.078125
1996-04-09,5.945312976837158
1996-04-10,6.234375
1996-04-11,6.109375
1996-04-12,6.109375
1996-04-15,6.109375
1996-04-16,6.125
1996-04-17,6.09375
1996-04-18,5.96875
1996-04-19,6.046875
1996-04-22,6.296875
1996-04-23,6.53125
1996-04-24,6.59375
1996-04-25,6.828125
1996-04-26,6.953125
1996-04-29,7.25
1996-04-30,7.382812976837158
1996-05-01,6.96875
1996-05-02,6.6875
1996-05-03,6.78125
1996-05-06,6.8125
1996-05-07,6.75
1996-05-08,6.875
1996-05-09,7.0
1996-05-10,7.09375
1996-05-13,7.15625
1996-05-14,6.90625
1996-05-15,7.09375
1996-05-16,7.0625
1996-05-17,6.84375
1996-05-20,6.78125
1996-05-21,7.28125
1996-05-22,7.71875
1996-05-23,7.75
1996-05-24,7.75
1996-05-28,7.5
1996-05-29,7.25
1996-05-30,7.25
1996-05-31,7.03125
1996-06-03,7.0
1996-06-04,7.0625
1996-06-05,7.0625
1996-06-06,6.71875
1996-06-07,6.65625
1996-06-10,6.71875
1996-06-11,6.84375
1996-06-12,6.84375
1996-06-13,6.5625
1996-06-14,6.4375
1996-06-17,6.46875
1996-06-18,6.4375
1996-06-19,6.4375
1996-06-20,6.375
1996-06-21,6.375
1996-06-24,6.125
1996-06-25,6.4375
1996-06-26,6.3125
1996-06-27,6.34375
1996-06-28,6.6875
1996-07-01,6.71875
1996-07-02,6.0625
1996-07-03,5.84375
1996-07-05,5.78125
1996-07-08,5.28125
1996-07-09,4.71875
1996-07-10,4.6875
1996-07-11,4.796875
1996-07-12,4.96875
1996-07-15,4.84375
1996-07-16,4.875
1996-07-17,4.8125
1996-07-18,5.53125
1996-07-19,5.78125
1996-07-22,5.375
1996-07-23,5.140625
1996-07-24,5.5
1996-07-25,5.5
1996-07-26,5.59375
1996-07-29,5.375
1996-07-30,5.59375
1996-07-31,5.5
1996-08-01,5.5625
1996-08-02,5.8125
1996-08-05,5.75
1996-08-06,5.59375
1996-08-07,5.34375
1996-08-08,5.375
1996-08-09,5.46875
1996-08-12,5.46875
1996-08-13,5.375
1996-08-14,5.3125
1996-08-15,5.359375
1996-08-16,5.4375
1996-08-19,5.40625
1996-08-20,5.375
1996-08-21,5.34375
1996-08-22,5.1875
1996-08-23,5.15625
1996-08-26,5.125
1996-08-27,5.1875
1996-08-28,5.15625
1996-08-29,5.34375
1996-08-30,5.65625
1996-09-03,5.921875
1996-09-04,5.96875
1996-09-05,5.90625
1996-09-06,5.75
1996-09-09,5.71875
1996-09-10,6.1875
1996-09-11,6.21875
1996-09-12,6.453125
1996-09-13,6.59375
1996-09-16,6.703125
1996-09-17,6.8125
1996-09-18,6.6875
1996-09-19,6.59375
1996-09-20,6.21875
1996-09-23,6.28125
1996-09-24,6.1875
1996-09-25,6.21875
1996-09-26,6.65625
1996-09-27,6.875
1996-09-30,6.84375
1996-10-01,6.6875
1996-10-02,6.8125
1996-10-03,6.9375
1996-10-04,6.875
1996-10-07,7.03125
1996-10-08,7.0
1996-10-09,6.9375
1996-10-10,6.9375
1996-10-11,6.9375
1996-10-14,7.21875
1996-10-15,7.15625
1996-10-16,7.0625
1996-10-17,6.9375
1996-10-18,6.65625
1996-10-21,6.9375
1996-10-22,6.609375
1996-10-23,6.625
1996-10-24,6.328125
1996-10-25,6.5625
1996-10-28,6.28125
1996-10-29,6.0625
1996-10-30,6.09375
1996-10-31,6.3125
1996-11-01,6.734375
1996-11-04,7.0625
1996-11-05,6.96875
1996-11-06,7.25
1996-11-07,7.3125
1996-11-08,7.21875
1996-11-11,7.375
1996-11-12,7.28125
1996-11-13,7.09375
1996-11-14,7.25
1996-11-15,7.125
1996-11-18,7.03125
1996-11-19,6.90625
1996-11-20,6.921875
1996-11-21,6.84375
1996-11-22,6.90625
1996-11-25,6.65625
1996-11-26,6.5625
1996-11-27,6.578125
1996-11-29,6.546875
1996-12-02,6.40625
1996-12-03,6.5
1996-12-04,6.5625
1996-12-05,6.625
1996-12-06,6.625
1996-12-09,6.8125
1996-12-10,6.59375
1996-12-11,6.5
1996-12-12,6.21875
1996-12-13,6.1875
1996-12-16,6.15625
1996-12-17,6.109375
1996-12-18,6.046875
1996-12-19,6.25
1996-12-20,6.25
1996-12-23,6.4375
1996-12-24,6.40625
1996-12-26,6.46875
1996-12-27,6.46875
1996-12-30,6.3125
1996-12-31,6.0625
1997-01-02,6.53125
1997-01-03,7.0
