,ASTS
2020-08-04,10.199999809265137
2020-08-05,10.199999809265137
2020-08-06,10.199999809265137
2020-08-07,10.149999618530273
2020-08-10,10.079999923706055
2020-08-11,10.0600004196167
2020-08-12,10.0600004196167
2020-08-13,10.100000381469727
2020-08-14,10.0600004196167
2020-08-17,10.039999961853027
2020-08-18,10.029999732971191
2020-08-19,10.0600004196167
2020-08-20,10.039999961853027
2020-08-21,10.015000343322754
2020-08-24,10.055000305175781
2020-08-25,10.039999961853027
2020-08-26,10.050000190734863
2020-08-27,10.0600004196167
2020-08-28,10.09000015258789
2020-08-31,10.100000381469727
2020-09-01,10.100000381469727
2020-09-02,10.149999618530273
2020-09-03,10.050000190734863
2020-09-04,10.050000190734863
2020-09-08,10.100000381469727
2020-09-09,10.149999618530273
2020-09-10,10.180000305175781
