,EWBC
1999-08-10,5.0
1999-08-11,5.0
1999-08-12,5.0
1999-08-13,4.90625
1999-08-16,4.96875
1999-08-17,4.96875
1999-08-18,5.09375
1999-08-19,4.984375
1999-08-20,5.0
1999-08-23,4.96875
1999-08-24,5.0
1999-08-25,4.96875
1999-08-26,5.0
1999-08-27,4.984375
1999-08-30,4.96875
1999-08-31,4.9375
1999-09-01,4.84375
1999-09-02,4.859375
1999-09-03,4.875
1999-09-07,5.0
1999-09-08,5.0
1999-09-09,5.0
1999-09-10,4.90625
1999-09-13,4.875
1999-09-14,4.875
1999-09-15,4.96875
1999-09-16,4.90625
1999-09-17,4.96875
1999-09-20,4.96875
1999-09-21,5.03125
1999-09-22,5.046875
1999-09-23,5.203125
1999-09-24,5.125
1999-09-27,5.1875
1999-09-28,5.1875
1999-09-29,5.3125
1999-09-30,5.9375
1999-10-01,5.75
1999-10-04,5.71875
1999-10-05,5.6875
1999-10-06,5.78125
1999-10-07,5.6875
1999-10-08,5.65625
1999-10-11,5.6875
1999-10-12,5.5625
1999-10-13,5.5625
1999-10-14,5.71875
1999-10-15,5.75
1999-10-18,5.65625
1999-10-19,5.75
1999-10-20,5.75
1999-10-21,5.78125
1999-10-22,5.8125
1999-10-25,5.875
1999-10-26,6.0
1999-10-27,6.03125
1999-10-28,6.09375
1999-10-29,6.1875
1999-11-01,6.625
1999-11-02,6.625
1999-11-03,6.6875
1999-11-04,6.6875
1999-11-05,6.6875
1999-11-08,6.65625
1999-11-09,6.375
1999-11-10,6.625
1999-11-11,6.53125
1999-11-12,6.5
1999-11-15,6.625
1999-11-16,6.5625
1999-11-17,6.71875
1999-11-18,6.625
1999-11-19,6.53125
1999-11-22,6.53125
1999-11-23,6.5
1999-11-24,6.4375
1999-11-26,6.375
1999-11-29,6.375
1999-11-30,6.15625
1999-12-01,6.125
1999-12-02,6.1875
1999-12-03,6.0625
1999-12-06,6.125
1999-12-07,6.0625
1999-12-08,6.0625
1999-12-09,5.75
1999-12-10,5.625
1999-12-13,5.375
1999-12-14,5.28125
1999-12-15,4.875
1999-12-16,4.84375
1999-12-17,4.75
1999-12-20,4.75
1999-12-21,4.8125
1999-12-22,5.25
1999-12-23,5.46875
1999-12-27,5.6875
1999-12-28,5.5
1999-12-29,5.6875
1999-12-30,5.640625
1999-12-31,5.71875
2000-01-03,5.4375
2000-01-04,5.21875
2000-01-05,5.25
2000-01-06,5.125
2000-01-07,5.125
2000-01-10,5.1875
2000-01-11,5.25
2000-01-12,5.25
2000-01-13,6.09375
2000-01-14,6.5
2000-01-18,6.21875
2000-01-19,6.09375
2000-01-20,5.875
2000-01-21,5.6875
2000-01-24,5.875
2000-01-25,5.75
2000-01-26,6.0625
2000-01-27,5.9375
2000-01-28,6.28125
2000-01-31,6.28125
2000-02-01,6.28125
2000-02-02,6.28125
2000-02-03,6.21875
2000-02-04,6.15625
2000-02-07,6.28125
2000-02-08,6.3125
2000-02-09,6.28125
2000-02-10,6.4375
2000-02-11,6.46875
2000-02-14,6.0
2000-02-15,6.21875
2000-02-16,6.25
2000-02-17,6.25
2000-02-18,6.0625
2000-02-22,5.5625
2000-02-23,5.96875
2000-02-24,6.1875
2000-02-25,6.28125
2000-02-28,6.1875
2000-02-29,6.28125
2000-03-01,6.25
2000-03-02,5.40625
2000-03-03,6.0
2000-03-06,6.0
2000-03-07,5.78125
2000-03-08,6.0
2000-03-09,6.0
2000-03-10,5.78125
2000-03-13,5.9375
2000-03-14,5.75
2000-03-15,5.6875
2000-03-16,5.6875
2000-03-17,5.71875
2000-03-20,5.6875
2000-03-21,5.46875
2000-03-22,5.9375
2000-03-23,5.9375
2000-03-24,5.59375
2000-03-27,5.625
2000-03-28,5.65625
2000-03-29,5.34375
2000-03-30,5.375
2000-03-31,5.53125
2000-04-03,5.65625
2000-04-04,5.4375
2000-04-05,5.46875
2000-04-06,5.9375
2000-04-07,6.25
2000-04-10,6.21875
2000-04-11,6.234375
2000-04-12,6.1875
2000-04-13,5.875
2000-04-14,5.8125
2000-04-17,6.125
2000-04-18,6.1875
2000-04-19,6.125
2000-04-20,6.0
2000-04-24,5.8125
2000-04-25,5.9375
2000-04-26,6.21875
2000-04-27,6.15625
2000-04-28,6.25
2000-05-01,6.25
2000-05-02,6.1875
2000-05-03,6.0625
2000-05-04,6.03125
2000-05-05,6.0625
2000-05-08,6.0625
2000-05-09,6.125
2000-05-10,6.03125
2000-05-11,6.0625
2000-05-12,5.9375
2000-05-15,5.6875
2000-05-16,5.8125
2000-05-17,5.90625
2000-05-18,5.890625
2000-05-19,5.8125
2000-05-22,5.9375
2000-05-23,6.125
2000-05-24,6.1875
2000-05-25,6.25
2000-05-26,6.125
2000-05-30,6.09375
2000-05-31,6.15625
2000-06-01,6.28125
2000-06-02,6.375
2000-06-05,6.40625
2000-06-06,6.53125
2000-06-07,6.5625
2000-06-08,6.75
2000-06-09,6.671875
2000-06-12,6.8125
2000-06-13,6.804687976837158
2000-06-14,6.78125
2000-06-15,6.90625
2000-06-16,6.5625
2000-06-19,6.5625
2000-06-20,6.5625
2000-06-21,6.3125
2000-06-22,6.3125
2000-06-23,6.28125
2000-06-26,6.3125
2000-06-27,6.4375
2000-06-28,6.75
2000-06-29,6.875
2000-06-30,7.1875
2000-07-03,7.3125
2000-07-05,7.28125
2000-07-06,7.4375
2000-07-07,7.53125
2000-07-10,7.625
2000-07-11,7.59375
2000-07-12,7.71875
2000-07-13,8.0625
2000-07-14,7.84375
2000-07-17,7.5625
2000-07-18,8.15625
2000-07-19,8.125
2000-07-20,7.96875
2000-07-21,8.0
2000-07-24,7.96875
2000-07-25,7.9375
2000-07-26,8.0625
2000-07-27,7.9375
2000-07-28,8.0
2000-07-31,8.0
2000-08-01,8.15625
2000-08-02,8.125
2000-08-03,8.0625
2000-08-04,8.28125
2000-08-07,8.3125
2000-08-08,8.25
2000-08-09,8.15625
2000-08-10,8.25
2000-08-11,8.4375
2000-08-14,8.5
2000-08-15,8.53125
2000-08-16,8.53125
2000-08-17,8.40625
2000-08-18,8.46875
2000-08-21,8.5625
2000-08-22,8.59375
2000-08-23,8.375
2000-08-24,8.5
2000-08-25,8.4375
2000-08-28,8.40625
2000-08-29,8.25
2000-08-30,8.25
2000-08-31,8.53125
2000-09-01,8.5
2000-09-05,8.53125
2000-09-06,8.53125
2000-09-07,8.5
2000-09-08,8.5
2000-09-11,8.53125
2000-09-12,8.625
2000-09-13,9.53125
2000-09-14,10.25
2000-09-15,9.96875
2000-09-18,9.96875
2000-09-19,9.71875
2000-09-20,9.5
2000-09-21,9.4375
2000-09-22,9.4375
2000-09-25,9.625
2000-09-26,9.5
2000-09-27,9.125
2000-09-28,9.25
2000-09-29,9.78125
2000-10-02,9.625
2000-10-03,9.65625
2000-10-04,9.71875
2000-10-05,9.6875
2000-10-06,9.6875
2000-10-09,9.75
2000-10-10,9.65625
2000-10-11,9.625
2000-10-12,9.5
2000-10-13,9.6875
2000-10-16,9.46875
2000-10-17,9.625
2000-10-18,9.5
2000-10-19,9.46875
2000-10-20,9.1875
2000-10-23,9.15625
2000-10-24,9.09375
2000-10-25,9.09375
2000-10-26,9.0
2000-10-27,9.34375
2000-10-30,9.4375
2000-10-31,9.46875
2000-11-01,9.46875
2000-11-02,9.5
2000-11-03,9.53125
2000-11-06,9.5
2000-11-07,9.875
2000-11-08,9.75
2000-11-09,9.78125
2000-11-10,9.875
2000-11-13,9.65625
2000-11-14,10.03125
2000-11-15,10.4375
2000-11-16,10.3125
2000-11-17,10.375
2000-11-20,10.0
2000-11-21,10.0625
2000-11-22,10.25
2000-11-24,10.375
2000-11-27,10.5
2000-11-28,10.375
2000-11-29,10.6875
2000-11-30,10.9375
2000-12-01,11.34375
2000-12-04,11.6875
2000-12-05,11.375
2000-12-06,11.601563453674316
2000-12-07,11.4375
2000-12-08,11.71875
2000-12-11,11.8125
2000-12-12,11.5625
2000-12-13,11.65625
2000-12-14,11.0
2000-12-15,11.15625
2000-12-18,11.6875
2000-12-19,12.15625
2000-12-20,12.03125
2000-12-21,12.40625
2000-12-22,12.5
2000-12-26,12.71875
2000-12-27,13.125
2000-12-28,12.742188453674316
2000-12-29,12.46875
2001-01-02,12.03125
2001-01-03,12.03125
2001-01-04,12.1875
2001-01-05,11.53125
2001-01-08,11.46875
2001-01-09,11.125
2001-01-10,11.40625
2001-01-11,11.6875
2001-01-12,11.625
2001-01-16,12.09375
2001-01-17,11.75
2001-01-18,11.6875
2001-01-19,11.40625
2001-01-22,11.21875
2001-01-23,11.75
2001-01-24,12.03125
2001-01-25,11.96875
2001-01-26,11.875
2001-01-29,11.75
2001-01-30,11.625
2001-01-31,11.59375
2001-02-01,11.75
2001-02-02,12.0
2001-02-05,12.34375
2001-02-06,12.5
2001-02-07,12.6875
2001-02-08,12.59375
2001-02-09,12.46875
2001-02-12,12.5
2001-02-13,12.5625
2001-02-14,12.625
2001-02-15,12.71875
2001-02-16,12.3125
2001-02-20,12.21875
2001-02-21,12.15625
2001-02-22,11.90625
2001-02-23,11.8125
2001-02-26,11.75
2001-02-27,11.5
2001-02-28,11.53125
2001-03-01,11.4375
2001-03-02,11.6875
2001-03-05,11.4375
2001-03-06,11.5
2001-03-07,11.578125
2001-03-08,11.59375
2001-03-09,11.53125
2001-03-12,11.6875
2001-03-13,10.5
2001-03-14,9.96875
2001-03-15,9.9375
2001-03-16,9.4375
2001-03-19,9.5
2001-03-20,9.4375
2001-03-21,9.5
2001-03-22,9.5625
2001-03-23,10.0625
2001-03-26,9.9375
2001-03-27,10.0
2001-03-28,9.78125
2001-03-29,9.46875
2001-03-30,9.625
2001-04-02,9.875
2001-04-03,9.21875
2001-04-04,8.3125
2001-04-05,9.09375
2001-04-06,9.09375
2001-04-09,9.295000076293945
2001-04-10,9.25
2001-04-11,9.270000457763672
2001-04-12,9.425000190734863
2001-04-16,9.399999618530273
2001-04-17,9.545000076293945
2001-04-18,9.619999885559082
2001-04-19,9.604999542236328
2001-04-20,9.739999771118164
2001-04-23,9.6899995803833
2001-04-24,9.805000305175781
2001-04-25,9.975000381469727
2001-04-26,9.960000038146973
2001-04-27,10.244999885559082
2001-04-30,10.380000114440918
2001-05-01,10.524999618530273
2001-05-02,10.454999923706055
2001-05-03,10.494999885559082
2001-05-04,10.859999656677246
2001-05-07,11.140000343322754
2001-05-08,11.305000305175781
2001-05-09,11.3100004196167
2001-05-10,11.524999618530273
2001-05-11,11.475000381469727
2001-05-14,11.779999732971191
2001-05-15,12.050000190734863
2001-05-16,12.145000457763672
2001-05-17,12.21500015258789
2001-05-18,12.050000190734863
2001-05-21,11.975000381469727
2001-05-22,11.949999809265137
2001-05-23,11.989999771118164
2001-05-24,12.024999618530273
2001-05-25,11.984999656677246
2001-05-29,12.024999618530273
2001-05-30,11.970000267028809
2001-05-31,11.824999809265137
2001-06-01,12.25
2001-06-04,12.15999984741211
2001-06-05,12.074999809265137
2001-06-06,12.03499984741211
2001-06-07,12.024999618530273
2001-06-08,11.979999542236328
2001-06-11,12.104999542236328
2001-06-12,12.074999809265137
2001-06-13,12.100000381469727
2001-06-14,12.100000381469727
2001-06-15,12.104999542236328
2001-06-18,12.100000381469727
2001-06-19,12.300000190734863
2001-06-20,12.494999885559082
2001-06-21,12.520000457763672
2001-06-22,12.475000381469727
2001-06-25,12.5
2001-06-26,12.524999618530273
2001-06-27,12.574999809265137
2001-06-28,12.725000381469727
2001-06-29,13.5
2001-07-02,13.244999885559082
2001-07-03,13.25
2001-07-05,13.180000305175781
2001-07-06,12.895000457763672
2001-07-09,12.670000076293945
2001-07-10,12.475000381469727
2001-07-11,12.079999923706055
2001-07-12,12.09000015258789
2001-07-13,12.130000114440918
2001-07-16,12.170000076293945
2001-07-17,12.225000381469727
2001-07-18,12.300000190734863
2001-07-19,12.40999984741211
2001-07-20,12.130000114440918
2001-07-23,11.654999732971191
2001-07-24,11.324999809265137
2001-07-25,11.875
2001-07-26,12.119999885559082
2001-07-27,12.079999923706055
2001-07-30,12.699999809265137
2001-07-31,12.760000228881836
2001-08-01,13.050000190734863
2001-08-02,12.920000076293945
2001-08-03,12.949999809265137
2001-08-06,12.984999656677246
2001-08-07,13.03499984741211
2001-08-08,12.9350004196167
2001-08-09,12.960000038146973
2001-08-10,12.975000381469727
2001-08-13,13.100000381469727
2001-08-14,13.015000343322754
2001-08-15,13.125
2001-08-16,12.975000381469727
2001-08-17,13.055000305175781
2001-08-20,13.114999771118164
2001-08-21,12.914999961853027
2001-08-22,13.005000114440918
2001-08-23,12.954999923706055
2001-08-24,12.529999732971191
2001-08-27,12.460000038146973
2001-08-28,12.109999656677246
2001-08-29,11.944999694824219
2001-08-30,11.6899995803833
2001-08-31,11.805000305175781
2001-09-04,11.9399995803833
2001-09-05,12.055000305175781
2001-09-06,12.024999618530273
2001-09-07,11.875
2001-09-10,11.850000381469727
2001-09-17,11.6850004196167
2001-09-18,11.699999809265137
2001-09-19,11.720000267028809
2001-09-20,11.649999618530273
2001-09-21,11.239999771118164
2001-09-24,11.524999618530273
2001-09-25,11.739999771118164
2001-09-26,11.460000038146973
2001-09-27,11.550000190734863
2001-09-28,11.694999694824219
2001-10-01,11.515000343322754
2001-10-02,11.375
2001-10-03,11.479999542236328
2001-10-04,11.229999542236328
2001-10-05,10.949999809265137
2001-10-08,10.585000038146973
2001-10-09,10.319999694824219
2001-10-10,10.050000190734863
2001-10-11,10.079999923706055
2001-10-12,10.119999885559082
2001-10-15,10.90999984741211
2001-10-16,11.350000381469727
2001-10-17,11.274999618530273
2001-10-18,11.279999732971191
2001-10-19,11.225000381469727
2001-10-22,11.529999732971191
2001-10-23,11.654999732971191
2001-10-24,11.635000228881836
2001-10-25,11.694999694824219
2001-10-26,11.720000267028809
2001-10-29,11.345000267028809
2001-10-30,11.46500015258789
2001-10-31,11.295000076293945
2001-11-01,11.380000114440918
2001-11-02,11.225000381469727
2001-11-05,11.145000457763672
2001-11-06,11.020000457763672
2001-11-07,10.984999656677246
2001-11-08,10.904999732971191
2001-11-09,10.795000076293945
2001-11-12,10.71500015258789
2001-11-13,10.989999771118164
2001-11-14,10.859999656677246
2001-11-15,10.819999694824219
2001-11-16,10.925000190734863
2001-11-19,10.984999656677246
2001-11-20,11.0
2001-11-21,11.125
2001-11-23,11.015000343322754
2001-11-26,11.140000343322754
2001-11-27,11.005000114440918
2001-11-28,11.029999732971191
2001-11-29,11.164999961853027
2001-11-30,11.055000305175781
2001-12-03,11.164999961853027
2001-12-04,11.204999923706055
2001-12-05,11.164999961853027
2001-12-06,11.385000228881836
2001-12-07,11.630000114440918
2001-12-10,11.649999618530273
2001-12-11,11.654999732971191
2001-12-12,11.649999618530273
2001-12-13,11.524999618530273
2001-12-14,11.619999885559082
2001-12-17,11.875
2001-12-18,12.020000457763672
2001-12-19,12.180000305175781
2001-12-20,12.425000190734863
2001-12-21,13.270000457763672
2001-12-24,13.225000381469727
2001-12-26,13.029999732971191
2001-12-27,13.25
2001-12-28,12.850000381469727
2001-12-31,12.875
2002-01-02,12.739999771118164
2002-01-03,12.824999809265137
2002-01-04,13.085000038146973
2002-01-07,13.300000190734863
2002-01-08,13.199999809265137
2002-01-09,13.095000267028809
2002-01-10,13.1850004196167
2002-01-11,13.0600004196167
2002-01-14,12.725000381469727
2002-01-15,12.949999809265137
2002-01-16,12.710000038146973
2002-01-17,12.875
2002-01-18,12.555000305175781
2002-01-22,12.725000381469727
2002-01-23,12.944999694824219
2002-01-24,12.954999923706055
2002-01-25,12.954999923706055
2002-01-28,13.024999618530273
2002-01-29,12.954999923706055
2002-01-30,13.074999809265137
2002-01-31,13.100000381469727
2002-02-01,13.59000015258789
2002-02-04,13.225000381469727
2002-02-05,13.244999885559082
2002-02-06,13.234999656677246
2002-02-07,13.274999618530273
2002-02-08,13.404999732971191
2002-02-11,13.404999732971191
2002-02-12,13.545000076293945
2002-02-13,13.595000267028809
2002-02-14,13.635000228881836
2002-02-15,13.930000305175781
2002-02-19,14.0
2002-02-20,14.385000228881836
2002-02-21,14.5649995803833
2002-02-22,14.25
2002-02-25,14.324999809265137
2002-02-26,14.324999809265137
2002-02-27,14.375
2002-02-28,14.475000381469727
2002-03-01,14.550000190734863
2002-03-04,14.71500015258789
2002-03-05,14.555000305175781
2002-03-06,14.600000381469727
2002-03-07,14.545000076293945
2002-03-08,14.609999656677246
2002-03-11,14.3100004196167
2002-03-12,14.140000343322754
2002-03-13,14.350000381469727
2002-03-14,14.454999923706055
2002-03-15,14.505000114440918
2002-03-18,14.739999771118164
2002-03-19,14.795000076293945
2002-03-20,14.78499984741211
2002-03-21,14.850000381469727
2002-03-22,14.34000015258789
2002-03-25,14.479999542236328
2002-03-26,14.524999618530273
2002-03-27,14.5600004196167
2002-03-28,14.645000457763672
2002-04-01,14.5
2002-04-02,14.574999809265137
2002-04-03,14.600000381469727
2002-04-04,14.699999809265137
2002-04-05,14.619999885559082
2002-04-08,14.694999694824219
2002-04-09,14.854999542236328
2002-04-10,15.095000267028809
2002-04-11,16.329999923706055
2002-04-12,17.170000076293945
2002-04-15,17.524999618530273
2002-04-16,17.5
2002-04-17,17.5049991607666
2002-04-18,17.5
2002-04-19,17.68000030517578
2002-04-22,17.860000610351562
2002-04-23,17.899999618530273
2002-04-24,17.78499984741211
2002-04-25,17.825000762939453
2002-04-26,17.725000381469727
2002-04-29,17.719999313354492
2002-04-30,17.899999618530273
2002-05-01,18.219999313354492
2002-05-02,18.725000381469727
2002-05-03,18.7450008392334
2002-05-06,18.334999084472656
2002-05-07,17.989999771118164
2002-05-08,18.0
2002-05-09,17.760000228881836
2002-05-10,17.56999969482422
2002-05-13,17.4950008392334
2002-05-14,17.5
2002-05-15,17.399999618530273
2002-05-16,17.260000228881836
2002-05-17,17.100000381469727
2002-05-20,16.84000015258789
2002-05-21,16.149999618530273
2002-05-22,16.579999923706055
2002-05-23,16.860000610351562
2002-05-24,16.524999618530273
2002-05-28,16.25
2002-05-29,16.450000762939453
2002-05-30,16.725000381469727
2002-05-31,16.885000228881836
2002-06-03,16.985000610351562
2002-06-04,16.44499969482422
2002-06-05,16.6299991607666
2002-06-06,16.530000686645508
2002-06-07,16.55500030517578
2002-06-10,16.649999618530273
2002-06-11,16.6299991607666
2002-06-12,16.600000381469727
2002-06-13,16.05500030517578
2002-06-14,16.075000762939453
2002-06-17,16.325000762939453
2002-06-18,16.424999237060547
2002-06-19,16.0
2002-06-20,15.829999923706055
2002-06-21,15.859999656677246
2002-06-24,16.895000457763672
2002-06-25,17.125
2002-06-26,17.2549991607666
2002-06-27,18.024999618530273
2002-06-28,17.260000228881836
2002-07-01,17.200000762939453
2002-07-02,17.614999771118164
2002-07-03,17.06999969482422
2002-07-05,17.649999618530273
2002-07-08,17.81999969482422
2002-07-09,17.44499969482422
2002-07-10,17.25
2002-07-11,17.719999313354492
2002-07-12,17.65999984741211
2002-07-15,18.065000534057617
2002-07-16,16.9950008392334
2002-07-17,16.915000915527344
2002-07-18,16.264999389648438
2002-07-19,15.994999885559082
2002-07-22,15.975000381469727
2002-07-23,15.949999809265137
2002-07-24,15.9399995803833
2002-07-25,15.954999923706055
2002-07-26,15.895000457763672
2002-07-29,17.4950008392334
2002-07-30,17.454999923706055
2002-07-31,17.295000076293945
2002-08-01,17.450000762939453
2002-08-02,17.469999313354492
2002-08-05,17.364999771118164
2002-08-06,17.149999618530273
2002-08-07,17.399999618530273
2002-08-08,17.524999618530273
2002-08-09,17.774999618530273
2002-08-12,18.25
2002-08-13,18.360000610351562
2002-08-14,18.5
2002-08-15,18.204999923706055
2002-08-16,18.420000076293945
2002-08-19,18.78499984741211
2002-08-20,18.549999237060547
2002-08-21,18.889999389648438
2002-08-22,18.354999542236328
2002-08-23,18.0
2002-08-26,18.149999618530273
2002-08-27,18.1299991607666
2002-08-28,18.0
2002-08-29,18.350000381469727
2002-08-30,18.125
2002-09-03,17.565000534057617
2002-09-04,17.475000381469727
2002-09-05,17.219999313354492
2002-09-06,17.274999618530273
2002-09-09,17.1200008392334
2002-09-10,16.274999618530273
2002-09-11,16.610000610351562
2002-09-12,16.329999923706055
2002-09-13,16.344999313354492
2002-09-16,15.994999885559082
2002-09-17,16.145000457763672
2002-09-18,15.75
2002-09-19,15.380000114440918
2002-09-20,15.479999542236328
2002-09-23,15.579999923706055
2002-09-24,15.550000190734863
2002-09-25,16.709999084472656
2002-09-26,17.1299991607666
2002-09-27,16.6200008392334
2002-09-30,16.8799991607666
2002-10-01,17.149999618530273
2002-10-02,16.905000686645508
2002-10-03,16.280000686645508
2002-10-04,15.635000228881836
2002-10-07,14.739999771118164
2002-10-08,14.835000038146973
2002-10-09,14.225000381469727
2002-10-10,14.994999885559082
2002-10-11,15.430000305175781
2002-10-14,16.0
2002-10-15,16.19499969482422
2002-10-16,16.03499984741211
2002-10-17,16.149999618530273
2002-10-18,16.739999771118164
2002-10-21,17.309999465942383
2002-10-22,16.639999389648438
2002-10-23,16.764999389648438
2002-10-24,16.875
2002-10-25,17.200000762939453
2002-10-28,17.049999237060547
2002-10-29,16.969999313354492
2002-10-30,17.174999237060547
2002-10-31,17.25
2002-11-01,17.389999389648438
2002-11-04,17.440000534057617
2002-11-05,17.424999237060547
2002-11-06,17.354999542236328
2002-11-07,16.149999618530273
2002-11-08,15.699999809265137
2002-11-11,15.40999984741211
2002-11-12,15.5600004196167
2002-11-13,15.864999771118164
2002-11-14,16.0049991607666
2002-11-15,16.459999084472656
2002-11-18,16.5
2002-11-19,16.940000534057617
2002-11-20,17.28499984741211
2002-11-21,17.7549991607666
2002-11-22,17.450000762939453
2002-11-25,17.485000610351562
2002-11-26,17.34000015258789
2002-11-27,17.549999237060547
2002-11-29,17.190000534057617
2002-12-02,17.405000686645508
2002-12-03,17.375
2002-12-04,17.510000228881836
2002-12-05,17.295000076293945
2002-12-06,17.4950008392334
2002-12-09,17.165000915527344
2002-12-10,17.46500015258789
2002-12-11,17.670000076293945
2002-12-12,17.655000686645508
2002-12-13,17.44499969482422
2002-12-16,17.540000915527344
2002-12-17,17.03499984741211
2002-12-18,16.764999389648438
2002-12-19,16.665000915527344
2002-12-20,17.34000015258789
2002-12-23,17.395000457763672
2002-12-24,17.395000457763672
2002-12-26,17.739999771118164
2002-12-27,17.924999237060547
2002-12-30,17.940000534057617
2002-12-31,18.040000915527344
2003-01-02,18.399999618530273
2003-01-03,18.065000534057617
2003-01-06,18.110000610351562
2003-01-07,18.434999465942383
2003-01-08,18.25
2003-01-09,18.5
2003-01-10,18.56999969482422
2003-01-13,18.825000762939453
2003-01-14,18.899999618530273
2003-01-15,19.0
2003-01-16,18.93000030517578
2003-01-17,19.0049991607666
2003-01-21,18.825000762939453
2003-01-22,18.65999984741211
2003-01-23,17.7450008392334
2003-01-24,17.295000076293945
2003-01-27,17.100000381469727
2003-01-28,17.274999618530273
2003-01-29,17.399999618530273
2003-01-30,17.34000015258789
2003-01-31,17.479999542236328
2003-02-03,17.264999389648438
2003-02-04,16.875
2003-02-05,16.84000015258789
2003-02-06,16.454999923706055
2003-02-07,15.994999885559082
2003-02-10,16.239999771118164
2003-02-11,16.0
2003-02-12,16.125
2003-02-13,16.415000915527344
2003-02-14,16.670000076293945
2003-02-18,16.674999237060547
2003-02-19,16.524999618530273
2003-02-20,16.565000534057617
2003-02-21,16.81999969482422
2003-02-24,16.344999313354492
2003-02-25,16.489999771118164
2003-02-26,16.2549991607666
2003-02-27,16.325000762939453
2003-02-28,16.625
2003-03-03,16.834999084472656
2003-03-04,16.65999984741211
2003-03-05,16.895000457763672
2003-03-06,16.799999237060547
2003-03-07,16.954999923706055
2003-03-10,16.510000228881836
2003-03-11,16.200000762939453
2003-03-12,15.880000114440918
2003-03-13,16.104999542236328
2003-03-14,15.694999694824219
2003-03-17,14.880000114440918
2003-03-18,15.4350004196167
2003-03-19,15.53499984741211
2003-03-20,15.9350004196167
2003-03-21,16.125
2003-03-24,15.585000038146973
2003-03-25,15.5649995803833
2003-03-26,15.444999694824219
2003-03-27,15.329999923706055
2003-03-28,15.5649995803833
2003-03-31,15.425000190734863
2003-04-01,15.520000457763672
2003-04-02,15.800000190734863
2003-04-03,15.585000038146973
2003-04-04,16.024999618530273
2003-04-07,16.145000457763672
2003-04-08,16.075000762939453
2003-04-09,15.770000457763672
2003-04-10,15.595000267028809
2003-04-11,15.524999618530273
2003-04-14,15.6899995803833
2003-04-15,15.755000114440918
2003-04-16,15.4350004196167
2003-04-17,16.389999389648438
2003-04-21,16.360000610351562
2003-04-22,16.75
2003-04-23,16.665000915527344
2003-04-24,16.700000762939453
2003-04-25,16.704999923706055
2003-04-28,16.489999771118164
2003-04-29,16.68000030517578
2003-04-30,16.93000030517578
2003-05-01,17.100000381469727
2003-05-02,17.510000228881836
