,AMRK
2016-08-18,16.969999313354492
2016-08-19,17.149999618530273
2016-08-22,17.020000457763672
2016-08-23,17.040000915527344
2016-08-24,16.81999969482422
2016-08-25,17.020000457763672
2016-08-26,17.040000915527344
2016-08-29,17.049999237060547
2016-08-30,16.920000076293945
2016-08-31,16.8700008392334
2016-09-01,17.079999923706055
2016-09-02,17.3799991607666
2016-09-06,17.56999969482422
2016-09-07,17.670000076293945
2016-09-08,17.190000534057617
2016-09-09,16.940000534057617
2016-09-12,16.920000076293945
2016-09-13,16.84000015258789
2016-09-14,17.170000076293945
2016-09-15,16.780000686645508
2016-09-16,16.290000915527344
2016-09-19,16.670000076293945
2016-09-20,16.56999969482422
2016-09-21,16.200000762939453
2016-09-22,15.8100004196167
2016-09-23,16.59000015258789
2016-09-26,16.049999237060547
2016-09-27,15.979999542236328
2016-09-28,16.059999465942383
2016-09-29,16.1299991607666
2016-09-30,16.049999237060547
2016-10-03,15.729999542236328
2016-10-04,15.4399995803833
2016-10-05,15.699999809265137
2016-10-06,15.630000114440918
2016-10-07,15.449999809265137
2016-10-10,15.399999618530273
2016-10-11,15.149999618530273
2016-10-12,15.40999984741211
2016-10-13,16.075000762939453
2016-10-14,15.960000038146973
2016-10-17,15.779999732971191
2016-10-18,15.489999771118164
2016-10-19,15.4399995803833
2016-10-20,15.300000190734863
2016-10-21,15.149999618530273
2016-10-24,15.220000267028809
2016-10-25,15.210000038146973
2016-10-26,15.1899995803833
2016-10-27,15.6899995803833
2016-10-28,15.029999732971191
2016-10-31,15.25
2016-11-01,15.399999618530273
2016-11-02,15.279999732971191
2016-11-03,15.180000305175781
2016-11-04,15.050000190734863
2016-11-07,15.420000076293945
2016-11-08,16.979999542236328
2016-11-09,17.850000381469727
2016-11-10,17.360000610351562
2016-11-11,17.049999237060547
2016-11-14,16.6299991607666
2016-11-15,16.5
2016-11-16,16.280000686645508
2016-11-17,16.200000762939453
2016-11-18,16.530000686645508
2016-11-21,16.280000686645508
2016-11-22,16.6299991607666
2016-11-23,16.610000610351562
2016-11-25,16.270000457763672
2016-11-28,16.549999237060547
2016-11-29,16.600000381469727
2016-11-30,16.360000610351562
2016-12-01,16.389999389648438
2016-12-02,16.790000915527344
2016-12-05,17.75
2016-12-06,18.239999771118164
2016-12-07,18.31999969482422
2016-12-08,17.979999542236328
2016-12-09,17.860000610351562
2016-12-12,17.559999465942383
2016-12-13,17.3700008392334
2016-12-14,17.549999237060547
2016-12-15,17.700000762939453
2016-12-16,17.770000457763672
2016-12-19,17.940000534057617
2016-12-20,18.610000610351562
2016-12-21,18.299999237060547
2016-12-22,18.350000381469727
2016-12-23,18.770000457763672
2016-12-27,18.860000610351562
2016-12-28,18.989999771118164
2016-12-29,18.979999542236328
2016-12-30,19.5
