,ETACU
2021-04-12,10.199999809265137
2021-04-13,10.260000228881836
2021-04-14,10.239999771118164
2021-04-15,10.050000190734863
2021-04-16,10.097000122070312
2021-04-19,10.100000381469727
2021-04-20,10.145000457763672
2021-04-21,10.260000228881836
2021-04-22,10.140000343322754
2021-04-23,10.149999618530273
2021-04-26,10.145000457763672
2021-04-27,10.0600004196167
2021-04-28,10.029999732971191
2021-04-29,10.0600004196167
2021-04-30,10.039999961853027
2021-05-03,10.069999694824219
2021-05-04,10.069999694824219
2021-05-05,10.069999694824219
2021-05-06,10.050000190734863
2021-05-07,10.029999732971191
2021-05-10,10.079999923706055
2021-05-11,10.045000076293945
2021-05-12,10.029999732971191
2021-05-13,10.050000190734863
2021-05-14,10.050000190734863
