,APTO
1992-08-04,765.0
1992-08-05,765.0
1992-08-06,765.0
1992-08-07,765.0
1992-08-10,765.0
1992-08-11,585.0
1992-08-12,585.0
1992-08-13,585.0
1992-08-14,585.0
1992-08-17,585.0
1992-08-18,585.0
1992-08-19,585.0
1992-08-20,585.0
1992-08-21,720.0
1992-08-24,675.0
1992-08-25,675.0
1992-08-26,675.0
1992-08-27,720.0
1992-08-28,495.0
1992-08-31,495.0
1992-09-01,495.0
1992-09-02,495.0
1992-09-03,495.0
1992-09-04,495.0
1992-09-08,495.0
1992-09-09,495.0
1992-09-10,495.0
1992-09-11,495.0
1992-09-14,495.0
1992-09-15,495.0
1992-09-16,495.0
1992-09-17,495.0
1992-09-18,573.75
1992-09-21,573.75
1992-09-22,573.75
1992-09-23,573.75
1992-09-24,573.75
1992-09-25,573.75
1992-09-28,630.0
1992-09-29,652.5
1992-09-30,652.5
1992-10-01,652.5
1992-10-02,652.5
1992-10-05,652.5
1992-10-06,450.0
1992-10-07,450.0
1992-10-08,450.0
1992-10-09,450.0
1992-10-12,450.0
1992-10-13,450.0
1992-10-14,450.0
1992-10-15,450.0
1992-10-16,450.0
1992-10-19,450.0
1992-10-20,450.0
1992-10-21,450.0
1992-10-22,450.0
1992-10-23,450.0
1992-10-26,450.0
1992-10-27,450.0
1992-10-28,450.0
1992-10-29,450.0
1992-10-30,450.0
1992-11-02,450.0
1992-11-03,450.0
1992-11-04,450.0
1992-11-05,450.0
1992-11-06,765.0
1992-11-09,765.0
1992-11-10,765.0
1992-11-11,765.0
1992-11-12,697.5
1992-11-13,697.5
1992-11-16,697.5
1992-11-17,697.5
1992-11-18,697.5
1992-11-19,697.5
1992-11-20,697.5
1992-11-23,697.5
1992-11-24,697.5
1992-11-25,697.5
1992-11-27,798.75
1992-11-30,798.75
1992-12-01,798.75
1992-12-02,798.75
1992-12-03,798.75
1992-12-04,798.75
1992-12-07,798.75
1992-12-08,1080.0
1992-12-09,1035.0
1992-12-10,1158.75
1992-12-11,1102.5
1992-12-14,1102.5
1992-12-15,1023.75
1992-12-16,1125.0
1992-12-17,1125.0
1992-12-18,1170.0
1992-12-21,1271.25
1992-12-22,1271.25
1992-12-23,1293.75
1992-12-24,1485.0
1992-12-28,1395.0
1992-12-29,1383.75
1992-12-30,1383.75
1992-12-31,1383.75
1993-01-04,1383.75
1993-01-05,1383.75
1993-01-06,1383.75
1993-01-07,1383.75
1993-01-08,1271.25
1993-01-11,1350.0
1993-01-12,1350.0
1993-01-13,1260.0
1993-01-14,1260.0
1993-01-15,1192.5
1993-01-18,1203.75
1993-01-19,1203.75
1993-01-20,1203.75
1993-01-21,1203.75
1993-01-22,1181.25
1993-01-25,1215.0
1993-01-26,1215.0
1993-01-27,1305.0
1993-01-28,1372.5
1993-01-29,1530.0
1993-02-01,1620.0
1993-02-02,1608.75
1993-02-03,1620.0
1993-02-04,1260.0
1993-02-05,1338.75
1993-02-08,1440.0
1993-02-09,1440.0
1993-02-10,1440.0
1993-02-11,1282.5
1993-02-12,1215.0
1993-02-16,1215.0
1993-02-17,1260.0
1993-02-18,1260.0
1993-02-19,1068.75
1993-02-22,1068.75
1993-02-23,1068.75
1993-02-24,1068.75
1993-02-25,1057.5
1993-02-26,1057.5
1993-03-01,1113.75
1993-03-02,990.0
1993-03-03,990.0
1993-03-04,990.0
1993-03-05,1001.25
1993-03-08,1001.25
1993-03-09,1001.25
1993-03-10,1001.25
1993-03-11,1001.25
1993-03-12,1001.25
1993-03-15,1001.25
1993-03-16,1125.0
1993-03-17,1125.0
1993-03-18,1125.0
1993-03-19,1125.0
1993-03-22,1125.0
1993-03-23,1125.0
1993-03-24,1080.0
1993-03-25,1080.0
1993-03-26,978.75
1993-03-29,978.75
1993-03-30,978.75
1993-03-31,978.75
1993-04-01,978.75
1993-04-02,978.75
1993-04-05,978.75
1993-04-06,978.75
1993-04-07,978.75
1993-04-08,978.75
1993-04-12,978.75
1993-04-13,978.75
1993-04-14,978.75
1993-04-15,978.75
1993-04-16,978.75
1993-04-19,978.75
1993-04-20,978.75
1993-04-21,945.0
1993-04-22,945.0
1993-04-23,945.0
1993-04-26,945.0
1993-04-27,945.0
1993-04-28,945.0
1993-04-29,945.0
1993-04-30,1012.5
1993-05-03,1012.5
1993-05-04,1012.5
1993-05-05,1012.5
1993-05-06,1012.5
1993-05-07,945.0
1993-05-10,945.0
1993-05-11,945.0
1993-05-12,900.0
1993-05-13,810.0
1993-05-14,810.0
1993-05-17,810.0
1993-05-18,821.25
1993-05-19,821.25
1993-05-20,821.25
1993-05-21,821.25
1993-05-24,821.25
1993-05-25,821.25
1993-05-26,821.25
1993-05-27,990.0
1993-05-28,990.0
1993-06-01,911.25
1993-06-02,911.25
1993-06-03,1035.0
1993-06-04,978.75
1993-06-07,978.75
1993-06-08,978.75
1993-06-09,978.75
1993-06-10,978.75
1993-06-11,978.75
1993-06-14,945.0
1993-06-15,945.0
1993-06-16,945.0
1993-06-17,945.0
1993-06-18,945.0
1993-06-21,855.0
1993-06-22,855.0
1993-06-23,1035.0
1993-06-24,1035.0
1993-06-25,1035.0
1993-06-28,1035.0
1993-06-29,922.5
1993-06-30,922.5
1993-07-01,922.5
1993-07-02,922.5
1993-07-06,922.5
1993-07-07,922.5
1993-07-08,720.0
1993-07-09,720.0
1993-07-12,720.0
1993-07-13,720.0
1993-07-14,720.0
1993-07-15,720.0
1993-07-16,630.0
1993-07-19,630.0
1993-07-20,630.0
1993-07-21,630.0
1993-07-22,630.0
1993-07-23,630.0
1993-07-26,630.0
1993-07-27,630.0
1993-07-28,630.0
1993-07-29,630.0
1993-07-30,630.0
1993-08-02,630.0
1993-08-03,630.0
1993-08-04,630.0
1993-08-05,630.0
1993-08-06,585.0
1993-08-09,675.0
1993-08-10,675.0
1993-08-11,675.0
1993-08-12,675.0
1993-08-13,675.0
1993-08-16,675.0
1993-08-17,675.0
1993-08-18,675.0
1993-08-19,675.0
1993-08-20,630.0
1993-08-23,652.5
1993-08-24,675.0
1993-08-25,675.0
1993-08-26,675.0
1993-08-27,675.0
1993-08-30,675.0
1993-08-31,776.25
1993-09-01,776.25
1993-09-02,776.25
1993-09-03,776.25
1993-09-07,776.25
1993-09-08,776.25
1993-09-09,776.25
1993-09-10,765.0
1993-09-13,765.0
1993-09-14,765.0
1993-09-15,765.0
1993-09-16,675.0
1993-09-17,675.0
1993-09-20,832.5
1993-09-21,832.5
1993-09-22,832.5
1993-09-23,765.0
1993-09-24,765.0
1993-09-27,720.0
1993-09-28,720.0
1993-09-29,720.0
1993-09-30,720.0
1993-10-01,720.0
1993-10-04,720.0
1993-10-05,720.0
1993-10-06,720.0
1993-10-07,720.0
1993-10-08,720.0
1993-10-11,720.0
1993-10-12,866.25
1993-10-13,866.25
1993-10-14,866.25
1993-10-15,866.25
1993-10-18,866.25
1993-10-19,866.25
1993-10-20,866.25
1993-10-21,866.25
1993-10-22,866.25
1993-10-25,866.25
1993-10-26,866.25
1993-10-27,866.25
1993-10-28,866.25
1993-10-29,821.25
1993-11-01,821.25
1993-11-02,821.25
1993-11-03,821.25
1993-11-04,821.25
1993-11-05,821.25
1993-11-08,821.25
1993-11-09,821.25
1993-11-10,821.25
1993-11-11,821.25
1993-11-12,821.25
1993-11-15,821.25
1993-11-16,821.25
1993-11-17,821.25
1993-11-18,821.25
1993-11-19,821.25
1993-11-22,821.25
1993-11-23,900.0
1993-11-24,900.0
1993-11-26,900.0
1993-11-29,900.0
1993-11-30,900.0
1993-12-01,900.0
1993-12-02,810.0
1993-12-03,810.0
1993-12-06,810.0
1993-12-07,810.0
1993-12-08,810.0
1993-12-09,810.0
1993-12-10,810.0
1993-12-13,810.0
1993-12-14,810.0
1993-12-15,810.0
1993-12-16,810.0
1993-12-17,810.0
1993-12-20,810.0
1993-12-21,810.0
1993-12-22,731.25
1993-12-23,753.75
1993-12-27,810.0
1993-12-28,787.5
1993-12-29,787.5
1993-12-30,787.5
1993-12-31,787.5
1994-01-03,787.5
1994-01-04,720.0
1994-01-05,810.0
1994-01-06,810.0
1994-01-07,810.0
1994-01-10,810.0
1994-01-11,810.0
1994-01-12,810.0
1994-01-13,810.0
1994-01-14,810.0
1994-01-17,810.0
1994-01-18,810.0
1994-01-19,810.0
1994-01-20,810.0
1994-01-21,810.0
1994-01-24,810.0
1994-01-25,810.0
1994-01-26,810.0
1994-01-27,810.0
1994-01-28,810.0
1994-01-31,697.5
1994-02-01,697.5
1994-02-02,697.5
1994-02-03,697.5
1994-02-04,630.0
1994-02-07,540.0
1994-02-08,697.5
1994-02-09,697.5
1994-02-10,697.5
1994-02-11,585.0
1994-02-14,585.0
1994-02-15,720.0
1994-02-16,945.0
1994-02-17,866.25
1994-02-18,866.25
1994-02-22,866.25
1994-02-23,810.0
1994-02-24,810.0
1994-02-25,810.0
1994-02-28,900.0
1994-03-01,787.5
1994-03-02,787.5
1994-03-03,787.5
1994-03-04,630.0
1994-03-07,630.0
1994-03-08,630.0
1994-03-09,630.0
1994-03-10,630.0
1994-03-11,900.0
1994-03-14,900.0
1994-03-15,630.0
1994-03-16,630.0
1994-03-17,697.5
1994-03-18,697.5
1994-03-21,697.5
1994-03-22,630.0
1994-03-23,630.0
1994-03-24,630.0
1994-03-25,630.0
1994-03-28,630.0
1994-03-29,630.0
1994-03-30,630.0
1994-03-31,630.0
1994-04-04,630.0
1994-04-05,720.0
1994-04-06,720.0
1994-04-07,630.0
1994-04-08,630.0
1994-04-11,630.0
1994-04-12,630.0
1994-04-13,630.0
1994-04-14,630.0
1994-04-15,630.0
1994-04-18,630.0
1994-04-19,540.0
1994-04-20,540.0
1994-04-21,540.0
1994-04-22,540.0
1994-04-25,540.0
1994-04-26,540.0
1994-04-28,540.0
1994-04-29,540.0
1994-05-02,540.0
1994-05-03,540.0
1994-05-04,540.0
1994-05-05,540.0
1994-05-06,540.0
1994-05-09,630.0
1994-05-10,630.0
1994-05-11,630.0
1994-05-12,630.0
1994-05-13,630.0
1994-05-16,540.0
1994-05-17,540.0
1994-05-18,540.0
1994-05-19,540.0
1994-05-20,540.0
1994-05-23,540.0
1994-05-24,540.0
1994-05-25,540.0
1994-05-26,540.0
1994-05-27,540.0
1994-05-31,540.0
1994-06-01,540.0
1994-06-02,540.0
1994-06-03,540.0
1994-06-06,540.0
1994-06-07,540.0
1994-06-08,540.0
1994-06-09,540.0
1994-06-10,540.0
1994-06-13,540.0
1994-06-14,540.0
1994-06-15,540.0
1994-06-16,540.0
1994-06-17,540.0
1994-06-20,540.0
1994-06-21,540.0
1994-06-22,540.0
1994-06-23,540.0
1994-06-24,540.0
1994-06-27,540.0
1994-06-28,540.0
1994-06-29,450.0
1994-06-30,450.0
1994-07-01,450.0
1994-07-05,450.0
1994-07-06,450.0
1994-07-07,450.0
1994-07-08,450.0
1994-07-11,450.0
1994-07-12,450.0
1994-07-13,450.0
1994-07-14,495.0
1994-07-15,450.0
1994-07-18,450.0
1994-07-19,450.0
1994-07-20,506.25
1994-07-21,506.25
1994-07-22,506.25
1994-07-25,506.25
1994-07-26,450.0
1994-07-27,450.0
1994-07-28,450.0
1994-07-29,450.0
1994-08-01,450.0
1994-08-02,450.0
1994-08-03,450.0
1994-08-04,450.0
1994-08-05,450.0
1994-08-08,450.0
1994-08-09,450.0
1994-08-10,450.0
1994-08-11,450.0
1994-08-12,450.0
1994-08-15,540.0
1994-08-16,534.375
1994-08-17,534.375
1994-08-18,534.375
1994-08-19,534.375
1994-08-22,495.0
1994-08-23,495.0
1994-08-24,495.0
1994-08-25,495.0
1994-08-26,495.0
1994-08-29,495.0
1994-08-30,495.0
1994-08-31,495.0
1994-09-01,495.0
1994-09-02,495.0
1994-09-06,450.0
1994-09-07,506.25
1994-09-08,506.25
1994-09-09,506.25
1994-09-12,506.25
1994-09-13,506.25
1994-09-14,506.25
1994-09-15,506.25
1994-09-16,506.25
1994-09-19,506.25
1994-09-20,506.25
1994-09-21,506.25
1994-09-22,506.25
1994-09-23,506.25
1994-09-26,506.25
1994-09-27,506.25
1994-09-28,506.25
1994-09-29,506.25
1994-09-30,506.25
1994-10-03,506.25
1994-10-04,506.25
1994-10-05,506.25
1994-10-06,506.25
1994-10-07,506.25
1994-10-10,506.25
1994-10-11,506.25
1994-10-12,360.0
1994-10-13,337.5
1994-10-14,337.5
1994-10-17,337.5
1994-10-18,337.5
1994-10-19,337.5
1994-10-20,337.5
1994-10-21,337.5
1994-10-24,337.5
1994-10-25,337.5
1994-10-26,337.5
1994-10-27,337.5
1994-10-28,270.0
1994-10-31,270.0
1994-11-01,270.0
1994-11-02,270.0
1994-11-03,270.0
1994-11-04,270.0
1994-11-07,270.0
1994-11-08,270.0
1994-11-09,270.0
1994-11-10,270.0
1994-11-11,270.0
1994-11-14,225.0
1994-11-15,225.0
1994-11-16,225.0
1994-11-17,225.0
1994-11-18,180.0
1994-11-21,180.0
1994-11-22,180.0
1994-11-23,180.0
1994-11-25,180.0
1994-11-28,180.0
1994-11-29,180.0
1994-11-30,180.0
1994-12-01,225.0
1994-12-02,225.0
1994-12-05,225.0
1994-12-06,225.0
1994-12-07,225.0
1994-12-08,225.0
1994-12-09,225.0
1994-12-12,225.0
1994-12-13,225.0
1994-12-14,185.625
1994-12-15,185.625
1994-12-16,185.625
1994-12-19,185.625
1994-12-20,185.625
1994-12-21,270.0
1994-12-22,270.0
1994-12-23,270.0
1994-12-27,270.0
1994-12-28,270.0
1994-12-29,343.125
1994-12-30,343.125
1995-01-03,343.125
1995-01-04,343.125
1995-01-05,343.125
1995-01-06,343.125
1995-01-09,343.125
1995-01-10,343.125
1995-01-11,371.25
1995-01-12,371.25
1995-01-13,371.25
1995-01-16,371.25
1995-01-17,371.25
1995-01-18,371.25
1995-01-19,371.25
1995-01-20,371.25
1995-01-23,371.25
1995-01-24,371.25
1995-01-25,371.25
1995-01-26,371.25
1995-01-27,371.25
1995-01-30,371.25
1995-01-31,371.25
1995-02-01,371.25
1995-02-02,371.25
1995-02-03,371.25
1995-02-06,371.25
1995-02-07,371.25
1995-02-08,371.25
1995-02-09,371.25
1995-02-10,371.25
1995-02-13,371.25
1995-02-14,371.25
1995-02-15,371.25
1995-02-16,371.25
1995-02-17,371.25
1995-02-21,241.875
1995-02-22,241.875
1995-02-23,241.875
1995-02-24,241.875
1995-02-27,241.875
1995-02-28,241.875
1995-03-01,241.875
1995-03-02,241.875
1995-03-03,241.875
1995-03-06,241.875
1995-03-07,241.875
1995-03-08,241.875
1995-03-09,241.875
1995-03-10,241.875
1995-03-13,241.875
1995-03-14,241.875
1995-03-15,241.875
1995-03-16,241.875
1995-03-17,241.875
1995-03-20,241.875
1995-03-21,241.875
1995-03-22,241.875
1995-03-23,241.875
1995-03-24,315.0
1995-03-27,315.0
1995-03-28,315.0
1995-03-29,315.0
1995-03-30,315.0
1995-03-31,315.0
1995-04-03,315.0
1995-04-04,315.0
1995-04-05,315.0
1995-04-06,315.0
1995-04-07,360.0
1995-04-10,360.0
1995-04-11,360.0
1995-04-12,360.0
1995-04-13,360.0
1995-04-17,360.0
1995-04-18,360.0
1995-04-19,360.0
1995-04-20,360.0
1995-04-21,360.0
1995-04-24,360.0
1995-04-25,360.0
1995-04-26,360.0
1995-04-27,360.0
1995-04-28,360.0
1995-05-01,360.0
1995-05-02,427.5
1995-05-03,427.5
1995-05-04,427.5
1995-05-05,427.5
1995-05-08,427.5
1995-05-09,427.5
1995-05-10,405.0
1995-05-11,405.0
1995-05-12,405.0
1995-05-15,405.0
1995-05-16,405.0
1995-05-17,405.0
1995-05-18,405.0
1995-05-19,405.0
1995-05-22,405.0
1995-05-23,405.0
1995-05-24,405.0
1995-05-25,405.0
1995-05-26,405.0
1995-05-30,405.0
1995-05-31,405.0
1995-06-01,303.75
1995-06-02,303.75
1995-06-05,303.75
1995-06-06,303.75
1995-06-07,303.75
1995-06-08,303.75
1995-06-09,303.75
1995-06-12,303.75
1995-06-13,303.75
1995-06-14,303.75
1995-06-15,303.75
1995-06-16,303.75
1995-06-19,303.75
1995-06-20,303.75
1995-06-21,303.75
1995-06-22,303.75
1995-06-23,303.75
1995-06-26,303.75
1995-06-27,303.75
1995-06-28,303.75
1995-06-29,303.75
1995-06-30,225.0
1995-07-03,225.0
1995-07-05,225.0
1995-07-06,180.0
1995-07-07,180.0
1995-07-10,225.0
1995-07-11,225.0
1995-07-12,225.0
1995-07-13,225.0
1995-07-14,225.0
1995-07-17,225.0
1995-07-18,225.0
1995-07-19,135.0
1995-07-20,135.0
1995-07-21,135.0
1995-07-24,135.0
1995-07-25,135.0
1995-07-26,135.0
1995-07-27,157.5
1995-07-28,157.5
1995-07-31,157.5
1995-08-01,157.5
1995-08-02,157.5
1995-08-03,157.5
1995-08-04,157.5
1995-08-07,157.5
1995-08-08,157.5
1995-08-09,157.5
1995-08-10,157.5
1995-08-11,196.875
1995-08-14,225.0
1995-08-15,225.0
1995-08-16,225.0
1995-08-17,225.0
1995-08-18,225.0
1995-08-21,225.0
1995-08-22,225.0
1995-08-23,225.0
1995-08-24,225.0
1995-08-25,225.0
1995-08-28,225.0
1995-08-29,225.0
1995-08-30,225.0
1995-08-31,225.0
1995-09-01,225.0
1995-09-05,225.0
1995-09-06,225.0
1995-09-07,225.0
1995-09-08,225.0
1995-09-11,225.0
1995-09-12,225.0
1995-09-13,225.0
1995-09-14,225.0
1995-09-15,225.0
1995-09-18,225.0
1995-09-19,225.0
1995-09-20,270.0
1995-09-21,258.75
1995-09-22,258.75
1995-09-25,258.75
1995-09-26,258.75
1995-09-27,258.75
1995-09-28,270.0
1995-09-29,270.0
1995-10-02,270.0
1995-10-03,270.0
1995-10-04,270.0
1995-10-05,315.0
1995-10-06,315.0
1995-10-09,315.0
1995-10-10,315.0
1995-10-11,315.0
1995-10-12,315.0
1995-10-13,360.0
1995-10-16,360.0
1995-10-17,360.0
1995-10-18,360.0
1995-10-19,360.0
1995-10-20,360.0
1995-10-23,292.5
1995-10-24,292.5
1995-10-25,292.5
1995-10-26,292.5
1995-10-27,292.5
1995-10-30,292.5
1995-10-31,292.5
1995-11-01,292.5
1995-11-02,292.5
1995-11-03,292.5
1995-11-06,292.5
1995-11-07,292.5
1995-11-08,292.5
1995-11-09,292.5
1995-11-10,270.0
1995-11-13,270.0
1995-11-14,270.0
1995-11-15,270.0
1995-11-16,270.0
1995-11-17,270.0
1995-11-20,270.0
1995-11-21,225.0
1995-11-22,202.5
1995-11-24,230.625
1995-11-27,208.125
1995-11-28,208.125
1995-11-29,208.125
1995-11-30,208.125
1995-12-01,208.125
1995-12-04,163.125
1995-12-05,174.375
1995-12-06,174.375
1995-12-07,174.375
1995-12-08,174.375
1995-12-11,174.375
1995-12-12,174.375
1995-12-13,174.375
1995-12-14,174.375
1995-12-15,174.375
1995-12-18,174.375
1995-12-19,174.375
1995-12-20,174.375
1995-12-21,174.375
1995-12-22,174.375
1995-12-26,174.375
1995-12-27,174.375
1995-12-28,174.375
1995-12-29,202.5
1996-01-02,202.5
1996-01-03,202.5
1996-01-04,202.5
1996-01-05,202.5
1996-01-08,202.5
1996-01-09,202.5
1996-01-10,202.5
1996-01-11,241.875
1996-01-12,241.875
1996-01-15,241.875
1996-01-16,241.875
1996-01-17,241.875
1996-01-18,241.875
1996-01-19,191.25
1996-01-22,191.25
1996-01-23,191.25
1996-01-24,191.25
1996-01-25,191.25
1996-01-26,191.25
1996-01-29,191.25
1996-01-30,191.25
1996-01-31,191.25
1996-02-01,191.25
1996-02-02,191.25
1996-02-05,191.25
1996-02-06,191.25
1996-02-07,191.25
1996-02-08,191.25
1996-02-09,191.25
1996-02-12,191.25
1996-02-13,191.25
1996-02-14,191.25
1996-02-15,191.25
1996-02-16,191.25
1996-02-20,191.25
1996-02-21,191.25
1996-02-22,191.25
1996-02-23,191.25
1996-02-26,191.25
1996-02-27,191.25
1996-02-28,191.25
1996-02-29,247.5
1996-03-01,247.5
1996-03-04,225.0
1996-03-05,225.0
1996-03-06,225.0
1996-03-07,225.0
1996-03-08,225.0
1996-03-11,202.5
1996-03-12,202.5
1996-03-13,236.25
1996-03-14,236.25
1996-03-15,236.25
1996-03-18,236.25
1996-03-19,236.25
1996-03-20,236.25
1996-03-21,236.25
1996-03-22,236.25
1996-03-25,337.5
1996-03-26,326.25
1996-03-27,326.25
1996-03-28,326.25
1996-03-29,326.25
1996-04-01,326.25
1996-04-02,360.0
1996-04-03,360.0
1996-04-04,360.0
1996-04-08,360.0
1996-04-09,365.625
1996-04-10,315.0
1996-04-11,309.375
1996-04-12,326.25
1996-04-15,326.25
1996-04-16,326.25
1996-04-17,326.25
1996-04-18,281.25
1996-04-19,281.25
1996-04-22,281.25
1996-04-23,281.25
1996-04-24,281.25
1996-04-25,281.25
1996-04-26,292.5
1996-04-29,275.625
1996-04-30,337.5
1996-05-01,382.5
1996-05-02,382.5
1996-05-03,337.5
1996-05-06,450.0
1996-05-07,450.0
1996-05-08,450.0
1996-05-09,427.5
1996-05-10,348.75
1996-05-13,348.75
1996-05-14,427.5
1996-05-15,427.5
1996-05-16,427.5
1996-05-17,427.5
1996-05-20,450.0
1996-05-21,556.875
1996-05-22,585.0
1996-05-23,697.5
1996-05-24,607.5
1996-05-28,787.5
1996-05-29,742.5
1996-05-30,652.5
1996-05-31,652.5
1996-06-03,652.5
1996-06-04,573.75
1996-06-05,573.75
1996-06-06,573.75
1996-06-07,573.75
1996-06-10,573.75
1996-06-11,573.75
1996-06-12,573.75
1996-06-13,573.75
1996-06-14,573.75
1996-06-17,517.5
1996-06-18,427.5
1996-06-19,427.5
1996-06-20,427.5
1996-06-21,461.25
1996-06-24,461.25
1996-06-25,461.25
1996-06-26,461.25
1996-06-27,472.5
1996-06-28,472.5
1996-07-01,472.5
1996-07-02,444.375
1996-07-03,444.375
1996-07-05,444.375
1996-07-08,427.5
1996-07-09,427.5
1996-07-10,427.5
1996-07-11,337.5
1996-07-12,382.5
1996-07-15,382.5
1996-07-16,382.5
1996-07-17,337.5
1996-07-18,337.5
1996-07-19,337.5
1996-07-22,472.5
1996-07-23,472.5
1996-07-24,393.75
1996-07-25,393.75
1996-07-26,393.75
1996-07-29,393.75
1996-07-30,393.75
1996-07-31,399.375
1996-08-01,399.375
1996-08-02,399.375
1996-08-05,399.375
1996-08-06,399.375
1996-08-07,399.375
1996-08-08,399.375
1996-08-09,399.375
1996-08-12,382.5
1996-08-13,382.5
1996-08-14,315.0
1996-08-15,315.0
1996-08-16,315.0
1996-08-19,315.0
1996-08-20,315.0
1996-08-21,331.875
1996-08-22,331.875
1996-08-23,331.875
1996-08-26,331.875
1996-08-27,331.875
1996-08-28,331.875
1996-08-29,331.875
1996-08-30,331.875
1996-09-03,331.875
1996-09-04,331.875
1996-09-05,331.875
1996-09-06,331.875
1996-09-09,331.875
1996-09-10,331.875
1996-09-11,331.875
1996-09-12,331.875
1996-09-13,393.75
1996-09-16,444.375
1996-09-17,444.375
1996-09-18,444.375
1996-09-19,444.375
1996-09-20,444.375
1996-09-23,444.375
1996-09-24,444.375
1996-09-25,444.375
1996-09-26,444.375
1996-09-27,444.375
1996-09-30,382.5
1996-10-01,382.5
1996-10-02,382.5
1996-10-03,382.5
1996-10-04,382.5
1996-10-07,382.5
1996-10-08,382.5
1996-10-09,382.5
1996-10-10,382.5
1996-10-11,382.5
1996-10-14,382.5
1996-10-15,382.5
1996-10-16,382.5
1996-10-17,382.5
1996-10-18,382.5
1996-10-21,382.5
1996-10-22,292.5
1996-10-23,292.5
1996-10-24,292.5
1996-10-25,337.5
1996-10-28,315.0
1996-10-29,315.0
1996-10-30,315.0
1996-10-31,337.5
1996-11-01,376.875
1996-11-04,315.0
1996-11-05,315.0
1996-11-06,315.0
1996-11-07,337.5
1996-11-08,337.5
1996-11-11,337.5
1996-11-12,337.5
1996-11-13,337.5
1996-11-14,337.5
1996-11-15,337.5
1996-11-18,337.5
1996-11-19,337.5
1996-11-20,337.5
1996-11-21,337.5
1996-11-22,337.5
1996-11-25,360.0
1996-11-26,360.0
1996-11-27,360.0
1996-11-29,360.0
1996-12-02,360.0
1996-12-03,360.0
1996-12-04,360.0
1996-12-05,360.0
1996-12-06,326.25
1996-12-09,281.25
1996-12-10,281.25
1996-12-11,281.25
1996-12-12,281.25
1996-12-13,281.25
1996-12-16,281.25
1996-12-17,270.0
1996-12-18,270.0
1996-12-19,270.0
1996-12-20,270.0
1996-12-23,270.0
1996-12-24,270.0
1996-12-26,270.0
1996-12-27,270.0
1996-12-30,270.0
1996-12-31,270.0
1997-01-02,270.0
1997-01-03,270.0
1997-01-06,360.0
1997-01-07,331.875
1997-01-08,331.875
1997-01-09,331.875
1997-01-10,331.875
1997-01-13,331.875
1997-01-14,331.875
1997-01-15,331.875
1997-01-16,331.875
1997-01-17,331.875
1997-01-20,331.875
1997-01-21,331.875
1997-01-22,331.875
1997-01-23,360.0
1997-01-24,360.0
1997-01-27,360.0
1997-01-28,264.375
1997-01-29,264.375
1997-01-30,258.75
1997-01-31,258.75
1997-02-03,258.75
1997-02-04,247.5
1997-02-05,247.5
1997-02-06,343.125
1997-02-07,326.25
1997-02-10,326.25
1997-02-11,326.25
1997-02-12,326.25
1997-02-13,326.25
1997-02-14,326.25
1997-02-18,421.875
1997-02-19,382.5
1997-02-20,382.5
1997-02-21,382.5
1997-02-24,382.5
1997-02-25,382.5
1997-02-26,382.5
1997-02-27,416.25
1997-02-28,416.25
1997-03-03,416.25
1997-03-04,416.25
1997-03-05,416.25
1997-03-06,416.25
1997-03-07,416.25
1997-03-10,416.25
1997-03-11,382.5
