,MYI
1993-06-02,15.625
1993-06-03,15.75
1993-06-04,15.75
1993-06-07,15.625
1993-06-08,15.5
1993-06-09,15.5
1993-06-10,15.5
1993-06-11,15.25
1993-06-14,15.375
1993-06-15,15.375
1993-06-16,15.375
1993-06-17,15.5
1993-06-18,15.5
1993-06-21,15.5
1993-06-22,15.5
1993-06-23,15.5
1993-06-24,15.25
1993-06-25,15.25
1993-06-28,15.375
1993-06-29,15.625
1993-06-30,15.75
1993-07-01,16.0
1993-07-02,15.75
1993-07-06,16.0
1993-07-07,15.875
1993-07-08,15.875
1993-07-09,15.875
1993-07-12,15.875
1993-07-13,15.75
1993-07-14,15.625
1993-07-15,15.625
1993-07-16,15.75
1993-07-19,15.625
1993-07-20,15.5
1993-07-21,15.625
1993-07-22,15.5
1993-07-23,15.375
1993-07-26,15.5
1993-07-27,15.375
1993-07-28,15.5
1993-07-29,15.625
1993-07-30,15.5
1993-08-02,15.75
1993-08-03,15.875
1993-08-04,15.625
1993-08-05,15.75
1993-08-06,15.75
1993-08-09,15.75
1993-08-10,16.0
1993-08-11,15.75
1993-08-12,15.875
1993-08-13,15.875
1993-08-16,15.625
1993-08-17,16.0
1993-08-18,15.875
1993-08-19,15.75
1993-08-20,15.75
1993-08-23,15.875
1993-08-24,16.0
1993-08-25,16.0
1993-08-26,16.0
1993-08-27,16.0
1993-08-30,15.75
1993-08-31,16.25
1993-09-01,16.5
1993-09-02,16.5
1993-09-03,16.5
1993-09-07,16.375
1993-09-08,16.25
1993-09-09,16.125
1993-09-10,16.125
1993-09-13,16.0
1993-09-14,16.125
1993-09-15,16.0
1993-09-16,15.75
1993-09-17,15.625
1993-09-20,15.875
1993-09-21,15.875
1993-09-22,16.0
1993-09-23,16.125
1993-09-24,16.0
1993-09-27,16.25
1993-09-28,16.375
1993-09-29,16.25
1993-09-30,16.375
1993-10-01,16.5
1993-10-04,16.5
1993-10-05,16.5
1993-10-06,16.5
1993-10-07,16.5
1993-10-08,16.625
1993-10-11,16.625
1993-10-12,16.5
1993-10-13,16.5
1993-10-14,16.375
1993-10-15,16.25
1993-10-18,15.875
1993-10-19,15.875
1993-10-20,16.125
1993-10-21,16.125
1993-10-22,16.125
1993-10-25,16.125
1993-10-26,16.125
1993-10-27,16.125
1993-10-28,16.125
1993-10-29,15.875
1993-11-01,16.375
1993-11-02,16.375
1993-11-03,16.5
1993-11-04,16.0
1993-11-05,15.875
1993-11-08,16.0
1993-11-09,16.25
1993-11-10,16.125
1993-11-11,15.875
1993-11-12,15.75
1993-11-15,15.625
1993-11-16,15.625
1993-11-17,15.5
1993-11-18,15.625
1993-11-19,15.5
1993-11-22,15.25
1993-11-23,15.25
1993-11-24,15.375
1993-11-26,15.25
1993-11-29,15.25
1993-11-30,15.25
1993-12-01,15.625
1993-12-02,15.875
1993-12-03,15.875
1993-12-06,16.0
1993-12-07,15.625
1993-12-08,15.625
1993-12-09,15.625
1993-12-10,15.375
1993-12-13,15.5
1993-12-14,15.0
1993-12-15,15.125
1993-12-16,15.25
1993-12-17,15.125
1993-12-20,15.0
1993-12-21,15.375
1993-12-22,15.25
1993-12-23,15.75
1993-12-27,15.75
1993-12-28,15.875
1993-12-29,16.0
1993-12-30,15.875
1993-12-31,15.875
1994-01-03,15.875
1994-01-04,16.125
1994-01-05,16.25
1994-01-06,16.375
1994-01-07,16.25
1994-01-10,16.25
1994-01-11,16.375
1994-01-12,16.375
1994-01-13,16.25
1994-01-14,16.125
1994-01-17,16.0
1994-01-18,16.0
1994-01-19,16.25
1994-01-20,16.25
1994-01-21,16.125
1994-01-24,16.0
1994-01-25,16.0
1994-01-26,16.0
1994-01-27,16.0
1994-01-28,15.875
1994-01-31,16.0
1994-02-01,16.25
1994-02-02,16.125
1994-02-03,16.125
1994-02-04,15.875
1994-02-07,15.75
1994-02-08,15.5
1994-02-09,15.5
1994-02-10,15.375
1994-02-11,15.375
1994-02-14,15.375
1994-02-15,15.375
1994-02-16,15.375
1994-02-17,15.0
1994-02-18,14.75
1994-02-22,14.25
1994-02-23,14.75
1994-02-24,14.5
1994-02-25,14.625
1994-02-28,14.75
1994-03-01,14.5
1994-03-02,14.875
1994-03-03,14.875
1994-03-04,15.0
1994-03-07,14.875
1994-03-08,15.0
1994-03-09,14.875
1994-03-10,14.5
1994-03-11,14.625
1994-03-14,14.5
1994-03-15,14.5
1994-03-16,14.375
1994-03-17,14.375
1994-03-18,14.125
1994-03-21,14.25
1994-03-22,14.5
1994-03-23,14.375
1994-03-24,14.125
1994-03-25,14.25
1994-03-28,14.125
1994-03-29,13.875
1994-03-30,13.75
1994-03-31,13.75
1994-04-04,13.375
1994-04-05,13.875
1994-04-06,13.875
1994-04-07,14.125
1994-04-08,14.0
1994-04-11,14.0
1994-04-12,14.0
1994-04-13,13.75
1994-04-14,13.75
1994-04-15,13.75
1994-04-18,13.375
1994-04-19,13.5
1994-04-20,13.5
1994-04-21,13.75
1994-04-22,13.5
1994-04-25,13.5
1994-04-26,13.375
1994-04-28,13.25
1994-04-29,13.5
1994-05-02,13.625
1994-05-03,13.625
1994-05-04,13.625
1994-05-05,13.5
1994-05-06,13.25
1994-05-09,13.0
1994-05-10,13.125
1994-05-11,13.125
1994-05-12,13.375
1994-05-13,13.5
1994-05-16,13.375
1994-05-17,13.5
1994-05-18,13.625
1994-05-19,13.625
1994-05-20,13.625
1994-05-23,13.375
1994-05-24,13.5
1994-05-25,13.375
1994-05-26,13.375
1994-05-27,13.125
1994-05-31,13.375
1994-06-01,13.5
1994-06-02,13.625
1994-06-03,13.625
1994-06-06,13.5
1994-06-07,13.75
1994-06-08,13.875
1994-06-09,13.875
1994-06-10,13.875
1994-06-13,13.875
1994-06-14,13.75
1994-06-15,13.875
1994-06-16,13.875
1994-06-17,13.75
1994-06-20,13.625
1994-06-21,13.5
1994-06-22,13.5
1994-06-23,13.375
1994-06-24,13.5
1994-06-27,13.5
1994-06-28,13.5
1994-06-29,13.625
1994-06-30,13.625
1994-07-01,13.75
1994-07-05,13.875
1994-07-06,13.75
1994-07-07,14.0
1994-07-08,13.75
1994-07-11,13.75
1994-07-12,13.875
1994-07-13,13.75
1994-07-14,13.875
1994-07-15,13.875
1994-07-18,13.75
1994-07-19,13.875
1994-07-20,13.5
1994-07-21,13.375
1994-07-22,13.25
1994-07-25,13.375
1994-07-26,13.25
1994-07-27,13.375
1994-07-28,13.25
1994-07-29,13.625
1994-08-01,13.75
1994-08-02,13.75
1994-08-03,13.75
1994-08-04,13.625
1994-08-05,13.5
1994-08-08,13.625
1994-08-09,13.5
1994-08-10,13.25
1994-08-11,13.125
1994-08-12,13.375
1994-08-15,13.125
1994-08-16,13.0
1994-08-17,13.25
1994-08-18,13.375
1994-08-19,13.25
1994-08-22,13.125
1994-08-23,12.875
1994-08-24,12.875
1994-08-25,12.75
1994-08-26,13.0
1994-08-29,13.0
1994-08-30,13.125
1994-08-31,13.25
1994-09-01,13.25
1994-09-02,13.25
1994-09-06,13.25
1994-09-07,13.125
1994-09-08,13.0
1994-09-09,12.875
1994-09-12,12.625
1994-09-13,12.375
1994-09-14,12.5
1994-09-15,12.375
1994-09-16,12.25
1994-09-19,12.25
1994-09-20,12.25
1994-09-21,12.25
1994-09-22,12.125
1994-09-23,12.125
1994-09-26,12.25
1994-09-27,12.125
1994-09-28,12.625
1994-09-29,12.375
1994-09-30,12.375
1994-10-03,12.375
1994-10-04,12.375
1994-10-05,12.0
1994-10-06,12.0
1994-10-07,12.125
1994-10-10,12.375
1994-10-11,12.625
1994-10-12,12.375
1994-10-13,12.375
1994-10-14,12.125
1994-10-17,12.0
1994-10-18,12.125
1994-10-19,12.125
1994-10-20,11.875
1994-10-21,12.0
1994-10-24,11.75
1994-10-25,11.625
1994-10-26,11.5
1994-10-27,11.625
1994-10-28,11.625
1994-10-31,11.625
1994-11-01,11.625
1994-11-02,11.625
1994-11-03,11.5
1994-11-04,11.25
1994-11-07,10.875
1994-11-08,10.75
1994-11-09,11.0
1994-11-10,11.125
1994-11-11,11.0
1994-11-14,11.125
1994-11-15,11.375
1994-11-16,11.5
1994-11-17,11.625
1994-11-18,11.625
1994-11-21,11.875
1994-11-22,11.875
1994-11-23,12.25
1994-11-25,12.375
1994-11-28,12.375
1994-11-29,12.25
1994-11-30,12.25
1994-12-01,12.125
1994-12-02,12.5
1994-12-05,12.75
1994-12-06,12.75
1994-12-07,12.5
1994-12-08,12.375
1994-12-09,12.25
1994-12-12,12.25
1994-12-13,12.125
1994-12-14,12.25
1994-12-15,12.25
1994-12-16,12.25
1994-12-19,12.25
1994-12-20,12.125
1994-12-21,11.875
1994-12-22,11.75
1994-12-23,11.75
1994-12-27,12.0
1994-12-28,11.875
1994-12-29,11.75
1994-12-30,11.875
1995-01-03,12.25
1995-01-04,12.625
1995-01-05,12.625
1995-01-06,12.5
1995-01-09,12.625
1995-01-10,12.5
1995-01-11,12.625
1995-01-12,12.625
1995-01-13,12.75
1995-01-16,12.75
1995-01-17,12.625
1995-01-18,12.75
1995-01-19,12.75
1995-01-20,12.625
1995-01-23,12.75
1995-01-24,12.75
1995-01-25,12.75
1995-01-26,12.875
1995-01-27,12.75
1995-01-30,12.75
1995-01-31,13.125
1995-02-01,13.125
1995-02-02,13.25
1995-02-03,13.375
1995-02-06,13.375
1995-02-07,13.125
1995-02-08,13.125
1995-02-09,13.375
1995-02-10,13.25
1995-02-13,13.0
1995-02-14,13.0
1995-02-15,13.0
1995-02-16,12.875
1995-02-17,12.875
1995-02-21,12.875
1995-02-22,12.875
1995-02-23,13.0
1995-02-24,13.125
1995-02-27,13.125
1995-02-28,13.125
1995-03-01,13.25
1995-03-02,13.25
1995-03-03,13.125
1995-03-06,12.875
1995-03-07,12.875
1995-03-08,12.875
1995-03-09,12.875
1995-03-10,13.0
1995-03-13,13.0
1995-03-14,13.125
1995-03-15,13.125
1995-03-16,13.25
1995-03-17,13.25
1995-03-20,13.125
1995-03-21,13.125
1995-03-22,13.125
1995-03-23,13.125
1995-03-24,13.125
1995-03-27,13.25
1995-03-28,13.125
1995-03-29,13.125
1995-03-30,13.25
1995-03-31,13.125
1995-04-03,13.25
1995-04-04,13.375
1995-04-05,13.25
1995-04-06,13.375
1995-04-07,13.25
1995-04-10,13.25
1995-04-11,13.125
1995-04-12,13.125
1995-04-13,13.25
1995-04-17,13.0
1995-04-18,13.0
1995-04-19,13.125
1995-04-20,13.0
1995-04-21,13.125
1995-04-24,13.125
1995-04-25,13.0
1995-04-26,13.0
1995-04-27,13.125
1995-04-28,13.125
1995-05-01,13.0
1995-05-02,12.75
1995-05-03,13.0
1995-05-04,12.75
1995-05-05,12.875
1995-05-08,12.875
1995-05-09,13.125
1995-05-10,13.0
1995-05-11,13.0
1995-05-12,13.0
1995-05-15,13.0
1995-05-16,12.875
1995-05-17,13.0
1995-05-18,13.125
1995-05-19,13.0
1995-05-22,12.875
1995-05-23,13.125
1995-05-24,13.0
1995-05-25,13.0
1995-05-26,13.0
1995-05-30,13.25
1995-05-31,13.25
1995-06-01,13.375
1995-06-02,13.625
1995-06-05,13.75
1995-06-06,13.5
1995-06-07,13.5
1995-06-08,13.375
1995-06-09,13.5
1995-06-12,13.25
1995-06-13,13.5
1995-06-14,13.375
1995-06-15,13.25
1995-06-16,13.125
1995-06-19,13.375
1995-06-20,13.125
1995-06-21,13.25
1995-06-22,13.375
1995-06-23,13.375
1995-06-26,13.25
1995-06-27,13.25
1995-06-28,13.25
1995-06-29,13.375
1995-06-30,13.375
1995-07-03,13.5
1995-07-05,13.5
1995-07-06,13.625
1995-07-07,13.625
1995-07-10,13.75
1995-07-11,13.625
1995-07-12,13.5
1995-07-13,13.625
1995-07-14,13.5
1995-07-17,13.5
1995-07-18,13.375
1995-07-19,13.125
1995-07-20,13.125
1995-07-21,13.125
1995-07-24,13.25
1995-07-25,13.125
1995-07-26,13.0
1995-07-27,13.125
1995-07-28,13.125
1995-07-31,13.375
1995-08-01,13.25
1995-08-02,13.375
1995-08-03,13.5
1995-08-04,13.375
1995-08-07,13.375
1995-08-08,13.25
1995-08-09,13.25
1995-08-10,13.25
1995-08-11,13.25
1995-08-14,13.375
1995-08-15,13.375
1995-08-16,13.25
1995-08-17,13.375
1995-08-18,13.375
1995-08-21,13.375
1995-08-22,13.25
1995-08-23,13.25
1995-08-24,13.375
1995-08-25,13.375
1995-08-28,13.25
1995-08-29,13.375
1995-08-30,13.375
1995-08-31,13.375
1995-09-01,13.5
1995-09-05,13.5
1995-09-06,13.625
1995-09-07,13.5
1995-09-08,13.375
1995-09-11,13.375
1995-09-12,13.5
1995-09-13,13.375
1995-09-14,13.375
1995-09-15,13.375
1995-09-18,13.375
1995-09-19,13.5
1995-09-20,13.5
1995-09-21,13.25
1995-09-22,13.375
1995-09-25,13.25
1995-09-26,13.25
1995-09-27,13.375
1995-09-28,13.25
1995-09-29,13.375
1995-10-02,13.375
1995-10-03,13.375
1995-10-04,13.5
1995-10-05,13.375
1995-10-06,13.375
1995-10-09,13.375
1995-10-10,13.625
1995-10-11,13.5
1995-10-12,13.5625
1995-10-13,13.75
1995-10-16,13.75
1995-10-17,13.75
1995-10-18,13.75
1995-10-19,13.75
1995-10-20,13.75
1995-10-23,13.625
1995-10-24,13.625
1995-10-25,13.625
1995-10-26,13.625
1995-10-27,13.625
1995-10-30,13.75
1995-10-31,13.625
1995-11-01,13.625
1995-11-02,13.625
1995-11-03,13.75
1995-11-06,13.875
1995-11-07,13.625
1995-11-08,13.625
1995-11-09,13.625
1995-11-10,13.75
1995-11-13,13.625
1995-11-14,13.671875
1995-11-15,13.75
1995-11-16,13.75
1995-11-17,13.75
1995-11-20,13.75
1995-11-21,13.625
1995-11-22,13.5
1995-11-24,13.625
1995-11-27,13.75
1995-11-28,13.75
1995-11-29,13.875
1995-11-30,14.0
1995-12-01,14.125
1995-12-04,14.25
1995-12-05,14.125
1995-12-06,14.25
1995-12-07,14.25
1995-12-08,14.125
1995-12-11,14.125
1995-12-12,14.0
1995-12-13,14.0
1995-12-14,13.875
1995-12-15,13.875
1995-12-18,13.625
1995-12-19,13.625
1995-12-20,13.625
1995-12-21,13.375
1995-12-22,13.625
1995-12-26,13.5625
1995-12-27,13.625
1995-12-28,13.625
1995-12-29,13.75
1996-01-02,14.0
1996-01-03,14.0
1996-01-04,14.0
1996-01-05,14.0
1996-01-08,13.875
1996-01-09,13.875
1996-01-10,14.0
1996-01-11,14.0625
1996-01-12,14.0
1996-01-15,14.125
1996-01-16,14.125
1996-01-17,14.25
1996-01-18,14.125
1996-01-19,14.125
1996-01-22,14.25
1996-01-23,14.375
1996-01-24,14.375
1996-01-25,14.375
1996-01-26,14.5
1996-01-29,14.5
1996-01-30,14.375
1996-01-31,14.625
1996-02-01,14.625
1996-02-02,14.625
1996-02-05,14.5
1996-02-06,14.625
1996-02-07,14.75
1996-02-08,14.75
1996-02-09,14.625
1996-02-12,14.75
1996-02-13,14.6875
1996-02-14,14.625
1996-02-15,14.625
1996-02-16,14.625
1996-02-20,14.375
1996-02-21,14.5
1996-02-22,14.5
1996-02-23,14.75
1996-02-26,14.625
1996-02-27,14.75
1996-02-28,14.8125
1996-02-29,14.75
1996-03-01,14.75
1996-03-04,14.625
1996-03-05,14.625
1996-03-06,14.75
1996-03-07,14.625
1996-03-08,13.875
1996-03-11,14.25
1996-03-12,14.125
1996-03-13,14.0
1996-03-14,14.0
1996-03-15,13.75
1996-03-18,13.75
1996-03-19,13.875
1996-03-20,14.0
1996-03-21,14.0
1996-03-22,14.125
1996-03-25,14.25
1996-03-26,14.0
1996-03-27,14.125
1996-03-28,14.0
1996-03-29,14.25
1996-04-01,14.25
1996-04-02,14.125
1996-04-03,14.125
1996-04-04,14.125
1996-04-08,14.0
1996-04-09,13.875
1996-04-10,13.8125
1996-04-11,13.5
1996-04-12,13.625
1996-04-15,13.75
1996-04-16,13.625
1996-04-17,13.625
1996-04-18,13.75
1996-04-19,13.875
1996-04-22,13.875
1996-04-23,13.75
1996-04-24,13.875
1996-04-25,13.8125
1996-04-26,13.875
1996-04-29,13.875
1996-04-30,13.75
1996-05-01,13.875
1996-05-02,13.625
1996-05-03,13.625
1996-05-06,13.625
1996-05-07,13.5
1996-05-08,13.75
1996-05-09,13.75
1996-05-10,13.75
1996-05-13,13.625
1996-05-14,13.625
1996-05-15,13.75
1996-05-16,13.625
1996-05-17,13.5
1996-05-20,13.5
1996-05-21,13.5
1996-05-22,13.5
1996-05-23,13.5
1996-05-24,13.375
1996-05-28,13.625
1996-05-29,13.5
1996-05-30,13.5
1996-05-31,13.625
1996-06-03,13.625
1996-06-04,13.625
1996-06-05,13.625
1996-06-06,13.75
1996-06-07,13.5
1996-06-10,13.625
1996-06-11,13.625
1996-06-12,13.625
1996-06-13,13.625
1996-06-14,13.625
1996-06-17,13.5
1996-06-18,13.625
1996-06-19,13.375
1996-06-20,13.5
1996-06-21,13.5
1996-06-24,13.5
1996-06-25,13.625
1996-06-26,13.5
1996-06-27,13.625
1996-06-28,13.625
1996-07-01,13.625
1996-07-02,13.625
1996-07-03,13.75
1996-07-05,13.5
1996-07-08,13.5
1996-07-09,13.5
1996-07-10,13.5
1996-07-11,13.5
1996-07-12,13.5
1996-07-15,13.5
1996-07-16,13.375
1996-07-17,13.375
1996-07-18,13.375
1996-07-19,13.625
1996-07-22,13.625
1996-07-23,13.625
1996-07-24,13.5
1996-07-25,13.625
1996-07-26,13.75
1996-07-29,13.625
1996-07-30,13.625
1996-07-31,13.75
1996-08-01,13.75
1996-08-02,14.0
1996-08-05,14.0
1996-08-06,14.125
1996-08-07,13.875
1996-08-08,13.875
1996-08-09,14.0
1996-08-12,14.0
1996-08-13,14.0
1996-08-14,14.125
1996-08-15,13.875
1996-08-16,14.0
1996-08-19,14.0
1996-08-20,14.0
1996-08-21,14.0
1996-08-22,14.0
1996-08-23,13.875
1996-08-26,13.875
1996-08-27,13.75
1996-08-28,14.0
1996-08-29,13.875
1996-08-30,13.75
1996-09-03,13.75
1996-09-04,13.875
1996-09-05,13.75
1996-09-06,13.75
1996-09-09,13.75
1996-09-10,13.875
1996-09-11,13.75
1996-09-12,13.75
1996-09-13,13.875
1996-09-16,13.875
1996-09-17,14.0
1996-09-18,13.875
1996-09-19,13.875
1996-09-20,13.875
1996-09-23,13.75
1996-09-24,13.875
1996-09-25,13.875
1996-09-26,14.0
1996-09-27,13.9375
1996-09-30,14.0
1996-10-01,14.125
1996-10-02,14.125
1996-10-03,14.125
1996-10-04,14.0
1996-10-07,14.0
1996-10-08,14.125
1996-10-09,14.125
1996-10-10,14.125
1996-10-11,14.125
1996-10-14,13.875
1996-10-15,13.875
1996-10-16,14.0
1996-10-17,13.875
1996-10-18,13.875
1996-10-21,13.875
1996-10-22,13.875
1996-10-23,13.75
1996-10-24,13.75
1996-10-25,13.75
1996-10-28,13.75
1996-10-29,13.75
1996-10-30,13.875
1996-10-31,13.9375
1996-11-01,13.875
1996-11-04,13.875
1996-11-05,13.875
1996-11-06,14.0
1996-11-07,13.9375
1996-11-08,13.875
1996-11-11,13.875
1996-11-12,14.0
1996-11-13,14.125
1996-11-14,14.0
1996-11-15,13.875
1996-11-18,14.0
1996-11-19,13.875
1996-11-20,14.0
1996-11-21,14.0
1996-11-22,14.0
1996-11-25,14.0
1996-11-26,14.125
1996-11-27,14.125
1996-11-29,14.0
1996-12-02,14.25
1996-12-03,14.125
1996-12-04,14.25
1996-12-05,14.125
1996-12-06,14.25
1996-12-09,14.125
1996-12-10,14.25
1996-12-11,14.125
1996-12-12,13.875
1996-12-13,13.875
1996-12-16,13.75
1996-12-17,13.75
1996-12-18,13.625
1996-12-19,13.75
1996-12-20,13.625
1996-12-23,13.75
1996-12-24,13.625
1996-12-26,13.625
1996-12-27,13.75
1996-12-30,13.8125
1996-12-31,13.75
1997-01-02,13.875
1997-01-03,14.125
1997-01-06,13.875
1997-01-07,13.875
1997-01-08,14.0
1997-01-09,13.875
1997-01-10,13.875
1997-01-13,13.875
1997-01-14,14.0
1997-01-15,14.125
1997-01-16,14.125
1997-01-17,14.125
1997-01-20,14.125
1997-01-21,14.125
1997-01-22,14.0
1997-01-23,13.875
1997-01-24,14.0
1997-01-27,13.875
1997-01-28,14.0
1997-01-29,13.875
1997-01-30,13.875
1997-01-31,14.0
1997-02-03,14.0
1997-02-04,14.0625
1997-02-05,14.25
1997-02-06,14.25
1997-02-07,14.25
1997-02-10,14.125
1997-02-11,14.125
1997-02-12,14.25
1997-02-13,14.125
1997-02-14,14.25
1997-02-18,14.375
1997-02-19,14.125
1997-02-20,14.25
1997-02-21,14.25
1997-02-24,14.375
1997-02-25,14.25
1997-02-26,14.375
1997-02-27,14.375
1997-02-28,14.25
1997-03-03,14.3125
1997-03-04,14.375
1997-03-05,14.25
1997-03-06,14.125
1997-03-07,14.25
1997-03-10,14.25
1997-03-11,14.375
1997-03-12,14.25
1997-03-13,14.375
1997-03-14,14.25
1997-03-17,14.125
1997-03-18,14.125
1997-03-19,14.125
1997-03-20,14.125
1997-03-21,14.25
1997-03-24,14.375
1997-03-25,14.375
1997-03-26,14.375
1997-03-27,14.375
1997-03-31,14.125
1997-04-01,14.25
1997-04-02,14.375
1997-04-03,14.25
1997-04-04,14.25
1997-04-07,14.25
1997-04-08,14.25
1997-04-09,14.125
1997-04-10,14.25
1997-04-11,14.0
1997-04-14,14.0
1997-04-15,14.1875
1997-04-16,14.125
1997-04-17,14.125
1997-04-18,14.0
1997-04-21,14.25
