,EBIZ
2019-08-29,17.599000930786133
2019-08-30,17.527999877929688
2019-09-03,17.301000595092773
2019-09-04,17.301000595092773
2019-09-05,17.92099952697754
2019-09-06,17.951000213623047
2019-09-09,17.86199951171875
2019-09-10,17.650999069213867
2019-09-11,18.077999114990234
2019-09-12,18.131999969482422
2019-09-13,18.25
2019-09-16,18.121999740600586
2019-09-17,18.170000076293945
2019-09-18,18.04199981689453
2019-09-19,18.04800033569336
2019-09-20,18.013999938964844
2019-09-23,17.700000762939453
2019-09-24,17.709999084472656
2019-09-25,17.709999084472656
2019-09-26,17.363000869750977
2019-09-27,17.395999908447266
2019-09-30,17.190000534057617
2019-10-01,17.190000534057617
2019-10-02,16.709999084472656
2019-10-03,16.909000396728516
2019-10-04,17.030000686645508
2019-10-07,17.000999450683594
