,CARV
1995-08-08,108.28125
1995-08-09,106.875
1995-08-10,105.9375
1995-08-11,106.875
1995-08-14,103.125
1995-08-15,105.0
1995-08-16,106.875
1995-08-17,107.8125
1995-08-18,108.28125
1995-08-21,105.0
1995-08-22,108.75
1995-08-23,110.625
1995-08-24,110.625
1995-08-25,112.5
1995-08-28,114.375
1995-08-29,116.25
1995-08-30,116.25
1995-08-31,121.875
1995-09-01,136.875
1995-09-05,135.0
1995-09-06,138.75
1995-09-07,139.6875
1995-09-08,144.375
1995-09-11,150.0
1995-09-12,161.25
1995-09-13,153.75
1995-09-14,157.5
1995-09-15,151.875
1995-09-18,148.125
1995-09-19,141.5625
1995-09-20,146.25
1995-09-21,150.0
1995-09-22,144.375
1995-09-25,148.125
1995-09-26,150.0
1995-09-27,150.0
1995-09-28,148.125
1995-09-29,148.125
1995-10-02,150.0
1995-10-03,150.0
1995-10-04,150.0
1995-10-05,146.25
1995-10-06,148.125
1995-10-09,146.25
1995-10-10,142.5
1995-10-11,146.25
1995-10-12,146.25
1995-10-13,142.5
1995-10-16,146.25
1995-10-17,145.3125
1995-10-18,144.375
1995-10-19,146.25
1995-10-20,146.25
1995-10-23,146.25
1995-10-24,142.5
1995-10-25,136.875
1995-10-26,133.125
1995-10-27,132.1875
1995-10-30,133.125
1995-10-31,131.25
1995-11-01,129.375
1995-11-02,131.25
1995-11-03,129.375
1995-11-06,133.125
1995-11-07,129.375
1995-11-08,129.375
1995-11-09,133.125
1995-11-10,129.375
1995-11-13,135.0
1995-11-14,135.0
1995-11-15,135.0
1995-11-16,133.125
1995-11-17,140.625
1995-11-20,140.625
1995-11-21,135.0
1995-11-22,144.375
1995-11-24,140.625
1995-11-27,143.203125
1995-11-28,144.375
1995-11-29,144.375
1995-11-30,142.5
1995-12-01,144.375
1995-12-04,140.625
1995-12-05,136.875
1995-12-06,135.0
1995-12-07,135.0
1995-12-08,134.0625
1995-12-11,135.0
1995-12-12,135.0
1995-12-13,133.125
1995-12-14,136.875
1995-12-15,142.5
1995-12-18,138.75
1995-12-19,138.75
1995-12-20,138.75
1995-12-21,135.0
1995-12-22,136.875
1995-12-26,135.0
1995-12-27,135.0
1995-12-28,135.0
1995-12-29,135.0
1996-01-02,135.0
1996-01-03,138.75
1996-01-04,135.0
1996-01-05,133.125
1996-01-08,133.125
1996-01-09,133.125
1996-01-10,131.25
1996-01-11,133.125
1996-01-12,136.875
1996-01-15,133.125
1996-01-16,129.375
1996-01-17,131.25
1996-01-18,127.5
1996-01-19,127.5
1996-01-22,129.375
1996-01-23,127.5
1996-01-24,129.375
1996-01-25,127.5
1996-01-26,125.625
1996-01-29,126.5625
1996-01-30,123.75
1996-01-31,123.75
1996-02-01,125.625
1996-02-02,127.5
1996-02-05,129.375
1996-02-06,127.5
1996-02-07,129.375
1996-02-08,131.25
1996-02-09,129.375
1996-02-12,133.125
1996-02-13,127.5
1996-02-14,125.625
1996-02-15,127.5
1996-02-16,129.375
1996-02-20,125.625
1996-02-21,125.625
1996-02-22,125.625
1996-02-23,128.4375
1996-02-26,131.25
1996-02-27,127.5
1996-02-28,129.375
1996-02-29,127.5
1996-03-01,127.5
1996-03-04,127.5
1996-03-05,127.5
1996-03-06,129.375
1996-03-07,128.4375
1996-03-08,125.625
1996-03-11,125.625
1996-03-12,127.5
1996-03-13,131.25
1996-03-14,129.375
1996-03-15,133.125
1996-03-18,131.25
1996-03-19,140.625
1996-03-20,136.875
1996-03-21,131.25
1996-03-22,133.125
1996-03-25,135.0
1996-03-26,136.875
1996-03-27,135.0
1996-03-28,125.625
1996-03-29,131.25
1996-04-01,127.5
1996-04-02,127.5
1996-04-03,129.375
1996-04-04,133.125
1996-04-08,133.125
1996-04-09,127.5
1996-04-10,127.5
1996-04-11,125.625
1996-04-12,131.25
1996-04-15,131.25
1996-04-16,125.625
1996-04-17,127.5
1996-04-18,131.25
1996-04-19,127.5
1996-04-22,127.734375
1996-04-23,129.375
1996-04-24,127.5
1996-04-25,127.5
1996-04-26,127.5
1996-04-29,131.25
1996-04-30,131.25
1996-05-01,129.375
1996-05-02,126.5625
1996-05-03,129.375
1996-05-06,125.625
1996-05-07,129.375
1996-05-08,126.5625
1996-05-09,122.34375
1996-05-10,121.875
1996-05-13,114.375
1996-05-14,120.0
1996-05-15,120.0
1996-05-16,125.625
1996-05-17,122.8125
1996-05-20,120.0
1996-05-21,120.0
1996-05-22,114.375
1996-05-23,114.375
1996-05-24,120.0
1996-05-28,118.125
1996-05-29,120.0
1996-05-30,120.0
1996-05-31,120.0
1996-06-03,118.125
1996-06-04,121.875
1996-06-05,118.125
1996-06-06,116.25
1996-06-07,114.375
1996-06-10,112.5
1996-06-11,118.125
1996-06-12,116.25
1996-06-13,118.125
1996-06-14,118.125
1996-06-17,116.015625
1996-06-18,120.0
1996-06-19,115.3125
1996-06-20,112.5
1996-06-21,112.5
1996-06-24,114.375
1996-06-25,118.125
1996-06-26,118.125
1996-06-27,120.0
1996-06-28,120.0
1996-07-01,120.0
1996-07-02,120.0
1996-07-03,120.0
1996-07-05,116.25
1996-07-08,120.0
1996-07-09,120.0
1996-07-10,120.0
1996-07-11,120.0
1996-07-12,120.0
1996-07-15,116.25
1996-07-16,116.25
1996-07-17,116.25
1996-07-18,121.875
1996-07-19,116.25
1996-07-22,116.25
1996-07-23,116.25
1996-07-24,116.25
1996-07-25,123.75
1996-07-26,120.0
1996-07-29,131.25
1996-07-30,123.75
1996-07-31,123.75
1996-08-01,123.75
1996-08-02,123.75
1996-08-05,127.5
1996-08-06,127.5
1996-08-07,120.0
1996-08-08,120.0
1996-08-09,120.0
1996-08-12,120.0
1996-08-13,121.875
1996-08-14,121.875
1996-08-15,121.875
1996-08-16,123.75
1996-08-19,121.875
1996-08-20,123.75
1996-08-21,123.75
1996-08-22,123.75
1996-08-23,118.125
1996-08-26,118.125
1996-08-27,118.125
1996-08-28,120.0
1996-08-29,118.125
1996-08-30,118.125
1996-09-03,123.75
1996-09-04,118.125
1996-09-05,119.0625
1996-09-06,119.0625
1996-09-09,118.125
1996-09-10,118.125
1996-09-11,118.125
1996-09-12,118.125
1996-09-13,118.125
1996-09-16,116.25
1996-09-17,116.25
1996-09-18,116.25
1996-09-19,116.25
1996-09-20,116.25
1996-09-23,116.25
1996-09-24,118.125
1996-09-25,116.25
1996-09-26,121.875
1996-09-27,118.125
1996-09-30,118.125
1996-10-01,120.0
1996-10-02,116.25
1996-10-03,116.25
1996-10-04,118.125
1996-10-07,116.25
1996-10-08,128.4375
1996-10-09,124.21875
1996-10-10,123.75
1996-10-11,125.625
1996-10-14,121.875
1996-10-15,123.75
1996-10-16,121.875
1996-10-17,123.75
1996-10-18,123.75
1996-10-21,123.75
1996-10-22,120.0
1996-10-23,120.9375
1996-10-24,122.8125
1996-10-25,123.75
1996-10-28,121.875
1996-10-29,118.125
1996-10-30,118.125
1996-10-31,118.125
1996-11-01,119.53125
1996-11-04,118.125
1996-11-05,118.125
1996-11-06,118.125
1996-11-07,118.125
1996-11-08,114.375
1996-11-11,116.25
1996-11-12,112.5
1996-11-13,114.375
1996-11-14,114.375
1996-11-15,114.375
1996-11-18,110.625
1996-11-19,110.625
1996-11-20,110.625
1996-11-21,116.25
1996-11-22,121.875
1996-11-25,120.0
1996-11-26,120.0
1996-11-27,121.875
1996-11-29,123.75
1996-12-02,118.125
1996-12-03,123.75
1996-12-04,118.125
1996-12-05,116.25
1996-12-06,120.0
1996-12-09,120.0
1996-12-10,116.25
1996-12-11,116.25
1996-12-12,116.25
1996-12-13,120.0
1996-12-16,120.0
1996-12-17,116.25
1996-12-18,120.0
1996-12-19,120.0
1996-12-20,125.625
1996-12-23,120.0
1996-12-24,121.875
1996-12-26,116.25
1996-12-27,125.625
1996-12-30,123.75
1996-12-31,123.75
1997-01-02,129.375
1997-01-03,129.375
1997-01-06,125.625
1997-01-07,133.125
1997-01-08,135.0
1997-01-09,135.0
1997-01-10,133.125
1997-01-13,136.875
1997-01-14,140.625
1997-01-15,142.5
1997-01-16,146.25
1997-01-17,148.125
1997-01-20,155.625
1997-01-21,153.75
1997-01-22,150.0
1997-01-23,150.0
1997-01-24,151.875
1997-01-27,151.875
1997-01-28,148.125
1997-01-29,148.125
1997-01-30,151.875
1997-01-31,153.75
1997-02-03,154.6875
1997-02-04,153.75
1997-02-05,150.0
1997-02-06,151.875
1997-02-07,151.875
1997-02-10,148.125
1997-02-11,150.0
1997-02-12,144.375
1997-02-13,150.0
1997-02-14,151.875
1997-02-18,150.0
1997-02-19,150.0
1997-02-20,151.875
1997-02-21,148.125
1997-02-24,148.125
1997-02-25,150.9375
1997-02-26,150.0
1997-02-27,148.125
1997-02-28,148.125
1997-03-03,141.5625
1997-03-04,148.125
1997-03-05,149.0625
1997-03-06,147.1875
1997-03-07,150.0
1997-03-10,140.625
1997-03-11,140.625
1997-03-12,147.1875
1997-03-13,151.875
1997-03-14,151.875
1997-03-17,136.875
1997-03-18,148.125
1997-03-19,150.0
1997-03-20,150.0
1997-03-21,150.0
1997-03-24,146.25
1997-03-25,146.25
1997-03-26,146.25
1997-03-27,148.125
1997-03-31,144.375
1997-04-01,148.125
1997-04-02,150.0
1997-04-03,150.0
1997-04-04,150.0
1997-04-07,150.0
1997-04-08,151.875
1997-04-09,148.125
1997-04-10,150.0
1997-04-11,150.0
1997-04-14,150.0
1997-04-15,150.0
1997-04-16,150.0
1997-04-17,150.0
1997-04-18,150.0
1997-04-21,150.0
1997-04-22,150.0
1997-04-23,150.0
1997-04-24,151.875
1997-04-25,148.125
1997-04-28,150.0
1997-04-29,150.0
1997-04-30,148.125
1997-05-01,148.125
1997-05-02,150.0
1997-05-05,150.0
1997-05-06,150.0
1997-05-07,150.0
1997-05-08,142.5
1997-05-09,142.5
1997-05-12,150.0
1997-05-13,136.875
1997-05-14,144.375
1997-05-15,142.5
1997-05-16,144.375
1997-05-19,144.375
1997-05-20,144.375
1997-05-21,146.25
1997-05-22,145.3125
1997-05-23,146.25
1997-05-27,148.125
1997-05-28,147.1875
1997-05-29,144.375
1997-05-30,144.375
1997-06-02,151.875
1997-06-03,151.875
1997-06-04,151.875
1997-06-05,153.75
1997-06-06,151.875
1997-06-09,150.0
1997-06-10,157.5
1997-06-11,157.5
1997-06-12,159.375
1997-06-13,159.375
1997-06-16,159.375
1997-06-17,163.125
1997-06-18,166.875
1997-06-19,168.75
1997-06-20,183.75
1997-06-23,178.125
1997-06-24,174.375
1997-06-25,180.0
1997-06-26,180.0
1997-06-27,181.875
1997-06-30,176.25
1997-07-01,174.375
1997-07-02,174.375
1997-07-03,178.125
1997-07-07,174.375
1997-07-08,178.125
1997-07-09,180.0
1997-07-10,180.0
1997-07-11,180.0
1997-07-14,180.0
1997-07-15,178.125
1997-07-16,180.0
1997-07-17,183.75
1997-07-18,185.625
1997-07-21,187.5
1997-07-22,187.5
1997-07-23,187.5
1997-07-24,183.75
1997-07-25,183.75
1997-07-28,181.875
1997-07-29,180.0
1997-07-30,180.0
1997-07-31,180.0
1997-08-01,183.75
1997-08-04,182.8125
1997-08-05,185.625
1997-08-06,184.6875
1997-08-07,187.5
1997-08-08,185.625
1997-08-11,187.5
1997-08-12,189.375
1997-08-13,196.875
1997-08-14,200.625
1997-08-15,189.375
1997-08-18,189.375
1997-08-19,193.125
1997-08-20,194.0625
1997-08-21,195.0
1997-08-22,191.25
1997-08-25,191.25
1997-08-26,190.3125
1997-08-27,185.625
1997-08-28,187.5
1997-08-29,185.625
1997-09-02,187.5
1997-09-03,186.5625
1997-09-04,186.5625
1997-09-05,180.0
1997-09-08,179.0625
1997-09-09,181.875
1997-09-10,180.0
1997-09-11,178.125
1997-09-12,180.0
1997-09-15,181.875
1997-09-16,185.625
1997-09-17,183.75
1997-09-18,183.75
1997-09-19,181.875
1997-09-22,184.6875
1997-09-23,185.625
1997-09-24,185.625
1997-09-25,187.5
1997-09-26,187.5
1997-09-29,187.5
1997-09-30,189.375
1997-10-01,189.375
1997-10-02,189.375
1997-10-03,193.125
1997-10-06,190.3125
1997-10-07,193.125
1997-10-08,193.125
1997-10-09,194.0625
1997-10-10,191.25
1997-10-13,195.0
1997-10-14,195.0
1997-10-15,193.125
1997-10-16,191.25
1997-10-17,193.125
1997-10-20,193.125
1997-10-21,195.0
1997-10-22,195.0
1997-10-23,193.125
1997-10-24,193.125
1997-10-27,191.25
1997-10-28,187.5
1997-10-29,189.375
1997-10-30,187.5
1997-10-31,191.25
1997-11-03,193.125
1997-11-04,195.0
1997-11-05,193.125
1997-11-06,195.0
1997-11-07,195.0
1997-11-10,196.875
1997-11-11,196.875
1997-11-12,195.0
1997-11-13,198.75
1997-11-14,198.75
1997-11-17,206.25
1997-11-18,208.125
1997-11-19,210.9375
1997-11-20,221.25
1997-11-21,247.5
1997-11-24,247.5
1997-11-25,243.75
1997-11-26,255.0
1997-11-28,255.9375
1997-12-01,251.25
1997-12-02,247.5
1997-12-03,243.75
1997-12-04,241.875
1997-12-05,243.75
1997-12-08,250.3125
1997-12-09,251.25
1997-12-10,249.375
1997-12-11,249.375
1997-12-12,253.125
1997-12-15,253.125
1997-12-16,256.875
1997-12-17,255.0
1997-12-18,241.875
1997-12-19,247.5
1997-12-22,245.625
1997-12-23,243.75
1997-12-24,241.875
1997-12-26,238.125
1997-12-29,243.75
1997-12-30,247.5
1997-12-31,243.75
1998-01-02,249.375
1998-01-05,243.75
1998-01-06,240.0
1998-01-07,234.375
1998-01-08,230.625
1998-01-09,230.625
1998-01-12,228.75
1998-01-13,230.625
1998-01-14,230.625
1998-01-15,226.875
1998-01-16,225.0
1998-01-20,225.0
1998-01-21,221.25
1998-01-22,219.375
1998-01-23,217.5
1998-01-26,215.625
1998-01-27,211.875
1998-01-28,213.75
1998-01-29,211.875
1998-01-30,213.75
1998-02-02,219.375
1998-02-03,221.25
1998-02-04,223.125
1998-02-05,223.125
1998-02-06,219.375
1998-02-09,223.125
1998-02-10,225.0
1998-02-11,230.625
1998-02-12,226.875
1998-02-13,226.875
1998-02-17,226.875
1998-02-18,226.875
1998-02-19,226.875
1998-02-20,228.75
1998-02-23,230.625
1998-02-24,228.75
1998-02-25,226.875
1998-02-26,226.875
1998-02-27,228.75
1998-03-02,223.125
1998-03-03,221.25
1998-03-04,219.375
1998-03-05,220.3125
1998-03-06,226.875
1998-03-09,228.75
1998-03-10,232.5
1998-03-11,228.75
1998-03-12,228.75
1998-03-13,225.0
1998-03-16,226.875
1998-03-17,225.0
1998-03-18,226.875
1998-03-19,228.75
1998-03-20,226.875
1998-03-23,230.625
1998-03-24,226.875
1998-03-25,226.875
1998-03-26,226.875
1998-03-27,225.0
1998-03-30,223.125
1998-03-31,223.125
1998-04-01,223.125
1998-04-02,223.125
1998-04-03,230.625
1998-04-06,232.5
1998-04-07,232.5
1998-04-08,230.625
1998-04-09,230.625
1998-04-13,230.625
1998-04-14,230.625
1998-04-15,230.625
1998-04-16,230.625
1998-04-17,232.5
1998-04-20,231.5625
1998-04-21,230.625
1998-04-22,226.875
1998-04-23,226.875
1998-04-24,228.75
1998-04-27,225.0
1998-04-28,223.125
1998-04-29,223.125
1998-04-30,223.125
1998-05-01,225.0
1998-05-04,226.875
1998-05-05,231.5625
1998-05-06,236.25
1998-05-07,234.375
1998-05-08,230.625
1998-05-11,225.0
1998-05-12,221.25
1998-05-13,221.25
1998-05-14,217.5
1998-05-15,215.625
1998-05-18,211.875
1998-05-19,210.0
1998-05-20,211.875
1998-05-21,211.875
1998-05-22,210.0
1998-05-26,206.25
1998-05-27,210.0
1998-05-28,208.125
1998-05-29,204.375
1998-06-01,206.25
1998-06-02,202.5
1998-06-03,200.625
1998-06-04,198.75
1998-06-05,199.6875
1998-06-08,198.75
1998-06-09,199.6875
1998-06-10,199.6875
1998-06-11,197.8125
1998-06-12,198.75
1998-06-15,196.875
1998-06-16,197.8125
1998-06-17,198.75
1998-06-18,200.625
1998-06-19,198.75
1998-06-22,196.875
1998-06-23,198.75
1998-06-24,195.0
1998-06-25,196.875
1998-06-26,196.875
1998-06-29,198.75
1998-06-30,198.75
1998-07-01,200.625
1998-07-02,202.5
1998-07-06,204.375
1998-07-07,211.875
1998-07-08,213.75
1998-07-09,213.75
1998-07-10,211.875
1998-07-13,210.9375
1998-07-14,208.125
1998-07-15,206.25
1998-07-16,205.3125
1998-07-17,198.75
1998-07-20,200.625
1998-07-21,201.5625
1998-07-22,201.5625
1998-07-23,193.125
1998-07-24,191.25
1998-07-27,191.25
1998-07-28,183.75
1998-07-29,183.75
1998-07-30,181.875
1998-07-31,181.875
1998-08-03,181.875
1998-08-04,180.9375
1998-08-05,181.875
1998-08-06,181.875
1998-08-07,181.875
1998-08-10,181.875
1998-08-11,180.9375
1998-08-12,180.9375
1998-08-13,180.9375
1998-08-14,181.875
1998-08-17,180.0
1998-08-18,178.125
1998-08-19,178.125
1998-08-20,176.25
1998-08-21,174.375
1998-08-24,174.375
1998-08-25,172.5
1998-08-26,170.625
1998-08-27,166.875
1998-08-28,166.875
1998-08-31,155.625
1998-09-01,154.6875
1998-09-02,149.0625
1998-09-03,148.125
1998-09-04,142.5
1998-09-08,144.375
1998-09-09,142.5
1998-09-10,138.75
1998-09-11,136.875
1998-09-14,138.75
1998-09-15,136.875
1998-09-16,136.875
1998-09-17,135.0
1998-09-18,135.0
1998-09-21,135.0
1998-09-22,133.125
1998-09-23,133.125
1998-09-24,136.875
1998-09-25,138.75
1998-09-28,138.75
1998-09-29,138.75
1998-09-30,136.875
1998-10-01,138.75
1998-10-02,142.5
1998-10-05,138.75
1998-10-06,142.5
1998-10-07,136.875
1998-10-08,131.25
1998-10-09,127.5
1998-10-12,127.5
1998-10-13,127.5
1998-10-14,127.5
1998-10-15,130.3125
1998-10-16,131.25
1998-10-19,131.25
1998-10-20,136.875
1998-10-21,135.9375
1998-10-22,138.75
1998-10-23,136.875
1998-10-26,138.75
1998-10-27,136.875
1998-10-28,136.875
1998-10-29,135.0
1998-10-30,135.0
1998-11-02,138.75
1998-11-03,136.875
1998-11-04,140.625
1998-11-05,140.625
1998-11-06,138.75
1998-11-09,138.75
1998-11-10,140.625
1998-11-11,138.75
1998-11-12,136.875
1998-11-13,135.0
1998-11-16,133.125
1998-11-17,132.1875
1998-11-18,134.0625
1998-11-19,132.1875
1998-11-20,136.875
1998-11-23,135.0
1998-11-24,135.0
1998-11-25,136.875
1998-11-27,136.875
1998-11-30,136.875
1998-12-01,135.0
1998-12-02,135.0
1998-12-03,127.5
1998-12-04,127.5
1998-12-07,125.625
1998-12-08,124.6875
1998-12-09,125.625
1998-12-10,123.75
1998-12-11,127.5
1998-12-14,124.6875
1998-12-15,127.5
1998-12-16,123.75
1998-12-17,120.9375
1998-12-18,120.9375
1998-12-21,120.0
1998-12-22,120.0
1998-12-23,120.9375
1998-12-24,120.0
1998-12-28,127.5
1998-12-29,125.625
1998-12-30,124.6875
1998-12-31,131.25
1999-01-04,131.25
1999-01-05,136.875
1999-01-06,136.875
1999-01-07,140.625
1999-01-08,138.75
1999-01-11,138.75
1999-01-12,135.0
1999-01-13,129.375
1999-01-14,129.375
1999-01-15,131.25
1999-01-19,131.25
1999-01-20,129.375
1999-01-21,129.375
1999-01-22,115.3125
1999-01-25,116.25
1999-01-26,114.375
1999-01-27,112.5
1999-01-28,108.75
1999-01-29,115.3125
1999-02-01,112.5
1999-02-02,111.5625
1999-02-03,107.8125
1999-02-04,97.5
1999-02-05,105.0
1999-02-08,101.25
1999-02-09,105.0
1999-02-10,105.0
1999-02-11,112.5
1999-02-12,111.5625
1999-02-16,112.5
1999-02-17,110.625
1999-02-18,110.625
1999-02-19,108.75
1999-02-22,108.75
1999-02-23,101.25
1999-02-24,101.25
1999-02-25,105.0
1999-02-26,105.0
1999-03-01,105.0
1999-03-02,105.0
1999-03-03,105.0
1999-03-04,105.0
1999-03-05,105.0
1999-03-08,131.25
1999-03-09,125.625
1999-03-10,135.0
1999-03-11,135.0
1999-03-12,133.125
1999-03-15,136.875
1999-03-16,142.5
1999-03-17,141.5625
1999-03-18,135.0
1999-03-19,151.875
1999-03-22,148.125
1999-03-23,144.375
1999-03-24,142.5
1999-03-25,135.0
1999-03-26,129.375
1999-03-29,131.25
1999-03-30,129.375
1999-03-31,131.25
1999-04-01,155.625
1999-04-05,165.0
1999-04-06,165.0
1999-04-07,165.0
1999-04-08,165.0
1999-04-09,165.0
1999-04-12,166.875
1999-04-13,161.25
1999-04-14,153.75
1999-04-15,151.875
1999-04-16,152.8125
1999-04-19,152.8125
1999-04-20,150.0
1999-04-21,146.25
1999-04-22,148.125
1999-04-23,144.375
1999-04-26,134.0625
1999-04-27,132.1875
1999-04-28,127.5
1999-04-29,127.5
1999-04-30,138.75
1999-05-03,135.9375
1999-05-04,135.9375
1999-05-05,131.25
1999-05-06,135.0
1999-05-07,135.0
1999-05-10,133.125
1999-05-11,131.25
1999-05-12,134.0625
1999-05-13,132.1875
1999-05-14,131.25
1999-05-17,129.375
1999-05-18,129.375
1999-05-19,124.6875
1999-05-20,127.5
1999-05-21,127.5
1999-05-24,127.5
1999-05-25,127.5
1999-05-26,125.625
1999-05-27,121.875
1999-05-28,121.875
1999-06-01,121.875
1999-06-02,113.4375
1999-06-03,113.4375
1999-06-04,120.0
1999-06-07,120.0
1999-06-08,118.125
1999-06-09,120.0
1999-06-10,120.0
1999-06-11,118.125
1999-06-14,118.125
1999-06-15,120.0
1999-06-16,118.125
1999-06-17,118.125
1999-06-18,120.0
1999-06-21,120.0
1999-06-22,120.0
1999-06-23,118.125
1999-06-24,118.125
1999-06-25,118.125
1999-06-28,118.125
1999-06-29,120.0
1999-06-30,127.5
1999-07-01,127.5
1999-07-02,127.5
1999-07-06,121.875
1999-07-07,121.875
1999-07-08,121.875
1999-07-09,123.75
1999-07-12,125.625
1999-07-13,127.5
1999-07-14,129.375
1999-07-15,142.5
1999-07-16,146.25
1999-07-19,150.0
1999-07-20,150.0
1999-07-21,146.25
1999-07-22,146.25
1999-07-23,146.25
1999-07-26,144.375
1999-07-27,140.625
1999-07-28,138.75
1999-07-29,138.75
1999-07-30,138.75
1999-08-02,140.625
1999-08-03,136.875
1999-08-04,135.0
1999-08-05,135.0
1999-08-06,138.75
1999-08-09,140.625
1999-08-10,138.75
1999-08-11,133.125
1999-08-12,131.25
1999-08-13,129.375
1999-08-16,129.375
1999-08-17,127.5
1999-08-18,127.5
1999-08-19,127.5
1999-08-20,131.25
1999-08-23,135.0
1999-08-24,135.9375
1999-08-25,135.9375
1999-08-26,138.75
1999-08-27,142.5
1999-08-30,138.75
1999-08-31,144.375
1999-09-01,136.875
1999-09-02,136.875
1999-09-03,136.875
1999-09-07,138.75
1999-09-08,137.8125
1999-09-09,134.0625
1999-09-10,133.125
1999-09-13,133.125
1999-09-14,135.0
1999-09-15,135.0
1999-09-16,133.125
1999-09-17,129.375
1999-09-20,129.375
1999-09-21,125.625
1999-09-22,123.75
1999-09-23,121.875
1999-09-24,120.0
1999-09-27,120.0
1999-09-28,120.0
1999-09-29,114.375
1999-09-30,135.0
1999-10-01,129.375
1999-10-04,131.25
1999-10-05,129.375
1999-10-06,127.5
1999-10-07,125.625
1999-10-08,125.625
1999-10-11,125.625
1999-10-12,125.625
1999-10-13,123.75
1999-10-14,121.875
1999-10-15,118.125
1999-10-18,116.25
