,FDM
2010-11-05,20.639999389648438
2010-11-08,20.649999618530273
2010-11-09,20.309999465942383
2010-11-10,20.610000610351562
2010-11-11,20.510000228881836
2010-11-12,20.149999618530273
2010-11-15,20.219999313354492
2010-11-16,19.81999969482422
2010-11-17,19.81999969482422
2010-11-18,20.309999465942383
2010-11-19,20.34000015258789
2010-11-22,20.440000534057617
2010-11-23,20.270000457763672
2010-11-24,20.709999084472656
2010-11-26,20.670000076293945
2010-11-29,20.700000762939453
2010-11-30,20.540000915527344
2010-12-01,20.979999542236328
2010-12-02,21.15999984741211
2010-12-03,21.329999923706055
2010-12-06,21.43000030517578
2010-12-07,21.6299991607666
2010-12-08,21.639999389648438
2010-12-09,21.75
2010-12-10,22.030000686645508
2010-12-13,21.899999618530273
2010-12-14,21.899999618530273
2010-12-15,21.809999465942383
2010-12-16,22.010000228881836
2010-12-17,21.969999313354492
2010-12-20,22.059999465942383
2010-12-21,22.280000686645508
2010-12-22,22.329999923706055
2010-12-23,22.299999237060547
2010-12-27,22.420000076293945
2010-12-28,22.389999389648438
2010-12-29,22.43000030517578
2010-12-30,22.350000381469727
2010-12-31,22.149999618530273
2011-01-03,22.709999084472656
2011-01-04,22.280000686645508
2011-01-05,22.549999237060547
2011-01-06,22.360000610351562
2011-01-07,22.209999084472656
2011-01-10,22.360000610351562
2011-01-11,22.459999084472656
2011-01-12,22.68000030517578
2011-01-13,22.579999923706055
2011-01-14,22.790000915527344
2011-01-18,22.719999313354492
2011-01-19,22.030000686645508
2011-01-20,21.790000915527344
2011-01-21,21.739999771118164
2011-01-24,21.959999084472656
2011-01-25,22.09000015258789
2011-01-26,22.530000686645508
2011-01-27,22.59000015258789
2011-01-28,21.90999984741211
2011-01-31,22.049999237060547
2011-02-01,22.6200008392334
2011-02-02,22.43000030517578
2011-02-03,22.399999618530273
2011-02-04,22.389999389648438
2011-02-07,22.739999771118164
2011-02-08,22.8799991607666
2011-02-09,22.790000915527344
2011-02-10,22.8700008392334
2011-02-11,23.139999389648438
2011-02-14,23.190000534057617
2011-02-15,22.950000762939453
2011-02-16,23.15999984741211
2011-02-17,23.290000915527344
2011-02-18,23.3799991607666
2011-02-22,22.690000534057617
2011-02-23,22.350000381469727
2011-02-24,22.559999465942383
2011-02-25,23.110000610351562
2011-02-28,23.059999465942383
2011-03-01,22.600000381469727
2011-03-02,22.790000915527344
2011-03-03,23.290000915527344
2011-03-04,23.200000762939453
2011-03-07,22.770000457763672
2011-03-08,23.170000076293945
2011-03-09,23.06999969482422
2011-03-10,22.43000030517578
2011-03-11,22.389999389648438
2011-03-14,22.280000686645508
2011-03-15,22.040000915527344
2011-03-16,21.81999969482422
2011-03-17,22.030000686645508
2011-03-18,22.3799991607666
2011-03-21,22.8799991607666
2011-03-22,22.860000610351562
2011-03-23,22.920000076293945
2011-03-24,23.059999465942383
2011-03-25,23.209999084472656
2011-03-28,23.149999618530273
2011-03-29,23.3799991607666
2011-03-30,23.700000762939453
2011-03-31,23.760000228881836
2011-04-01,23.8799991607666
2011-04-04,23.979999542236328
2011-04-05,24.040000915527344
2011-04-06,24.200000762939453
2011-04-07,24.0
2011-04-08,23.670000076293945
2011-04-11,23.440000534057617
2011-04-12,23.049999237060547
2011-04-13,23.06999969482422
2011-04-14,23.209999084472656
2011-04-15,23.420000076293945
2011-04-18,23.059999465942383
2011-04-19,23.030000686645508
2011-04-20,23.420000076293945
2011-04-21,23.739999771118164
2011-04-25,23.649999618530273
2011-04-26,23.93000030517578
2011-04-27,24.100000381469727
2011-04-28,24.18000030517578
2011-04-29,24.229999542236328
2011-05-02,23.829999923706055
2011-05-03,23.549999237060547
2011-05-04,23.209999084472656
2011-05-05,23.139999389648438
2011-05-06,23.1200008392334
2011-05-09,23.350000381469727
2011-05-10,23.790000915527344
2011-05-11,23.3799991607666
2011-05-12,23.639999389648438
2011-05-13,23.18000030517578
2011-05-16,22.75
2011-05-17,22.690000534057617
2011-05-18,23.010000228881836
2011-05-19,22.989999771118164
2011-05-20,22.770000457763672
2011-05-23,22.459999084472656
2011-05-24,22.299999237060547
2011-05-25,22.610000610351562
2011-05-26,22.969999313354492
2011-05-27,23.110000610351562
2011-05-31,23.520000457763672
2011-06-01,22.600000381469727
2011-06-02,22.610000610351562
2011-06-03,22.25
2011-06-06,21.93000030517578
2011-06-07,21.950000762939453
2011-06-08,21.690000534057617
2011-06-09,21.799999237060547
2011-06-10,21.420000076293945
2011-06-13,21.350000381469727
2011-06-14,21.8700008392334
2011-06-15,21.440000534057617
2011-06-16,21.600000381469727
2011-06-17,21.59000015258789
2011-06-20,21.850000381469727
2011-06-21,22.280000686645508
2011-06-22,22.0
2011-06-23,22.06999969482422
