,CHRW
2001-04-17,12.265000343322754
2001-04-18,12.149999618530273
2001-04-19,12.6899995803833
2001-04-20,12.994999885559082
2001-04-23,12.890000343322754
2001-04-24,13.350000381469727
2001-04-25,13.710000038146973
2001-04-26,13.670000076293945
2001-04-27,13.694999694824219
2001-04-30,13.529999732971191
2001-05-01,13.75
2001-05-02,14.114999771118164
2001-05-03,13.869999885559082
2001-05-04,14.085000038146973
2001-05-07,13.975000381469727
2001-05-08,14.119999885559082
2001-05-09,14.005000114440918
2001-05-10,14.345000267028809
2001-05-11,14.399999618530273
2001-05-14,14.4350004196167
2001-05-15,14.944999694824219
2001-05-16,14.994999885559082
2001-05-17,15.475000381469727
2001-05-18,15.494999885559082
2001-05-21,15.640000343322754
2001-05-22,15.085000038146973
2001-05-23,14.649999618530273
2001-05-24,15.005000114440918
2001-05-25,14.949999809265137
2001-05-29,14.760000228881836
2001-05-30,14.5
2001-05-31,14.925000190734863
2001-06-01,14.380000114440918
2001-06-04,14.604999542236328
2001-06-05,14.925000190734863
2001-06-06,14.489999771118164
2001-06-07,14.609999656677246
2001-06-08,14.725000381469727
2001-06-11,14.5
2001-06-12,14.774999618530273
2001-06-13,14.680000305175781
2001-06-14,14.699999809265137
2001-06-15,14.130000114440918
2001-06-18,13.59000015258789
2001-06-19,13.364999771118164
2001-06-20,13.25
2001-06-21,13.319999694824219
2001-06-22,13.635000228881836
2001-06-25,13.25
2001-06-26,13.505000114440918
2001-06-27,13.579999923706055
2001-06-28,14.045000076293945
2001-06-29,13.944999694824219
2001-07-02,14.125
2001-07-03,14.015000343322754
2001-07-05,14.135000228881836
2001-07-06,13.850000381469727
2001-07-09,13.920000076293945
2001-07-10,13.569999694824219
2001-07-11,13.854999542236328
2001-07-12,14.225000381469727
2001-07-13,14.300000190734863
2001-07-16,14.479999542236328
2001-07-17,14.5
2001-07-18,14.479999542236328
2001-07-19,14.654999732971191
2001-07-20,14.989999771118164
2001-07-23,14.880000114440918
2001-07-24,14.854999542236328
2001-07-25,14.899999618530273
2001-07-26,15.21500015258789
2001-07-27,15.444999694824219
2001-07-30,15.444999694824219
2001-07-31,15.375
2001-08-01,15.25
2001-08-02,15.420000076293945
2001-08-03,15.234999656677246
2001-08-06,14.975000381469727
2001-08-07,15.024999618530273
2001-08-08,15.015000343322754
2001-08-09,14.880000114440918
2001-08-10,15.005000114440918
2001-08-13,14.975000381469727
2001-08-14,15.225000381469727
2001-08-15,15.3100004196167
2001-08-16,15.425000190734863
2001-08-17,15.369999885559082
2001-08-20,15.369999885559082
2001-08-21,15.404999732971191
2001-08-22,15.6899995803833
2001-08-23,15.475000381469727
2001-08-24,15.414999961853027
2001-08-27,15.140000343322754
2001-08-28,14.930000305175781
2001-08-29,15.375
2001-08-30,15.510000228881836
2001-08-31,15.545000076293945
2001-09-04,15.614999771118164
2001-09-05,15.505000114440918
2001-09-06,14.625
2001-09-07,14.005000114440918
2001-09-10,14.0
2001-09-17,14.010000228881836
2001-09-18,13.774999618530273
2001-09-19,13.40999984741211
2001-09-20,13.4399995803833
2001-09-21,13.15999984741211
2001-09-24,13.270000457763672
2001-09-25,13.199999809265137
2001-09-26,13.649999618530273
2001-09-27,13.774999618530273
2001-09-28,14.479999542236328
2001-10-01,13.779999732971191
2001-10-02,13.899999618530273
2001-10-03,14.125
2001-10-04,14.25
2001-10-05,14.15999984741211
2001-10-08,14.25
2001-10-09,14.225000381469727
2001-10-10,14.5
2001-10-11,14.864999771118164
2001-10-12,14.824999809265137
2001-10-15,14.729999542236328
2001-10-16,14.710000038146973
2001-10-17,14.164999961853027
2001-10-18,13.609999656677246
2001-10-19,13.65999984741211
2001-10-22,13.604999542236328
2001-10-23,13.739999771118164
2001-10-24,13.5600004196167
2001-10-25,13.354999542236328
2001-10-26,13.470000267028809
2001-10-29,13.395000457763672
2001-10-30,13.300000190734863
2001-10-31,13.385000228881836
2001-11-01,13.619999885559082
2001-11-02,13.824999809265137
2001-11-05,13.925000190734863
2001-11-06,14.25
2001-11-07,14.324999809265137
2001-11-08,14.375
2001-11-09,14.475000381469727
