,ACWX
2011-04-05,46.029998779296875
2011-04-06,46.2400016784668
2011-04-07,46.11000061035156
2011-04-08,46.34000015258789
2011-04-11,46.150001525878906
2011-04-12,45.58000183105469
2011-04-13,45.79999923706055
2011-04-14,45.93000030517578
2011-04-15,45.88999938964844
2011-04-18,44.97999954223633
2011-04-19,45.380001068115234
2011-04-20,46.47999954223633
2011-04-21,46.7400016784668
2011-04-25,46.560001373291016
2011-04-26,46.97999954223633
2011-04-27,47.29999923706055
2011-04-28,47.47999954223633
2011-04-29,47.720001220703125
2011-05-02,47.61000061035156
2011-05-03,47.02000045776367
2011-05-04,46.630001068115234
2011-05-05,45.779998779296875
2011-05-06,45.939998626708984
2011-05-09,46.25
2011-05-10,46.56999969482422
2011-05-11,45.779998779296875
2011-05-12,45.84000015258789
2011-05-13,45.13999938964844
2011-05-16,45.0
2011-05-17,45.11000061035156
2011-05-18,45.5099983215332
2011-05-19,45.689998626708984
2011-05-20,45.09000015258789
2011-05-23,44.16999816894531
2011-05-24,44.4900016784668
2011-05-25,44.65999984741211
2011-05-26,45.150001525878906
2011-05-27,45.38999938964844
2011-05-31,46.27000045776367
2011-06-01,45.27000045776367
2011-06-02,45.5
2011-06-03,45.459999084472656
2011-06-06,44.849998474121094
2011-06-07,45.2599983215332
2011-06-08,44.72999954223633
2011-06-09,45.13999938964844
2011-06-10,44.20000076293945
2011-06-13,44.2400016784668
2011-06-14,44.900001525878906
2011-06-15,43.61000061035156
2011-06-16,43.45000076293945
2011-06-17,43.75
2011-06-20,43.720001220703125
2011-06-21,44.529998779296875
2011-06-22,43.5
2011-06-23,43.189998626708984
2011-06-24,42.84000015258789
2011-06-27,43.18000030517578
2011-06-28,43.720001220703125
2011-06-29,44.349998474121094
2011-06-30,45.040000915527344
2011-07-01,45.4900016784668
2011-07-05,45.27000045776367
2011-07-06,44.9900016784668
2011-07-07,45.400001525878906
2011-07-08,44.90999984741211
2011-07-11,43.560001373291016
2011-07-12,43.349998474121094
2011-07-13,43.90999984741211
2011-07-14,43.560001373291016
2011-07-15,43.709999084472656
2011-07-18,43.06999969482422
2011-07-19,43.689998626708984
2011-07-20,44.029998779296875
2011-07-21,44.95000076293945
2011-07-22,45.040000915527344
2011-07-25,44.709999084472656
2011-07-26,44.869998931884766
2011-07-27,43.93000030517578
2011-07-28,43.79999923706055
2011-07-29,43.83000183105469
2011-08-01,43.5099983215332
2011-08-02,42.34000015258789
2011-08-03,42.470001220703125
2011-08-04,39.849998474121094
2011-08-05,40.119998931884766
2011-08-08,37.02000045776367
2011-08-09,39.27000045776367
2011-08-10,37.29999923706055
2011-08-11,38.97999954223633
2011-08-12,39.36000061035156
2011-08-15,40.16999816894531
2011-08-16,39.63999938964844
2011-08-17,39.849998474121094
2011-08-18,38.130001068115234
2011-08-19,37.5099983215332
2011-08-22,37.65999984741211
2011-08-23,38.91999816894531
2011-08-24,38.7400016784668
2011-08-25,38.02000045776367
2011-08-26,38.459999084472656
2011-08-29,39.5
2011-08-30,39.349998474121094
2011-08-31,39.970001220703125
2011-09-01,39.75
2011-09-02,38.810001373291016
2011-09-06,37.7400016784668
2011-09-07,38.900001525878906
2011-09-08,38.15999984741211
2011-09-09,36.880001068115234
2011-09-12,36.63999938964844
2011-09-13,36.93000030517578
2011-09-14,37.220001220703125
2011-09-15,37.95000076293945
2011-09-16,38.04999923706055
2011-09-19,36.97999954223633
2011-09-20,37.0099983215332
2011-09-21,36.0
2011-09-22,34.4900016784668
2011-09-23,34.88999938964844
2011-09-26,35.439998626708984
2011-09-27,36.369998931884766
2011-09-28,35.720001220703125
2011-09-29,36.27000045776367
2011-09-30,35.04999923706055
2011-10-03,34.04999923706055
2011-10-04,34.560001373291016
2011-10-05,35.20000076293945
2011-10-06,36.189998626708984
2011-10-07,35.90999984741211
2011-10-10,37.36000061035156
2011-10-11,37.31999969482422
2011-10-12,38.04999923706055
2011-10-13,37.88999938964844
2011-10-14,38.47999954223633
2011-10-17,37.619998931884766
2011-10-18,38.189998626708984
2011-10-19,37.45000076293945
2011-10-20,37.369998931884766
2011-10-21,38.25
2011-10-24,38.97999954223633
2011-10-25,38.29999923706055
2011-10-26,38.90999984741211
2011-10-27,41.040000915527344
2011-10-28,40.810001373291016
2011-10-31,38.97999954223633
2011-11-01,37.65999984741211
2011-11-02,38.29999923706055
2011-11-03,39.150001525878906
2011-11-04,38.7400016784668
2011-11-07,38.95000076293945
2011-11-08,39.36000061035156
2011-11-09,37.31999969482422
2011-11-10,37.7400016784668
2011-11-11,38.65999984741211
2011-11-14,38.029998779296875
2011-11-15,38.0
2011-11-16,37.310001373291016
2011-11-17,36.849998474121094
2011-11-18,36.93000030517578
2011-11-21,35.95000076293945
2011-11-22,35.83000183105469
2011-11-23,34.790000915527344
2011-11-25,34.56999969482422
2011-11-28,36.13999938964844
2011-11-29,36.33000183105469
2011-11-30,38.13999938964844
2011-12-01,38.0099983215332
2011-12-02,37.9900016784668
2011-12-05,38.380001068115234
2011-12-06,38.15999984741211
2011-12-07,38.400001525878906
2011-12-08,37.279998779296875
2011-12-09,38.099998474121094
2011-12-12,37.0
2011-12-13,36.459999084472656
2011-12-14,36.11000061035156
2011-12-15,35.90999984741211
2011-12-16,36.099998474121094
2011-12-19,35.689998626708984
2011-12-20,36.400001525878906
2011-12-21,36.33000183105469
2011-12-22,36.650001525878906
2011-12-23,36.790000915527344
2011-12-27,36.77000045776367
2011-12-28,35.9900016784668
2011-12-29,36.619998931884766
2011-12-30,36.810001373291016
2012-01-03,37.709999084472656
2012-01-04,37.4900016784668
2012-01-05,37.060001373291016
2012-01-06,36.56999969482422
2012-01-09,36.900001525878906
2012-01-10,37.400001525878906
2012-01-11,37.22999954223633
2012-01-12,37.380001068115234
2012-01-13,36.959999084472656
2012-01-17,37.33000183105469
2012-01-18,38.08000183105469
2012-01-19,38.4900016784668
2012-01-20,38.59000015258789
2012-01-23,38.83000183105469
2012-01-24,38.65999984741211
2012-01-25,39.11000061035156
2012-01-26,39.150001525878906
2012-01-27,39.310001373291016
2012-01-30,38.880001068115234
2012-01-31,39.11000061035156
2012-02-01,39.720001220703125
2012-02-02,39.86000061035156
2012-02-03,40.45000076293945
2012-02-06,40.209999084472656
2012-02-07,40.4900016784668
2012-02-08,40.650001525878906
2012-02-09,40.619998931884766
2012-02-10,39.84000015258789
2012-02-13,40.279998779296875
2012-02-14,40.0
2012-02-15,40.13999938964844
2012-02-16,40.58000183105469
2012-02-17,40.7599983215332
2012-02-21,40.83000183105469
2012-02-22,40.7599983215332
2012-02-23,40.95000076293945
2012-02-24,41.27000045776367
2012-02-27,41.029998779296875
2012-02-28,41.439998626708984
2012-02-29,41.029998779296875
2012-03-01,41.5
2012-03-02,41.189998626708984
2012-03-05,40.88999938964844
2012-03-06,39.560001373291016
2012-03-07,40.0099983215332
2012-03-08,40.86000061035156
2012-03-09,40.77000045776367
2012-03-12,40.630001068115234
2012-03-13,41.31999969482422
2012-03-14,40.959999084472656
2012-03-15,41.29999923706055
2012-03-16,41.4900016784668
2012-03-19,41.619998931884766
2012-03-20,41.11000061035156
2012-03-21,40.900001525878906
2012-03-22,40.58000183105469
2012-03-23,40.79999923706055
2012-03-26,41.349998474121094
2012-03-27,41.130001068115234
2012-03-28,40.83000183105469
2012-03-29,40.560001373291016
2012-03-30,40.83000183105469
2012-04-02,41.349998474121094
2012-04-03,40.779998779296875
2012-04-04,39.93000030517578
2012-04-05,39.810001373291016
2012-04-09,39.540000915527344
2012-04-10,38.720001220703125
2012-04-11,39.220001220703125
2012-04-12,40.029998779296875
2012-04-13,39.29999923706055
2012-04-16,39.459999084472656
2012-04-17,40.029998779296875
2012-04-18,39.83000183105469
2012-04-19,39.65999984741211
2012-04-20,39.880001068115234
2012-04-23,39.2599983215332
2012-04-24,39.5
2012-04-25,39.91999816894531
2012-04-26,40.16999816894531
2012-04-27,40.290000915527344
2012-04-30,40.150001525878906
2012-05-01,40.310001373291016
2012-05-02,40.04999923706055
2012-05-03,39.70000076293945
2012-05-04,39.06999969482422
2012-05-07,39.220001220703125
2012-05-08,38.63999938964844
2012-05-09,38.06999969482422
2012-05-10,38.349998474121094
2012-05-11,38.09000015258789
2012-05-14,37.29999923706055
2012-05-15,36.84000015258789
2012-05-16,36.43000030517578
2012-05-17,36.029998779296875
2012-05-18,35.79999923706055
2012-05-21,36.529998779296875
2012-05-22,36.369998931884766
2012-05-23,36.099998474121094
2012-05-24,35.869998931884766
2012-05-25,35.790000915527344
2012-05-29,36.29999923706055
2012-05-30,35.52000045776367
2012-05-31,35.689998626708984
2012-06-01,34.79999923706055
2012-06-04,35.029998779296875
2012-06-05,35.220001220703125
2012-06-06,36.27000045776367
2012-06-07,36.25
2012-06-08,36.060001373291016
2012-06-11,35.72999954223633
2012-06-12,36.349998474121094
2012-06-13,36.09000015258789
2012-06-14,36.34000015258789
2012-06-15,36.70000076293945
2012-06-18,36.75
2012-06-19,37.36000061035156
2012-06-20,37.459999084472656
2012-06-21,35.77000045776367
2012-06-22,36.09000015258789
2012-06-25,35.349998474121094
2012-06-26,35.65999984741211
2012-06-27,35.939998626708984
2012-06-28,35.90999984741211
2012-06-29,37.189998626708984
2012-07-02,37.400001525878906
2012-07-03,37.810001373291016
2012-07-05,37.34000015258789
2012-07-06,36.849998474121094
2012-07-09,36.7400016784668
2012-07-10,36.47999954223633
2012-07-11,36.619998931884766
2012-07-12,36.20000076293945
2012-07-13,36.70000076293945
2012-07-16,36.689998626708984
2012-07-17,36.900001525878906
2012-07-18,37.04999923706055
2012-07-19,37.34000015258789
2012-07-20,36.61000061035156
2012-07-23,35.869998931884766
2012-07-24,35.529998779296875
2012-07-25,35.70000076293945
2012-07-26,36.66999816894531
2012-07-27,37.470001220703125
2012-07-30,37.470001220703125
2012-07-31,37.290000915527344
2012-08-01,37.25
2012-08-02,36.75
2012-08-03,37.869998931884766
2012-08-06,38.119998931884766
2012-08-07,38.439998626708984
2012-08-08,38.459999084472656
2012-08-09,38.560001373291016
2012-08-10,38.59000015258789
2012-08-13,38.43000030517578
2012-08-14,38.4900016784668
2012-08-15,38.40999984741211
2012-08-16,38.779998779296875
2012-08-17,38.790000915527344
2012-08-20,38.72999954223633
2012-08-21,38.900001525878906
2012-08-22,38.869998931884766
2012-08-23,38.5099983215332
2012-08-24,38.470001220703125
2012-08-27,38.380001068115234
2012-08-28,38.31999969482422
2012-08-29,38.25
2012-08-30,37.720001220703125
2012-08-31,38.060001373291016
2012-09-04,37.86000061035156
2012-09-05,37.75
2012-09-06,38.650001525878906
2012-09-07,39.25
2012-09-10,38.93000030517578
2012-09-11,39.41999816894531
2012-09-12,39.619998931884766
2012-09-13,40.400001525878906
2012-09-14,40.97999954223633
2012-09-17,40.68000030517578
