,CPZ
2020-06-18,16.299999237060547
2020-06-19,16.219999313354492
2020-06-22,16.15999984741211
2020-06-23,16.117000579833984
2020-06-24,15.600000381469727
2020-06-25,15.609999656677246
2020-06-26,15.09000015258789
2020-06-29,15.369999885559082
2020-06-30,15.479999542236328
2020-07-01,15.300000190734863
2020-07-02,15.220000267028809
2020-07-06,15.390000343322754
2020-07-07,15.279999732971191
2020-07-08,15.454999923706055
2020-07-09,15.359999656677246
2020-07-10,15.085000038146973
2020-07-13,15.199999809265137
2020-07-14,14.979999542236328
2020-07-15,15.5
2020-07-16,15.800000190734863
2020-07-17,15.529999732971191
2020-07-20,15.600000381469727
2020-07-21,15.699999809265137
2020-07-22,15.619999885559082
2020-07-23,15.600000381469727
2020-07-24,15.739999771118164
2020-07-27,15.5600004196167
2020-07-28,15.1899995803833
2020-07-29,15.390000343322754
2020-07-30,15.34000015258789
2020-07-31,15.289999961853027
2020-08-03,15.210000038146973
2020-08-04,15.225000381469727
2020-08-05,15.930000305175781
2020-08-06,15.720000267028809
2020-08-07,15.970000267028809
2020-08-10,15.920000076293945
2020-08-11,16.139999389648438
2020-08-12,16.5
2020-08-13,16.329999923706055
2020-08-14,16.18000030517578
2020-08-17,16.139999389648438
2020-08-18,16.09000015258789
2020-08-19,16.010000228881836
2020-08-20,15.779999732971191
2020-08-21,15.859999656677246
2020-08-24,15.850000381469727
2020-08-25,15.670000076293945
2020-08-26,15.649999618530273
2020-08-27,15.479999542236328
2020-08-28,15.609999656677246
2020-08-31,15.609999656677246
2020-09-01,15.59000015258789
2020-09-02,15.579999923706055
2020-09-03,15.210000038146973
2020-09-04,15.079999923706055
2020-09-08,14.880000114440918
2020-09-09,15.100000381469727
2020-09-10,15.25
2020-09-11,15.149999618530273
2020-09-14,15.529999732971191
2020-09-15,15.329999923706055
2020-09-16,15.329999923706055
2020-09-17,15.239999771118164
2020-09-18,15.140000343322754
2020-09-21,14.819999694824219
2020-09-22,14.640000343322754
2020-09-23,14.289999961853027
2020-09-24,14.024999618530273
2020-09-25,14.050000190734863
2020-09-28,14.520000457763672
2020-09-29,14.350000381469727
2020-09-30,14.53499984741211
2020-10-01,14.57699966430664
2020-10-02,14.460000038146973
2020-10-05,14.779999732971191
2020-10-06,14.90999984741211
2020-10-07,15.25
2020-10-08,15.039999961853027
2020-10-09,15.220000267028809
2020-10-12,15.520000457763672
2020-10-13,15.289999961853027
2020-10-14,15.279999732971191
2020-10-15,15.149999618530273
2020-10-16,14.998000144958496
2020-10-19,15.029999732971191
2020-10-20,15.15999984741211
2020-10-21,15.079999923706055
2020-10-22,15.170000076293945
2020-10-23,14.880000114440918
2020-10-26,14.729999542236328
2020-10-27,14.680000305175781
2020-10-28,14.079999923706055
2020-10-29,14.430000305175781
2020-10-30,14.130000114440918
2020-11-02,14.399999618530273
2020-11-03,14.630000114440918
2020-11-04,15.039999961853027
2020-11-05,15.09000015258789
2020-11-06,15.09000015258789
2020-11-09,15.479999542236328
2020-11-10,16.030000686645508
2020-11-11,16.420000076293945
2020-11-12,16.190000534057617
2020-11-13,16.399999618530273
2020-11-16,16.709999084472656
2020-11-17,16.760000228881836
2020-11-18,16.8700008392334
2020-11-19,16.920000076293945
2020-11-20,17.010000228881836
2020-11-23,17.110000610351562
2020-11-24,17.31999969482422
2020-11-25,17.260000228881836
2020-11-27,17.43000030517578
2020-11-30,17.18000030517578
2020-12-01,17.329999923706055
2020-12-02,17.450000762939453
2020-12-03,17.579999923706055
2020-12-04,17.940000534057617
2020-12-07,17.84000015258789
2020-12-08,17.860000610351562
2020-12-09,17.860000610351562
2020-12-10,17.979999542236328
2020-12-11,17.59000015258789
2020-12-14,17.510000228881836
2020-12-15,17.639999389648438
2020-12-16,17.6200008392334
2020-12-17,17.75
2020-12-18,17.6200008392334
2020-12-21,17.219999313354492
2020-12-22,17.1299991607666
2020-12-23,17.270000457763672
2020-12-24,17.309999465942383
2020-12-28,17.420000076293945
2020-12-29,17.549999237060547
2020-12-30,17.3700008392334
2020-12-31,17.43000030517578
2021-01-04,17.600000381469727
2021-01-05,17.399999618530273
2021-01-06,17.860000610351562
2021-01-07,18.5
2021-01-08,18.260000228881836
2021-01-11,17.760000228881836
2021-01-12,17.889999389648438
2021-01-13,17.969999313354492
2021-01-14,17.920000076293945
2021-01-15,17.59000015258789
2021-01-19,18.280000686645508
2021-01-20,18.139999389648438
2021-01-21,18.469999313354492
2021-01-22,18.020000457763672
2021-01-25,17.799999237060547
2021-01-26,17.649999618530273
2021-01-27,17.219999313354492
2021-01-28,17.549999237060547
2021-01-29,17.399999618530273
2021-02-01,17.8700008392334
2021-02-02,17.940000534057617
2021-02-03,17.75
2021-02-04,18.100000381469727
2021-02-05,18.06999969482422
2021-02-08,18.440000534057617
2021-02-09,18.219999313354492
2021-02-10,18.270000457763672
2021-02-11,18.190000534057617
2021-02-12,18.200000762939453
2021-02-16,18.149999618530273
2021-02-17,18.59000015258789
2021-02-18,18.549999237060547
2021-02-19,18.389999389648438
2021-02-22,18.56999969482422
2021-02-23,18.850000381469727
2021-02-24,19.079999923706055
2021-02-25,18.540000915527344
2021-02-26,18.309999465942383
2021-03-01,18.760000228881836
2021-03-02,18.639999389648438
2021-03-03,19.059999465942383
2021-03-04,18.959999084472656
2021-03-05,19.31999969482422
2021-03-08,19.5
2021-03-09,19.579999923706055
2021-03-10,19.719999313354492
2021-03-11,19.469999313354492
2021-03-12,19.559999465942383
2021-03-15,19.65999984741211
2021-03-16,19.709999084472656
2021-03-17,19.90999984741211
2021-03-18,19.799999237060547
2021-03-19,19.75
2021-03-22,19.899999618530273
2021-03-23,19.68000030517578
2021-03-24,19.850000381469727
2021-03-25,19.8700008392334
2021-03-26,19.899999618530273
2021-03-29,19.850000381469727
2021-03-30,20.0
2021-03-31,20.18000030517578
2021-04-01,20.020000457763672
2021-04-05,20.139999389648438
2021-04-06,20.25
2021-04-07,20.149999618530273
2021-04-08,20.399999618530273
2021-04-09,20.68000030517578
2021-04-12,20.350000381469727
2021-04-13,20.139999389648438
2021-04-14,20.229999542236328
2021-04-15,20.34000015258789
2021-04-16,20.350000381469727
2021-04-19,20.350000381469727
2021-04-20,20.1200008392334
2021-04-21,20.1200008392334
2021-04-22,20.18000030517578
2021-04-23,20.610000610351562
2021-04-26,20.489999771118164
2021-04-27,20.639999389648438
2021-04-28,20.790000915527344
2021-04-29,20.739999771118164
2021-04-30,20.739999771118164
2021-05-03,20.649999618530273
2021-05-04,20.600000381469727
2021-05-05,20.59000015258789
2021-05-06,20.559999465942383
2021-05-07,20.690000534057617
2021-05-10,20.75
2021-05-11,20.459999084472656
2021-05-12,20.299999237060547
2021-05-13,20.360000610351562
2021-05-14,20.399999618530273
