,AAON
1993-08-26,0.6185309886932373
1993-08-27,0.5886020064353943
1993-08-30,0.6185309886932373
1993-08-31,0.6185309886932373
1993-09-01,0.6185309886932373
1993-09-02,0.5985779762268066
1993-09-03,0.6185309886932373
1993-09-07,0.5786259770393372
1993-09-08,0.5187680125236511
1993-09-09,0.5786259770393372
1993-09-10,0.5387210249900818
1993-09-13,0.5586730241775513
1993-09-14,0.5586730241775513
1993-09-15,0.5786259770393372
1993-09-16,0.5586730241775513
1993-09-17,0.5985779762268066
1993-09-20,0.5985779762268066
1993-09-21,0.608555018901825
1993-09-22,0.5985779762268066
1993-09-23,0.6185309886932373
1993-09-24,0.608555018901825
1993-09-27,0.6185309886932373
1993-09-28,0.6484599709510803
1993-09-29,0.608555018901825
1993-09-30,0.5985779762268066
1993-10-01,0.608555018901825
