,AUPH
2015-05-29,3.509999990463257
2015-06-01,3.5199999809265137
2015-06-02,3.490000009536743
2015-06-03,3.430000066757202
2015-06-04,3.5199999809265137
2015-06-05,3.490000009536743
2015-06-08,3.5299999713897705
2015-06-09,3.490000009536743
2015-06-10,3.440000057220459
2015-06-11,3.4000000953674316
2015-06-12,3.369999885559082
2015-06-15,3.4100000858306885
2015-06-16,3.380000114440918
2015-06-17,3.5
2015-06-18,3.437999963760376
2015-06-19,3.450000047683716
2015-06-22,3.4600000381469727
2015-06-23,3.2899999618530273
2015-06-24,3.240000009536743
2015-06-25,3.2100000381469727
2015-06-26,3.2200000286102295
2015-06-29,3.009999990463257
2015-06-30,3.0199999809265137
2015-07-01,3.259999990463257
2015-07-02,3.2100000381469727
2015-07-06,3.2300000190734863
2015-07-07,3.5799999237060547
2015-07-08,3.5799999237060547
