,AXNX
2019-07-26,37.72999954223633
2019-07-29,37.720001220703125
2019-07-30,37.65999984741211
2019-07-31,36.70000076293945
2019-08-01,37.369998931884766
2019-08-02,36.11000061035156
2019-08-05,33.77000045776367
2019-08-06,30.81999969482422
2019-08-07,34.0
2019-08-08,33.06999969482422
2019-08-09,33.77000045776367
2019-08-12,32.939998626708984
2019-08-13,35.150001525878906
2019-08-14,33.34000015258789
2019-08-15,33.5
2019-08-16,34.150001525878906
2019-08-19,34.43000030517578
2019-08-20,34.310001373291016
2019-08-21,34.91999816894531
2019-08-22,34.099998474121094
2019-08-23,33.13999938964844
2019-08-26,34.290000915527344
2019-08-27,33.29999923706055
2019-08-28,33.36000061035156
2019-08-29,34.459999084472656
2019-08-30,33.27000045776367
2019-09-03,33.310001373291016
2019-09-04,33.119998931884766
2019-09-05,35.47999954223633
2019-09-06,35.709999084472656
2019-09-09,33.2400016784668
2019-09-10,30.639999389648438
2019-09-11,31.829999923706055
2019-09-12,31.5
2019-09-13,31.020000457763672
2019-09-16,30.270000457763672
2019-09-17,31.940000534057617
2019-09-18,31.420000076293945
2019-09-19,29.799999237060547
2019-09-20,31.170000076293945
2019-09-23,30.899999618530273
2019-09-24,30.059999465942383
2019-09-25,28.889999389648438
2019-09-26,27.290000915527344
2019-09-27,27.739999771118164
2019-09-30,26.920000076293945
2019-10-01,25.610000610351562
2019-10-02,25.34000015258789
2019-10-03,26.530000686645508
2019-10-04,25.530000686645508
2019-10-07,23.520000457763672
2019-10-08,21.68000030517578
2019-10-09,21.010000228881836
2019-10-10,21.049999237060547
2019-10-11,20.06999969482422
2019-10-14,20.200000762939453
2019-10-15,20.709999084472656
2019-10-16,20.329999923706055
2019-10-17,20.479999542236328
2019-10-18,20.440000534057617
2019-10-21,20.809999465942383
2019-10-22,19.56999969482422
2019-10-23,19.760000228881836
2019-10-24,20.770000457763672
2019-10-25,20.68000030517578
2019-10-28,22.100000381469727
2019-10-29,23.450000762939453
2019-10-30,23.5
2019-10-31,24.719999313354492
2019-11-01,25.100000381469727
2019-11-04,24.3700008392334
2019-11-05,23.3799991607666
2019-11-06,23.170000076293945
2019-11-07,21.360000610351562
