,BFI
2018-08-06,9.770000457763672
2018-08-07,9.779999732971191
2018-08-08,9.779999732971191
2018-08-09,9.779999732971191
2018-08-10,9.779999732971191
2018-08-13,9.779999732971191
2018-08-14,9.800000190734863
2018-08-15,9.800000190734863
2018-08-16,9.800000190734863
2018-08-17,9.800000190734863
2018-08-20,9.800000190734863
2018-08-21,9.800000190734863
2018-08-22,9.770000457763672
2018-08-23,9.819999694824219
2018-08-24,9.800000190734863
2018-08-27,9.850000381469727
2018-08-28,9.819999694824219
2018-08-29,9.819999694824219
2018-08-30,9.819999694824219
2018-08-31,9.819999694824219
2018-09-04,9.819999694824219
2018-09-05,9.819999694824219
2018-09-06,9.819999694824219
2018-09-07,9.819999694824219
2018-09-10,9.819999694824219
2018-09-11,9.819999694824219
2018-09-12,9.819999694824219
2018-09-13,9.819999694824219
2018-09-14,9.819999694824219
2018-09-17,9.819999694824219
2018-09-18,9.819999694824219
2018-09-19,9.819999694824219
2018-09-20,9.800000190734863
2018-09-21,9.800000190734863
2018-09-24,9.819999694824219
2018-09-25,9.819999694824219
2018-09-26,9.819999694824219
2018-09-27,9.819999694824219
2018-09-28,9.850000381469727
2018-10-01,9.850000381469727
2018-10-02,9.850000381469727
2018-10-03,9.850000381469727
2018-10-04,9.829999923706055
2018-10-05,9.829999923706055
2018-10-08,9.829999923706055
2018-10-09,9.829999923706055
2018-10-10,9.829999923706055
2018-10-11,9.829999923706055
2018-10-12,9.829999923706055
2018-10-15,9.829999923706055
2018-10-16,9.829999923706055
2018-10-17,9.829999923706055
2018-10-18,9.829999923706055
2018-10-19,9.829999923706055
2018-10-22,9.829999923706055
2018-10-23,9.819999694824219
2018-10-24,9.819999694824219
2018-10-25,9.819999694824219
2018-10-26,9.819999694824219
2018-10-29,9.819999694824219
2018-10-30,9.829999923706055
2018-10-31,9.899999618530273
2018-11-01,9.880000114440918
2018-11-02,9.880000114440918
2018-11-05,9.890000343322754
2018-11-06,9.880000114440918
2018-11-07,9.880000114440918
2018-11-08,9.890000343322754
2018-11-09,9.890000343322754
2018-11-12,9.890000343322754
2018-11-13,9.890000343322754
2018-11-14,9.899999618530273
2018-11-15,9.90999984741211
2018-11-16,9.90999984741211
2018-11-19,9.90999984741211
2018-11-20,9.90999984741211
2018-11-21,9.90999984741211
2018-11-23,9.90999984741211
2018-11-26,9.930000305175781
2018-11-27,9.920000076293945
2018-11-28,9.90999984741211
2018-11-29,9.925000190734863
2018-11-30,9.920000076293945
2018-12-03,9.930000305175781
2018-12-04,9.9399995803833
2018-12-06,9.9399995803833
2018-12-07,9.920000076293945
2018-12-10,9.949999809265137
2018-12-11,9.9399995803833
2018-12-12,9.9399995803833
2018-12-13,9.970000267028809
2018-12-14,9.970000267028809
2018-12-17,9.970000267028809
2018-12-18,9.970000267028809
2018-12-19,9.970000267028809
2018-12-20,9.9399995803833
2018-12-21,9.9399995803833
2018-12-24,9.9399995803833
2018-12-26,9.9399995803833
2018-12-27,9.9399995803833
2018-12-28,9.949999809265137
2018-12-31,9.930000305175781
