,CVLG
1995-06-07,13.5
1995-06-08,12.5
1995-06-09,13.0
1995-06-12,12.75
1995-06-13,12.5
1995-06-14,11.5
1995-06-15,11.75
1995-06-16,12.375
1995-06-19,12.5
1995-06-20,12.3125
1995-06-21,12.5
1995-06-22,11.5
1995-06-23,11.75
1995-06-26,12.0
1995-06-27,12.25
1995-06-28,12.5
1995-06-29,12.75
1995-06-30,13.0
1995-07-03,12.5
1995-07-05,12.5
1995-07-06,12.5
1995-07-07,13.0
1995-07-10,13.75
1995-07-11,14.5
1995-07-12,14.5
1995-07-13,14.625
1995-07-14,14.0
1995-07-17,14.25
1995-07-18,14.25
1995-07-19,14.5
1995-07-20,14.0
1995-07-21,14.0
1995-07-24,14.0
1995-07-25,14.0
1995-07-26,14.0
1995-07-27,14.0
1995-07-28,14.125
1995-07-31,13.75
1995-08-01,13.75
1995-08-02,13.75
1995-08-03,13.75
1995-08-04,13.5
1995-08-07,13.5
1995-08-08,13.5
1995-08-09,13.875
1995-08-10,14.0
1995-08-11,13.5
1995-08-14,13.75
1995-08-15,13.0
1995-08-16,13.0
1995-08-17,13.5
1995-08-18,13.0
1995-08-21,13.25
1995-08-22,13.25
1995-08-23,13.5
1995-08-24,14.0
1995-08-25,13.5
1995-08-28,13.5
1995-08-29,14.0
1995-08-30,14.75
1995-08-31,16.0
1995-09-01,16.0
1995-09-05,16.25
1995-09-06,16.25
1995-09-07,16.25
1995-09-08,16.75
1995-09-11,17.25
1995-09-12,17.0
1995-09-13,16.25
1995-09-14,16.5
1995-09-15,15.75
1995-09-18,16.25
1995-09-19,15.75
1995-09-20,15.75
1995-09-21,15.75
1995-09-22,16.25
1995-09-25,15.5
1995-09-26,15.5625
1995-09-27,16.0
1995-09-28,14.5
1995-09-29,14.6875
1995-10-02,14.5
1995-10-03,14.5
1995-10-04,14.5
1995-10-05,14.5
1995-10-06,14.875
1995-10-09,14.25
1995-10-10,14.25
1995-10-11,14.25
1995-10-12,14.25
1995-10-13,14.25
1995-10-16,14.875
1995-10-17,14.25
1995-10-18,14.25
1995-10-19,13.25
1995-10-20,13.5
1995-10-23,13.5
1995-10-24,13.5
1995-10-25,13.0
1995-10-26,13.25
1995-10-27,13.0
1995-10-30,13.0
1995-10-31,12.75
1995-11-01,12.75
1995-11-02,13.0
1995-11-03,13.0
1995-11-06,13.0
1995-11-07,12.75
1995-11-08,12.875
1995-11-09,13.125
1995-11-10,13.75
1995-11-13,13.0
1995-11-14,12.75
1995-11-15,12.0
1995-11-16,12.5
1995-11-17,11.875
1995-11-20,12.5
1995-11-21,13.75
1995-11-22,13.0
1995-11-24,13.5
1995-11-27,13.25
1995-11-28,12.625
1995-11-29,12.5
1995-11-30,13.25
1995-12-01,13.0
1995-12-04,12.75
1995-12-05,12.75
1995-12-06,12.75
1995-12-07,12.75
1995-12-08,12.25
1995-12-11,12.375
1995-12-12,12.25
1995-12-13,12.0
1995-12-14,12.25
1995-12-15,12.25
1995-12-18,12.0
1995-12-19,12.1875
1995-12-20,11.75
1995-12-21,11.75
1995-12-22,11.5
1995-12-26,11.75
1995-12-27,11.75
1995-12-28,11.25
1995-12-29,12.0
1996-01-02,11.75
1996-01-03,11.75
1996-01-04,11.75
1996-01-05,11.75
1996-01-08,12.0
1996-01-09,12.0
1996-01-10,11.75
1996-01-11,12.25
1996-01-12,11.75
1996-01-15,12.0
1996-01-16,11.5
1996-01-17,12.0
1996-01-18,11.75
1996-01-19,11.75
1996-01-22,11.75
1996-01-23,11.25
1996-01-24,12.25
1996-01-25,12.5
1996-01-26,12.5
1996-01-29,12.0
1996-01-30,12.5
1996-01-31,13.5
1996-02-01,13.25
1996-02-02,13.75
1996-02-05,14.25
1996-02-06,14.25
1996-02-07,14.0
1996-02-08,14.5
1996-02-09,14.5
1996-02-12,14.25
1996-02-13,13.25
1996-02-14,13.25
1996-02-15,13.0
1996-02-16,13.75
1996-02-20,13.75
1996-02-21,14.0
1996-02-22,15.0
1996-02-23,14.625
1996-02-26,15.0
1996-02-27,15.0
1996-02-28,14.5
1996-02-29,14.5
1996-03-01,15.0
1996-03-04,14.75
1996-03-05,15.5
1996-03-06,16.0
1996-03-07,15.75
1996-03-08,15.75
1996-03-11,16.25
1996-03-12,16.25
1996-03-13,17.0
1996-03-14,16.75
1996-03-15,16.25
1996-03-18,16.25
1996-03-19,16.5
1996-03-20,16.375
1996-03-21,16.875
1996-03-22,16.75
1996-03-25,16.75
1996-03-26,16.5
1996-03-27,16.625
1996-03-28,16.25
1996-03-29,16.25
1996-04-01,17.0
1996-04-02,16.625
1996-04-03,16.25
1996-04-04,16.25
1996-04-08,16.375
1996-04-09,16.125
1996-04-10,16.0
1996-04-11,16.0
1996-04-12,16.5
1996-04-15,16.0
1996-04-16,17.0
1996-04-17,17.5
1996-04-18,17.5
1996-04-19,17.75
1996-04-22,17.0
1996-04-23,17.375
1996-04-24,17.0
1996-04-25,17.75
1996-04-26,17.5
1996-04-29,17.5
1996-04-30,17.375
1996-05-01,17.0
1996-05-02,17.0
1996-05-03,17.25
1996-05-06,16.875
1996-05-07,17.25
1996-05-08,17.0
1996-05-09,16.8125
1996-05-10,16.75
1996-05-13,16.75
1996-05-14,16.75
1996-05-15,17.0
1996-05-16,16.75
1996-05-17,16.5
1996-05-20,16.25
1996-05-21,16.625
1996-05-22,17.0
1996-05-23,16.5
1996-05-24,16.625
1996-05-28,15.25
1996-05-29,15.0
1996-05-30,15.125
1996-05-31,15.375
1996-06-03,15.5
1996-06-04,16.0
1996-06-05,16.125
1996-06-06,15.5
1996-06-07,16.25
1996-06-10,15.75
1996-06-11,15.75
1996-06-12,15.75
1996-06-13,16.25
1996-06-14,15.875
1996-06-17,16.125
1996-06-18,15.75
1996-06-19,16.25
1996-06-20,15.75
1996-06-21,16.25
1996-06-24,16.75
1996-06-25,17.125
1996-06-26,17.125
1996-06-27,17.0
1996-06-28,17.0
1996-07-01,18.375
1996-07-02,18.125
1996-07-03,18.125
1996-07-05,18.25
1996-07-08,17.5
1996-07-09,16.25
1996-07-10,16.125
1996-07-11,16.0
1996-07-12,15.5
1996-07-15,15.0
1996-07-16,15.0
1996-07-17,15.25
1996-07-18,18.25
1996-07-19,18.25
1996-07-22,18.25
1996-07-23,18.0
1996-07-24,18.0
1996-07-25,19.0
1996-07-26,19.0
1996-07-29,19.0
1996-07-30,18.75
1996-07-31,18.75
1996-08-01,18.75
1996-08-02,18.75
1996-08-05,19.5
1996-08-06,18.75
1996-08-07,20.875
1996-08-08,20.75
1996-08-09,20.5
1996-08-12,20.5
1996-08-13,20.75
1996-08-14,20.5
1996-08-15,18.75
1996-08-16,19.25
1996-08-19,18.75
1996-08-20,18.75
1996-08-21,18.75
1996-08-22,18.625
1996-08-23,18.25
1996-08-26,18.625
1996-08-27,18.0
1996-08-28,18.125
1996-08-29,18.125
1996-08-30,18.25
1996-09-03,18.5
1996-09-04,18.25
1996-09-05,18.5
1996-09-06,18.25
1996-09-09,18.625
1996-09-10,19.0
1996-09-11,19.0
1996-09-12,19.0
1996-09-13,18.75
1996-09-16,18.25
1996-09-17,19.0
1996-09-18,19.0
1996-09-19,18.5
1996-09-20,19.25
1996-09-23,19.25
1996-09-24,18.5
1996-09-25,18.875
1996-09-26,19.25
1996-09-27,18.875
1996-09-30,19.25
1996-10-01,18.5
1996-10-02,19.25
1996-10-03,19.25
1996-10-04,18.5
1996-10-07,18.5
1996-10-08,18.5
1996-10-09,19.25
1996-10-10,18.0
1996-10-11,17.75
1996-10-14,17.75
1996-10-15,17.5
1996-10-16,17.75
1996-10-17,17.0
1996-10-18,17.0
1996-10-21,16.75
1996-10-22,16.25
1996-10-23,16.25
1996-10-24,16.25
1996-10-25,16.5
1996-10-28,16.125
1996-10-29,16.0
1996-10-30,16.0
1996-10-31,16.125
1996-11-01,16.25
1996-11-04,16.25
1996-11-05,16.25
1996-11-06,15.75
1996-11-07,15.75
1996-11-08,16.25
1996-11-11,15.75
1996-11-12,16.0
1996-11-13,16.0
1996-11-14,15.75
1996-11-15,15.5
1996-11-18,15.625
1996-11-19,15.25
1996-11-20,15.25
1996-11-21,15.25
1996-11-22,15.25
1996-11-25,15.25
1996-11-26,15.75
1996-11-27,15.25
1996-11-29,15.25
1996-12-02,15.25
1996-12-03,15.25
1996-12-04,15.5
1996-12-05,14.5
1996-12-06,14.25
1996-12-09,14.5
1996-12-10,14.0
1996-12-11,14.0
1996-12-12,14.0
1996-12-13,14.25
1996-12-16,15.0
1996-12-17,14.5
1996-12-18,13.25
1996-12-19,14.0
1996-12-20,14.125
1996-12-23,14.5
1996-12-24,14.25
1996-12-26,14.0
1996-12-27,14.25
1996-12-30,13.75
1996-12-31,14.375
1997-01-02,14.5
1997-01-03,15.0
1997-01-06,15.25
1997-01-07,15.0
1997-01-08,15.125
1997-01-09,15.75
1997-01-10,15.75
1997-01-13,15.75
1997-01-14,15.375
1997-01-15,15.625
1997-01-16,14.625
1997-01-17,15.0
1997-01-20,14.625
1997-01-21,13.5
1997-01-22,13.0
1997-01-23,12.0
1997-01-24,11.875
1997-01-27,11.875
1997-01-28,13.25
1997-01-29,13.0
1997-01-30,13.25
1997-01-31,13.75
1997-02-03,13.375
1997-02-04,13.5
1997-02-05,13.25
1997-02-06,13.25
1997-02-07,13.5
1997-02-10,13.5
1997-02-11,15.0
1997-02-12,15.25
1997-02-13,15.25
1997-02-14,15.5
1997-02-18,15.5
1997-02-19,15.0
1997-02-20,15.0
1997-02-21,14.375
1997-02-24,14.0
1997-02-25,14.75
1997-02-26,13.75
1997-02-27,13.75
1997-02-28,14.125
1997-03-03,14.25
1997-03-04,14.0
1997-03-05,14.25
1997-03-06,14.25
1997-03-07,14.125
1997-03-10,14.0
1997-03-11,14.125
1997-03-12,14.0
1997-03-13,13.5
1997-03-14,13.75
1997-03-17,13.25
1997-03-18,13.375
1997-03-19,13.25
1997-03-20,13.75
1997-03-21,13.5
1997-03-24,13.25
1997-03-25,14.25
1997-03-26,14.0
1997-03-27,14.375
1997-03-31,14.125
1997-04-01,14.0
1997-04-02,14.0
1997-04-03,14.25
1997-04-04,14.0
1997-04-07,14.5
1997-04-08,15.0
1997-04-09,15.25
1997-04-10,15.5
1997-04-11,15.25
1997-04-14,15.25
1997-04-15,15.0
1997-04-16,16.5
1997-04-17,15.25
1997-04-18,15.0
1997-04-21,15.0
1997-04-22,15.0
1997-04-23,14.75
1997-04-24,14.5
1997-04-25,14.75
1997-04-28,14.25
1997-04-29,14.25
1997-04-30,13.75
1997-05-01,13.75
1997-05-02,14.5
1997-05-05,14.5
1997-05-06,14.75
1997-05-07,14.875
1997-05-08,15.25
1997-05-09,14.75
1997-05-12,15.25
1997-05-13,15.25
1997-05-14,14.75
1997-05-15,15.0
1997-05-16,14.5
1997-05-19,14.5
1997-05-20,14.5
1997-05-21,14.625
1997-05-22,14.5
1997-05-23,14.75
1997-05-27,15.25
1997-05-28,14.75
1997-05-29,14.75
1997-05-30,15.125
1997-06-02,15.25
1997-06-03,15.25
1997-06-04,15.25
1997-06-05,16.0
1997-06-06,18.125
1997-06-09,17.75
1997-06-10,17.0
1997-06-11,17.0
1997-06-12,17.125
1997-06-13,17.0625
1997-06-16,17.375
1997-06-17,17.625
1997-06-18,17.625
1997-06-19,18.125
1997-06-20,17.375
1997-06-23,16.5
1997-06-24,15.5
1997-06-25,15.375
1997-06-26,15.75
1997-06-27,16.25
1997-06-30,16.375
1997-07-01,18.25
1997-07-02,18.5
1997-07-03,18.5
1997-07-07,19.0
1997-07-08,18.5
1997-07-09,18.5
1997-07-10,18.5
1997-07-11,19.5
1997-07-14,19.75
1997-07-15,20.0
1997-07-16,19.125
1997-07-17,17.25
1997-07-18,17.75
1997-07-21,17.75
1997-07-22,18.5
1997-07-23,18.125
1997-07-24,18.5
1997-07-25,19.375
1997-07-28,19.5
1997-07-29,18.75
1997-07-30,19.5
1997-07-31,19.0
1997-08-01,18.75
1997-08-04,18.5
1997-08-05,18.5
1997-08-06,18.75
1997-08-07,18.75
1997-08-08,18.0
1997-08-11,18.0
1997-08-12,18.0
1997-08-13,17.875
1997-08-14,18.25
1997-08-15,17.75
1997-08-18,17.75
1997-08-19,17.75
1997-08-20,17.25
1997-08-21,17.375
1997-08-22,17.0
1997-08-25,16.75
1997-08-26,16.875
1997-08-27,16.75
1997-08-28,17.0
1997-08-29,17.0
1997-09-02,16.625
1997-09-03,16.5
1997-09-04,16.8125
1997-09-05,16.625
1997-09-08,17.0
1997-09-09,16.875
1997-09-10,16.75
1997-09-11,16.8125
1997-09-12,16.875
1997-09-15,16.875
1997-09-16,16.625
1997-09-17,16.6875
1997-09-18,17.28125
1997-09-19,17.0
1997-09-22,17.25
1997-09-23,17.5
1997-09-24,17.625
1997-09-25,16.875
1997-09-26,17.5
1997-09-29,17.34375
1997-09-30,18.0
1997-10-01,17.875
1997-10-02,18.0
1997-10-03,18.5
1997-10-06,18.125
1997-10-07,19.0
1997-10-08,18.25
1997-10-09,18.0
1997-10-10,19.25
1997-10-13,19.75
1997-10-14,19.0
1997-10-15,18.375
1997-10-16,18.5
1997-10-17,18.25
1997-10-20,18.25
1997-10-21,18.0
1997-10-22,17.75
1997-10-23,18.0
1997-10-24,17.375
1997-10-27,16.25
1997-10-28,16.25
1997-10-29,17.125
1997-10-30,16.5
1997-10-31,16.5
1997-11-03,16.75
1997-11-04,16.625
1997-11-05,16.875
1997-11-06,16.75
1997-11-07,16.6875
1997-11-10,16.875
1997-11-11,16.875
1997-11-12,16.0
1997-11-13,16.25
1997-11-14,16.0
1997-11-17,16.0625
1997-11-18,15.875
1997-11-19,15.875
1997-11-20,16.0625
1997-11-21,16.0
1997-11-24,16.0
1997-11-25,15.875
1997-11-26,15.875
1997-11-28,16.0
1997-12-01,16.125
1997-12-02,15.75
1997-12-03,16.0
1997-12-04,16.125
1997-12-05,16.125
1997-12-08,16.75
1997-12-09,16.5625
1997-12-10,16.75
1997-12-11,17.125
1997-12-12,17.125
1997-12-15,16.875
1997-12-16,17.0
1997-12-17,16.125
1997-12-18,15.875
1997-12-19,15.875
1997-12-22,15.5
1997-12-23,15.375
1997-12-24,15.0
1997-12-26,14.875
1997-12-29,15.125
1997-12-30,15.25
1997-12-31,15.25
1998-01-02,15.375
1998-01-05,15.5
1998-01-06,15.375
1998-01-07,15.5
1998-01-08,15.625
1998-01-09,14.9375
1998-01-12,14.75
1998-01-13,14.8125
1998-01-14,14.625
1998-01-15,15.25
1998-01-16,14.5
1998-01-20,14.875
1998-01-21,14.875
1998-01-22,14.625
1998-01-23,14.59375
1998-01-26,14.5
1998-01-27,14.625
1998-01-28,15.5
1998-01-29,15.25
1998-01-30,15.375
1998-02-02,15.0
1998-02-03,17.125
1998-02-04,17.25
1998-02-05,17.5
1998-02-06,17.375
1998-02-09,17.25
1998-02-10,17.75
1998-02-11,17.875
1998-02-12,17.875
1998-02-13,18.0
1998-02-17,18.625
1998-02-18,18.5
1998-02-19,18.375
1998-02-20,17.875
1998-02-23,17.875
1998-02-24,18.25
1998-02-25,18.5
1998-02-26,18.75
1998-02-27,20.875
1998-03-02,20.0
1998-03-03,20.0
1998-03-04,20.25
1998-03-05,20.125
1998-03-06,20.0625
1998-03-09,20.0
1998-03-10,20.125
1998-03-11,20.9375
1998-03-12,21.125
1998-03-13,21.125
1998-03-16,21.75
1998-03-17,23.0
1998-03-18,22.75
1998-03-19,22.6875
1998-03-20,22.5625
1998-03-23,20.75
1998-03-24,20.75
1998-03-25,20.625
1998-03-26,20.5
1998-03-27,20.875
1998-03-30,21.125
1998-03-31,21.90625
1998-04-01,23.0
1998-04-02,22.5
1998-04-03,22.75
1998-04-06,22.125
1998-04-07,22.125
1998-04-08,21.875
1998-04-09,21.0
1998-04-13,20.5
1998-04-14,20.875
1998-04-15,21.0
1998-04-16,20.875
1998-04-17,20.875
1998-04-20,20.375
1998-04-21,20.25
1998-04-22,20.5
1998-04-23,20.5
1998-04-24,20.625
1998-04-27,20.125
1998-04-28,19.8125
1998-04-29,19.5
1998-04-30,19.0625
1998-05-01,19.0
1998-05-04,19.0
1998-05-05,18.375
1998-05-06,18.5
1998-05-07,17.875
1998-05-08,17.6875
1998-05-11,17.25
1998-05-12,17.125
1998-05-13,17.046875
1998-05-14,17.125
1998-05-15,17.0625
1998-05-18,16.75
1998-05-19,17.125
1998-05-20,16.75
1998-05-21,17.5
1998-05-22,17.25
1998-05-26,16.5625
1998-05-27,16.4375
1998-05-28,16.125
1998-05-29,16.375
1998-06-01,16.8125
1998-06-02,17.125
1998-06-03,17.375
1998-06-04,17.75
1998-06-05,17.5625
1998-06-08,17.9375
1998-06-09,18.125
1998-06-10,17.9375
1998-06-11,17.75
1998-06-12,18.0
1998-06-15,17.25
1998-06-16,17.3125
1998-06-17,17.375
1998-06-18,16.0
1998-06-19,15.75
1998-06-22,15.75
1998-06-23,17.25
1998-06-24,18.0
1998-06-25,17.25
1998-06-26,17.0
1998-06-29,17.875
1998-06-30,19.5
1998-07-01,19.375
1998-07-02,18.25
1998-07-06,18.5
1998-07-07,19.75
1998-07-08,20.0
1998-07-09,19.875
1998-07-10,20.0
1998-07-13,19.875
1998-07-14,19.625
1998-07-15,20.0
1998-07-16,19.78125
1998-07-17,18.75
1998-07-20,18.75
1998-07-21,18.125
1998-07-22,17.375
1998-07-23,16.625
1998-07-24,16.75
1998-07-27,17.75
1998-07-28,17.4375
1998-07-29,17.25
1998-07-30,16.625
1998-07-31,16.5
1998-08-03,16.5
1998-08-04,15.125
1998-08-05,14.0
1998-08-06,14.125
1998-08-07,14.375
1998-08-10,15.25
1998-08-11,16.125
1998-08-12,16.125
1998-08-13,16.375
1998-08-14,16.125
1998-08-17,15.875
1998-08-18,16.125
1998-08-19,16.0
1998-08-20,15.25
1998-08-21,15.5
1998-08-24,15.5
1998-08-25,14.5
1998-08-26,13.3125
1998-08-27,13.0625
1998-08-28,12.625
1998-08-31,12.625
1998-09-01,12.625
1998-09-02,12.375
1998-09-03,12.1875
1998-09-04,11.0625
1998-09-08,11.375
1998-09-09,11.0625
1998-09-10,11.0
1998-09-11,10.75
1998-09-14,10.5625
1998-09-15,10.5
1998-09-16,10.5
1998-09-17,10.3125
1998-09-18,10.125
1998-09-21,11.1875
1998-09-22,11.5
1998-09-23,11.5
1998-09-24,11.875
1998-09-25,11.5625
1998-09-28,11.5
1998-09-29,11.75
1998-09-30,11.375
1998-10-01,11.1875
1998-10-02,10.75
1998-10-05,11.0
1998-10-06,11.0
1998-10-07,11.0
1998-10-08,10.0
1998-10-09,10.25
1998-10-12,9.8125
1998-10-13,10.125
1998-10-14,10.0
1998-10-15,10.25
1998-10-16,11.5625
1998-10-19,13.0
1998-10-20,13.6875
1998-10-21,14.0
1998-10-22,13.875
1998-10-23,14.4375
1998-10-26,15.3125
1998-10-27,15.125
1998-10-28,15.625
1998-10-29,14.5
1998-10-30,15.125
1998-11-02,15.25
1998-11-03,16.1875
1998-11-04,15.875
1998-11-05,15.875
1998-11-06,15.84375
1998-11-09,14.5
1998-11-10,14.375
1998-11-11,15.25
1998-11-12,14.875
1998-11-13,16.0
1998-11-16,16.125
1998-11-17,16.375
1998-11-18,16.25
1998-11-19,17.0
1998-11-20,17.5
1998-11-23,18.125
1998-11-24,18.5
1998-11-25,17.4375
1998-11-27,17.25
1998-11-30,17.375
1998-12-01,17.375
1998-12-02,18.125
1998-12-03,18.125
1998-12-04,17.875
1998-12-07,18.5
1998-12-08,19.0
1998-12-09,19.25
1998-12-10,18.25
1998-12-11,18.375
1998-12-14,16.875
1998-12-15,16.625
1998-12-16,16.75
1998-12-17,17.25
1998-12-18,17.6875
1998-12-21,18.0625
1998-12-22,18.125
1998-12-23,19.0
1998-12-24,18.5
1998-12-28,17.75
1998-12-29,17.625
1998-12-30,18.125
1998-12-31,17.875
1999-01-04,17.9375
1999-01-05,18.125
1999-01-06,19.5
1999-01-07,19.625
1999-01-08,19.875
1999-01-11,20.0
1999-01-12,20.1875
1999-01-13,19.875
1999-01-14,19.5
1999-01-15,20.0
1999-01-19,19.75
1999-01-20,20.0
1999-01-21,20.375
1999-01-22,19.75
1999-01-25,20.0
1999-01-26,20.0
1999-01-27,19.875
1999-01-28,20.0
1999-01-29,19.0
1999-02-01,18.5625
1999-02-02,17.8125
1999-02-03,18.3125
1999-02-04,17.5
1999-02-05,17.0625
1999-02-08,17.0
1999-02-09,15.5
1999-02-10,17.125
1999-02-11,17.5
1999-02-12,17.0
1999-02-16,17.0
1999-02-17,16.375
1999-02-18,16.25
1999-02-19,16.5
1999-02-22,16.375
1999-02-23,17.5
1999-02-24,17.25
1999-02-25,16.75
1999-02-26,18.125
1999-03-01,18.375
1999-03-02,19.0625
1999-03-03,18.75
1999-03-04,18.125
1999-03-05,17.5625
1999-03-08,17.25
1999-03-09,17.125
1999-03-10,16.625
1999-03-11,16.625
1999-03-12,16.9375
1999-03-15,16.0
1999-03-16,15.5
1999-03-17,15.1875
1999-03-18,15.25
1999-03-19,14.625
1999-03-22,14.25
1999-03-23,14.125
1999-03-24,13.625
1999-03-25,14.875
1999-03-26,14.9375
1999-03-29,15.0
1999-03-30,14.71875
1999-03-31,14.875
1999-04-01,13.5625
1999-04-05,13.875
1999-04-06,13.625
1999-04-07,13.5
1999-04-08,12.625
1999-04-09,12.40625
1999-04-12,12.125
1999-04-13,12.5625
1999-04-14,13.0
1999-04-15,13.75
1999-04-16,13.6875
1999-04-19,14.0
1999-04-20,14.0
1999-04-21,14.625
1999-04-22,14.125
1999-04-23,15.125
1999-04-26,14.25
1999-04-27,13.5
1999-04-28,13.8125
1999-04-29,13.5625
1999-04-30,13.75
1999-05-03,13.625
1999-05-04,12.75
1999-05-05,13.0625
1999-05-06,13.375
1999-05-07,13.5
1999-05-10,13.75
1999-05-11,13.5
1999-05-12,13.375
1999-05-13,12.875
1999-05-14,13.0625
1999-05-17,13.0
1999-05-18,13.125
1999-05-19,13.0
1999-05-20,12.875
1999-05-21,12.9375
1999-05-24,12.625
1999-05-25,12.75
1999-05-26,12.5
1999-05-27,12.25
1999-05-28,12.0
1999-06-01,12.25
1999-06-02,12.0
1999-06-03,11.5
1999-06-04,12.0
1999-06-07,12.125
1999-06-08,12.09375
1999-06-09,12.25
1999-06-10,12.5
1999-06-11,12.625
1999-06-14,12.625
1999-06-15,12.5
1999-06-16,12.625
1999-06-17,12.75
1999-06-18,14.0625
1999-06-21,14.5625
1999-06-22,14.625
1999-06-23,14.9375
1999-06-24,15.0
1999-06-25,15.0625
1999-06-28,15.4375
1999-06-29,15.734375
1999-06-30,15.75
1999-07-01,16.0
1999-07-02,16.96875
1999-07-06,18.125
1999-07-07,17.875
1999-07-08,18.375
1999-07-09,18.25
1999-07-12,18.9375
1999-07-13,18.375
1999-07-14,17.875
1999-07-15,17.75
1999-07-16,17.375
1999-07-19,16.5625
1999-07-20,16.0
1999-07-21,15.875
1999-07-22,15.6875
1999-07-23,16.875
1999-07-26,16.75
1999-07-27,17.0
1999-07-28,17.125
1999-07-29,18.0
1999-07-30,17.625
1999-08-02,17.875
1999-08-03,17.875
1999-08-04,17.625
1999-08-05,17.875
1999-08-06,17.875
1999-08-09,17.5625
1999-08-10,17.875
1999-08-11,17.5
1999-08-12,17.5
1999-08-13,17.5
1999-08-16,17.3125
1999-08-17,16.75
1999-08-18,16.625
1999-08-19,16.125
1999-08-20,16.875
1999-08-23,17.0625
1999-08-24,17.0625
1999-08-25,17.0625
1999-08-26,16.8125
1999-08-27,16.875
1999-08-30,17.0
1999-08-31,16.875
1999-09-01,17.125
1999-09-02,16.875
1999-09-03,17.125
1999-09-07,16.5625
1999-09-08,16.5
1999-09-09,16.8125
1999-09-10,16.875
1999-09-13,16.5
1999-09-14,16.75
1999-09-15,17.125
1999-09-16,16.625
1999-09-17,17.0
1999-09-20,16.875
1999-09-21,16.5
1999-09-22,16.375
1999-09-23,15.5625
1999-09-24,16.0
1999-09-27,16.0625
1999-09-28,16.0625
1999-09-29,15.75
1999-09-30,15.25
1999-10-01,15.625
1999-10-04,16.125
1999-10-05,16.125
1999-10-06,15.9375
1999-10-07,15.875
1999-10-08,15.4375
1999-10-11,16.125
1999-10-12,16.0
1999-10-13,15.25
1999-10-14,15.25
1999-10-15,15.125
1999-10-18,15.25
1999-10-19,15.375
1999-10-20,15.125
1999-10-21,15.5
1999-10-22,15.25
1999-10-25,15.375
1999-10-26,15.375
1999-10-27,15.75
