,UTG
2005-03-15,19.8799991607666
2005-03-16,19.969999313354492
2005-03-17,19.90999984741211
2005-03-18,19.989999771118164
2005-03-21,19.719999313354492
2005-03-22,19.299999237060547
2005-03-23,19.079999923706055
2005-03-24,19.15999984741211
2005-03-28,18.850000381469727
2005-03-29,18.940000534057617
2005-03-30,19.299999237060547
2005-03-31,19.600000381469727
2005-04-01,19.65999984741211
2005-04-04,19.700000762939453
2005-04-05,19.530000686645508
2005-04-06,19.760000228881836
2005-04-07,19.790000915527344
2005-04-08,19.56999969482422
2005-04-11,19.450000762939453
2005-04-12,19.56999969482422
2005-04-13,19.530000686645508
2005-04-14,19.219999313354492
2005-04-15,19.100000381469727
2005-04-18,18.860000610351562
2005-04-19,19.18000030517578
2005-04-20,19.34000015258789
2005-04-21,19.350000381469727
2005-04-22,19.450000762939453
2005-04-25,19.65999984741211
2005-04-26,19.700000762939453
2005-04-27,19.760000228881836
2005-04-28,19.84000015258789
2005-04-29,19.989999771118164
2005-05-02,19.729999542236328
2005-05-03,19.729999542236328
2005-05-04,19.959999084472656
2005-05-05,19.81999969482422
2005-05-06,19.920000076293945
2005-05-09,20.0
2005-05-10,20.020000457763672
2005-05-11,19.950000762939453
2005-05-12,19.950000762939453
2005-05-13,19.399999618530273
2005-05-16,19.229999542236328
2005-05-17,19.600000381469727
2005-05-18,19.790000915527344
2005-05-19,19.889999389648438
2005-05-20,19.81999969482422
2005-05-23,19.68000030517578
2005-05-24,19.75
2005-05-25,19.649999618530273
2005-05-26,19.959999084472656
2005-05-27,19.8799991607666
2005-05-31,19.959999084472656
2005-06-01,20.049999237060547
2005-06-02,20.049999237060547
2005-06-03,20.06999969482422
2005-06-06,20.079999923706055
2005-06-07,20.100000381469727
2005-06-08,20.190000534057617
2005-06-09,20.229999542236328
2005-06-10,20.6299991607666
2005-06-13,20.950000762939453
2005-06-14,20.940000534057617
2005-06-15,20.850000381469727
2005-06-16,20.850000381469727
2005-06-17,20.969999313354492
2005-06-20,20.729999542236328
2005-06-21,21.0
2005-06-22,21.030000686645508
2005-06-23,20.8799991607666
2005-06-24,20.920000076293945
2005-06-27,20.610000610351562
2005-06-28,21.020000457763672
2005-06-29,21.110000610351562
2005-06-30,21.170000076293945
2005-07-01,21.5
2005-07-05,21.299999237060547
2005-07-06,21.18000030517578
2005-07-07,21.420000076293945
2005-07-08,21.600000381469727
2005-07-11,21.31999969482422
2005-07-12,21.350000381469727
2005-07-13,21.420000076293945
2005-07-14,21.420000076293945
2005-07-15,21.43000030517578
2005-07-18,21.399999618530273
2005-07-19,21.309999465942383
2005-07-20,21.200000762939453
2005-07-21,21.010000228881836
2005-07-22,21.100000381469727
2005-07-25,21.079999923706055
2005-07-26,21.010000228881836
2005-07-27,21.139999389648438
2005-07-28,21.350000381469727
2005-07-29,21.350000381469727
2005-08-01,21.56999969482422
2005-08-02,21.600000381469727
2005-08-03,21.799999237060547
2005-08-04,21.860000610351562
2005-08-05,21.389999389648438
2005-08-08,20.899999618530273
2005-08-09,21.040000915527344
2005-08-10,21.06999969482422
2005-08-11,21.09000015258789
2005-08-12,21.09000015258789
2005-08-15,21.049999237060547
2005-08-16,21.0
2005-08-17,21.0
2005-08-18,20.809999465942383
2005-08-19,21.200000762939453
2005-08-22,21.0
2005-08-23,21.010000228881836
2005-08-24,20.899999618530273
2005-08-25,20.829999923706055
2005-08-26,20.809999465942383
2005-08-29,20.93000030517578
2005-08-30,20.889999389648438
2005-08-31,21.0
2005-09-01,21.25
2005-09-02,21.799999237060547
2005-09-06,21.75
2005-09-07,21.899999618530273
2005-09-08,21.84000015258789
2005-09-09,21.799999237060547
2005-09-12,21.899999618530273
2005-09-13,21.639999389648438
2005-09-14,21.56999969482422
2005-09-15,21.450000762939453
2005-09-16,21.5
2005-09-19,21.420000076293945
2005-09-20,21.459999084472656
2005-09-21,21.100000381469727
2005-09-22,20.940000534057617
2005-09-23,20.600000381469727
2005-09-26,20.649999618530273
2005-09-27,20.5
2005-09-28,20.780000686645508
2005-09-29,20.979999542236328
2005-09-30,21.010000228881836
2005-10-03,21.360000610351562
2005-10-04,21.170000076293945
2005-10-05,20.829999923706055
2005-10-06,20.059999465942383
2005-10-07,20.010000228881836
2005-10-10,19.709999084472656
2005-10-11,19.739999771118164
2005-10-12,19.1299991607666
2005-10-13,18.450000762939453
2005-10-14,18.850000381469727
2005-10-17,19.059999465942383
2005-10-18,18.969999313354492
2005-10-19,18.90999984741211
2005-10-20,18.6200008392334
2005-10-21,19.06999969482422
2005-10-24,19.06999969482422
2005-10-25,19.209999084472656
2005-10-26,19.229999542236328
2005-10-27,19.1200008392334
2005-10-28,19.190000534057617
2005-10-31,19.459999084472656
2005-11-01,19.309999465942383
2005-11-02,19.549999237060547
2005-11-03,19.6299991607666
2005-11-04,19.799999237060547
2005-11-07,19.950000762939453
2005-11-08,19.950000762939453
2005-11-09,19.68000030517578
2005-11-10,19.3700008392334
2005-11-11,19.15999984741211
2005-11-14,19.0
2005-11-15,18.850000381469727
2005-11-16,19.290000915527344
2005-11-17,19.8799991607666
2005-11-18,19.889999389648438
2005-11-21,20.149999618530273
2005-11-22,20.200000762939453
2005-11-23,20.65999984741211
2005-11-25,20.25
2005-11-28,20.3799991607666
2005-11-29,20.190000534057617
2005-11-30,20.1200008392334
2005-12-01,20.440000534057617
2005-12-02,20.579999923706055
2005-12-05,20.440000534057617
2005-12-06,20.649999618530273
2005-12-07,20.420000076293945
2005-12-08,20.149999618530273
2005-12-09,20.299999237060547
2005-12-12,19.850000381469727
2005-12-13,19.860000610351562
2005-12-14,19.989999771118164
2005-12-15,19.950000762939453
2005-12-16,19.899999618530273
2005-12-19,19.770000457763672
2005-12-20,19.65999984741211
2005-12-21,19.81999969482422
2005-12-22,19.760000228881836
2005-12-23,19.75
2005-12-27,19.3799991607666
2005-12-28,19.25
2005-12-29,19.110000610351562
2005-12-30,19.079999923706055
2006-01-03,19.479999542236328
2006-01-04,19.889999389648438
2006-01-05,19.989999771118164
2006-01-06,19.989999771118164
2006-01-09,20.190000534057617
2006-01-10,20.06999969482422
2006-01-11,19.959999084472656
2006-01-12,19.899999618530273
2006-01-13,19.899999618530273
2006-01-17,19.899999618530273
2006-01-18,19.93000030517578
2006-01-19,20.0
2006-01-20,19.959999084472656
2006-01-23,20.170000076293945
2006-01-24,20.34000015258789
2006-01-25,20.18000030517578
2006-01-26,20.200000762939453
2006-01-27,20.200000762939453
2006-01-30,20.149999618530273
2006-01-31,20.020000457763672
2006-02-01,20.09000015258789
2006-02-02,19.950000762939453
2006-02-03,19.739999771118164
2006-02-06,19.719999313354492
