,CDL
2017-08-25,42.60599899291992
2017-08-28,42.540000915527344
2017-08-29,42.459999084472656
2017-08-30,42.47999954223633
2017-08-31,42.630001068115234
2017-09-01,42.77399826049805
2017-09-05,42.43199920654297
2017-09-06,42.630001068115234
2017-09-07,42.36000061035156
2017-09-08,42.52000045776367
2017-09-11,42.91999816894531
2017-09-12,42.856998443603516
2017-09-13,42.92499923706055
2017-09-14,43.0
2017-09-15,43.13999938964844
2017-09-18,43.130001068115234
2017-09-19,43.145999908447266
2017-09-20,43.08000183105469
2017-09-21,43.0099983215332
2017-09-22,42.9900016784668
2017-09-25,43.27199935913086
2017-09-26,43.279998779296875
2017-09-27,43.20899963378906
2017-09-28,43.290000915527344
2017-09-29,43.25899887084961
2017-10-02,43.470001220703125
2017-10-03,43.50899887084961
2017-10-04,43.597999572753906
2017-10-05,43.720001220703125
2017-10-06,43.569000244140625
2017-10-09,43.452999114990234
2017-10-10,43.70600128173828
2017-10-11,43.75899887084961
2017-10-12,43.78200149536133
2017-10-13,43.779998779296875
2017-10-16,43.749000549316406
2017-10-17,43.71099853515625
2017-10-18,43.8390007019043
2017-10-19,43.875
2017-10-20,44.060001373291016
2017-10-23,44.097999572753906
2017-10-24,44.058998107910156
2017-10-25,43.77000045776367
2017-10-26,43.93000030517578
2017-10-27,43.88999938964844
2017-10-30,43.599998474121094
2017-10-31,43.7140007019043
2017-11-01,43.720001220703125
2017-11-02,43.79999923706055
2017-11-03,43.81999969482422
2017-11-06,43.810001373291016
2017-11-07,43.82899856567383
2017-11-08,43.88999938964844
2017-11-09,43.790000915527344
2017-11-10,43.83599853515625
2017-11-13,43.926998138427734
2017-11-14,44.09000015258789
2017-11-15,43.75
2017-11-16,44.00899887084961
2017-11-17,43.970001220703125
2017-11-20,43.9900016784668
2017-11-21,44.07899856567383
2017-11-22,44.06800079345703
2017-11-24,44.084999084472656
2017-11-27,44.130001068115234
2017-11-28,44.65700149536133
2017-11-29,45.06399917602539
2017-11-30,45.349998474121094
2017-12-01,45.268001556396484
2017-12-04,45.630001068115234
2017-12-05,45.220001220703125
2017-12-06,45.20000076293945
2017-12-07,45.2599983215332
2017-12-08,45.45500183105469
2017-12-11,45.599998474121094
2017-12-12,45.439998626708984
2017-12-13,45.43299865722656
2017-12-14,45.220001220703125
2017-12-15,45.58000183105469
2017-12-18,45.74100112915039
2017-12-19,45.57899856567383
2017-12-20,45.470001220703125
2017-12-21,45.40999984741211
2017-12-22,45.2400016784668
2017-12-26,45.20000076293945
2017-12-27,45.209999084472656
2017-12-28,45.31999969482422
2017-12-29,45.310001373291016
2018-01-02,45.14400100708008
2018-01-03,45.220001220703125
2018-01-04,45.290000915527344
2018-01-05,45.38999938964844
2018-01-08,45.53099822998047
2018-01-09,45.47999954223633
2018-01-10,45.36000061035156
2018-01-11,45.61800003051758
2018-01-12,45.891998291015625
2018-01-16,45.72999954223633
2018-01-17,46.09000015258789
2018-01-18,45.99100112915039
2018-01-19,46.25
2018-01-22,46.540000915527344
