,FNWB
2016-08-09,13.220000267028809
2016-08-10,13.34000015258789
2016-08-11,13.279999732971191
2016-08-12,13.34000015258789
2016-08-15,13.350000381469727
2016-08-16,13.319999694824219
2016-08-17,13.430000305175781
2016-08-18,13.470000267028809
2016-08-19,13.449999809265137
2016-08-22,13.489999771118164
2016-08-23,13.380000114440918
2016-08-24,13.449999809265137
2016-08-25,13.489999771118164
2016-08-26,13.430000305175781
2016-08-29,13.449999809265137
2016-08-30,13.399999618530273
2016-08-31,13.15999984741211
2016-09-01,13.180000305175781
2016-09-02,13.3100004196167
2016-09-06,13.279999732971191
2016-09-07,13.25
2016-09-08,13.140000343322754
2016-09-09,12.850000381469727
2016-09-12,13.140000343322754
2016-09-13,13.0
2016-09-14,13.100000381469727
2016-09-15,13.140000343322754
2016-09-16,13.380000114440918
2016-09-19,13.380000114440918
2016-09-20,13.329999923706055
2016-09-21,13.4399995803833
2016-09-22,13.420000076293945
2016-09-23,13.420000076293945
2016-09-26,13.279999732971191
2016-09-27,13.229999542236328
2016-09-28,13.539999961853027
2016-09-29,13.40999984741211
2016-09-30,13.489999771118164
2016-10-03,13.539999961853027
2016-10-04,13.600000381469727
2016-10-05,13.739999771118164
2016-10-06,13.680000305175781
2016-10-07,13.630000114440918
2016-10-10,13.710000038146973
2016-10-11,13.640000343322754
2016-10-12,13.720000267028809
2016-10-13,13.609999656677246
2016-10-14,13.619999885559082
2016-10-17,13.569999694824219
2016-10-18,13.640000343322754
2016-10-19,13.630000114440918
2016-10-20,13.640000343322754
2016-10-21,13.600000381469727
2016-10-24,13.59000015258789
2016-10-25,13.529999732971191
2016-10-26,13.550000190734863
2016-10-27,13.539999961853027
2016-10-28,13.619999885559082
2016-10-31,13.6899995803833
2016-11-01,13.619999885559082
2016-11-02,13.479999542236328
2016-11-03,13.640000343322754
2016-11-04,13.630000114440918
2016-11-07,13.6899995803833
2016-11-08,13.710000038146973
2016-11-09,13.9399995803833
2016-11-10,14.0
2016-11-11,14.25
2016-11-14,14.300000190734863
2016-11-15,14.300000190734863
2016-11-16,14.569999694824219
2016-11-17,14.720000267028809
2016-11-18,14.789999961853027
2016-11-21,14.8100004196167
2016-11-22,14.859999656677246
2016-11-23,14.890000343322754
2016-11-25,14.890000343322754
2016-11-28,14.800000190734863
2016-11-29,14.819999694824219
2016-11-30,14.739999771118164
2016-12-01,15.029999732971191
2016-12-02,14.979999542236328
2016-12-05,15.140000343322754
2016-12-06,15.460000038146973
2016-12-07,15.6899995803833
2016-12-08,15.869999885559082
2016-12-09,16.079999923706055
2016-12-12,15.9399995803833
2016-12-13,15.930000305175781
2016-12-14,15.880000114440918
