,PAG
1998-02-20,7.4375
1998-02-23,7.4375
1998-02-24,8.375
1998-02-25,8.0
1998-02-26,8.3125
1998-02-27,8.21875
1998-03-02,7.75
1998-03-03,7.5
1998-03-04,7.3125
1998-03-05,6.96875
1998-03-06,6.75
1998-03-09,6.5625
1998-03-10,7.0
1998-03-11,6.90625
1998-03-12,6.6875
1998-03-13,6.875
1998-03-16,6.96875
1998-03-17,6.90625
1998-03-18,7.21875
1998-03-19,7.1875
1998-03-20,7.25
1998-03-23,7.125
1998-03-24,7.25
1998-03-25,6.96875
1998-03-26,6.9375
1998-03-27,6.9375
1998-03-30,6.75
1998-03-31,6.65625
1998-04-01,6.8125
1998-04-02,6.8125
1998-04-03,7.03125
1998-04-06,7.5
1998-04-07,7.625
1998-04-08,7.5625
1998-04-09,7.8125
1998-04-13,8.03125
1998-04-14,8.3125
1998-04-15,8.34375
1998-04-16,8.375
1998-04-17,8.4375
1998-04-20,8.375
1998-04-21,8.4375
1998-04-22,8.375
1998-04-23,8.875
1998-04-24,8.625
1998-04-27,8.40625
1998-04-28,8.84375
1998-04-29,8.875
1998-04-30,9.0
1998-05-01,9.21875
1998-05-04,9.375
1998-05-05,9.3125
1998-05-06,9.28125
1998-05-07,9.3125
1998-05-08,9.03125
1998-05-11,9.0625
1998-05-12,9.21875
1998-05-13,9.5
1998-05-14,9.5
1998-05-15,9.75
1998-05-18,9.625
1998-05-19,10.1875
1998-05-20,10.5
1998-05-21,10.15625
1998-05-22,10.21875
1998-05-26,10.5625
1998-05-27,10.625
1998-05-28,10.21875
1998-05-29,10.25
1998-06-01,9.3125
1998-06-02,9.5
1998-06-03,9.59375
1998-06-04,9.71875
1998-06-05,9.84375
1998-06-08,9.9375
1998-06-09,10.03125
1998-06-10,10.125
1998-06-11,9.78125
1998-06-12,9.65625
1998-06-15,9.1875
1998-06-16,9.21875
1998-06-17,9.46875
1998-06-18,9.53125
1998-06-19,9.625
1998-06-22,10.15625
1998-06-23,10.53125
1998-06-24,10.53125
1998-06-25,10.65625
1998-06-26,10.21875
1998-06-29,10.3125
1998-06-30,10.9375
1998-07-01,11.28125
1998-07-02,11.0625
1998-07-06,11.3125
1998-07-07,11.3125
1998-07-08,11.28125
1998-07-09,11.40625
1998-07-10,11.59375
1998-07-13,11.71875
1998-07-14,12.46875
1998-07-15,13.15625
1998-07-16,13.125
1998-07-17,12.21875
1998-07-20,11.875
1998-07-21,11.0625
1998-07-22,10.09375
1998-07-23,9.84375
1998-07-24,9.71875
1998-07-27,9.5625
1998-07-28,10.0
1998-07-29,10.375
1998-07-30,11.71875
1998-07-31,10.5625
1998-08-03,10.71875
1998-08-04,10.03125
1998-08-05,9.125
1998-08-06,9.40625
1998-08-07,9.8125
1998-08-10,9.0625
1998-08-11,8.4375
1998-08-12,8.5625
1998-08-13,8.34375
1998-08-14,8.25
1998-08-17,8.625
1998-08-18,8.75
1998-08-19,8.40625
1998-08-20,8.25
1998-08-21,7.96875
1998-08-24,8.53125
1998-08-25,8.6875
1998-08-26,8.5
1998-08-27,8.15625
1998-08-28,8.15625
1998-08-31,6.65625
1998-09-01,6.4375
1998-09-02,6.78125
1998-09-03,6.28125
1998-09-04,6.1875
1998-09-08,6.21875
1998-09-09,6.0625
1998-09-10,5.65625
1998-09-11,6.125
1998-09-14,6.5
1998-09-15,6.25
1998-09-16,6.25
1998-09-17,6.625
1998-09-18,6.625
1998-09-21,6.75
1998-09-22,7.0
1998-09-23,7.28125
1998-09-24,7.34375
1998-09-25,7.125
1998-09-28,7.03125
1998-09-29,6.96875
1998-09-30,7.09375
1998-10-01,6.375
1998-10-02,6.1875
1998-10-05,5.75
1998-10-06,5.28125
1998-10-07,5.0
1998-10-08,4.53125
1998-10-09,4.5625
1998-10-12,4.875
1998-10-13,4.84375
1998-10-14,4.5
1998-10-15,4.875
1998-10-16,5.84375
1998-10-19,6.5625
1998-10-20,7.46875
1998-10-21,7.5
1998-10-22,7.1875
1998-10-23,7.0625
1998-10-26,7.1875
1998-10-27,7.3125
1998-10-28,7.1875
1998-10-29,6.875
1998-10-30,6.875
1998-11-02,7.0
1998-11-03,6.875
1998-11-04,6.6875
1998-11-05,6.71875
1998-11-06,7.0
1998-11-09,6.75
1998-11-10,6.71875
1998-11-11,6.78125
1998-11-12,6.59375
1998-11-13,6.625
1998-11-16,6.625
1998-11-17,6.5
1998-11-18,6.5625
1998-11-19,6.75
1998-11-20,6.71875
1998-11-23,6.75
1998-11-24,6.875
1998-11-25,6.8125
1998-11-27,6.84375
1998-11-30,6.71875
1998-12-01,6.65625
1998-12-02,6.5
1998-12-03,6.125
1998-12-04,6.03125
1998-12-07,5.96875
1998-12-08,5.75
1998-12-09,5.90625
1998-12-10,5.90625
1998-12-11,6.03125
1998-12-14,5.8125
1998-12-15,5.59375
1998-12-16,5.34375
1998-12-17,5.3125
1998-12-18,5.0625
1998-12-21,5.03125
1998-12-22,4.84375
1998-12-23,4.5
1998-12-24,4.5
1998-12-28,4.4375
1998-12-29,4.46875
1998-12-30,4.5
1998-12-31,4.59375
1999-01-04,4.71875
1999-01-05,4.65625
1999-01-06,4.75
1999-01-07,4.5625
1999-01-08,4.53125
1999-01-11,4.875
1999-01-12,4.75
1999-01-13,4.71875
1999-01-14,4.65625
1999-01-15,4.6875
1999-01-19,4.78125
1999-01-20,4.875
1999-01-21,4.6875
1999-01-22,4.6875
1999-01-25,4.28125
1999-01-26,3.90625
1999-01-27,3.9375
1999-01-28,3.90625
1999-01-29,3.71875
1999-02-01,3.5625
1999-02-02,3.59375
1999-02-03,3.1875
1999-02-04,2.96875
1999-02-05,3.0
1999-02-08,3.40625
1999-02-09,3.25
1999-02-10,3.15625
1999-02-11,3.25
1999-02-12,3.0
1999-02-16,3.15625
1999-02-17,3.09375
1999-02-18,2.90625
1999-02-19,3.3125
1999-02-22,3.40625
1999-02-23,3.75
1999-02-24,3.875
1999-02-25,3.75
1999-02-26,3.6875
1999-03-01,3.9375
1999-03-02,3.78125
1999-03-03,3.53125
1999-03-04,3.5625
1999-03-05,3.6875
1999-03-08,3.6875
1999-03-09,3.6875
1999-03-10,3.5
1999-03-11,3.78125
1999-03-12,3.90625
1999-03-15,4.0625
1999-03-16,4.0625
1999-03-17,4.09375
1999-03-18,4.84375
1999-03-19,5.75
1999-03-22,5.375
1999-03-23,4.75
1999-03-24,4.9375
1999-03-25,4.8125
1999-03-26,4.84375
1999-03-29,4.3125
1999-03-30,4.46875
1999-03-31,3.875
1999-04-01,4.25
1999-04-05,4.8125
1999-04-06,4.71875
1999-04-07,4.78125
1999-04-08,4.6875
1999-04-09,4.65625
1999-04-12,4.71875
1999-04-13,4.8125
1999-04-14,4.75
1999-04-15,4.78125
1999-04-16,4.75
1999-04-19,4.875
1999-04-20,4.9375
1999-04-21,4.875
1999-04-22,4.53125
1999-04-23,4.71875
1999-04-26,4.6875
1999-04-27,4.53125
1999-04-28,4.6875
1999-04-29,4.84375
1999-04-30,4.875
1999-05-03,5.0
1999-05-04,5.03125
1999-05-05,5.09375
1999-05-06,5.125
1999-05-07,5.21875
1999-05-10,5.34375
1999-05-11,5.3125
1999-05-12,5.34375
1999-05-13,5.375
1999-05-14,5.28125
1999-05-17,5.25
1999-05-18,5.0625
1999-05-19,5.125
1999-05-20,5.0625
1999-05-21,5.0
1999-05-24,4.8125
1999-05-25,4.75
1999-05-26,4.9375
1999-05-27,4.9375
1999-05-28,5.0
1999-06-01,5.0
1999-06-02,4.84375
1999-06-03,4.875
1999-06-04,4.90625
1999-06-07,5.0
1999-06-08,4.9375
1999-06-09,4.84375
1999-06-10,4.9375
1999-06-11,4.875
1999-06-14,4.71875
1999-06-15,4.71875
1999-06-16,4.84375
1999-06-17,4.90625
1999-06-18,5.0
1999-06-21,4.875
1999-06-22,4.875
1999-06-23,4.84375
1999-06-24,4.90625
1999-06-25,4.84375
1999-06-28,4.8125
1999-06-29,4.9375
1999-06-30,5.125
1999-07-01,5.34375
1999-07-02,5.21875
1999-07-06,5.09375
1999-07-07,5.125
1999-07-08,5.28125
1999-07-09,5.15625
1999-07-12,5.0625
1999-07-13,5.125
1999-07-14,5.21875
1999-07-15,5.40625
1999-07-16,5.5625
1999-07-19,5.84375
1999-07-20,5.8125
1999-07-21,5.9375
1999-07-22,5.9375
1999-07-23,6.0
1999-07-26,6.125
1999-07-27,6.40625
1999-07-28,6.4375
1999-07-29,6.375
1999-07-30,6.40625
1999-08-02,6.59375
1999-08-03,6.40625
1999-08-04,5.875
1999-08-05,6.25
1999-08-06,6.25
1999-08-09,6.15625
1999-08-10,6.1875
1999-08-11,6.25
1999-08-12,6.25
1999-08-13,6.25
1999-08-16,6.28125
1999-08-17,6.28125
1999-08-18,6.25
1999-08-19,6.3125
1999-08-20,6.25
1999-08-23,6.375
1999-08-24,6.46875
1999-08-25,6.40625
1999-08-26,6.375
1999-08-27,6.40625
1999-08-30,6.40625
1999-08-31,6.3125
1999-09-01,6.25
1999-09-02,6.21875
1999-09-03,6.34375
1999-09-07,6.125
1999-09-08,5.96875
1999-09-09,5.90625
1999-09-10,5.71875
1999-09-13,5.8125
1999-09-14,6.0
1999-09-15,5.8125
1999-09-16,5.78125
1999-09-17,5.90625
1999-09-20,5.90625
1999-09-21,5.875
1999-09-22,5.9375
1999-09-23,5.9375
1999-09-24,5.625
1999-09-27,6.25
1999-09-28,6.375
1999-09-29,6.28125
1999-09-30,6.34375
1999-10-01,6.3125
1999-10-04,6.34375
1999-10-05,6.375
1999-10-06,6.34375
1999-10-07,6.4375
1999-10-08,6.4375
1999-10-11,6.375
1999-10-12,6.5
1999-10-13,6.5
1999-10-14,6.4375
1999-10-15,6.1875
1999-10-18,6.3125
1999-10-19,6.09375
1999-10-20,6.0625
1999-10-21,6.125
1999-10-22,6.09375
1999-10-25,6.03125
1999-10-26,6.0
1999-10-27,6.0625
1999-10-28,5.96875
1999-10-29,5.84375
1999-11-01,5.96875
1999-11-02,6.25
1999-11-03,6.0625
1999-11-04,5.84375
1999-11-05,5.625
1999-11-08,5.65625
1999-11-09,5.65625
1999-11-10,5.6875
1999-11-11,5.59375
1999-11-12,5.4375
1999-11-15,5.3125
1999-11-16,5.3125
1999-11-17,5.15625
1999-11-18,5.0625
1999-11-19,5.0
1999-11-22,4.75
1999-11-23,4.5
1999-11-24,4.5
1999-11-26,4.5
1999-11-29,4.53125
1999-11-30,4.5
1999-12-01,4.375
1999-12-02,4.34375
1999-12-03,4.3125
1999-12-06,4.09375
1999-12-07,4.09375
1999-12-08,4.03125
1999-12-09,4.375
1999-12-10,4.3125
1999-12-13,4.5
1999-12-14,4.125
1999-12-15,4.3125
1999-12-16,4.34375
1999-12-17,4.375
1999-12-20,4.125
1999-12-21,4.0625
1999-12-22,4.15625
1999-12-23,4.1875
1999-12-27,4.1875
1999-12-28,4.3125
1999-12-29,4.25
1999-12-30,4.3125
1999-12-31,4.46875
2000-01-03,4.25
2000-01-04,4.25
2000-01-05,4.3125
2000-01-06,4.34375
2000-01-07,4.59375
2000-01-10,4.875
2000-01-11,4.84375
2000-01-12,4.875
2000-01-13,4.96875
2000-01-14,4.875
2000-01-18,4.9375
2000-01-19,4.9375
2000-01-20,4.90625
2000-01-21,4.90625
2000-01-24,4.875
2000-01-25,4.875
2000-01-26,4.90625
2000-01-27,4.90625
2000-01-28,4.90625
2000-01-31,4.90625
2000-02-01,4.9375
2000-02-02,4.9375
2000-02-03,5.0625
2000-02-04,5.15625
2000-02-07,5.1875
2000-02-08,5.1875
2000-02-09,5.15625
2000-02-10,5.03125
2000-02-11,4.8125
2000-02-14,4.8125
2000-02-15,4.75
2000-02-16,4.625
2000-02-17,4.59375
2000-02-18,4.40625
2000-02-22,4.1875
2000-02-23,4.1875
2000-02-24,3.9375
2000-02-25,3.9375
2000-02-28,3.96875
2000-02-29,4.1875
2000-03-01,4.1875
2000-03-02,4.09375
2000-03-03,3.96875
2000-03-06,3.875
2000-03-07,3.875
2000-03-08,3.90625
2000-03-09,3.84375
2000-03-10,3.78125
2000-03-13,3.75
2000-03-14,3.71875
2000-03-15,3.78125
2000-03-16,4.0625
2000-03-17,4.34375
2000-03-20,4.8125
2000-03-21,4.71875
2000-03-22,4.375
2000-03-23,4.46875
2000-03-24,4.46875
2000-03-27,4.4375
2000-03-28,4.65625
2000-03-29,4.6875
2000-03-30,4.46875
2000-03-31,4.40625
2000-04-03,4.40625
2000-04-04,4.21875
2000-04-05,4.28125
2000-04-06,4.28125
2000-04-07,4.4375
2000-04-10,4.3125
2000-04-11,4.28125
2000-04-12,4.21875
2000-04-13,4.25
2000-04-14,4.125
2000-04-17,4.1875
2000-04-18,4.1875
2000-04-19,4.4375
2000-04-20,4.4375
2000-04-24,4.3125
2000-04-25,4.1875
2000-04-26,4.25
2000-04-27,4.28125
2000-04-28,4.34375
2000-05-01,4.3125
2000-05-02,4.3125
2000-05-03,4.125
2000-05-04,4.125
2000-05-05,4.3125
2000-05-08,4.3125
2000-05-09,4.21875
2000-05-10,3.9375
2000-05-11,3.9375
2000-05-12,4.28125
2000-05-15,4.5
2000-05-16,4.59375
2000-05-17,4.25
2000-05-18,4.46875
2000-05-19,4.46875
2000-05-22,4.46875
2000-05-23,4.46875
2000-05-24,4.5
2000-05-25,4.46875
2000-05-26,4.40625
2000-05-30,4.46875
2000-05-31,4.46875
2000-06-01,4.5
2000-06-02,4.5625
2000-06-05,4.5625
2000-06-06,4.5625
2000-06-07,4.5625
2000-06-08,4.5625
2000-06-09,4.59375
2000-06-12,4.53125
2000-06-13,4.59375
2000-06-14,4.65625
2000-06-15,4.75
2000-06-16,4.75
2000-06-19,4.6875
2000-06-20,4.6875
2000-06-21,4.59375
2000-06-22,4.59375
2000-06-23,4.53125
2000-06-26,4.5
2000-06-27,4.5
2000-06-28,4.53125
2000-06-29,4.1875
2000-06-30,4.5625
2000-07-03,4.59375
2000-07-05,4.53125
2000-07-06,4.46875
2000-07-07,4.75
2000-07-10,4.65625
2000-07-11,4.625
2000-07-12,4.71875
2000-07-13,4.84375
2000-07-14,4.78125
2000-07-17,4.65625
2000-07-18,4.53125
2000-07-19,4.46875
2000-07-20,4.53125
2000-07-21,4.5
2000-07-24,4.46875
2000-07-25,4.34375
2000-07-26,4.1875
2000-07-27,4.0
2000-07-28,3.96875
2000-07-31,3.90625
2000-08-01,3.875
2000-08-02,3.875
2000-08-03,3.78125
2000-08-04,3.8125
2000-08-07,3.96875
2000-08-08,4.0
2000-08-09,4.125
2000-08-10,4.03125
2000-08-11,3.9375
2000-08-14,4.0
2000-08-15,4.09375
2000-08-16,4.0
2000-08-17,4.1875
2000-08-18,4.125
2000-08-21,4.0625
2000-08-22,4.0625
2000-08-23,4.09375
2000-08-24,4.21875
2000-08-25,4.21875
2000-08-28,4.25
2000-08-29,3.96875
2000-08-30,4.0
2000-08-31,4.21875
2000-09-01,4.21875
2000-09-05,4.21875
2000-09-06,4.28125
2000-09-07,4.25
2000-09-08,4.28125
2000-09-11,4.28125
2000-09-12,4.3125
2000-09-13,4.4375
2000-09-14,4.5
2000-09-15,4.5
2000-09-18,4.5
2000-09-19,4.4375
2000-09-20,4.4375
2000-09-21,4.375
2000-09-22,4.3125
2000-09-25,4.28125
2000-09-26,4.3125
2000-09-27,4.3125
2000-09-28,4.21875
2000-09-29,4.125
2000-10-02,4.09375
2000-10-03,3.9375
2000-10-04,3.96875
2000-10-05,3.9375
2000-10-06,3.84375
2000-10-09,3.8125
2000-10-10,3.71875
2000-10-11,3.75
2000-10-12,3.75
2000-10-13,3.75
2000-10-16,3.65625
2000-10-17,3.53125
2000-10-18,3.625
2000-10-19,3.84375
2000-10-20,3.6875
2000-10-23,3.75
2000-10-24,3.625
2000-10-25,3.6875
2000-10-26,3.75
2000-10-27,3.75
2000-10-30,3.8125
2000-10-31,4.0
2000-11-01,3.9375
2000-11-02,3.90625
2000-11-03,4.0
2000-11-06,4.0
2000-11-07,3.9375
2000-11-08,3.84375
2000-11-09,3.8125
2000-11-10,3.71875
2000-11-13,3.8125
2000-11-14,3.6875
2000-11-15,3.71875
2000-11-16,3.625
2000-11-17,3.59375
2000-11-20,3.5
2000-11-21,3.59375
2000-11-22,3.65625
2000-11-24,3.6875
2000-11-27,3.625
2000-11-28,3.53125
2000-11-29,3.46875
2000-11-30,3.8125
2000-12-01,3.8125
2000-12-04,3.84375
2000-12-05,3.875
2000-12-06,3.875
2000-12-07,3.90625
2000-12-08,3.875
2000-12-11,3.875
2000-12-12,3.75
2000-12-13,3.78125
2000-12-14,3.75
2000-12-15,3.75
2000-12-18,3.78125
2000-12-19,3.78125
2000-12-20,3.4375
2000-12-21,3.46875
2000-12-22,3.34375
2000-12-26,3.25
2000-12-27,3.0625
2000-12-28,3.3125
2000-12-29,3.34375
2001-01-02,3.3125
2001-01-03,3.34375
2001-01-04,3.375
2001-01-05,3.375
2001-01-08,3.40625
2001-01-09,3.4375
2001-01-10,3.6875
2001-01-11,3.75
2001-01-12,4.1875
2001-01-16,4.5
2001-01-17,4.84375
2001-01-18,4.875
2001-01-19,4.84375
2001-01-22,5.03125
2001-01-23,5.15625
2001-01-24,4.9375
2001-01-25,4.9375
2001-01-26,4.96875
2001-01-29,5.054999828338623
2001-01-30,5.300000190734863
2001-01-31,5.289999961853027
2001-02-01,5.284999847412109
2001-02-02,5.284999847412109
2001-02-05,5.295000076293945
2001-02-06,5.050000190734863
2001-02-07,4.929999828338623
2001-02-08,4.965000152587891
2001-02-09,4.800000190734863
2001-02-12,4.875
2001-02-13,4.900000095367432
2001-02-14,4.925000190734863
2001-02-15,4.96999979019165
2001-02-16,5.010000228881836
2001-02-20,5.050000190734863
2001-02-21,4.84499979019165
2001-02-22,4.875
2001-02-23,4.855000019073486
2001-02-26,4.849999904632568
2001-02-27,4.974999904632568
2001-02-28,5.019999980926514
2001-03-01,5.005000114440918
2001-03-02,5.034999847412109
2001-03-05,5.110000133514404
2001-03-06,5.114999771118164
2001-03-07,5.130000114440918
2001-03-08,5.400000095367432
2001-03-09,5.275000095367432
2001-03-12,5.050000190734863
2001-03-13,5.050000190734863
2001-03-14,5.025000095367432
2001-03-15,5.074999809265137
2001-03-16,5.119999885559082
2001-03-19,4.989999771118164
2001-03-20,4.925000190734863
2001-03-21,4.875
2001-03-22,4.945000171661377
2001-03-23,4.974999904632568
2001-03-26,5.079999923706055
2001-03-27,4.949999809265137
2001-03-28,4.900000095367432
2001-03-29,4.875
2001-03-30,4.880000114440918
2001-04-02,4.880000114440918
2001-04-03,4.900000095367432
2001-04-04,5.0
2001-04-05,4.925000190734863
2001-04-06,4.925000190734863
2001-04-09,4.880000114440918
2001-04-10,5.03000020980835
2001-04-11,5.045000076293945
2001-04-12,5.054999828338623
2001-04-16,4.949999809265137
2001-04-17,5.025000095367432
2001-04-18,5.119999885559082
2001-04-19,5.09499979019165
2001-04-20,5.045000076293945
2001-04-23,6.059999942779541
2001-04-24,6.934999942779541
2001-04-25,7.505000114440918
2001-04-26,7.695000171661377
2001-04-27,7.75
2001-04-30,7.610000133514404
2001-05-01,7.324999809265137
2001-05-02,7.485000133514404
2001-05-03,7.425000190734863
2001-05-04,7.46999979019165
2001-05-07,7.289999961853027
2001-05-08,6.974999904632568
2001-05-09,6.75
2001-05-10,6.960000038146973
2001-05-11,7.0
2001-05-14,7.139999866485596
2001-05-15,7.175000190734863
2001-05-16,7.300000190734863
2001-05-17,7.295000076293945
2001-05-18,7.199999809265137
2001-05-21,7.320000171661377
2001-05-22,7.329999923706055
2001-05-23,7.300000190734863
2001-05-24,7.260000228881836
2001-05-25,7.385000228881836
2001-05-29,7.324999809265137
2001-05-30,7.425000190734863
2001-05-31,7.005000114440918
2001-06-01,6.900000095367432
2001-06-04,6.849999904632568
2001-06-05,7.0
2001-06-06,6.920000076293945
2001-06-07,6.824999809265137
2001-06-08,6.775000095367432
2001-06-11,6.40500020980835
2001-06-12,6.514999866485596
2001-06-13,6.599999904632568
2001-06-14,6.599999904632568
2001-06-15,7.014999866485596
2001-06-18,7.255000114440918
2001-06-19,7.849999904632568
2001-06-20,7.699999809265137
