,CMRX
2016-08-02,3.9600000381469727
2016-08-03,4.230000019073486
2016-08-04,4.159999847412109
2016-08-05,4.210000038146973
2016-08-08,4.269999980926514
2016-08-09,4.449999809265137
2016-08-10,4.289999961853027
2016-08-11,4.46999979019165
2016-08-12,4.539999961853027
2016-08-15,4.659999847412109
2016-08-16,4.510000228881836
2016-08-17,4.28000020980835
2016-08-18,4.360000133514404
2016-08-19,4.309999942779541
2016-08-22,4.710000038146973
2016-08-23,4.760000228881836
2016-08-24,4.78000020980835
2016-08-25,4.489999771118164
2016-08-26,4.460000038146973
2016-08-29,4.5
2016-08-30,4.579999923706055
2016-08-31,4.809999942779541
2016-09-01,4.619999885559082
2016-09-02,4.619999885559082
2016-09-06,4.909999847412109
2016-09-07,4.929999828338623
2016-09-08,5.010000228881836
2016-09-09,4.760000228881836
2016-09-12,4.820000171661377
2016-09-13,4.840000152587891
2016-09-14,4.889999866485596
2016-09-15,5.21999979019165
2016-09-16,5.559999942779541
2016-09-19,5.539999961853027
2016-09-20,5.860000133514404
2016-09-21,5.840000152587891
2016-09-22,5.75
2016-09-23,5.71999979019165
2016-09-26,5.599999904632568
2016-09-27,5.769999980926514
2016-09-28,5.889999866485596
2016-09-29,5.550000190734863
2016-09-30,5.539999961853027
2016-10-03,5.519999980926514
2016-10-04,5.460000038146973
2016-10-05,5.539999961853027
2016-10-06,5.25
2016-10-07,5.119999885559082
2016-10-10,5.170000076293945
2016-10-11,4.989999771118164
2016-10-12,4.71999979019165
2016-10-13,4.690000057220459
2016-10-14,4.519999980926514
2016-10-17,4.610000133514404
2016-10-18,4.840000152587891
2016-10-19,4.650000095367432
2016-10-20,4.760000228881836
2016-10-21,4.579999923706055
2016-10-24,4.489999771118164
2016-10-25,4.449999809265137
2016-10-26,4.309999942779541
2016-10-27,4.329999923706055
2016-10-28,4.179999828338623
2016-10-31,4.050000190734863
2016-11-01,4.130000114440918
2016-11-02,3.859999895095825
2016-11-03,3.680000066757202
2016-11-04,3.75
2016-11-07,3.9000000953674316
2016-11-08,4.099999904632568
2016-11-09,4.550000190734863
2016-11-10,4.619999885559082
2016-11-11,4.769999980926514
2016-11-14,4.949999809265137
2016-11-15,4.889999866485596
2016-11-16,4.789999961853027
2016-11-17,5.269999980926514
2016-11-18,5.260000228881836
2016-11-21,5.159999847412109
2016-11-22,5.099999904632568
2016-11-23,5.239999771118164
2016-11-25,5.210000038146973
2016-11-28,4.989999771118164
2016-11-29,5.090000152587891
2016-11-30,4.889999866485596
2016-12-01,4.769999980926514
2016-12-02,4.699999809265137
2016-12-05,4.869999885559082
2016-12-06,4.949999809265137
2016-12-07,4.840000152587891
2016-12-08,4.940000057220459
2016-12-09,5.170000076293945
2016-12-12,4.710000038146973
2016-12-13,4.599999904632568
2016-12-14,4.53000020980835
2016-12-15,4.510000228881836
2016-12-16,4.75
2016-12-19,4.75
2016-12-20,4.71999979019165
2016-12-21,4.659999847412109
2016-12-22,4.550000190734863
2016-12-23,4.75
2016-12-27,4.639999866485596
