,FRBK
1989-08-03,3.5573620796203613
1989-08-04,3.5573620796203613
1989-08-07,3.4387829303741455
1989-08-08,3.320204019546509
1989-08-09,3.320204019546509
1989-08-10,3.320204019546509
1989-08-11,3.320204019546509
1989-08-14,3.320204019546509
1989-08-15,3.320204019546509
1989-08-16,3.320204019546509
1989-08-17,3.320204019546509
1989-08-18,3.320204019546509
1989-08-21,3.320204019546509
1989-08-22,3.320204019546509
1989-08-23,3.320204019546509
1989-08-24,3.320204019546509
1989-08-25,3.320204019546509
1989-08-28,3.320204019546509
1989-08-29,3.320204019546509
1989-08-30,3.320204019546509
1989-08-31,3.320204019546509
1989-09-01,3.320204019546509
1989-09-05,3.320204019546509
1989-09-06,3.320204019546509
1989-09-07,3.320204019546509
1989-09-08,3.320204019546509
