,CHW
2016-12-23,7.099999904632568
2016-12-27,7.159999847412109
2016-12-28,6.989999771118164
2016-12-29,7.0
2016-12-30,6.96999979019165
2017-01-03,6.960000038146973
2017-01-04,6.989999771118164
2017-01-05,7.050000190734863
2017-01-06,7.179999828338623
2017-01-09,7.190000057220459
2017-01-10,7.190000057220459
2017-01-11,7.190000057220459
2017-01-12,7.230000019073486
2017-01-13,7.239999771118164
2017-01-17,7.230000019073486
2017-01-18,7.260000228881836
2017-01-19,7.210000038146973
2017-01-20,7.239999771118164
2017-01-23,7.239999771118164
2017-01-24,7.289999961853027
2017-01-25,7.380000114440918
2017-01-26,7.409999847412109
2017-01-27,7.429999828338623
2017-01-30,7.409999847412109
2017-01-31,7.420000076293945
2017-02-01,7.420000076293945
2017-02-02,7.460000038146973
2017-02-03,7.519999980926514
2017-02-06,7.550000190734863
2017-02-07,7.579999923706055
2017-02-08,7.559999942779541
2017-02-09,7.550000190734863
2017-02-10,7.590000152587891
2017-02-13,7.630000114440918
2017-02-14,7.659999847412109
2017-02-15,7.679999828338623
2017-02-16,7.690000057220459
2017-02-17,7.670000076293945
2017-02-21,7.71999979019165
2017-02-22,7.730000019073486
2017-02-23,7.769999980926514
2017-02-24,7.71999979019165
2017-02-27,7.769999980926514
2017-02-28,7.75
2017-03-01,7.78000020980835
2017-03-02,7.75
2017-03-03,7.739999771118164
2017-03-06,7.699999809265137
2017-03-07,7.739999771118164
2017-03-08,7.639999866485596
2017-03-09,7.590000152587891
2017-03-10,7.590000152587891
2017-03-13,7.610000133514404
2017-03-14,7.590000152587891
2017-03-15,7.690000057220459
2017-03-16,7.730000019073486
2017-03-17,7.730000019073486
2017-03-20,7.699999809265137
2017-03-21,7.679999828338623
2017-03-22,7.659999847412109
2017-03-23,7.699999809265137
2017-03-24,7.71999979019165
2017-03-27,7.730000019073486
2017-03-28,7.789999961853027
2017-03-29,7.739999771118164
2017-03-30,7.789999961853027
2017-03-31,7.800000190734863
2017-04-03,7.820000171661377
2017-04-04,7.860000133514404
2017-04-05,7.900000095367432
2017-04-06,7.920000076293945
2017-04-07,7.869999885559082
2017-04-10,7.920000076293945
2017-04-11,7.900000095367432
2017-04-12,7.949999809265137
2017-04-13,7.909999847412109
2017-04-17,7.96999979019165
2017-04-18,8.010000228881836
2017-04-19,7.929999828338623
2017-04-20,8.0
2017-04-21,7.949999809265137
2017-04-24,8.109999656677246
