,CHEF
2015-04-21,20.420000076293945
2015-04-22,20.360000610351562
2015-04-23,20.399999618530273
2015-04-24,20.0
2015-04-27,19.399999618530273
2015-04-28,19.469999313354492
2015-04-29,18.979999542236328
2015-04-30,18.209999084472656
2015-05-01,19.040000915527344
2015-05-04,19.1200008392334
2015-05-05,19.0
2015-05-06,19.25
2015-05-07,19.989999771118164
2015-05-08,19.719999313354492
2015-05-11,19.68000030517578
2015-05-12,19.3799991607666
2015-05-13,19.170000076293945
2015-05-14,19.579999923706055
2015-05-15,19.989999771118164
2015-05-18,20.049999237060547
2015-05-19,20.049999237060547
2015-05-20,19.450000762939453
2015-05-21,19.3700008392334
2015-05-22,19.149999618530273
2015-05-26,18.700000762939453
2015-05-27,18.770000457763672
2015-05-28,19.0
2015-05-29,18.75
2015-06-01,18.420000076293945
2015-06-02,18.34000015258789
2015-06-03,18.610000610351562
2015-06-04,18.579999923706055
2015-06-05,18.56999969482422
2015-06-08,18.709999084472656
2015-06-09,18.899999618530273
2015-06-10,18.899999618530273
2015-06-11,18.950000762939453
2015-06-12,19.329999923706055
2015-06-15,19.020000457763672
2015-06-16,19.15999984741211
2015-06-17,19.520000457763672
2015-06-18,19.81999969482422
2015-06-19,20.1200008392334
2015-06-22,20.8799991607666
2015-06-23,21.239999771118164
2015-06-24,20.860000610351562
2015-06-25,21.15999984741211
2015-06-26,21.469999313354492
2015-06-29,21.190000534057617
2015-06-30,21.239999771118164
2015-07-01,21.3700008392334
2015-07-02,20.979999542236328
2015-07-06,20.709999084472656
2015-07-07,20.5
2015-07-08,19.8799991607666
2015-07-09,19.399999618530273
2015-07-10,19.760000228881836
2015-07-13,20.219999313354492
2015-07-14,19.969999313354492
2015-07-15,19.979999542236328
2015-07-16,20.350000381469727
2015-07-17,20.229999542236328
2015-07-20,20.100000381469727
2015-07-21,19.969999313354492
2015-07-22,19.989999771118164
2015-07-23,18.950000762939453
2015-07-24,18.81999969482422
2015-07-27,19.0
2015-07-28,18.959999084472656
2015-07-29,19.079999923706055
2015-07-30,19.200000762939453
2015-07-31,17.200000762939453
2015-08-03,16.469999313354492
2015-08-04,16.15999984741211
2015-08-05,16.200000762939453
2015-08-06,16.34000015258789
2015-08-07,16.389999389648438
2015-08-10,16.459999084472656
2015-08-11,16.3799991607666
2015-08-12,16.6200008392334
2015-08-13,16.399999618530273
2015-08-14,16.84000015258789
2015-08-17,17.139999389648438
2015-08-18,16.899999618530273
2015-08-19,16.3700008392334
2015-08-20,16.139999389648438
2015-08-21,15.890000343322754
2015-08-24,15.329999923706055
2015-08-25,14.979999542236328
2015-08-26,15.180000305175781
2015-08-27,15.420000076293945
2015-08-28,15.729999542236328
2015-08-31,15.140000343322754
2015-09-01,14.979999542236328
2015-09-02,15.34000015258789
2015-09-03,15.710000038146973
2015-09-04,15.710000038146973
2015-09-08,16.1200008392334
2015-09-09,16.0
2015-09-10,16.139999389648438
2015-09-11,15.84000015258789
2015-09-14,15.229999542236328
2015-09-15,15.0600004196167
2015-09-16,15.369999885559082
2015-09-17,15.539999961853027
2015-09-18,15.739999771118164
2015-09-21,15.300000190734863
2015-09-22,14.75
2015-09-23,14.34000015258789
2015-09-24,13.850000381469727
2015-09-25,13.449999809265137
2015-09-28,13.819999694824219
2015-09-29,13.989999771118164
2015-09-30,14.15999984741211
2015-10-01,13.630000114440918
2015-10-02,13.680000305175781
2015-10-05,14.3100004196167
2015-10-06,14.25
2015-10-07,14.720000267028809
2015-10-08,14.710000038146973
2015-10-09,14.75
2015-10-12,14.420000076293945
2015-10-13,14.170000076293945
2015-10-14,13.979999542236328
2015-10-15,14.050000190734863
2015-10-16,14.529999732971191
2015-10-19,14.390000343322754
2015-10-20,14.850000381469727
2015-10-21,14.40999984741211
2015-10-22,14.479999542236328
2015-10-23,14.869999885559082
2015-10-26,14.770000457763672
2015-10-27,14.550000190734863
2015-10-28,15.350000381469727
2015-10-29,15.579999923706055
2015-10-30,15.149999618530273
2015-11-02,15.890000343322754
2015-11-03,15.510000228881836
2015-11-04,18.0
2015-11-05,18.0
2015-11-06,18.09000015258789
2015-11-09,18.280000686645508
2015-11-10,19.459999084472656
2015-11-11,19.6299991607666
2015-11-12,19.469999313354492
2015-11-13,19.520000457763672
2015-11-16,19.739999771118164
2015-11-17,19.549999237060547
2015-11-18,19.799999237060547
2015-11-19,19.440000534057617
2015-11-20,19.15999984741211
2015-11-23,19.100000381469727
2015-11-24,19.280000686645508
2015-11-25,19.469999313354492
2015-11-27,19.5
2015-11-30,19.579999923706055
2015-12-01,18.93000030517578
2015-12-02,18.68000030517578
2015-12-03,17.959999084472656
2015-12-04,18.709999084472656
2015-12-07,18.100000381469727
2015-12-08,18.190000534057617
2015-12-09,18.049999237060547
2015-12-10,18.059999465942383
2015-12-11,17.59000015258789
2015-12-14,17.110000610351562
2015-12-15,17.350000381469727
2015-12-16,17.760000228881836
2015-12-17,18.350000381469727
2015-12-18,17.559999465942383
2015-12-21,17.549999237060547
2015-12-22,17.290000915527344
2015-12-23,17.31999969482422
