,BHFAP
2019-07-15,26.860000610351562
2019-07-16,26.719999313354492
2019-07-17,26.860000610351562
2019-07-18,26.940000534057617
2019-07-19,26.899999618530273
2019-07-22,27.0
2019-07-23,27.0
2019-07-24,27.0
2019-07-25,27.020000457763672
2019-07-26,27.049999237060547
2019-07-29,27.010000228881836
2019-07-30,27.079999923706055
2019-07-31,27.239999771118164
2019-08-01,26.90999984741211
2019-08-02,26.969999313354492
2019-08-05,26.690000534057617
2019-08-06,26.850000381469727
2019-08-07,26.850000381469727
2019-08-08,26.979999542236328
2019-08-09,27.059999465942383
2019-08-12,27.079999923706055
2019-08-13,27.110000610351562
2019-08-14,27.200000762939453
2019-08-15,27.229999542236328
2019-08-16,27.219999313354492
2019-08-19,27.290000915527344
2019-08-20,27.200000762939453
2019-08-21,27.43000030517578
2019-08-22,27.450000762939453
2019-08-23,27.450000762939453
2019-08-26,27.40999984741211
2019-08-27,27.350000381469727
2019-08-28,27.280000686645508
2019-08-29,27.350000381469727
2019-08-30,27.299999237060547
2019-09-03,27.489999771118164
2019-09-04,27.3700008392334
2019-09-05,27.290000915527344
2019-09-06,27.299999237060547
2019-09-09,27.149999618530273
2019-09-10,26.920000076293945
2019-09-11,27.1200008392334
2019-09-12,26.969999313354492
2019-09-13,26.450000762939453
2019-09-16,26.350000381469727
2019-09-17,26.68000030517578
2019-09-18,26.920000076293945
2019-09-19,27.309999465942383
2019-09-20,27.450000762939453
2019-09-23,27.709999084472656
2019-09-24,27.280000686645508
2019-09-25,27.450000762939453
2019-09-26,27.229999542236328
2019-09-27,27.450000762939453
2019-09-30,27.6200008392334
2019-10-01,27.604999542236328
2019-10-02,27.510000228881836
2019-10-03,27.489999771118164
2019-10-04,27.3799991607666
2019-10-07,27.31999969482422
2019-10-08,27.440000534057617
2019-10-09,27.719999313354492
2019-10-10,27.969999313354492
2019-10-11,27.829999923706055
2019-10-14,28.020000457763672
2019-10-15,28.09000015258789
2019-10-16,28.3700008392334
2019-10-17,28.297000885009766
2019-10-18,28.520000457763672
2019-10-21,28.350000381469727
2019-10-22,28.299999237060547
2019-10-23,28.25
2019-10-24,28.170000076293945
2019-10-25,28.0
2019-10-28,27.969999313354492
2019-10-29,27.520000457763672
2019-10-30,27.700000762939453
2019-10-31,27.889999389648438
2019-11-01,27.719999313354492
2019-11-04,27.84000015258789
2019-11-05,27.25
2019-11-06,27.229999542236328
2019-11-07,27.1299991607666
2019-11-08,27.1299991607666
2019-11-11,27.040000915527344
2019-11-12,27.049999237060547
2019-11-13,27.09000015258789
2019-11-14,27.18000030517578
2019-11-15,27.1200008392334
2019-11-18,27.1200008392334
2019-11-19,27.0
2019-11-20,26.78700065612793
2019-11-21,26.989999771118164
2019-11-22,26.979999542236328
2019-11-25,26.920000076293945
2019-11-26,26.920000076293945
2019-11-27,26.75
2019-11-29,26.670000076293945
2019-12-02,26.639999389648438
2019-12-03,26.540000915527344
2019-12-04,26.780000686645508
2019-12-05,26.68000030517578
2019-12-06,26.860000610351562
2019-12-09,26.670000076293945
2019-12-10,26.829999923706055
2019-12-11,26.899999618530273
2019-12-12,27.149999618530273
2019-12-13,27.459999084472656
2019-12-16,27.84000015258789
2019-12-17,28.239999771118164
2019-12-18,27.770000457763672
2019-12-19,27.87700080871582
2019-12-20,27.639999389648438
2019-12-23,27.68000030517578
2019-12-24,27.65999984741211
2019-12-26,27.510000228881836
2019-12-27,27.649999618530273
2019-12-30,27.670000076293945
2019-12-31,27.75
2020-01-02,27.920000076293945
2020-01-03,28.06999969482422
2020-01-06,28.059999465942383
2020-01-07,27.700000762939453
2020-01-08,27.649999618530273
2020-01-09,27.65999984741211
2020-01-10,27.729999542236328
2020-01-13,27.700000762939453
2020-01-14,27.739999771118164
2020-01-15,27.450000762939453
2020-01-16,27.433000564575195
2020-01-17,27.690000534057617
2020-01-21,27.700000762939453
2020-01-22,27.700000762939453
2020-01-23,27.610000610351562
2020-01-24,27.700000762939453
2020-01-27,27.5
2020-01-28,27.420000076293945
2020-01-29,27.950000762939453
2020-01-30,28.1299991607666
2020-01-31,28.06999969482422
2020-02-03,28.149999618530273
2020-02-04,28.033000946044922
2020-02-05,28.010000228881836
2020-02-06,28.1299991607666
2020-02-07,28.190000534057617
2020-02-10,28.5
2020-02-11,28.860000610351562
2020-02-12,28.399999618530273
2020-02-13,28.499000549316406
2020-02-14,28.389999389648438
2020-02-18,28.40999984741211
2020-02-19,28.040000915527344
2020-02-20,28.15999984741211
2020-02-21,27.969999313354492
2020-02-24,27.56999969482422
2020-02-25,27.059999465942383
2020-02-26,27.264999389648438
2020-02-27,26.899999618530273
2020-02-28,26.239999771118164
2020-03-02,27.040000915527344
2020-03-03,27.170000076293945
2020-03-04,27.850000381469727
2020-03-05,27.329999923706055
2020-03-06,26.260000228881836
2020-03-09,25.059999465942383
2020-03-10,25.950000762939453
2020-03-11,25.299999237060547
2020-03-12,23.559999465942383
2020-03-13,24.81999969482422
2020-03-16,21.559999465942383
2020-03-17,22.5
2020-03-18,16.25
2020-03-19,18.59000015258789
2020-03-20,16.329999923706055
2020-03-23,15.5600004196167
2020-03-24,20.5
2020-03-25,22.670000076293945
2020-03-26,23.989999771118164
2020-03-27,22.902000427246094
2020-03-30,23.110000610351562
2020-03-31,24.329999923706055
2020-04-01,22.020000457763672
2020-04-02,22.40999984741211
2020-04-03,20.93000030517578
2020-04-06,22.170000076293945
2020-04-07,22.809999465942383
2020-04-08,23.81999969482422
2020-04-09,24.40999984741211
2020-04-13,24.3799991607666
2020-04-14,24.729999542236328
2020-04-15,24.469999313354492
2020-04-16,24.799999237060547
2020-04-17,24.649999618530273
2020-04-20,24.601999282836914
2020-04-21,24.09000015258789
2020-04-22,24.520000457763672
2020-04-23,24.90999984741211
2020-04-24,24.899999618530273
2020-04-27,24.829999923706055
2020-04-28,24.889999389648438
2020-04-29,24.93000030517578
2020-04-30,24.969999313354492
2020-05-01,24.809999465942383
2020-05-04,24.75
2020-05-05,24.639999389648438
2020-05-06,24.950000762939453
2020-05-07,24.899999618530273
2020-05-08,25.059999465942383
2020-05-11,24.969999313354492
2020-05-12,25.299999237060547
2020-05-13,25.190000534057617
2020-05-14,25.450000762939453
2020-05-15,25.6200008392334
2020-05-18,24.780000686645508
2020-05-19,24.799999237060547
2020-05-20,24.8799991607666
2020-05-21,24.920000076293945
2020-05-22,24.979999542236328
2020-05-26,25.030000686645508
2020-05-27,25.579999923706055
2020-05-28,25.420000076293945
2020-05-29,25.790000915527344
2020-06-01,25.959999084472656
2020-06-02,25.8799991607666
2020-06-03,25.8700008392334
2020-06-04,26.0
2020-06-05,25.979999542236328
2020-06-08,26.549999237060547
2020-06-09,25.850000381469727
2020-06-10,26.100000381469727
2020-06-11,25.030000686645508
2020-06-12,25.06999969482422
2020-06-15,25.579999923706055
2020-06-16,25.547000885009766
2020-06-17,25.600000381469727
2020-06-18,25.739999771118164
2020-06-19,25.860000610351562
2020-06-22,25.56999969482422
2020-06-23,25.350000381469727
2020-06-24,25.350000381469727
2020-06-25,25.260000228881836
2020-06-26,25.3700008392334
2020-06-29,25.639999389648438
