,ADXN
2020-11-13,11.890000343322754
2020-11-16,11.890000343322754
2020-11-17,12.0600004196167
2020-11-18,12.0
2020-11-19,12.0
2020-11-20,12.0
2020-11-23,11.050000190734863
2020-11-24,11.050000190734863
2020-11-25,11.050000190734863
2020-11-27,10.618000030517578
2020-11-30,9.789999961853027
2020-12-01,10.010000228881836
2020-12-02,10.5600004196167
2020-12-03,10.5600004196167
2020-12-04,10.5600004196167
2020-12-07,11.09000015258789
2020-12-08,10.420999526977539
2020-12-09,12.850000381469727
2020-12-10,12.489999771118164
2020-12-11,11.800000190734863
2020-12-14,11.855999946594238
2020-12-15,12.600000381469727
2020-12-16,12.890000343322754
2020-12-17,12.0
2020-12-18,12.161999702453613
2020-12-21,12.5
2020-12-22,11.984999656677246
2020-12-23,12.5
