,AGNCM
2019-09-06,26.030000686645508
2019-09-09,26.06999969482422
2019-09-10,26.020000457763672
2019-09-11,25.850000381469727
2019-09-12,25.860000610351562
2019-09-13,25.649999618530273
2019-09-16,25.780000686645508
2019-09-17,25.860000610351562
2019-09-18,25.959999084472656
2019-09-19,26.139999389648438
2019-09-20,26.040000915527344
2019-09-23,26.06999969482422
2019-09-24,26.040000915527344
2019-09-25,26.030000686645508
2019-09-26,25.860000610351562
2019-09-27,25.84000015258789
2019-09-30,25.3700008392334
2019-10-01,25.309999465942383
2019-10-02,25.219999313354492
2019-10-03,25.229999542236328
2019-10-04,25.270000457763672
2019-10-07,25.239999771118164
2019-10-08,25.219999313354492
2019-10-09,25.260000228881836
2019-10-10,25.190000534057617
2019-10-11,25.18000030517578
2019-10-14,25.18000030517578
2019-10-15,25.15999984741211
2019-10-16,25.18000030517578
2019-10-17,25.270000457763672
2019-10-18,25.270000457763672
2019-10-21,25.25
2019-10-22,25.290000915527344
2019-10-23,25.299999237060547
2019-10-24,25.3700008392334
2019-10-25,25.31999969482422
2019-10-28,25.260000228881836
2019-10-29,25.290000915527344
2019-10-30,25.3799991607666
2019-10-31,25.3799991607666
2019-11-01,25.3700008392334
2019-11-04,25.450000762939453
2019-11-05,25.309999465942383
2019-11-06,25.329999923706055
2019-11-07,25.34000015258789
2019-11-08,25.43000030517578
2019-11-11,25.4689998626709
2019-11-12,25.479999542236328
2019-11-13,25.479999542236328
2019-11-14,25.440000534057617
2019-11-15,25.459999084472656
2019-11-18,25.469999313354492
2019-11-19,25.5
2019-11-20,25.510000228881836
2019-11-21,25.6200008392334
2019-11-22,25.5
2019-11-25,25.559999465942383
2019-11-26,25.56999969482422
2019-11-27,25.56999969482422
2019-11-29,25.440000534057617
2019-12-02,25.437999725341797
2019-12-03,25.450000762939453
2019-12-04,25.469999313354492
2019-12-05,25.450000762939453
2019-12-06,25.440000534057617
2019-12-09,25.459999084472656
2019-12-10,25.530000686645508
2019-12-11,25.600000381469727
2019-12-12,25.6200008392334
2019-12-13,25.700000762939453
2019-12-16,25.68600082397461
2019-12-17,25.739999771118164
2019-12-18,25.809999465942383
2019-12-19,25.850000381469727
2019-12-20,25.920000076293945
2019-12-23,25.920000076293945
2019-12-24,25.940000534057617
2019-12-26,25.979999542236328
2019-12-27,26.040000915527344
2019-12-30,25.719999313354492
2019-12-31,25.780000686645508
