,CYTK
2005-09-02,55.5
2005-09-06,57.29999923706055
2005-09-07,56.15999984741211
2005-09-08,55.97999954223633
2005-09-09,55.68000030517578
2005-09-12,51.84000015258789
2005-09-13,50.400001525878906
2005-09-14,52.08000183105469
2005-09-15,53.099998474121094
2005-09-16,55.79999923706055
2005-09-19,55.97999954223633
2005-09-20,55.20000076293945
2005-09-21,54.47999954223633
2005-09-22,51.47999954223633
2005-09-23,49.97999954223633
2005-09-26,50.52000045776367
2005-09-27,50.52000045776367
2005-09-28,47.7599983215332
2005-09-29,48.18000030517578
2005-09-30,48.84000015258789
2005-10-03,49.380001068115234
2005-10-04,52.08000183105469
2005-10-05,47.400001525878906
2005-10-06,47.459999084472656
2005-10-07,43.20000076293945
2005-10-10,43.13999938964844
2005-10-11,39.779998779296875
2005-10-12,37.7400016784668
2005-10-13,39.060001373291016
2005-10-14,40.7400016784668
2005-10-17,39.540000915527344
2005-10-18,38.939998626708984
2005-10-19,38.400001525878906
2005-10-20,38.63999938964844
2005-10-21,40.08000183105469
2005-10-24,40.560001373291016
2005-10-25,43.20000076293945
2005-10-26,42.84000015258789
2005-10-27,44.099998474121094
2005-10-28,42.119998931884766
2005-10-31,46.79999923706055
2005-11-01,46.97999954223633
2005-11-02,45.720001220703125
2005-11-03,49.02000045776367
2005-11-04,52.86000061035156
2005-11-07,52.08000183105469
2005-11-08,50.63999938964844
2005-11-09,48.0
2005-11-10,49.13999938964844
2005-11-11,49.560001373291016
2005-11-14,50.63999938964844
2005-11-15,52.02000045776367
2005-11-16,50.52000045776367
2005-11-17,51.779998779296875
2005-11-18,52.79999923706055
2005-11-21,52.97999954223633
2005-11-22,52.91999816894531
2005-11-23,52.68000030517578
2005-11-25,50.15999984741211
2005-11-28,52.31999969482422
2005-11-29,51.47999954223633
2005-11-30,51.599998474121094
2005-12-01,50.63999938964844
2005-12-02,50.099998474121094
2005-12-05,49.380001068115234
2005-12-06,49.619998931884766
2005-12-07,48.18000030517578
2005-12-08,47.70000076293945
2005-12-09,48.0
2005-12-12,47.81999969482422
2005-12-13,45.959999084472656
2005-12-14,43.2599983215332
2005-12-15,41.279998779296875
2005-12-16,41.459999084472656
2005-12-19,40.68000030517578
2005-12-20,40.91999816894531
2005-12-21,41.880001068115234
2005-12-22,42.2400016784668
2005-12-23,42.18000030517578
2005-12-27,41.400001525878906
2005-12-28,41.400001525878906
2005-12-29,40.619998931884766
2005-12-30,39.119998931884766
2006-01-03,37.619998931884766
2006-01-04,37.08000183105469
2006-01-05,38.7599983215332
2006-01-06,39.41999816894531
2006-01-09,41.15999984741211
2006-01-10,41.279998779296875
2006-01-11,42.060001373291016
2006-01-12,40.68000030517578
2006-01-13,41.099998474121094
2006-01-17,41.34000015258789
2006-01-18,42.41999816894531
2006-01-19,42.060001373291016
2006-01-20,41.81999969482422
2006-01-23,41.279998779296875
2006-01-24,42.2400016784668
2006-01-25,43.13999938964844
2006-01-26,43.7400016784668
2006-01-27,43.7400016784668
2006-01-30,43.13999938964844
2006-01-31,42.779998779296875
2006-02-01,42.900001525878906
2006-02-02,45.060001373291016
2006-02-03,47.70000076293945
2006-02-06,45.900001525878906
2006-02-07,46.2599983215332
2006-02-08,45.720001220703125
2006-02-09,45.29999923706055
2006-02-10,43.68000030517578
2006-02-13,43.380001068115234
2006-02-14,43.13999938964844
2006-02-15,43.20000076293945
2006-02-16,42.65999984741211
2006-02-17,42.959999084472656
2006-02-21,42.65999984741211
2006-02-22,42.779998779296875
2006-02-23,43.08000183105469
2006-02-24,42.900001525878906
2006-02-27,43.02000045776367
2006-02-28,42.84000015258789
2006-03-01,42.900001525878906
2006-03-02,42.959999084472656
2006-03-03,42.36000061035156
2006-03-06,42.36000061035156
2006-03-07,42.18000030517578
2006-03-08,42.65999984741211
2006-03-09,42.36000061035156
2006-03-10,42.900001525878906
2006-03-13,42.540000915527344
2006-03-14,42.779998779296875
2006-03-15,42.2400016784668
2006-03-16,42.18000030517578
2006-03-17,41.400001525878906
2006-03-20,42.65999984741211
2006-03-21,42.540000915527344
2006-03-22,42.959999084472656
2006-03-23,43.20000076293945
2006-03-24,43.31999969482422
2006-03-27,43.13999938964844
2006-03-28,43.20000076293945
2006-03-29,42.84000015258789
2006-03-30,43.13999938964844
2006-03-31,43.7400016784668
2006-04-03,46.02000045776367
2006-04-04,46.86000061035156
2006-04-05,47.63999938964844
2006-04-06,44.63999938964844
2006-04-07,44.099998474121094
2006-04-10,44.459999084472656
2006-04-11,44.52000045776367
2006-04-12,44.58000183105469
2006-04-13,44.939998626708984
2006-04-17,45.060001373291016
2006-04-18,46.20000076293945
2006-04-19,45.779998779296875
2006-04-20,44.459999084472656
2006-04-21,45.84000015258789
2006-04-24,44.63999938964844
2006-04-25,43.20000076293945
2006-04-26,43.02000045776367
2006-04-27,42.959999084472656
2006-04-28,43.5
2006-05-01,43.02000045776367
2006-05-02,42.959999084472656
2006-05-03,44.52000045776367
2006-05-04,43.13999938964844
2006-05-05,44.099998474121094
2006-05-08,46.20000076293945
2006-05-09,47.400001525878906
2006-05-10,47.099998474121094
2006-05-11,43.7400016784668
2006-05-12,42.900001525878906
2006-05-15,42.18000030517578
2006-05-16,41.459999084472656
2006-05-17,40.619998931884766
2006-05-18,42.2400016784668
2006-05-19,44.34000015258789
2006-05-22,42.41999816894531
2006-05-23,42.119998931884766
2006-05-24,41.939998626708984
2006-05-25,43.7400016784668
2006-05-26,43.619998931884766
2006-05-30,42.41999816894531
2006-05-31,41.880001068115234
2006-06-01,42.65999984741211
2006-06-02,42.0
2006-06-05,43.20000076293945
2006-06-06,42.900001525878906
2006-06-07,42.900001525878906
2006-06-08,43.20000076293945
2006-06-09,44.58000183105469
2006-06-12,43.380001068115234
2006-06-13,42.540000915527344
2006-06-14,43.02000045776367
2006-06-15,42.29999923706055
2006-06-16,42.599998474121094
2006-06-19,40.79999923706055
2006-06-20,39.599998474121094
2006-06-21,39.84000015258789
2006-06-22,40.380001068115234
2006-06-23,40.380001068115234
2006-06-26,41.099998474121094
2006-06-27,37.560001373291016
2006-06-28,37.619998931884766
2006-06-29,39.29999923706055
2006-06-30,37.7400016784668
2006-07-03,38.939998626708984
2006-07-05,39.29999923706055
2006-07-06,37.2599983215332
2006-07-07,35.459999084472656
2006-07-10,35.400001525878906
2006-07-11,37.13999938964844
2006-07-12,36.36000061035156
2006-07-13,34.79999923706055
2006-07-14,34.7400016784668
2006-07-17,32.880001068115234
2006-07-18,31.920000076293945
2006-07-19,34.619998931884766
2006-07-20,33.060001373291016
2006-07-21,32.220001220703125
2006-07-24,34.5
2006-07-25,36.0
2006-07-26,34.91999816894531
2006-07-27,33.0
2006-07-28,35.400001525878906
2006-07-31,34.91999816894531
2006-08-01,35.279998779296875
2006-08-02,36.84000015258789
2006-08-03,36.84000015258789
2006-08-04,35.400001525878906
2006-08-07,33.779998779296875
2006-08-08,32.099998474121094
2006-08-09,32.400001525878906
2006-08-10,34.86000061035156
2006-08-11,34.5
2006-08-14,31.68000030517578
2006-08-15,33.540000915527344
2006-08-16,33.47999954223633
2006-08-17,35.099998474121094
2006-08-18,36.36000061035156
2006-08-21,35.52000045776367
2006-08-22,34.97999954223633
2006-08-23,35.70000076293945
2006-08-24,36.0
2006-08-25,36.0
2006-08-28,36.599998474121094
2006-08-29,37.68000030517578
2006-08-30,40.20000076293945
2006-08-31,40.91999816894531
2006-09-01,40.560001373291016
2006-09-05,41.7599983215332
2006-09-06,40.5
2006-09-07,40.5
2006-09-08,40.619998931884766
