,FIVN
2016-11-01,14.239999771118164
2016-11-02,13.90999984741211
2016-11-03,13.260000228881836
2016-11-04,13.699999809265137
2016-11-07,14.119999885559082
2016-11-08,13.970000267028809
2016-11-09,13.789999961853027
2016-11-10,13.630000114440918
2016-11-11,14.59000015258789
2016-11-14,14.390000343322754
2016-11-15,15.210000038146973
2016-11-16,14.989999771118164
2016-11-17,15.09000015258789
2016-11-18,15.350000381469727
2016-11-21,15.40999984741211
2016-11-22,15.449999809265137
2016-11-23,15.739999771118164
2016-11-25,15.680000305175781
2016-11-28,15.569999694824219
2016-11-29,15.869999885559082
2016-11-30,15.829999923706055
2016-12-01,15.005000114440918
2016-12-02,14.069999694824219
2016-12-05,13.960000038146973
2016-12-06,13.6899995803833
2016-12-07,13.640000343322754
2016-12-08,13.65999984741211
2016-12-09,12.949999809265137
2016-12-12,12.869999885559082
2016-12-13,13.5
2016-12-14,13.460000038146973
2016-12-15,13.8100004196167
2016-12-16,13.770000457763672
2016-12-19,13.9399995803833
2016-12-20,14.220000267028809
2016-12-21,13.949999809265137
2016-12-22,13.930000305175781
2016-12-23,14.170000076293945
2016-12-27,14.399999618530273
2016-12-28,14.029999732971191
2016-12-29,14.220000267028809
2016-12-30,14.1899995803833
2017-01-03,14.1899995803833
2017-01-04,14.199999809265137
2017-01-05,14.34000015258789
2017-01-06,14.779999732971191
2017-01-09,15.640000343322754
2017-01-10,16.200000762939453
2017-01-11,16.5
2017-01-12,15.90999984741211
2017-01-13,16.829999923706055
2017-01-17,16.219999313354492
2017-01-18,16.420000076293945
2017-01-19,16.290000915527344
2017-01-20,16.389999389648438
2017-01-23,16.309999465942383
2017-01-24,16.18000030517578
2017-01-25,16.1299991607666
2017-01-26,15.9399995803833
2017-01-27,16.1299991607666
2017-01-30,15.640000343322754
2017-01-31,15.460000038146973
2017-02-01,15.5600004196167
2017-02-02,15.760000228881836
2017-02-03,16.110000610351562
2017-02-06,16.010000228881836
2017-02-07,16.110000610351562
2017-02-08,15.600000381469727
2017-02-09,16.010000228881836
2017-02-10,16.239999771118164
2017-02-13,16.309999465942383
2017-02-14,16.329999923706055
2017-02-15,16.799999237060547
2017-02-16,16.860000610351562
2017-02-17,16.579999923706055
2017-02-21,16.479999542236328
2017-02-22,16.549999237060547
2017-02-23,16.25
2017-02-24,16.360000610351562
2017-02-27,16.389999389648438
2017-02-28,15.90999984741211
2017-03-01,16.360000610351562
2017-03-02,16.299999237060547
2017-03-03,16.40999984741211
2017-03-06,16.3799991607666
2017-03-07,16.5
2017-03-08,16.3700008392334
2017-03-09,16.43000030517578
2017-03-10,16.329999923706055
2017-03-13,16.31999969482422
2017-03-14,16.420000076293945
2017-03-15,16.40999984741211
2017-03-16,16.829999923706055
2017-03-17,18.020000457763672
2017-03-20,18.389999389648438
2017-03-21,18.43000030517578
2017-03-22,17.889999389648438
2017-03-23,18.100000381469727
2017-03-24,18.520000457763672
2017-03-27,18.649999618530273
2017-03-28,18.43000030517578
2017-03-29,17.510000228881836
2017-03-30,16.15999984741211
2017-03-31,16.459999084472656
2017-04-03,16.829999923706055
2017-04-04,16.780000686645508
2017-04-05,17.010000228881836
2017-04-06,17.3799991607666
2017-04-07,17.139999389648438
2017-04-10,16.899999618530273
2017-04-11,16.59000015258789
2017-04-12,16.43000030517578
2017-04-13,16.459999084472656
2017-04-17,16.600000381469727
2017-04-18,16.84000015258789
2017-04-19,17.329999923706055
2017-04-20,17.530000686645508
2017-04-21,17.6299991607666
2017-04-24,18.079999923706055
2017-04-25,18.31999969482422
2017-04-26,17.889999389648438
2017-04-27,18.190000534057617
2017-04-28,18.2450008392334
2017-05-01,18.760000228881836
2017-05-02,18.989999771118164
2017-05-03,18.0
2017-05-04,20.93000030517578
