,BAB
2017-04-07,29.360000610351562
2017-04-10,29.450000762939453
2017-04-11,29.530000686645508
2017-04-12,29.639999389648438
2017-04-13,29.559999465942383
2017-04-17,29.559999465942383
2017-04-18,29.729999542236328
2017-04-19,29.670000076293945
2017-04-20,29.59000015258789
2017-04-21,29.56999969482422
2017-04-24,29.530000686645508
2017-04-25,29.3700008392334
2017-04-26,29.40999984741211
2017-04-27,29.459999084472656
2017-04-28,29.479999542236328
2017-05-01,29.40999984741211
2017-05-02,29.5
2017-05-03,29.479999542236328
2017-05-04,29.40999984741211
2017-05-05,29.43000030517578
2017-05-08,29.420000076293945
2017-05-09,29.31999969482422
2017-05-10,29.329999923706055
2017-05-11,29.440000534057617
2017-05-12,29.540000915527344
2017-05-15,29.420000076293945
2017-05-16,29.559999465942383
2017-05-17,29.809999465942383
2017-05-18,29.81999969482422
2017-05-19,29.84000015258789
2017-05-22,29.84000015258789
2017-05-23,29.799999237060547
2017-05-24,29.860000610351562
2017-05-25,29.8700008392334
2017-05-26,29.84000015258789
2017-05-30,29.979999542236328
2017-05-31,30.049999237060547
2017-06-01,29.989999771118164
2017-06-02,30.079999923706055
2017-06-05,30.06999969482422
2017-06-06,30.149999618530273
2017-06-07,30.079999923706055
2017-06-08,30.059999465942383
2017-06-09,30.0
2017-06-12,29.989999771118164
2017-06-13,30.010000228881836
2017-06-14,30.15999984741211
2017-06-15,30.040000915527344
2017-06-16,30.0
2017-06-19,30.020000457763672
2017-06-20,30.049999237060547
2017-06-21,30.1200008392334
2017-06-22,30.229999542236328
2017-06-23,30.270000457763672
2017-06-26,30.290000915527344
2017-06-27,30.149999618530273
2017-06-28,29.989999771118164
2017-06-29,29.8799991607666
2017-06-30,29.959999084472656
2017-07-03,29.920000076293945
2017-07-05,30.0
2017-07-06,29.940000534057617
2017-07-07,29.889999389648438
2017-07-10,29.969999313354492
2017-07-11,29.940000534057617
2017-07-12,30.049999237060547
2017-07-13,29.969999313354492
2017-07-14,29.93000030517578
2017-07-17,29.959999084472656
2017-07-18,30.010000228881836
2017-07-19,30.030000686645508
2017-07-20,30.020000457763672
2017-07-21,30.1200008392334
2017-07-24,30.1299991607666
2017-07-25,29.979999542236328
2017-07-26,29.950000762939453
2017-07-27,29.940000534057617
2017-07-28,30.030000686645508
2017-07-31,30.09000015258789
2017-08-01,30.229999542236328
2017-08-02,30.190000534057617
2017-08-03,30.389999389648438
2017-08-04,30.15999984741211
2017-08-07,30.270000457763672
2017-08-08,30.239999771118164
2017-08-09,30.3799991607666
2017-08-10,30.34000015258789
2017-08-11,30.469999313354492
2017-08-14,30.229999542236328
2017-08-15,30.18000030517578
2017-08-16,30.260000228881836
2017-08-17,30.290000915527344
2017-08-18,30.360000610351562
2017-08-21,30.399999618530273
2017-08-22,30.350000381469727
2017-08-23,30.549999237060547
2017-08-24,30.469999313354492
2017-08-25,30.540000915527344
2017-08-28,30.559999465942383
2017-08-29,30.5
2017-08-30,30.549999237060547
2017-08-31,30.65999984741211
2017-09-01,30.559999465942383
2017-09-05,30.81999969482422
2017-09-06,30.75
2017-09-07,30.920000076293945
2017-09-08,30.899999618530273
2017-09-11,30.690000534057617
2017-09-12,30.68000030517578
2017-09-13,30.6200008392334
2017-09-14,30.600000381469727
2017-09-15,30.639999389648438
2017-09-18,30.489999771118164
2017-09-19,30.469999313354492
2017-09-20,30.3799991607666
2017-09-21,30.469999313354492
2017-09-22,30.469999313354492
2017-09-25,30.6200008392334
2017-09-26,30.600000381469727
2017-09-27,30.40999984741211
2017-09-28,30.3799991607666
