,DAKT
1995-08-11,0.703125
1995-08-14,0.734375
1995-08-15,0.703125
1995-08-16,0.734375
1995-08-17,0.765625
1995-08-18,0.765625
1995-08-21,0.703125
1995-08-22,0.703125
1995-08-23,0.71875
1995-08-24,0.703125
1995-08-25,0.75
1995-08-28,0.75
1995-08-29,0.765625
1995-08-30,0.703125
1995-08-31,0.703125
1995-09-01,0.703125
1995-09-05,0.71875
1995-09-06,0.765625
1995-09-07,0.765625
1995-09-08,0.703125
1995-09-11,0.703125
1995-09-12,0.703125
1995-09-13,0.6875
1995-09-14,0.625
1995-09-15,0.65625
1995-09-18,0.625
1995-09-19,0.625
1995-09-20,0.625
1995-09-21,0.625
1995-09-22,0.59375
1995-09-25,0.625
1995-09-26,0.59375
1995-09-27,0.625
1995-09-28,0.625
1995-09-29,0.59375
1995-10-02,0.609375
1995-10-03,0.59375
1995-10-04,0.578125
1995-10-05,0.625
1995-10-06,0.578125
1995-10-09,0.578125
1995-10-10,0.59375
1995-10-11,0.59375
1995-10-12,0.625
1995-10-13,0.578125
1995-10-16,0.578125
1995-10-17,0.625
1995-10-18,0.625
1995-10-19,0.59375
1995-10-20,0.65625
1995-10-23,0.71875
1995-10-24,0.71875
1995-10-25,0.671875
1995-10-26,0.71875
1995-10-27,0.6875
1995-10-30,0.671875
1995-10-31,0.734375
1995-11-01,0.6875
1995-11-02,0.671875
1995-11-03,0.671875
1995-11-06,0.5625
1995-11-07,0.59375
1995-11-08,0.6796879768371582
1995-11-09,0.59375
1995-11-10,0.609375
1995-11-13,0.59375
1995-11-14,0.625
1995-11-15,0.625
1995-11-16,0.6171879768371582
1995-11-17,0.546875
1995-11-20,0.578125
1995-11-21,0.5625
1995-11-22,0.59375
1995-11-24,0.578125
1995-11-27,0.578125
1995-11-28,0.59375
1995-11-29,0.59375
1995-11-30,0.578125
1995-12-01,0.578125
1995-12-04,0.578125
1995-12-05,0.625
1995-12-06,0.625
1995-12-07,0.625
1995-12-08,0.578125
1995-12-11,0.59375
1995-12-12,0.609375
1995-12-13,0.59375
1995-12-14,0.578125
1995-12-15,0.578125
1995-12-18,0.578125
1995-12-19,0.578125
1995-12-20,0.578125
1995-12-21,0.578125
1995-12-22,0.5625
1995-12-26,0.5625
1995-12-27,0.546875
1995-12-28,0.546875
1995-12-29,0.5625
1996-01-02,0.5625
1996-01-03,0.609375
1996-01-04,0.609375
1996-01-05,0.59375
1996-01-08,0.53125
1996-01-09,0.578125
1996-01-10,0.53125
1996-01-11,0.515625
1996-01-12,0.484375
1996-01-15,0.515625
1996-01-16,0.453125
1996-01-17,0.421875
1996-01-18,0.453125
1996-01-19,0.46875
1996-01-22,0.5
1996-01-23,0.515625
1996-01-24,0.484375
1996-01-25,0.53125
1996-01-26,0.53125
1996-01-29,0.484375
1996-01-30,0.484375
1996-01-31,0.46875
1996-02-01,0.484375
1996-02-02,0.46875
1996-02-05,0.453125
1996-02-06,0.453125
1996-02-07,0.5
1996-02-08,0.46875
1996-02-09,0.5
1996-02-12,0.484375
1996-02-13,0.484375
1996-02-14,0.515625
1996-02-15,0.515625
1996-02-16,0.5078129768371582
1996-02-20,0.5
1996-02-21,0.53125
1996-02-22,0.5
1996-02-23,0.53125
1996-02-26,0.515625
1996-02-27,0.46875
1996-02-28,0.5
1996-02-29,0.5
1996-03-01,0.46875
1996-03-04,0.5
1996-03-05,0.5
1996-03-06,0.5
1996-03-07,0.47070300579071045
1996-03-08,0.5
1996-03-11,0.46875
1996-03-12,0.453125
1996-03-13,0.5
1996-03-14,0.5
1996-03-15,0.46875
1996-03-18,0.5
1996-03-19,0.46875
1996-03-20,0.5
1996-03-21,0.46875
1996-03-22,0.515625
1996-03-25,0.515625
1996-03-26,0.515625
1996-03-27,0.5
1996-03-28,0.5
1996-03-29,0.46875
1996-04-01,0.484375
1996-04-02,0.453125
1996-04-03,0.484375
1996-04-04,0.4375
1996-04-08,0.484375
1996-04-09,0.484375
1996-04-10,0.5
1996-04-11,0.5
1996-04-12,0.5
1996-04-15,0.484375
1996-04-16,0.484375
1996-04-17,0.515625
1996-04-18,0.46875
1996-04-19,0.5
1996-04-22,0.484375
1996-04-23,0.484375
1996-04-24,0.484375
1996-04-25,0.484375
1996-04-26,0.484375
1996-04-29,0.515625
1996-04-30,0.515625
1996-05-01,0.625
1996-05-02,0.625
1996-05-03,0.5859379768371582
1996-05-06,0.6230469942092896
1996-05-07,0.65625
1996-05-08,0.609375
1996-05-09,0.609375
1996-05-10,0.609375
1996-05-13,0.609375
1996-05-14,0.609375
1996-05-15,0.640625
1996-05-16,0.609375
1996-05-17,0.625
1996-05-20,0.59375
1996-05-21,0.59375
1996-05-22,0.59375
1996-05-23,0.578125
1996-05-24,0.578125
1996-05-28,0.5625
1996-05-29,0.578125
1996-05-30,0.546875
1996-05-31,0.5625
1996-06-03,0.5703129768371582
1996-06-04,0.59375
1996-06-05,0.59375
1996-06-06,0.5625
1996-06-07,0.5625
1996-06-10,0.609375
1996-06-11,0.578125
1996-06-12,0.578125
1996-06-13,0.609375
1996-06-14,0.578125
1996-06-17,0.609375
1996-06-18,0.5625
1996-06-19,0.546875
1996-06-20,0.578125
1996-06-21,0.59375
1996-06-24,0.5625
1996-06-25,0.5625
1996-06-26,0.5625
1996-06-27,0.5625
1996-06-28,0.5625
1996-07-01,0.5625
1996-07-02,0.578125
1996-07-03,0.5625
1996-07-05,0.546875
1996-07-08,0.546875
1996-07-09,0.546875
1996-07-10,0.5625
1996-07-11,0.515625
1996-07-12,0.515625
1996-07-15,0.5253909826278687
1996-07-16,0.515625
1996-07-17,0.5
1996-07-18,0.515625
1996-07-19,0.546875
1996-07-22,0.53125
1996-07-23,0.5625
1996-07-24,0.5625
1996-07-25,0.609375
1996-07-26,0.609375
1996-07-29,0.609375
1996-07-30,0.609375
1996-07-31,0.578125
1996-08-01,0.578125
1996-08-02,0.5625
1996-08-05,0.546875
1996-08-06,0.515625
1996-08-07,0.5625
1996-08-08,0.5
1996-08-09,0.515625
1996-08-12,0.515625
1996-08-13,0.484375
1996-08-14,0.53125
1996-08-15,0.484375
1996-08-16,0.53125
1996-08-19,0.515625
1996-08-20,0.625
1996-08-21,0.5625
1996-08-22,0.546875
1996-08-23,0.578125
1996-08-26,0.53125
1996-08-27,0.515625
1996-08-28,0.5
1996-08-29,0.515625
1996-08-30,0.53125
1996-09-03,0.53125
1996-09-04,0.515625
1996-09-05,0.515625
1996-09-06,0.515625
1996-09-09,0.515625
1996-09-10,0.5
1996-09-11,0.5
1996-09-12,0.53125
1996-09-13,0.5195310115814209
1996-09-16,0.5
1996-09-17,0.53125
1996-09-18,0.546875
1996-09-19,0.546875
1996-09-20,0.5
1996-09-23,0.546875
1996-09-24,0.5195310115814209
1996-09-25,0.5
1996-09-26,0.5234379768371582
1996-09-27,0.5
1996-09-30,0.5
1996-10-01,0.5
1996-10-02,0.515625
1996-10-03,0.53125
1996-10-04,0.5
1996-10-07,0.5
1996-10-08,0.546875
1996-10-09,0.5
1996-10-10,0.5078129768371582
1996-10-11,0.5
1996-10-14,0.5
1996-10-15,0.5
1996-10-16,0.5
1996-10-17,0.5
1996-10-18,0.5
1996-10-21,0.5019530057907104
1996-10-22,0.484375
1996-10-23,0.484375
1996-10-24,0.484375
1996-10-25,0.453125
1996-10-28,0.4921880066394806
1996-10-29,0.5
1996-10-30,0.484375
1996-10-31,0.53125
1996-11-01,0.484375
1996-11-04,0.484375
1996-11-05,0.484375
1996-11-06,0.53125
1996-11-07,0.53125
1996-11-08,0.484375
1996-11-11,0.484375
1996-11-12,0.5195310115814209
1996-11-13,0.53125
1996-11-14,0.5
1996-11-15,0.5
1996-11-18,0.5039060115814209
1996-11-19,0.484375
1996-11-20,0.484375
1996-11-21,0.484375
1996-11-22,0.484375
1996-11-25,0.484375
1996-11-26,0.5039060115814209
1996-11-27,0.546875
1996-11-29,0.578125
1996-12-02,0.546875
1996-12-03,0.578125
1996-12-04,0.546875
1996-12-05,0.515625
1996-12-06,0.515625
1996-12-09,0.5
1996-12-10,0.484375
1996-12-11,0.484375
1996-12-12,0.484375
1996-12-13,0.484375
1996-12-16,0.484375
1996-12-17,0.484375
1996-12-18,0.484375
1996-12-19,0.484375
1996-12-20,0.484375
1996-12-23,0.5
1996-12-24,0.484375
1996-12-26,0.484375
1996-12-27,0.484375
1996-12-30,0.484375
1996-12-31,0.5
1997-01-02,0.4921880066394806
1997-01-03,0.5
1997-01-06,0.484375
1997-01-07,0.515625
1997-01-08,0.5
1997-01-09,0.5
1997-01-10,0.5
1997-01-13,0.5
1997-01-14,0.5
1997-01-15,0.515625
1997-01-16,0.578125
1997-01-17,0.5703129768371582
1997-01-20,0.53125
1997-01-21,0.53125
1997-01-22,0.5
1997-01-23,0.5
1997-01-24,0.515625
1997-01-27,0.5
1997-01-28,0.5
1997-01-29,0.5
1997-01-30,0.5
1997-01-31,0.515625
1997-02-03,0.5
1997-02-04,0.53125
1997-02-05,0.53125
1997-02-06,0.53125
1997-02-07,0.5
1997-02-10,0.515625
1997-02-11,0.515625
1997-02-12,0.5
1997-02-13,0.53125
1997-02-14,0.5
1997-02-18,0.53125
1997-02-19,0.53125
1997-02-20,0.53125
1997-02-21,0.53125
1997-02-24,0.5
1997-02-25,0.5
1997-02-26,0.5
1997-02-27,0.5
1997-02-28,0.515625
1997-03-03,0.484375
1997-03-04,0.5
1997-03-05,0.515625
1997-03-06,0.484375
1997-03-07,0.484375
1997-03-10,0.53125
1997-03-11,0.53125
1997-03-12,0.484375
1997-03-13,0.484375
1997-03-14,0.484375
1997-03-17,0.484375
1997-03-18,0.5
1997-03-19,0.5
1997-03-20,0.53125
1997-03-21,0.53125
1997-03-24,0.515625
1997-03-25,0.53125
1997-03-26,0.53125
1997-03-27,0.53125
1997-03-31,0.484375
1997-04-01,0.53125
1997-04-02,0.484375
1997-04-03,0.484375
1997-04-04,0.484375
1997-04-07,0.53125
1997-04-08,0.484375
1997-04-09,0.484375
1997-04-10,0.484375
1997-04-11,0.5
1997-04-14,0.5
1997-04-15,0.515625
1997-04-16,0.515625
1997-04-17,0.515625
1997-04-18,0.53125
1997-04-21,0.484375
1997-04-22,0.515625
1997-04-23,0.5
1997-04-24,0.5
1997-04-25,0.484375
1997-04-28,0.515625
1997-04-29,0.5
1997-04-30,0.5
1997-05-01,0.5
1997-05-02,0.5
1997-05-05,0.484375
1997-05-06,0.515625
1997-05-07,0.5
1997-05-08,0.453125
1997-05-09,0.484375
1997-05-12,0.484375
1997-05-13,0.484375
1997-05-14,0.484375
1997-05-15,0.484375
1997-05-16,0.515625
1997-05-19,0.46875
1997-05-20,0.484375
1997-05-21,0.484375
1997-05-22,0.484375
1997-05-23,0.46875
1997-05-27,0.484375
1997-05-28,0.484375
1997-05-29,0.484375
1997-05-30,0.484375
1997-06-02,0.484375
1997-06-03,0.5
1997-06-04,0.5
1997-06-05,0.515625
1997-06-06,0.5
1997-06-09,0.515625
1997-06-10,0.515625
1997-06-11,0.515625
1997-06-12,0.46875
1997-06-13,0.640625
1997-06-16,0.71875
1997-06-17,0.8125
1997-06-18,0.765625
1997-06-19,0.796875
1997-06-20,0.75
1997-06-23,0.734375
1997-06-24,0.6875
1997-06-25,0.65625
1997-06-26,0.625
1997-06-27,0.671875
1997-06-30,0.625
1997-07-01,0.671875
1997-07-02,0.625
1997-07-03,0.59375
1997-07-07,0.5625
1997-07-08,0.59375
1997-07-09,0.640625
1997-07-10,0.59375
1997-07-11,0.625
1997-07-14,0.625
1997-07-15,0.625
1997-07-16,0.59375
1997-07-17,0.609375
1997-07-18,0.609375
1997-07-21,0.65625
1997-07-22,0.625
1997-07-23,0.609375
1997-07-24,0.65625
1997-07-25,0.625
1997-07-28,0.65625
1997-07-29,0.703125
1997-07-30,0.71875
1997-07-31,0.796875
1997-08-01,0.703125
1997-08-04,0.734375
1997-08-05,0.75
1997-08-06,0.796875
1997-08-07,0.71875
1997-08-08,0.765625
1997-08-11,0.71875
1997-08-12,0.75
1997-08-13,0.671875
1997-08-14,0.703125
1997-08-15,0.671875
1997-08-18,0.703125
1997-08-19,0.78125
1997-08-20,0.703125
1997-08-21,0.65625
1997-08-22,0.65625
1997-08-25,0.65625
1997-08-26,0.640625
1997-08-27,0.640625
1997-08-28,0.671875
1997-08-29,0.671875
1997-09-02,0.640625
1997-09-03,0.65625
1997-09-04,0.703125
1997-09-05,0.734375
1997-09-08,0.75
1997-09-09,0.71875
1997-09-10,0.71875
1997-09-11,0.6875
1997-09-12,0.71875
1997-09-15,0.6875
1997-09-16,0.6875
1997-09-17,0.71875
1997-09-18,0.6875
1997-09-19,0.703125
1997-09-22,0.734375
1997-09-23,0.703125
1997-09-24,0.703125
1997-09-25,0.734375
1997-09-26,0.734375
1997-09-29,0.71875
1997-09-30,0.734375
1997-10-01,0.734375
1997-10-02,0.75
1997-10-03,0.71875
1997-10-06,0.71875
1997-10-07,0.71875
1997-10-08,0.75
1997-10-09,0.734375
1997-10-10,0.734375
1997-10-13,0.734375
1997-10-14,0.75
1997-10-15,0.734375
1997-10-16,0.75
1997-10-17,0.734375
1997-10-20,0.75
1997-10-21,0.75
1997-10-22,0.734375
1997-10-23,0.75
1997-10-24,0.75
1997-10-27,0.734375
1997-10-28,0.71875
1997-10-29,0.75
1997-10-30,0.734375
1997-10-31,0.75
1997-11-03,0.75
1997-11-04,0.75
1997-11-05,0.75
1997-11-06,0.75
1997-11-07,0.75
1997-11-10,0.734375
1997-11-11,0.734375
1997-11-12,0.734375
1997-11-13,0.6875
1997-11-14,0.734375
1997-11-17,0.75
1997-11-18,0.75
1997-11-19,0.75
1997-11-20,0.796875
1997-11-21,0.796875
1997-11-24,0.796875
1997-11-25,0.796875
1997-11-26,0.796875
1997-11-28,0.8125
1997-12-01,0.8125
1997-12-02,0.796875
1997-12-03,0.765625
1997-12-04,0.8125
1997-12-05,0.8125
1997-12-08,0.765625
1997-12-09,0.765625
1997-12-10,0.75
1997-12-11,0.75
1997-12-12,0.765625
1997-12-15,0.75
1997-12-16,0.71875
1997-12-17,0.75
1997-12-18,0.703125
1997-12-19,0.703125
1997-12-22,0.703125
1997-12-23,0.6875
1997-12-24,0.71875
1997-12-26,0.71875
1997-12-29,0.6875
1997-12-30,0.65625
1997-12-31,0.671875
1998-01-02,0.65625
1998-01-05,0.65625
1998-01-06,0.671875
1998-01-07,0.671875
1998-01-08,0.6875
1998-01-09,0.71875
1998-01-12,0.71875
1998-01-13,0.65625
1998-01-14,0.65625
1998-01-15,0.7109379768371582
1998-01-16,0.78125
1998-01-20,0.734375
1998-01-21,0.7578129768371582
1998-01-22,0.75
1998-01-23,0.75
1998-01-26,0.8125
1998-01-27,0.796875
1998-01-28,0.78125
1998-01-29,0.78125
1998-01-30,0.7890629768371582
1998-02-02,0.796875
1998-02-03,0.75
1998-02-04,0.71875
1998-02-05,0.71875
1998-02-06,0.71875
1998-02-09,0.78125
1998-02-10,0.75
1998-02-11,0.71875
1998-02-12,0.75
1998-02-13,0.75
1998-02-17,0.75
1998-02-18,0.8125
1998-02-19,0.8125
1998-02-20,0.8125
1998-02-23,0.796875
1998-02-24,0.734375
1998-02-25,0.75
1998-02-26,0.78125
1998-02-27,0.8125
1998-03-02,0.8125
1998-03-03,0.8125
1998-03-04,0.8125
1998-03-05,0.8125
1998-03-06,0.828125
1998-03-09,0.890625
1998-03-10,0.90625
1998-03-11,0.9375
1998-03-12,0.9375
1998-03-13,0.921875
1998-03-16,0.9375
1998-03-17,0.9355469942092896
1998-03-18,0.90625
1998-03-19,0.9375
1998-03-20,0.96875
1998-03-23,0.96875
1998-03-24,0.96875
1998-03-25,0.96875
1998-03-26,0.96875
1998-03-27,0.96875
1998-03-30,1.0
1998-03-31,1.0625
1998-04-01,1.0625
1998-04-02,1.03125
1998-04-03,1.0078129768371582
1998-04-06,1.0
1998-04-07,1.0
1998-04-08,1.0
1998-04-09,1.0
1998-04-13,1.015625
1998-04-14,1.0
1998-04-15,1.0
1998-04-16,1.0
1998-04-17,1.03125
1998-04-20,1.0625
1998-04-21,1.09375
1998-04-22,1.109375
1998-04-23,1.078125
1998-04-24,1.078125
1998-04-27,1.03125
1998-04-28,1.0625
1998-04-29,1.0
1998-04-30,1.03125
1998-05-01,1.015625
1998-05-04,1.0
1998-05-05,1.0
1998-05-06,1.046875
1998-05-07,1.015625
1998-05-08,1.046875
1998-05-11,1.015625
1998-05-12,1.015625
1998-05-13,1.027343988418579
1998-05-14,1.027343988418579
1998-05-15,1.0
1998-05-18,1.0
1998-05-19,0.9375
1998-05-20,0.90625
1998-05-21,0.9375
1998-05-22,0.9375
1998-05-26,0.921875
1998-05-27,0.90625
1998-05-28,0.90625
1998-05-29,0.984375
1998-06-01,0.984375
1998-06-02,0.984375
1998-06-03,1.0
1998-06-04,1.0
1998-06-05,1.0
1998-06-08,1.046875
1998-06-09,1.0703129768371582
1998-06-10,1.046875
1998-06-11,1.0625
1998-06-12,1.0
1998-06-15,1.0
1998-06-16,0.9921879768371582
1998-06-17,1.234375
1998-06-18,1.25
1998-06-19,1.234375
1998-06-22,1.3046879768371582
1998-06-23,1.3125
1998-06-24,1.21875
1998-06-25,1.21875
1998-06-26,1.21875
1998-06-29,1.3046879768371582
1998-06-30,1.3046879768371582
1998-07-01,1.390625
1998-07-02,1.515625
1998-07-06,1.515625
1998-07-07,1.484375
1998-07-08,1.4375
1998-07-09,1.46875
1998-07-10,1.484375
1998-07-13,1.453125
1998-07-14,1.46875
1998-07-15,1.515625
1998-07-16,1.546875
1998-07-17,1.515625
1998-07-20,1.5
1998-07-21,1.53125
1998-07-22,1.4375
1998-07-23,1.5
1998-07-24,1.328125
1998-07-27,1.265625
1998-07-28,1.203125
1998-07-29,1.265625
1998-07-30,1.28125
1998-07-31,1.265625
1998-08-03,1.265625
1998-08-04,1.125
1998-08-05,1.1875
1998-08-06,1.1875
1998-08-07,1.1875
1998-08-10,1.2109379768371582
1998-08-11,1.125
1998-08-12,1.15625
1998-08-13,1.1875
1998-08-14,1.15625
1998-08-17,1.1875
1998-08-18,1.15625
1998-08-19,1.359375
1998-08-20,1.40625
1998-08-21,1.40625
1998-08-24,1.375
1998-08-25,1.390625
1998-08-26,1.375
1998-08-27,1.328125
1998-08-28,1.390625
1998-08-31,1.328125
1998-09-01,1.25
1998-09-02,1.238281011581421
1998-09-03,1.25
1998-09-04,1.2421879768371582
1998-09-08,1.25
1998-09-09,1.25
1998-09-10,1.203125
1998-09-11,1.21875
1998-09-14,1.21875
1998-09-15,1.1875
1998-09-16,1.28125
1998-09-17,1.1875
1998-09-18,1.21875
1998-09-21,1.171875
1998-09-22,1.28125
1998-09-23,1.203125
1998-09-24,1.203125
1998-09-25,1.28125
1998-09-28,1.203125
1998-09-29,1.21875
1998-09-30,1.21875
