,DFPHU
2020-12-29,11.210200309753418
2020-12-30,11.210200309753418
2020-12-31,11.210200309753418
2021-01-04,11.5
2021-01-05,11.300000190734863
2021-01-06,11.25
2021-01-07,11.25
2021-01-08,11.25
2021-01-11,11.069999694824219
2021-01-12,11.25
2021-01-13,11.25
2021-01-14,11.25
2021-01-15,11.0
2021-01-19,11.279999732971191
2021-01-20,11.15999984741211
2021-01-21,12.125
2021-01-22,11.25
2021-01-25,11.470000267028809
2021-01-26,11.470000267028809
2021-01-27,10.9399995803833
2021-01-28,11.069999694824219
2021-01-29,11.25
2021-02-01,10.75
2021-02-02,11.229999542236328
2021-02-03,11.130000114440918
2021-02-04,11.130000114440918
2021-02-05,11.239999771118164
2021-02-08,11.15999984741211
2021-02-09,11.180000305175781
2021-02-10,11.279999732971191
2021-02-11,11.279999732971191
2021-02-12,11.279999732971191
2021-02-16,11.5
2021-02-17,11.550000190734863
2021-02-18,11.600000381469727
2021-02-19,11.960000038146973
2021-02-22,11.899999618530273
2021-02-23,11.489999771118164
2021-02-24,11.489999771118164
2021-02-25,11.399999618530273
2021-02-26,11.239999771118164
2021-03-01,11.140000343322754
2021-03-02,11.0
2021-03-03,11.0
2021-03-04,10.37399959564209
2021-03-05,10.9399995803833
2021-03-08,10.890000343322754
2021-03-09,10.920000076293945
2021-03-10,10.920000076293945
2021-03-11,10.920000076293945
2021-03-12,10.920000076293945
2021-03-15,10.920000076293945
2021-03-16,10.920000076293945
2021-03-17,10.920000076293945
2021-03-18,10.920000076293945
2021-03-19,10.920000076293945
2021-03-22,10.920000076293945
2021-03-23,10.40999984741211
2021-03-24,10.40999984741211
2021-03-25,10.649999618530273
2021-03-26,10.3100004196167
2021-03-29,10.300000190734863
2021-03-30,10.300000190734863
2021-03-31,10.359999656677246
2021-04-01,10.359999656677246
2021-04-05,10.359999656677246
2021-04-06,10.359999656677246
2021-04-07,10.359999656677246
2021-04-08,10.359999656677246
2021-04-09,10.359999656677246
2021-04-12,10.359999656677246
2021-04-13,10.359999656677246
2021-04-14,10.359999656677246
2021-04-15,10.359999656677246
2021-04-16,10.359999656677246
2021-04-19,10.359999656677246
2021-04-20,10.173600196838379
2021-04-21,10.173600196838379
2021-04-22,10.173600196838379
2021-04-23,10.173600196838379
2021-04-26,10.430000305175781
2021-04-27,10.430000305175781
2021-04-28,10.430000305175781
2021-04-29,10.430000305175781
2021-04-30,10.430000305175781
2021-05-03,10.399999618530273
2021-05-04,10.399999618530273
2021-05-05,10.380000114440918
2021-05-06,10.380000114440918
2021-05-07,10.380000114440918
2021-05-10,10.109999656677246
2021-05-11,10.109999656677246
2021-05-12,10.109999656677246
2021-05-13,10.109999656677246
2021-05-14,10.109999656677246
