,BECN
2009-06-12,14.600000381469727
2009-06-15,14.279999732971191
2009-06-16,13.739999771118164
2009-06-17,13.979999542236328
2009-06-18,13.859999656677246
2009-06-19,13.170000076293945
2009-06-22,13.079999923706055
2009-06-23,13.3100004196167
2009-06-24,13.550000190734863
2009-06-25,13.930000305175781
2009-06-26,14.180000305175781
2009-06-29,14.460000038146973
2009-06-30,14.460000038146973
2009-07-01,14.829999923706055
2009-07-02,14.15999984741211
2009-07-06,14.079999923706055
2009-07-07,14.050000190734863
2009-07-08,14.170000076293945
2009-07-09,14.109999656677246
2009-07-10,14.319999694824219
2009-07-13,14.369999885559082
2009-07-14,14.4399995803833
2009-07-15,14.8100004196167
2009-07-16,15.220000267028809
2009-07-17,15.949999809265137
2009-07-20,16.030000686645508
2009-07-21,15.359999656677246
2009-07-22,15.4399995803833
2009-07-23,15.949999809265137
2009-07-24,15.890000343322754
2009-07-27,16.020000457763672
2009-07-28,16.270000457763672
2009-07-29,16.510000228881836
2009-07-30,16.920000076293945
2009-07-31,16.770000457763672
2009-08-03,16.709999084472656
2009-08-04,16.639999389648438
2009-08-05,17.149999618530273
2009-08-06,16.31999969482422
2009-08-07,15.970000267028809
2009-08-10,15.779999732971191
2009-08-11,15.899999618530273
2009-08-12,15.84000015258789
2009-08-13,16.09000015258789
2009-08-14,16.049999237060547
2009-08-17,15.15999984741211
2009-08-18,15.739999771118164
2009-08-19,16.040000915527344
2009-08-20,16.059999465942383
2009-08-21,16.639999389648438
2009-08-24,17.010000228881836
2009-08-25,16.860000610351562
2009-08-26,16.850000381469727
2009-08-27,16.81999969482422
2009-08-28,16.940000534057617
2009-08-31,16.81999969482422
2009-09-01,15.890000343322754
2009-09-02,15.520000457763672
2009-09-03,15.84000015258789
2009-09-04,15.84000015258789
2009-09-08,16.079999923706055
2009-09-09,16.3700008392334
2009-09-10,16.149999618530273
2009-09-11,16.079999923706055
2009-09-14,15.75
2009-09-15,15.619999885559082
2009-09-16,16.139999389648438
2009-09-17,16.360000610351562
2009-09-18,16.43000030517578
2009-09-21,16.489999771118164
2009-09-22,16.600000381469727
2009-09-23,16.56999969482422
2009-09-24,16.06999969482422
2009-09-25,15.859999656677246
2009-09-28,16.190000534057617
2009-09-29,16.329999923706055
2009-09-30,15.979999542236328
2009-10-01,15.640000343322754
2009-10-02,15.40999984741211
2009-10-05,15.5
2009-10-06,15.550000190734863
2009-10-07,15.619999885559082
2009-10-08,15.720000267028809
2009-10-09,15.960000038146973
2009-10-12,15.920000076293945
2009-10-13,15.779999732971191
2009-10-14,15.8100004196167
2009-10-15,15.619999885559082
2009-10-16,16.079999923706055
2009-10-19,15.970000267028809
2009-10-20,15.630000114440918
2009-10-21,15.3100004196167
2009-10-22,15.479999542236328
2009-10-23,15.319999694824219
2009-10-26,14.859999656677246
2009-10-27,14.90999984741211
2009-10-28,14.5
2009-10-29,14.649999618530273
2009-10-30,14.359999656677246
2009-11-02,14.3100004196167
2009-11-03,14.479999542236328
2009-11-04,14.399999618530273
2009-11-05,14.720000267028809
2009-11-06,14.449999809265137
2009-11-09,14.550000190734863
2009-11-10,14.40999984741211
2009-11-11,14.600000381469727
2009-11-12,14.59000015258789
2009-11-13,15.149999618530273
2009-11-16,15.829999923706055
2009-11-17,15.90999984741211
2009-11-18,15.8100004196167
2009-11-19,15.350000381469727
2009-11-20,15.350000381469727
2009-11-23,15.710000038146973
2009-11-24,15.600000381469727
2009-11-25,15.600000381469727
2009-11-27,15.449999809265137
2009-11-30,15.369999885559082
2009-12-01,16.3799991607666
2009-12-02,15.949999809265137
2009-12-03,15.960000038146973
2009-12-04,16.540000915527344
2009-12-07,16.600000381469727
2009-12-08,16.450000762939453
2009-12-09,16.059999465942383
2009-12-10,15.920000076293945
2009-12-11,16.030000686645508
2009-12-14,16.149999618530273
2009-12-15,16.290000915527344
2009-12-16,16.100000381469727
2009-12-17,16.100000381469727
2009-12-18,16.290000915527344
2009-12-21,16.299999237060547
2009-12-22,16.5
2009-12-23,16.520000457763672
2009-12-24,16.719999313354492
2009-12-28,16.579999923706055
2009-12-29,16.889999389648438
2009-12-30,16.34000015258789
2009-12-31,16.0
2010-01-04,16.770000457763672
2010-01-05,16.649999618530273
2010-01-06,16.25
2010-01-07,16.56999969482422
2010-01-08,16.649999618530273
2010-01-11,16.709999084472656
2010-01-12,16.489999771118164
2010-01-13,16.700000762939453
2010-01-14,16.809999465942383
2010-01-15,16.809999465942383
2010-01-19,17.420000076293945
2010-01-20,17.010000228881836
2010-01-21,16.780000686645508
2010-01-22,16.6299991607666
2010-01-25,16.579999923706055
2010-01-26,16.440000534057617
2010-01-27,16.579999923706055
2010-01-28,16.56999969482422
2010-01-29,16.799999237060547
2010-02-01,16.729999542236328
2010-02-02,16.770000457763672
2010-02-03,16.5
2010-02-04,16.84000015258789
2010-02-05,16.799999237060547
2010-02-08,16.65999984741211
2010-02-09,16.479999542236328
2010-02-10,16.389999389648438
2010-02-11,16.989999771118164
2010-02-12,17.329999923706055
2010-02-16,17.239999771118164
2010-02-17,17.18000030517578
2010-02-18,17.3700008392334
2010-02-19,17.610000610351562
2010-02-22,17.489999771118164
2010-02-23,17.469999313354492
2010-02-24,17.75
2010-02-25,17.75
2010-02-26,17.399999618530273
2010-03-01,18.190000534057617
2010-03-02,18.6200008392334
2010-03-03,18.75
2010-03-04,18.780000686645508
2010-03-05,18.90999984741211
2010-03-08,18.829999923706055
2010-03-09,19.0
2010-03-10,19.049999237060547
2010-03-11,19.100000381469727
2010-03-12,19.110000610351562
2010-03-15,18.610000610351562
2010-03-16,18.979999542236328
2010-03-17,18.969999313354492
2010-03-18,18.8799991607666
2010-03-19,18.889999389648438
2010-03-22,19.0
2010-03-23,19.200000762939453
2010-03-24,18.889999389648438
2010-03-25,19.280000686645508
2010-03-26,19.200000762939453
2010-03-29,19.309999465942383
2010-03-30,19.309999465942383
2010-03-31,19.1299991607666
2010-04-01,19.450000762939453
2010-04-05,20.030000686645508
2010-04-06,19.969999313354492
2010-04-07,19.690000534057617
2010-04-08,19.610000610351562
2010-04-09,19.68000030517578
2010-04-12,19.75
2010-04-13,19.940000534057617
2010-04-14,20.889999389648438
2010-04-15,20.68000030517578
2010-04-16,20.450000762939453
2010-04-19,20.479999542236328
2010-04-20,20.690000534057617
2010-04-21,20.75
2010-04-22,21.31999969482422
2010-04-23,21.459999084472656
2010-04-26,21.829999923706055
2010-04-27,21.559999465942383
2010-04-28,22.110000610351562
2010-04-29,22.809999465942383
2010-04-30,22.200000762939453
2010-05-03,22.489999771118164
2010-05-04,21.969999313354492
2010-05-05,21.399999618530273
2010-05-06,19.93000030517578
2010-05-07,19.920000076293945
2010-05-10,21.360000610351562
2010-05-11,21.709999084472656
2010-05-12,22.6299991607666
2010-05-13,22.309999465942383
2010-05-14,21.739999771118164
2010-05-17,21.920000076293945
2010-05-18,21.450000762939453
2010-05-19,20.81999969482422
2010-05-20,19.239999771118164
2010-05-21,19.399999618530273
2010-05-24,19.399999618530273
2010-05-25,19.790000915527344
2010-05-26,20.31999969482422
2010-05-27,21.290000915527344
2010-05-28,21.0
2010-06-01,20.09000015258789
2010-06-02,20.56999969482422
2010-06-03,20.110000610351562
2010-06-04,19.020000457763672
2010-06-07,19.010000228881836
2010-06-08,18.90999984741211
2010-06-09,18.579999923706055
2010-06-10,19.729999542236328
2010-06-11,19.690000534057617
2010-06-14,19.760000228881836
2010-06-15,20.31999969482422
2010-06-16,19.940000534057617
2010-06-17,19.309999465942383
2010-06-18,19.3799991607666
2010-06-21,19.0
2010-06-22,18.059999465942383
2010-06-23,18.420000076293945
2010-06-24,18.399999618530273
2010-06-25,18.59000015258789
2010-06-28,18.8700008392334
2010-06-29,18.260000228881836
2010-06-30,18.020000457763672
2010-07-01,17.170000076293945
2010-07-02,16.8799991607666
2010-07-06,16.479999542236328
2010-07-07,17.239999771118164
2010-07-08,17.65999984741211
2010-07-09,17.65999984741211
2010-07-12,17.709999084472656
2010-07-13,18.079999923706055
2010-07-14,18.18000030517578
2010-07-15,18.079999923706055
2010-07-16,17.760000228881836
2010-07-19,17.59000015258789
2010-07-20,17.739999771118164
2010-07-21,17.399999618530273
2010-07-22,17.65999984741211
2010-07-23,18.09000015258789
2010-07-26,18.5
2010-07-27,18.229999542236328
2010-07-28,17.459999084472656
2010-07-29,17.270000457763672
2010-07-30,17.059999465942383
2010-08-02,17.209999084472656
2010-08-03,16.790000915527344
2010-08-04,16.549999237060547
2010-08-05,14.880000114440918
2010-08-06,14.75
2010-08-09,14.84000015258789
2010-08-10,14.609999656677246
2010-08-11,14.170000076293945
2010-08-12,14.109999656677246
2010-08-13,14.0
2010-08-16,14.050000190734863
2010-08-17,14.25
2010-08-18,14.3100004196167
2010-08-19,14.130000114440918
2010-08-20,14.119999885559082
2010-08-23,13.869999885559082
2010-08-24,13.760000228881836
2010-08-25,14.020000457763672
2010-08-26,13.760000228881836
2010-08-27,13.989999771118164
2010-08-30,13.84000015258789
2010-08-31,13.930000305175781
2010-09-01,14.579999923706055
2010-09-02,15.09000015258789
2010-09-03,14.979999542236328
2010-09-07,14.59000015258789
2010-09-08,14.479999542236328
2010-09-09,14.5600004196167
2010-09-10,14.600000381469727
2010-09-13,14.760000228881836
2010-09-14,14.670000076293945
2010-09-15,14.380000114440918
2010-09-16,14.130000114440918
2010-09-17,14.149999618530273
2010-09-20,14.270000457763672
2010-09-21,14.34000015258789
2010-09-22,14.199999809265137
2010-09-23,14.199999809265137
2010-09-24,14.640000343322754
2010-09-27,14.5
2010-09-28,14.680000305175781
2010-09-29,14.59000015258789
2010-09-30,14.569999694824219
2010-10-01,14.5
2010-10-04,14.220000267028809
2010-10-05,14.579999923706055
2010-10-06,14.649999618530273
2010-10-07,14.640000343322754
2010-10-08,14.819999694824219
2010-10-11,14.890000343322754
2010-10-12,14.9399995803833
2010-10-13,14.819999694824219
2010-10-14,14.59000015258789
2010-10-15,14.920000076293945
2010-10-18,14.960000038146973
2010-10-19,14.720000267028809
2010-10-20,14.739999771118164
2010-10-21,14.739999771118164
2010-10-22,14.65999984741211
2010-10-25,14.859999656677246
2010-10-26,14.899999618530273
2010-10-27,14.699999809265137
2010-10-28,14.8100004196167
2010-10-29,14.760000228881836
2010-11-01,14.600000381469727
2010-11-02,14.800000190734863
2010-11-03,14.729999542236328
2010-11-04,15.270000457763672
2010-11-05,15.609999656677246
2010-11-08,15.510000228881836
2010-11-09,15.630000114440918
2010-11-10,15.710000038146973
2010-11-11,15.789999961853027
2010-11-12,15.550000190734863
2010-11-15,15.569999694824219
2010-11-16,15.470000267028809
2010-11-17,15.449999809265137
2010-11-18,15.770000457763672
2010-11-19,15.899999618530273
2010-11-22,16.0
2010-11-23,15.859999656677246
2010-11-24,15.899999618530273
2010-11-26,15.75
2010-11-29,17.1200008392334
2010-11-30,17.190000534057617
2010-12-01,17.479999542236328
2010-12-02,17.739999771118164
2010-12-03,17.75
2010-12-06,17.719999313354492
2010-12-07,17.639999389648438
2010-12-08,18.09000015258789
2010-12-09,18.200000762939453
2010-12-10,18.299999237060547
2010-12-13,18.139999389648438
2010-12-14,18.139999389648438
2010-12-15,18.229999542236328
2010-12-16,18.200000762939453
2010-12-17,17.989999771118164
2010-12-20,18.110000610351562
2010-12-21,18.100000381469727
2010-12-22,18.0
2010-12-23,18.0
2010-12-27,18.020000457763672
2010-12-28,17.989999771118164
2010-12-29,17.899999618530273
2010-12-30,18.020000457763672
2010-12-31,17.8700008392334
2011-01-03,17.989999771118164
2011-01-04,18.030000686645508
2011-01-05,18.059999465942383
2011-01-06,18.15999984741211
2011-01-07,18.09000015258789
2011-01-10,18.15999984741211
2011-01-11,18.18000030517578
2011-01-12,18.170000076293945
2011-01-13,18.239999771118164
2011-01-14,18.520000457763672
2011-01-18,18.450000762939453
2011-01-19,18.43000030517578
2011-01-20,18.34000015258789
2011-01-21,18.43000030517578
2011-01-24,18.459999084472656
2011-01-25,18.5
2011-01-26,18.790000915527344
2011-01-27,18.399999618530273
2011-01-28,18.040000915527344
2011-01-31,18.15999984741211
2011-02-01,18.93000030517578
2011-02-02,18.899999618530273
2011-02-03,18.969999313354492
2011-02-04,19.1299991607666
2011-02-07,19.6299991607666
2011-02-08,20.020000457763672
2011-02-09,21.260000228881836
2011-02-10,21.489999771118164
2011-02-11,21.700000762939453
