,AGNCO
2021-02-22,24.5
2021-02-23,24.4950008392334
2021-02-24,24.360000610351562
2021-02-25,24.219999313354492
2021-02-26,24.479999542236328
2021-03-01,24.59000015258789
2021-03-02,24.690000534057617
2021-03-03,24.530000686645508
2021-03-04,24.520000457763672
2021-03-05,24.719999313354492
2021-03-08,24.719999313354492
2021-03-09,24.8799991607666
2021-03-10,24.860000610351562
2021-03-11,24.950000762939453
2021-03-12,24.780000686645508
2021-03-15,24.75
2021-03-16,24.729999542236328
2021-03-17,24.649999618530273
2021-03-18,24.700000762939453
2021-03-19,24.719999313354492
2021-03-22,24.649999618530273
2021-03-23,24.6200008392334
2021-03-24,24.649999618530273
2021-03-25,24.670000076293945
2021-03-26,24.920000076293945
2021-03-29,24.8700008392334
2021-03-30,24.920000076293945
2021-03-31,24.6299991607666
2021-04-01,24.799999237060547
2021-04-05,24.770000457763672
2021-04-06,24.829999923706055
2021-04-07,24.709999084472656
2021-04-08,24.770000457763672
2021-04-09,24.709999084472656
2021-04-12,24.850000381469727
2021-04-13,24.940000534057617
2021-04-14,24.969999313354492
2021-04-15,25.010000228881836
2021-04-16,24.850000381469727
2021-04-19,24.979999542236328
2021-04-20,24.959999084472656
2021-04-21,24.959999084472656
2021-04-22,24.940000534057617
2021-04-23,24.93000030517578
2021-04-26,24.950000762939453
2021-04-27,25.059999465942383
2021-04-28,25.15999984741211
2021-04-29,25.219999313354492
2021-04-30,25.030000686645508
2021-05-03,25.15999984741211
2021-05-04,25.25
2021-05-05,25.15999984741211
2021-05-06,25.190000534057617
2021-05-07,25.260000228881836
2021-05-10,25.219999313354492
2021-05-11,25.18000030517578
2021-05-12,24.850000381469727
2021-05-13,25.079999923706055
2021-05-14,25.360000610351562
