,BIS
2011-10-17,3292.0
2011-10-18,3208.0
2011-10-19,3280.0
2011-10-20,3251.199951171875
2011-10-21,3251.199951171875
2011-10-24,3251.199951171875
2011-10-25,3115.199951171875
2011-10-26,3104.0
2011-10-27,2950.39990234375
2011-10-28,2956.800048828125
2011-10-31,3040.800048828125
2011-11-01,3202.39990234375
2011-11-02,3202.39990234375
2011-11-03,3202.39990234375
2011-11-04,3202.39990234375
2011-11-07,3267.199951171875
2011-11-08,3179.199951171875
2011-11-09,3364.800048828125
2011-11-10,3376.0
2011-11-11,3376.0
2011-11-14,3376.0
2011-11-15,3292.0
2011-11-16,3356.0
2011-11-17,3380.800048828125
2011-11-18,3380.800048828125
2011-11-21,3108.0
2011-11-22,3005.60009765625
2011-11-23,3122.39990234375
2011-11-25,3148.0
2011-11-28,2976.800048828125
2011-11-29,2952.800048828125
2011-11-30,2763.199951171875
2011-12-01,2757.60009765625
2011-12-02,2748.800048828125
2011-12-05,2744.0
2011-12-06,2758.39990234375
2011-12-07,2824.800048828125
2011-12-08,2864.800048828125
2011-12-09,2841.60009765625
2011-12-12,2860.0
2011-12-13,2848.800048828125
2011-12-14,2920.0
2011-12-15,2892.0
2011-12-16,2874.39990234375
2011-12-19,2880.0
2011-12-20,2750.39990234375
2011-12-21,2707.199951171875
2011-12-22,2693.60009765625
2011-12-23,2713.60009765625
2011-12-27,2633.60009765625
2011-12-28,2712.0
2011-12-29,2638.39990234375
2011-12-30,2608.0
2012-01-03,2548.0
2012-01-04,2602.39990234375
2012-01-05,2602.39990234375
2012-01-06,2493.60009765625
2012-01-09,2423.199951171875
2012-01-10,2331.199951171875
2012-01-11,2304.800048828125
2012-01-12,2283.199951171875
2012-01-13,2259.199951171875
2012-01-17,2242.39990234375
2012-01-18,2192.800048828125
2012-01-19,2205.60009765625
2012-01-20,2239.199951171875
2012-01-23,2261.60009765625
2012-01-24,2240.800048828125
2012-01-25,2132.0
2012-01-26,2160.0
2012-01-27,2112.0
2012-01-30,2132.0
2012-01-31,2105.60009765625
2012-02-01,2021.5999755859375
2012-02-02,1992.0
2012-02-03,1952.0
2012-02-06,1904.0
2012-02-07,1942.4000244140625
2012-02-08,1964.0
2012-02-09,1985.5999755859375
2012-02-10,2004.800048828125
2012-02-13,1900.800048828125
2012-02-14,1940.0
2012-02-15,1932.0
2012-02-16,1897.5999755859375
2012-02-17,1992.0
2012-02-21,2064.800048828125
2012-02-22,2053.60009765625
2012-02-23,1970.4000244140625
2012-02-24,1976.800048828125
2012-02-27,1966.4000244140625
2012-02-28,1966.4000244140625
2012-02-29,1979.199951171875
2012-03-01,1936.0
2012-03-02,1942.4000244140625
2012-03-05,1980.0
2012-03-06,2064.800048828125
2012-03-07,2033.5999755859375
2012-03-08,1967.199951171875
2012-03-09,1964.800048828125
2012-03-12,1965.5999755859375
2012-03-13,1921.5999755859375
2012-03-14,1921.5999755859375
2012-03-15,1921.5999755859375
2012-03-16,1896.0
2012-03-19,1912.0
2012-03-20,1915.199951171875
2012-03-21,1900.0
2012-03-22,1924.800048828125
2012-03-23,1881.5999755859375
2012-03-26,1820.0
2012-03-27,1818.4000244140625
2012-03-28,1848.800048828125
2012-03-29,1848.800048828125
2012-03-30,1832.0
2012-04-02,1795.199951171875
2012-04-03,1785.5999755859375
2012-04-04,1828.800048828125
2012-04-05,1820.0
2012-04-09,1884.0
2012-04-10,1980.800048828125
2012-04-11,1950.4000244140625
2012-04-12,1918.4000244140625
2012-04-13,1971.199951171875
2012-04-16,2001.5999755859375
2012-04-17,1912.0
2012-04-18,1948.0
2012-04-19,1885.5999755859375
2012-04-20,1852.800048828125
2012-04-23,1874.4000244140625
2012-04-24,1852.800048828125
2012-04-25,1792.0
2012-04-26,1766.4000244140625
2012-04-27,1736.800048828125
2012-04-30,1750.4000244140625
2012-05-01,1755.199951171875
2012-05-02,1741.5999755859375
2012-05-03,1753.5999755859375
2012-05-04,1853.5999755859375
2012-05-07,1756.0
2012-05-08,1756.800048828125
2012-05-09,1788.800048828125
2012-05-10,1762.4000244140625
2012-05-11,1712.800048828125
2012-05-14,1715.199951171875
2012-05-15,1736.800048828125
2012-05-16,1729.5999755859375
2012-05-17,1824.800048828125
2012-05-18,1886.4000244140625
2012-05-21,1792.800048828125
2012-05-22,1780.0
2012-05-23,1790.4000244140625
2012-05-24,1749.5999755859375
2012-05-25,1746.4000244140625
2012-05-29,1741.5999755859375
2012-05-30,1752.800048828125
2012-05-31,1787.199951171875
2012-06-01,1891.199951171875
2012-06-04,1884.800048828125
2012-06-05,1868.0
2012-06-06,1772.800048828125
2012-06-07,1810.4000244140625
2012-06-08,1780.0
2012-06-11,1825.5999755859375
2012-06-12,1774.4000244140625
2012-06-13,1825.5999755859375
2012-06-14,1772.0
2012-06-15,1711.199951171875
2012-06-18,1687.199951171875
2012-06-19,1644.0
2012-06-20,1644.800048828125
2012-06-21,1678.4000244140625
2012-06-22,1636.800048828125
2012-06-25,1672.0
2012-06-26,1625.5999755859375
2012-06-27,1600.800048828125
2012-06-28,1688.800048828125
2012-06-29,1584.0
2012-07-02,1504.800048828125
2012-07-03,1486.4000244140625
2012-07-05,1480.800048828125
2012-07-06,1514.4000244140625
2012-07-09,1504.0
2012-07-10,1508.0
2012-07-11,1587.199951171875
2012-07-12,1555.199951171875
2012-07-13,1533.5999755859375
2012-07-16,1514.4000244140625
2012-07-17,1474.4000244140625
2012-07-18,1456.800048828125
2012-07-19,1469.5999755859375
2012-07-20,1496.0
2012-07-23,1546.4000244140625
2012-07-24,1584.800048828125
2012-07-25,1514.4000244140625
2012-07-26,1440.800048828125
2012-07-27,1381.5999755859375
2012-07-30,1428.800048828125
2012-07-31,1449.5999755859375
2012-08-01,1505.5999755859375
2012-08-02,1538.4000244140625
2012-08-03,1475.199951171875
2012-08-06,1488.800048828125
2012-08-07,1464.0
2012-08-08,1488.0
2012-08-09,1486.4000244140625
2012-08-10,1486.4000244140625
2012-08-13,1488.0
2012-08-14,1471.199951171875
2012-08-15,1441.5999755859375
2012-08-16,1468.800048828125
2012-08-17,1495.199951171875
2012-08-20,1488.0
2012-08-21,1467.199951171875
2012-08-22,1458.4000244140625
2012-08-23,1449.5999755859375
2012-08-24,1424.800048828125
2012-08-27,1406.4000244140625
2012-08-28,1418.4000244140625
2012-08-29,1416.0
2012-08-30,1425.5999755859375
2012-08-31,1416.0
2012-09-04,1366.4000244140625
2012-09-05,1372.0
2012-09-06,1310.4000244140625
2012-09-07,1311.199951171875
2012-09-10,1332.0
2012-09-11,1347.199951171875
2012-09-12,1351.199951171875
2012-09-13,1311.199951171875
2012-09-14,1301.5999755859375
2012-09-17,1279.199951171875
2012-09-18,1251.199951171875
2012-09-19,1250.4000244140625
2012-09-20,1261.5999755859375
2012-09-21,1244.800048828125
2012-09-24,1271.199951171875
2012-09-25,1272.0
2012-09-26,1313.5999755859375
2012-09-27,1288.0
2012-09-28,1272.800048828125
2012-10-01,1253.5999755859375
2012-10-02,1228.800048828125
2012-10-03,1212.0
2012-10-04,1205.5999755859375
2012-10-05,1180.0
2012-10-08,1218.5999755859375
2012-10-09,1259.0
2012-10-10,1280.199951171875
2012-10-11,1255.5999755859375
2012-10-12,1289.199951171875
2012-10-15,1275.800048828125
2012-10-16,1242.800048828125
2012-10-17,1213.5999755859375
2012-10-18,1235.5999755859375
2012-10-19,1326.4000244140625
2012-10-22,1335.199951171875
2012-10-23,1382.800048828125
2012-10-24,1357.5999755859375
2012-10-25,1375.0
2012-10-26,1417.5999755859375
2012-10-31,1476.0
2012-11-01,1404.4000244140625
2012-11-02,1478.199951171875
2012-11-05,1460.0
2012-11-06,1432.0
2012-11-07,1497.800048828125
2012-11-08,1532.199951171875
2012-11-09,1502.5999755859375
2012-11-12,1452.0
2012-11-13,1445.4000244140625
2012-11-14,1500.5999755859375
2012-11-15,1519.5999755859375
2012-11-16,1452.800048828125
2012-11-19,1452.800048828125
2012-11-20,1368.0
2012-11-21,1348.0
2012-11-23,1332.0
2012-11-26,1343.199951171875
2012-11-27,1347.5999755859375
2012-11-28,1372.0
2012-11-29,1290.0
2012-11-30,1302.5999755859375
2012-12-03,1314.800048828125
2012-12-04,1314.800048828125
2012-12-05,1312.4000244140625
2012-12-06,1325.0
2012-12-07,1337.0
2012-12-10,1297.800048828125
2012-12-11,1263.199951171875
2012-12-12,1273.800048828125
2012-12-13,1296.4000244140625
2012-12-14,1318.4000244140625
2012-12-17,1287.800048828125
2012-12-18,1262.5999755859375
2012-12-19,1293.199951171875
2012-12-20,1288.5999755859375
2012-12-21,1309.5999755859375
2012-12-24,1320.4000244140625
2012-12-26,1339.0
2012-12-27,1340.0
2012-12-28,1376.199951171875
2012-12-31,1326.5999755859375
2013-01-02,1239.0
2013-01-03,1237.800048828125
2013-01-04,1221.800048828125
2013-01-07,1207.5999755859375
2013-01-08,1196.0
2013-01-09,1162.199951171875
2013-01-10,1153.199951171875
2013-01-11,1178.4000244140625
2013-01-14,1171.0
2013-01-15,1167.4000244140625
2013-01-16,1191.4000244140625
2013-01-17,1192.0
2013-01-18,1194.0
2013-01-22,1171.5999755859375
2013-01-23,1176.800048828125
2013-01-24,1182.4000244140625
2013-01-25,1161.199951171875
2013-01-28,1170.800048828125
2013-01-29,1164.0
2013-01-30,1182.0
2013-01-31,1168.0
2013-02-01,1134.0
2013-02-04,1162.4000244140625
2013-02-05,1162.4000244140625
2013-02-06,1140.800048828125
2013-02-07,1176.5999755859375
2013-02-08,1176.5999755859375
2013-02-11,1152.4000244140625
2013-02-12,1169.199951171875
2013-02-13,1164.4000244140625
2013-02-14,1167.4000244140625
2013-02-15,1173.4000244140625
2013-02-19,1160.0
2013-02-20,1175.0
2013-02-21,1200.199951171875
2013-02-22,1200.199951171875
2013-02-25,1179.5999755859375
2013-02-26,1179.5999755859375
2013-02-27,1169.199951171875
2013-02-28,1117.0
2013-03-01,1111.199951171875
2013-03-04,1074.5999755859375
2013-03-05,1045.0
2013-03-06,1030.0
2013-03-07,1029.5999755859375
2013-03-08,1020.2000122070312
2013-03-11,1013.2000122070312
2013-03-12,1004.4000244140625
2013-03-13,1005.5999755859375
2013-03-14,996.0
2013-03-15,1008.0
2013-03-18,1020.0
2013-03-19,1029.199951171875
2013-03-20,1004.2000122070312
2013-03-21,1015.4000244140625
2013-03-22,1020.0
2013-03-25,1015.0
2013-03-26,1015.0
2013-03-27,1018.2000122070312
2013-03-28,959.0
2013-04-01,965.5999755859375
2013-04-02,929.4000244140625
2013-04-03,961.0
2013-04-04,960.0
2013-04-05,964.0
2013-04-08,948.7999877929688
2013-04-09,936.2000122070312
2013-04-10,897.4000244140625
2013-04-11,865.0
2013-04-12,848.0
2013-04-15,889.7999877929688
2013-04-16,866.4000244140625
2013-04-17,871.7999877929688
2013-04-18,901.0
2013-04-19,810.0
2013-04-22,797.2000122070312
2013-04-23,788.7999877929688
2013-04-24,835.2000122070312
2013-04-25,796.0
2013-04-26,800.0
2013-04-29,796.4000244140625
2013-04-30,809.7999877929688
2013-05-01,811.5999755859375
2013-05-02,786.7999877929688
2013-05-03,764.0
2013-05-06,769.0
2013-05-07,785.7999877929688
2013-05-08,790.4000244140625
2013-05-09,777.7999877929688
2013-05-10,743.2000122070312
2013-05-13,713.0
2013-05-14,682.7999877929688
2013-05-15,708.0
2013-05-16,723.5999755859375
2013-05-17,717.2000122070312
2013-05-20,733.7999877929688
2013-05-21,718.4000244140625
2013-05-22,725.0
2013-05-23,722.5999755859375
2013-05-24,724.2000122070312
2013-05-28,707.0
2013-05-29,721.0
2013-05-30,703.2000122070312
2013-05-31,733.4000244140625
2013-06-03,750.0
2013-06-04,776.4000244140625
2013-06-05,811.4000244140625
2013-06-06,763.2000122070312
2013-06-07,725.5999755859375
2013-06-10,740.0
2013-06-11,739.4000244140625
2013-06-12,765.4000244140625
2013-06-13,748.0
2013-06-14,750.5999755859375
2013-06-17,768.5999755859375
2013-06-18,750.0
2013-06-19,773.7999877929688
2013-06-20,825.7999877929688
2013-06-21,814.2000122070312
2013-06-24,818.5999755859375
2013-06-25,816.0
2013-06-26,769.0
2013-06-27,761.5999755859375
2013-06-28,758.0
2013-07-01,726.7999877929688
2013-07-02,723.4000244140625
2013-07-03,725.0
2013-07-05,699.2000122070312
2013-07-08,703.2000122070312
2013-07-09,689.5999755859375
2013-07-10,673.4000244140625
2013-07-11,647.5999755859375
2013-07-12,615.0
2013-07-15,612.7999877929688
2013-07-16,631.0
2013-07-17,622.5999755859375
2013-07-18,621.0
2013-07-19,603.0
2013-07-22,602.5999755859375
2013-07-23,612.4000244140625
2013-07-24,614.4000244140625
2013-07-25,597.0
2013-07-26,594.4000244140625
2013-07-29,604.2000122070312
2013-07-30,589.7999877929688
2013-07-31,574.5999755859375
2013-08-01,567.2000122070312
2013-08-02,568.0
2013-08-05,570.0
2013-08-06,594.2000122070312
2013-08-07,595.4000244140625
2013-08-08,594.2000122070312
2013-08-09,594.4000244140625
2013-08-12,608.4000244140625
2013-08-13,604.7999877929688
2013-08-14,609.2000122070312
2013-08-15,634.0
2013-08-16,637.7999877929688
2013-08-19,644.0
2013-08-20,631.2000122070312
2013-08-21,605.4000244140625
2013-08-22,606.7999877929688
2013-08-23,606.7999877929688
2013-08-26,585.4000244140625
2013-08-27,616.0
2013-08-28,606.4000244140625
2013-08-29,590.0
2013-08-30,598.2000122070312
2013-09-03,576.2000122070312
2013-09-04,561.0
2013-09-05,552.0
2013-09-06,553.7999877929688
2013-09-09,531.4000244140625
2013-09-10,527.5999755859375
2013-09-11,532.0
2013-09-12,527.7999877929688
2013-09-13,523.7999877929688
2013-09-16,518.0
2013-09-17,513.2000122070312
2013-09-18,504.3999938964844
2013-09-19,509.0
2013-09-20,510.0
2013-09-23,521.0
2013-09-24,520.0
2013-09-25,525.5999755859375
2013-09-26,510.0
2013-09-27,504.6000061035156
2013-09-30,510.3999938964844
2013-10-01,493.0
2013-10-02,493.20001220703125
2013-10-03,504.3999938964844
2013-10-04,496.0
2013-10-07,517.0
2013-10-08,560.0
2013-10-09,584.7999877929688
2013-10-10,541.4000244140625
2013-10-11,537.4000244140625
2013-10-14,540.0
2013-10-15,546.4000244140625
2013-10-16,511.0
2013-10-17,506.3999938964844
2013-10-18,515.0
2013-10-21,527.7999877929688
2013-10-22,502.79998779296875
2013-10-23,499.0
2013-10-24,489.0
2013-10-25,492.0
2013-10-28,491.79998779296875
2013-10-29,494.0
2013-10-30,510.3999938964844
2013-10-31,519.7999877929688
2013-11-01,512.0
2013-11-04,517.5999755859375
2013-11-05,506.20001220703125
2013-11-06,539.4000244140625
2013-11-07,556.4000244140625
2013-11-08,518.5999755859375
2013-11-11,513.2000122070312
2013-11-12,511.6000061035156
2013-11-13,503.20001220703125
2013-11-14,490.3999938964844
2013-11-15,483.79998779296875
2013-11-18,496.3999938964844
2013-11-19,495.6000061035156
2013-11-20,486.0
2013-11-21,470.0
2013-11-22,440.79998779296875
2013-11-25,431.79998779296875
2013-11-26,433.3999938964844
2013-11-27,435.20001220703125
2013-11-29,429.6000061035156
2013-12-02,427.79998779296875
2013-12-03,442.0
2013-12-04,438.3999938964844
2013-12-05,444.79998779296875
2013-12-06,437.20001220703125
2013-12-09,436.79998779296875
2013-12-10,446.0
2013-12-11,464.0
2013-12-12,455.79998779296875
2013-12-13,458.0
2013-12-16,457.0
2013-12-17,465.79998779296875
2013-12-18,442.6000061035156
2013-12-19,449.6000061035156
2013-12-20,430.20001220703125
2013-12-23,419.3999938964844
2013-12-24,421.20001220703125
2013-12-26,411.0
2013-12-27,419.79998779296875
2013-12-30,416.0
2013-12-31,412.79998779296875
2014-01-02,411.6000061035156
2014-01-03,415.20001220703125
2014-01-06,422.3999938964844
2014-01-07,413.0
2014-01-08,397.79998779296875
2014-01-09,388.0
2014-01-10,373.6000061035156
2014-01-13,383.0
2014-01-14,357.3999938964844
2014-01-15,358.20001220703125
2014-01-16,349.0
2014-01-17,346.20001220703125
2014-01-21,332.6000061035156
2014-01-22,329.0
2014-01-23,331.6000061035156
2014-01-24,353.20001220703125
2014-01-27,368.20001220703125
2014-01-28,353.79998779296875
2014-01-29,352.79998779296875
2014-01-30,333.79998779296875
2014-01-31,345.20001220703125
2014-02-03,365.3999938964844
2014-02-04,357.20001220703125
2014-02-05,370.20001220703125
2014-02-06,370.6000061035156
2014-02-07,340.79998779296875
2014-02-10,328.6000061035156
2014-02-11,318.0
2014-02-12,313.6000061035156
2014-02-13,305.0
2014-02-14,309.79998779296875
2014-02-18,295.0
2014-02-19,300.79998779296875
2014-02-20,290.3999938964844
2014-02-21,284.3999938964844
2014-02-24,277.0
2014-02-25,275.0
2014-02-26,280.6000061035156
2014-02-27,275.79998779296875
2014-02-28,292.79998779296875
2014-03-03,293.6000061035156
2014-03-04,279.3999938964844
2014-03-05,284.20001220703125
2014-03-06,298.6000061035156
2014-03-07,302.0
