,DBX
2018-08-27,27.3799991607666
2018-08-28,27.15999984741211
2018-08-29,27.010000228881836
2018-08-30,26.700000762939453
2018-08-31,26.850000381469727
2018-09-04,26.959999084472656
2018-09-05,26.600000381469727
2018-09-06,25.739999771118164
2018-09-07,26.760000228881836
2018-09-10,26.8799991607666
2018-09-11,26.969999313354492
2018-09-12,26.139999389648438
2018-09-13,25.729999542236328
2018-09-14,26.079999923706055
2018-09-17,26.200000762939453
2018-09-18,26.360000610351562
2018-09-19,25.65999984741211
2018-09-20,26.5
2018-09-21,26.360000610351562
2018-09-24,26.329999923706055
2018-09-25,27.139999389648438
2018-09-26,27.110000610351562
2018-09-27,27.049999237060547
2018-09-28,26.829999923706055
2018-10-01,26.219999313354492
2018-10-02,26.31999969482422
2018-10-03,26.25
2018-10-04,24.540000915527344
2018-10-05,24.06999969482422
2018-10-08,22.850000381469727
2018-10-09,22.75
2018-10-10,22.780000686645508
2018-10-11,22.8700008392334
2018-10-12,23.920000076293945
2018-10-15,23.969999313354492
2018-10-16,24.899999618530273
2018-10-17,24.860000610351562
2018-10-18,24.190000534057617
2018-10-19,23.3799991607666
2018-10-22,23.420000076293945
2018-10-23,23.360000610351562
2018-10-24,21.989999771118164
2018-10-25,22.350000381469727
2018-10-26,21.709999084472656
2018-10-29,22.010000228881836
2018-10-30,22.799999237060547
2018-10-31,23.469999313354492
2018-11-01,23.719999313354492
2018-11-02,24.030000686645508
2018-11-05,24.059999465942383
2018-11-06,24.049999237060547
2018-11-07,25.010000228881836
2018-11-08,24.739999771118164
2018-11-09,25.549999237060547
2018-11-12,24.34000015258789
2018-11-13,23.670000076293945
2018-11-14,23.559999465942383
2018-11-15,24.600000381469727
2018-11-16,23.270000457763672
2018-11-19,21.549999237060547
2018-11-20,21.450000762939453
2018-11-21,21.75
2018-11-23,22.350000381469727
2018-11-26,23.65999984741211
2018-11-27,23.040000915527344
2018-11-28,24.190000534057617
2018-11-29,24.459999084472656
2018-11-30,23.389999389648438
2018-12-03,23.770000457763672
2018-12-04,22.420000076293945
2018-12-06,22.420000076293945
2018-12-07,21.510000228881836
2018-12-10,22.010000228881836
2018-12-11,22.56999969482422
2018-12-12,22.809999465942383
2018-12-13,23.190000534057617
2018-12-14,22.600000381469727
2018-12-17,21.760000228881836
2018-12-18,21.459999084472656
2018-12-19,21.559999465942383
2018-12-20,20.3700008392334
2018-12-21,19.3799991607666
2018-12-24,19.75
2018-12-26,20.760000228881836
2018-12-27,20.8700008392334
2018-12-28,20.790000915527344
2018-12-31,20.43000030517578
2019-01-02,20.670000076293945
2019-01-03,20.09000015258789
2019-01-04,21.280000686645508
2019-01-07,21.760000228881836
2019-01-08,22.06999969482422
2019-01-09,22.299999237060547
2019-01-10,22.489999771118164
2019-01-11,22.389999389648438
2019-01-14,22.010000228881836
2019-01-15,22.579999923706055
2019-01-16,22.479999542236328
2019-01-17,22.600000381469727
2019-01-18,23.59000015258789
2019-01-22,22.899999618530273
2019-01-23,23.309999465942383
2019-01-24,23.389999389648438
2019-01-25,23.899999618530273
2019-01-28,24.139999389648438
2019-01-29,23.239999771118164
2019-01-30,23.93000030517578
2019-01-31,24.709999084472656
2019-02-01,24.239999771118164
2019-02-04,24.56999969482422
2019-02-05,25.200000762939453
2019-02-06,25.239999771118164
2019-02-07,24.790000915527344
2019-02-08,25.420000076293945
2019-02-11,25.149999618530273
2019-02-12,25.43000030517578
2019-02-13,25.450000762939453
2019-02-14,25.780000686645508
2019-02-15,25.540000915527344
2019-02-19,25.989999771118164
2019-02-20,25.489999771118164
2019-02-21,25.59000015258789
2019-02-22,23.450000762939453
2019-02-25,23.59000015258789
2019-02-26,24.34000015258789
2019-02-27,24.239999771118164
2019-02-28,23.860000610351562
2019-03-01,23.889999389648438
2019-03-04,23.860000610351562
2019-03-05,23.540000915527344
2019-03-06,22.6299991607666
2019-03-07,22.510000228881836
2019-03-08,22.229999542236328
2019-03-11,22.639999389648438
2019-03-12,23.110000610351562
2019-03-13,22.59000015258789
2019-03-14,22.1299991607666
2019-03-15,22.309999465942383
2019-03-18,22.15999984741211
2019-03-19,22.31999969482422
2019-03-20,22.100000381469727
2019-03-21,22.65999984741211
2019-03-22,21.719999313354492
2019-03-25,21.829999923706055
2019-03-26,21.959999084472656
2019-03-27,21.420000076293945
2019-03-28,21.5
2019-03-29,21.799999237060547
2019-04-01,21.56999969482422
2019-04-02,22.1299991607666
2019-04-03,22.280000686645508
2019-04-04,21.899999618530273
2019-04-05,21.950000762939453
2019-04-08,22.139999389648438
2019-04-09,21.940000534057617
2019-04-10,22.280000686645508
2019-04-11,22.079999923706055
2019-04-12,22.34000015258789
2019-04-15,22.149999618530273
2019-04-16,21.799999237060547
2019-04-17,21.149999618530273
2019-04-18,21.25
2019-04-22,23.15999984741211
2019-04-23,23.329999923706055
2019-04-24,23.399999618530273
2019-04-25,23.649999618530273
2019-04-26,24.350000381469727
2019-04-29,24.40999984741211
2019-04-30,24.3799991607666
2019-05-01,23.899999618530273
2019-05-02,23.969999313354492
2019-05-03,24.420000076293945
2019-05-06,24.15999984741211
2019-05-07,23.59000015258789
2019-05-08,23.670000076293945
2019-05-09,23.229999542236328
2019-05-10,23.5
2019-05-13,21.68000030517578
2019-05-14,22.190000534057617
2019-05-15,22.809999465942383
2019-05-16,23.520000457763672
2019-05-17,23.0
2019-05-20,23.139999389648438
2019-05-21,23.200000762939453
2019-05-22,23.209999084472656
2019-05-23,22.559999465942383
2019-05-24,22.600000381469727
2019-05-28,22.649999618530273
2019-05-29,22.6200008392334
2019-05-30,22.3799991607666
2019-05-31,22.559999465942383
2019-06-03,22.329999923706055
2019-06-04,21.8700008392334
2019-06-05,22.8799991607666
2019-06-06,22.84000015258789
2019-06-07,23.030000686645508
2019-06-10,22.739999771118164
2019-06-11,22.68000030517578
2019-06-12,23.030000686645508
2019-06-13,24.049999237060547
2019-06-14,23.459999084472656
2019-06-17,23.540000915527344
2019-06-18,23.84000015258789
2019-06-19,24.200000762939453
2019-06-20,24.520000457763672
2019-06-21,25.010000228881836
2019-06-24,24.799999237060547
2019-06-25,23.969999313354492
2019-06-26,24.6200008392334
2019-06-27,24.950000762939453
2019-06-28,25.049999237060547
2019-07-01,25.010000228881836
2019-07-02,25.0
2019-07-03,25.079999923706055
2019-07-05,25.15999984741211
2019-07-08,24.950000762939453
2019-07-09,25.209999084472656
2019-07-10,25.510000228881836
2019-07-11,25.959999084472656
2019-07-12,25.8700008392334
2019-07-15,26.1299991607666
2019-07-16,25.450000762939453
2019-07-17,25.049999237060547
2019-07-18,24.979999542236328
2019-07-19,24.43000030517578
2019-07-22,24.399999618530273
2019-07-23,24.229999542236328
2019-07-24,24.68000030517578
2019-07-25,24.549999237060547
2019-07-26,24.6299991607666
2019-07-29,23.940000534057617
2019-07-30,23.799999237060547
2019-07-31,23.559999465942383
2019-08-01,23.5
2019-08-02,23.020000457763672
2019-08-05,21.809999465942383
2019-08-06,21.700000762939453
2019-08-07,20.760000228881836
2019-08-08,21.459999084472656
2019-08-09,18.709999084472656
2019-08-12,18.219999313354492
2019-08-13,18.3700008392334
2019-08-14,17.56999969482422
2019-08-15,17.260000228881836
2019-08-16,17.479999542236328
2019-08-19,17.790000915527344
2019-08-20,17.799999237060547
2019-08-21,17.920000076293945
2019-08-22,18.0
2019-08-23,17.760000228881836
2019-08-26,17.700000762939453
2019-08-27,17.530000686645508
2019-08-28,17.649999618530273
2019-08-29,17.899999618530273
2019-08-30,17.899999618530273
2019-09-03,17.950000762939453
2019-09-04,18.3799991607666
2019-09-05,18.860000610351562
2019-09-06,18.969999313354492
2019-09-09,19.479999542236328
2019-09-10,20.06999969482422
2019-09-11,20.31999969482422
2019-09-12,20.020000457763672
2019-09-13,20.059999465942383
2019-09-16,20.399999618530273
2019-09-17,20.8799991607666
2019-09-18,20.959999084472656
2019-09-19,21.030000686645508
2019-09-20,21.030000686645508
2019-09-23,20.274999618530273
2019-09-24,19.790000915527344
2019-09-25,19.75
2019-09-26,20.06999969482422
2019-09-27,19.770000457763672
2019-09-30,20.170000076293945
2019-10-01,19.950000762939453
2019-10-02,19.260000228881836
2019-10-03,19.469999313354492
2019-10-04,19.469999313354492
2019-10-07,19.700000762939453
2019-10-08,19.274999618530273
2019-10-09,19.040000915527344
2019-10-10,18.760000228881836
2019-10-11,19.264999389648438
2019-10-14,19.34000015258789
2019-10-15,19.415000915527344
2019-10-16,18.940000534057617
2019-10-17,18.940000534057617
2019-10-18,18.415000915527344
2019-10-21,18.920000076293945
2019-10-22,19.31999969482422
2019-10-23,19.209999084472656
2019-10-24,19.549999237060547
2019-10-25,19.729999542236328
2019-10-28,20.06999969482422
2019-10-29,20.059999465942383
2019-10-30,20.049999237060547
2019-10-31,19.81999969482422
2019-11-01,20.25
2019-11-04,20.540000915527344
2019-11-05,20.8700008392334
2019-11-06,20.559999465942383
2019-11-07,20.959999084472656
2019-11-08,19.795000076293945
2019-11-11,18.860000610351562
2019-11-12,18.90999984741211
2019-11-13,19.450000762939453
2019-11-14,18.84000015258789
2019-11-15,19.209999084472656
2019-11-18,18.969999313354492
2019-11-19,19.030000686645508
2019-11-20,18.93000030517578
2019-11-21,18.520000457763672
2019-11-22,18.979999542236328
2019-11-25,19.030000686645508
2019-11-26,18.899999618530273
2019-11-27,18.700000762939453
2019-11-29,18.489999771118164
2019-12-02,18.350000381469727
2019-12-03,18.200000762939453
2019-12-04,18.260000228881836
2019-12-05,18.059999465942383
2019-12-06,18.270000457763672
2019-12-09,18.09000015258789
2019-12-10,17.809999465942383
2019-12-11,17.239999771118164
2019-12-12,16.75
2019-12-13,16.799999237060547
2019-12-16,17.1200008392334
2019-12-17,17.15999984741211
2019-12-18,17.200000762939453
2019-12-19,18.15999984741211
2019-12-20,17.860000610351562
2019-12-23,17.774999618530273
2019-12-24,17.780000686645508
2019-12-26,17.780000686645508
2019-12-27,17.719999313354492
2019-12-30,17.600000381469727
2019-12-31,17.90999984741211
2020-01-02,18.09000015258789
2020-01-03,18.0
2020-01-06,18.530000686645508
2020-01-07,18.530000686645508
2020-01-08,18.459999084472656
2020-01-09,18.3700008392334
2020-01-10,17.81999969482422
2020-01-13,17.860000610351562
2020-01-14,18.0049991607666
2020-01-15,18.309999465942383
2020-01-16,18.0
2020-01-17,18.020000457763672
2020-01-21,17.639999389648438
2020-01-22,17.530000686645508
2020-01-23,17.709999084472656
2020-01-24,17.34000015258789
2020-01-27,16.950000762939453
2020-01-28,17.139999389648438
2020-01-29,16.950000762939453
2020-01-30,17.010000228881836
2020-01-31,17.020000457763672
2020-02-03,16.90999984741211
2020-02-04,17.100000381469727
2020-02-05,17.610000610351562
2020-02-06,18.260000228881836
2020-02-07,18.100000381469727
2020-02-10,18.530000686645508
2020-02-11,18.600000381469727
2020-02-12,18.56999969482422
2020-02-13,18.610000610351562
