,FMBIP
2020-12-28,27.850000381469727
2020-12-29,28.290000915527344
2020-12-30,27.895999908447266
2020-12-31,28.299999237060547
2021-01-04,27.989999771118164
2021-01-05,27.899999618530273
2021-01-06,27.709999084472656
2021-01-07,27.360000610351562
2021-01-08,27.40999984741211
2021-01-11,27.05900001525879
2021-01-12,26.600000381469727
2021-01-13,27.059999465942383
2021-01-14,27.18899917602539
2021-01-15,27.385000228881836
2021-01-19,27.93000030517578
2021-01-20,27.760000228881836
2021-01-21,28.040000915527344
2021-01-22,27.459999084472656
2021-01-25,27.649999618530273
2021-01-26,27.709999084472656
2021-01-27,27.34000015258789
2021-01-28,27.43000030517578
2021-01-29,27.357999801635742
2021-02-01,27.549999237060547
2021-02-02,27.70199966430664
2021-02-03,27.670000076293945
2021-02-04,27.690000534057617
2021-02-05,27.469999313354492
2021-02-08,27.510000228881836
2021-02-09,27.649999618530273
2021-02-10,27.299999237060547
2021-02-11,27.639999389648438
2021-02-12,27.809999465942383
2021-02-16,27.690000534057617
2021-02-17,27.549999237060547
2021-02-18,27.510000228881836
2021-02-19,27.399999618530273
2021-02-22,27.40999984741211
2021-02-23,27.545000076293945
2021-02-24,27.639999389648438
2021-02-25,27.329999923706055
2021-02-26,27.670000076293945
2021-03-01,27.610000610351562
2021-03-02,27.43000030517578
2021-03-03,27.25
2021-03-04,27.35099983215332
2021-03-05,27.610000610351562
2021-03-08,27.889999389648438
2021-03-09,27.75
2021-03-10,27.360000610351562
2021-03-11,27.549999237060547
2021-03-12,27.600000381469727
2021-03-15,27.75
2021-03-16,27.43000030517578
2021-03-17,27.59000015258789
2021-03-18,27.459999084472656
2021-03-19,27.666000366210938
2021-03-22,27.54800033569336
2021-03-23,27.520000457763672
2021-03-24,27.469999313354492
2021-03-25,27.450000762939453
2021-03-26,27.600000381469727
2021-03-29,27.600000381469727
2021-03-30,27.5
2021-03-31,27.690000534057617
2021-04-01,27.920000076293945
2021-04-05,27.56999969482422
2021-04-06,27.65999984741211
2021-04-07,27.549999237060547
2021-04-08,27.600000381469727
2021-04-09,27.780000686645508
2021-04-12,27.899999618530273
2021-04-13,27.84000015258789
2021-04-14,27.75
2021-04-15,27.850000381469727
2021-04-16,27.899999618530273
2021-04-19,27.90999984741211
2021-04-20,28.0
2021-04-21,28.0
2021-04-22,28.0
2021-04-23,28.049999237060547
2021-04-26,28.40999984741211
2021-04-27,27.899999618530273
2021-04-28,28.389999389648438
2021-04-29,28.275999069213867
2021-04-30,28.389999389648438
2021-05-03,28.299999237060547
2021-05-04,27.690000534057617
2021-05-05,27.899999618530273
2021-05-06,27.81999969482422
2021-05-07,27.850000381469727
2021-05-10,27.829999923706055
2021-05-11,27.850000381469727
2021-05-12,27.760000228881836
2021-05-13,27.780000686645508
2021-05-14,28.260000228881836
