,BSPE
2020-11-16,9.84000015258789
2020-11-17,9.84000015258789
2020-11-18,9.84000015258789
2020-11-19,9.84000015258789
2020-11-20,9.84000015258789
2020-11-23,9.84000015258789
2020-11-24,9.84000015258789
2020-11-25,9.84000015258789
2020-11-27,9.84000015258789
2020-11-30,9.979999542236328
2020-12-01,9.979999542236328
2020-12-02,9.979999542236328
2020-12-03,9.979999542236328
2020-12-04,9.979999542236328
2020-12-07,9.979999542236328
2020-12-08,9.979999542236328
2020-12-09,9.979999542236328
2020-12-10,9.98900032043457
2020-12-11,9.982999801635742
2020-12-14,10.0
2020-12-15,10.0
2020-12-16,9.989999771118164
2020-12-17,10.0
2020-12-18,10.0600004196167
2020-12-21,10.0600004196167
2020-12-22,10.0600004196167
2020-12-23,10.260000228881836
2020-12-24,10.279999732971191
2020-12-28,10.279999732971191
2020-12-29,10.130000114440918
2020-12-30,10.079999923706055
2020-12-31,10.130000114440918
2021-01-04,10.307999610900879
2021-01-05,10.307999610900879
2021-01-06,10.307999610900879
2021-01-07,10.307999610900879
2021-01-08,9.973999977111816
2021-01-11,10.359999656677246
2021-01-12,10.300000190734863
2021-01-13,10.300000190734863
2021-01-14,10.300000190734863
2021-01-15,10.300000190734863
2021-01-19,10.819000244140625
2021-01-20,10.793999671936035
2021-01-21,10.800000190734863
2021-01-22,10.800000190734863
2021-01-25,10.48799991607666
2021-01-26,10.470000267028809
2021-01-27,10.449999809265137
2021-01-28,10.515999794006348
2021-01-29,10.430000305175781
2021-02-01,10.5
2021-02-02,10.482000350952148
2021-02-03,10.350000381469727
2021-02-04,10.109999656677246
2021-02-05,10.152000427246094
2021-02-08,10.130000114440918
2021-02-09,10.359999656677246
2021-02-10,10.319999694824219
2021-02-11,10.274999618530273
2021-02-12,10.210000038146973
2021-02-16,10.0
2021-02-17,10.039999961853027
2021-02-18,10.020000457763672
2021-02-19,10.020000457763672
2021-02-22,10.210000038146973
2021-02-23,10.050000190734863
2021-02-24,10.0
2021-02-25,10.0
2021-02-26,9.989999771118164
2021-03-01,9.970000267028809
2021-03-02,9.970000267028809
2021-03-03,9.890000343322754
2021-03-04,9.869999885559082
2021-03-05,9.930000305175781
2021-03-08,9.930000305175781
2021-03-09,9.979999542236328
2021-03-10,9.970000267028809
2021-03-11,9.989999771118164
2021-03-12,10.0
2021-03-15,10.020000457763672
2021-03-16,10.050000190734863
2021-03-17,10.300000190734863
2021-03-18,10.119999885559082
2021-03-19,10.109999656677246
2021-03-22,10.0600004196167
2021-03-23,10.0600004196167
2021-03-24,10.039999961853027
2021-03-25,10.0600004196167
2021-03-26,10.0
2021-03-29,9.989999771118164
2021-03-30,10.010000228881836
2021-03-31,9.960000038146973
2021-04-01,10.020000457763672
2021-04-05,10.09000015258789
2021-04-06,10.039999961853027
2021-04-07,10.039999961853027
2021-04-08,10.140000343322754
2021-04-09,10.109999656677246
2021-04-12,10.109999656677246
2021-04-13,10.100000381469727
2021-04-14,10.100000381469727
2021-04-15,10.079999923706055
2021-04-16,10.119999885559082
2021-04-19,9.989999771118164
2021-04-20,10.020000457763672
2021-04-21,10.09000015258789
2021-04-22,10.039999961853027
2021-04-23,10.109999656677246
2021-04-26,10.069999694824219
2021-04-27,10.069999694824219
2021-04-28,10.100000381469727
2021-04-29,10.079999923706055
2021-04-30,10.079999923706055
2021-05-03,10.09000015258789
2021-05-04,10.100000381469727
2021-05-05,10.100000381469727
2021-05-06,10.069999694824219
2021-05-07,10.109999656677246
2021-05-10,10.069999694824219
2021-05-11,10.100000381469727
2021-05-12,10.0600004196167
2021-05-13,10.109999656677246
2021-05-14,10.109999656677246
