,CALM
1999-03-10,1.375
1999-03-11,1.3671879768371582
1999-03-12,1.359375
1999-03-15,1.359375
1999-03-16,1.359375
1999-03-17,1.375
1999-03-18,1.3671879768371582
1999-03-19,1.375
1999-03-22,1.359375
1999-03-23,1.375
1999-03-24,1.359375
1999-03-25,1.390625
1999-03-26,1.40625
1999-03-29,1.375
1999-03-30,1.375
1999-03-31,1.375
1999-04-01,1.375
1999-04-05,1.375
1999-04-06,1.375
1999-04-07,1.375
1999-04-08,1.390625
1999-04-09,1.3828129768371582
1999-04-12,1.375
1999-04-13,1.390625
1999-04-14,1.390625
1999-04-15,1.390625
1999-04-16,1.40625
1999-04-19,1.390625
1999-04-20,1.390625
1999-04-21,1.390625
1999-04-22,1.375
1999-04-23,1.375
1999-04-26,1.375
1999-04-27,1.375
1999-04-28,1.378906011581421
1999-04-29,1.375
1999-04-30,1.375
1999-05-03,1.375
1999-05-04,1.359375
1999-05-05,1.359375
1999-05-06,1.375
1999-05-07,1.359375
1999-05-10,1.359375
1999-05-11,1.359375
1999-05-12,1.359375
1999-05-13,1.359375
1999-05-14,1.3671879768371582
1999-05-17,1.34375
1999-05-18,1.328125
1999-05-19,1.328125
1999-05-20,1.3125
1999-05-21,1.296875
1999-05-24,1.328125
1999-05-25,1.328125
1999-05-26,1.34375
1999-05-27,1.3828129768371582
1999-05-28,1.3828129768371582
1999-06-01,1.3515629768371582
1999-06-02,1.328125
1999-06-03,1.359375
1999-06-04,1.34375
1999-06-07,1.328125
1999-06-08,1.34375
1999-06-09,1.328125
1999-06-10,1.328125
1999-06-11,1.328125
1999-06-14,1.34375
1999-06-15,1.3125
1999-06-16,1.296875
1999-06-17,1.3125
1999-06-18,1.3125
1999-06-21,1.3125
1999-06-22,1.3125
1999-06-23,1.3125
1999-06-24,1.3125
1999-06-25,1.3125
1999-06-28,1.3125
1999-06-29,1.3125
1999-06-30,1.3125
1999-07-01,1.3125
1999-07-02,1.3125
1999-07-06,1.28125
1999-07-07,1.28125
1999-07-08,1.265625
1999-07-09,1.25
1999-07-12,1.25
1999-07-13,1.265625
1999-07-14,1.2578129768371582
1999-07-15,1.25
1999-07-16,1.25
1999-07-19,1.25
1999-07-20,1.25
1999-07-21,1.265625
1999-07-22,1.2578129768371582
1999-07-23,1.25
1999-07-26,1.25
1999-07-27,1.15625
1999-07-28,1.21875
1999-07-29,1.25
1999-07-30,1.21875
1999-08-02,1.21875
1999-08-03,1.203125
1999-08-04,1.171875
1999-08-05,1.1875
1999-08-06,1.1875
1999-08-09,1.1875
