,AGNG
2017-02-06,16.049999237060547
2017-02-07,16.049999237060547
2017-02-08,16.059999465942383
2017-02-09,16.110000610351562
2017-02-10,16.110000610351562
2017-02-13,16.110000610351562
2017-02-14,16.219999313354492
2017-02-15,16.420000076293945
2017-02-16,16.420000076293945
2017-02-17,16.420000076293945
2017-02-21,16.559999465942383
2017-02-22,16.559999465942383
2017-02-23,16.559999465942383
2017-02-24,16.545000076293945
2017-02-27,16.658000946044922
2017-02-28,16.658000946044922
2017-03-01,16.940000534057617
2017-03-02,16.940000534057617
2017-03-03,16.889999389648438
2017-03-06,16.60700035095215
2017-03-07,16.704999923706055
2017-03-08,16.704999923706055
2017-03-09,16.704999923706055
2017-03-10,16.704999923706055
2017-03-13,16.940000534057617
2017-03-14,16.885000228881836
2017-03-15,16.729999542236328
